Date,Open,High,Low,Close,Volume
2014-04-07,55.38,56.65,54.23,55.19,2280136.0
2014-04-04,58.08,58.19,55.36,55.72,2269454.0
2014-04-03,57.45,58.0,56.56,57.65,1808915.0
2014-04-02,57.91,58.04,55.79,57.39,2093298.0
2014-04-01,57.01,58.11,56.84,58.1,1640502.0
2014-03-31,55.58,56.72,55.54,56.56,1810783.0
2014-03-28,55.38,55.95,54.45,55.02,2995095.0
2014-03-27,57.7,57.8,54.61,55.01,4842144.0
2014-03-26,59.33,59.87,57.71,57.77,2303524.0
2014-03-25,60.15,60.5,58.58,58.91,1675085.0
2014-03-24,60.46,60.89,58.54,59.7,1775588.0
2014-03-21,61.9,62.4,59.81,60.03,2841621.0
2014-03-20,61.27,62.05,60.6,61.64,760190.0
2014-03-19,61.77,62.07,60.9,61.31,903882.0
2014-03-18,60.41,62.3,60.31,61.94,1543937.0
2014-03-17,60.32,61.0,59.65,60.24,1249751.0
2014-03-14,60.01,61.5,60.01,60.34,1572072.0
2014-03-13,58.87,62.0,58.87,60.24,2927700.0
2014-03-12,58.5,59.18,58.06,58.7,1056699.0
2014-03-11,60.41,60.74,58.38,58.91,1481719.0
2014-03-10,59.5,60.81,59.12,60.16,1608396.0
2014-03-07,60.17,60.51,58.64,59.54,1917823.0
2014-03-06,60.73,61.26,60.01,60.12,1598006.0
2014-03-05,60.55,61.09,60.22,60.53,1423843.0
2014-03-04,60.32,61.5,60.05,60.85,1552598.0
2014-03-03,60.39,60.67,58.63,59.47,2166797.0
2014-02-28,61.82,62.5,60.6,61.43,1283455.0
2014-02-27,61.84,62.61,60.9,61.55,1574744.0
2014-02-26,61.22,63.79,61.22,62.91,2208230.0
2014-02-25,61.0,61.46,60.07,61.11,1247812.0
2014-02-24,60.09,61.7,60.07,61.06,990167.0
2014-02-21,61.55,62.0,60.2,60.28,1447699.0
2014-02-20,61.25,62.0,60.33,61.69,1049303.0
2014-02-19,62.11,62.8,61.13,61.23,1034824.0
2014-02-18,60.8,62.72,60.63,62.22,1524013.0
2014-02-14,60.98,61.06,59.98,60.82,1147961.0
2014-02-13,60.02,61.09,59.13,60.81,1336449.0
2014-02-12,60.06,61.08,59.75,60.55,1234223.0
2014-02-11,59.0,60.55,58.9,60.01,1811332.0
2014-02-10,59.21,59.7,58.58,58.98,1282459.0
2014-02-07,59.42,59.73,58.2,59.35,2455081.0
2014-02-06,57.63,59.0,57.5,58.76,1569255.0
2014-02-05,57.16,57.69,55.76,57.11,2873170.0
2014-02-04,58.1,58.3,57.08,57.99,1975190.0
2014-02-03,60.49,60.74,56.82,57.21,3967245.0
2014-01-31,61.46,61.88,60.28,60.42,1826891.0
2014-01-30,62.38,62.84,61.05,62.58,1481182.0
2014-01-29,61.81,63.04,61.61,61.81,1703531.0
2014-01-28,60.77,62.88,60.53,62.75,2088632.0
2014-01-27,61.64,62.77,59.36,60.34,2109117.0
2014-01-24,63.01,63.5,61.29,61.62,2690480.0
2014-01-23,65.68,66.59,62.19,63.34,5660068.0
2014-01-22,64.3,67.98,62.78,67.33,6439243.0
2014-01-21,62.23,63.1,62.22,62.83,4220890.0
2014-01-17,64.0,64.3,62.05,62.5,2696837.0
2014-01-16,64.18,64.75,63.26,63.87,1630902.0
2014-01-15,63.8,64.74,63.25,64.18,2216018.0
2014-01-14,61.69,63.4,61.52,63.25,2736358.0
2014-01-13,64.5,64.5,60.14,61.06,4967040.0
2014-01-10,66.6,67.53,66.6,67.17,1932059.0
2014-01-09,66.85,67.72,65.59,66.63,2941740.0
2014-01-08,64.99,65.97,64.76,65.79,2083971.0
2014-01-07,62.66,65.12,62.22,64.55,2571985.0
2014-01-06,62.5,62.54,61.51,62.07,1398084.0
2014-01-03,62.0,62.6,61.45,62.46,1679055.0
2014-01-02,62.0,62.48,61.35,61.72,1809831.0
2013-12-31,61.82,62.9,61.57,62.52,1188010.0
2013-12-30,61.28,61.74,60.76,61.54,1158102.0
2013-12-27,61.91,62.8,61.4,61.49,1408620.0
2013-12-26,61.12,61.85,60.92,61.71,1460712.0
2013-12-24,60.72,61.5,60.56,60.83,741585.0
2013-12-23,60.0,60.95,59.99,60.9,1857923.0
2013-12-20,58.1,59.93,58.01,59.65,2723111.0
2013-12-19,57.82,58.38,57.39,57.98,1229372.0
2013-12-18,58.0,58.42,56.58,58.12,1645866.0
2013-12-17,57.39,57.97,56.9,57.71,1640211.0
2013-12-16,56.6,57.36,56.26,56.92,1549511.0
2013-12-13,56.09,56.38,55.36,56.07,1082588.0
2013-12-12,56.86,57.1,55.46,55.92,1665892.0
2013-12-11,58.38,58.45,56.83,56.93,1116519.0
2013-12-10,57.82,58.43,57.54,58.18,939693.0
2013-12-09,58.55,59.7,57.86,58.05,1735549.0
2013-12-06,58.24,58.52,57.53,58.03,1842965.0
2013-12-05,57.96,58.48,57.67,58.25,1268371.0
2013-12-04,58.02,58.68,57.33,58.06,1734575.0
2013-12-03,57.29,58.48,57.0,58.17,2321894.0
2013-12-02,55.88,58.7,55.62,57.36,2592490.0
2013-11-29,56.72,56.96,55.63,55.8,727532.0
2013-11-27,56.09,56.58,55.75,56.54,1443264.0
2013-11-26,55.78,56.4,55.34,56.15,1614739.0
2013-11-25,55.88,56.32,55.04,55.78,1361590.0
2013-11-22,55.73,56.04,54.95,55.63,1368042.0
2013-11-21,54.39,55.53,54.05,55.5,2013168.0
2013-11-20,54.35,54.99,52.85,54.01,3324757.0
2013-11-19,55.52,55.77,54.04,54.31,2420098.0
2013-11-18,57.02,57.32,55.18,55.39,2423394.0
2013-11-15,57.28,57.67,56.55,56.9,2160693.0
2013-11-14,58.01,58.23,56.61,57.11,2459931.0
2013-11-13,57.81,58.48,57.27,58.01,1680614.0
2013-11-12,57.44,58.63,57.11,57.94,2299153.0
2013-11-11,56.21,57.45,55.56,57.34,2415926.0
2013-11-08,56.14,57.0,55.25,56.48,2798701.0
2013-11-07,59.17,59.5,55.63,55.68,3878094.0
2013-11-06,60.46,60.67,58.81,59.04,2303287.0
2013-11-05,59.75,60.71,59.16,60.18,1386269.0
2013-11-04,60.29,60.43,59.5,59.91,1562003.0
2013-11-01,60.75,60.94,59.09,59.93,2117829.0
2013-10-31,61.13,61.7,60.65,60.74,1763085.0
2013-10-30,61.67,61.99,60.46,61.16,1897077.0
2013-10-29,60.35,61.44,60.31,61.39,2057295.0
2013-10-28,61.18,61.38,60.03,60.37,1899964.0
2013-10-25,61.58,62.6,60.33,60.83,2643111.0
2013-10-24,62.23,62.86,60.91,61.11,3724320.0
2013-10-23,62.32,63.35,59.02,61.77,15409977.0
2013-10-22,73.96,75.98,72.9,74.32,4533428.0
2013-10-21,73.92,75.17,72.5,73.4,3780731.0
2013-10-18,73.29,73.9,72.2,73.86,2760092.0
2013-10-17,72.34,73.31,71.52,72.84,1879469.0
2013-10-16,73.01,73.88,72.7,73.21,2071056.0
2013-10-15,72.72,73.5,72.08,72.37,1845605.0
2013-10-14,72.08,73.69,71.75,73.19,2073631.0
2013-10-11,71.71,72.84,71.08,72.28,1357612.0
2013-10-10,70.49,72.74,70.4,72.09,2384974.0
2013-10-09,70.17,70.83,67.23,69.02,2646591.0
2013-10-08,71.61,72.68,69.15,70.1,2996284.0
2013-10-07,71.8,73.98,71.4,71.49,2333496.0
2013-10-04,72.97,74.06,72.15,72.71,2896425.0
2013-10-03,68.47,73.51,68.47,73.09,6095716.0
2013-10-02,68.57,69.41,67.55,68.59,4741297.0
2013-10-01,62.82,70.09,62.69,69.76,11011106.0
2013-09-30,58.54,60.55,58.28,60.19,1975334.0
2013-09-27,59.2,59.78,58.82,59.26,878931.0
2013-09-26,59.28,60.46,59.17,59.49,1016803.0
2013-09-25,59.24,59.77,58.51,59.14,1133697.0
2013-09-24,58.75,59.95,58.24,59.26,1000769.0
2013-09-23,60.06,60.45,58.35,58.68,1276164.0
2013-09-20,61.37,61.66,59.98,60.19,2362701.0
2013-09-19,61.52,61.69,60.57,61.01,1354810.0
2013-09-18,59.37,61.12,59.3,60.91,2029314.0
2013-09-17,59.42,59.94,59.09,59.47,906989.0
2013-09-16,60.0,60.75,59.23,59.33,1548680.0
2013-09-13,59.33,59.49,58.3,59.31,933303.0
2013-09-12,59.1,60.11,58.59,58.92,1379014.0
2013-09-11,59.68,59.78,58.52,59.03,1931080.0
2013-09-10,57.94,60.4,57.81,60.04,3545108.0
2013-09-09,55.61,57.5,55.61,57.3,1634522.0
2013-09-06,56.33,56.5,54.72,55.58,1333143.0
2013-09-05,56.01,56.55,55.89,56.18,1345204.0
2013-09-04,54.49,56.35,54.14,56.0,1966724.0
2013-09-03,56.25,56.79,53.94,54.6,3518477.0
2013-08-30,56.8,56.93,55.39,55.49,1845199.0
2013-08-29,56.63,57.67,56.51,56.76,1825422.0
2013-08-28,53.85,57.06,53.82,55.98,3052540.0
2013-08-27,55.61,55.89,53.8,53.9,3147806.0
2013-08-26,57.0,57.4,56.28,56.6,1451540.0
