Date,Open,High,Low,Close,Volume
2014-04-07,22.6,23.07,22.5,22.85,55317116.0
2014-04-04,23.28,23.35,22.6,22.71,49382348.0
2014-04-03,23.05,23.3,23.0,23.09,30311153.0
2014-04-02,23.11,23.13,22.76,22.99,38363707.0
2014-04-01,22.33,23.31,22.3,23.1,80113826.0
2014-03-31,22.49,22.64,22.4,22.42,32887846.0
2014-03-28,22.09,22.54,22.05,22.33,49289378.0
2014-03-27,22.13,22.39,21.94,22.02,52152335.0
2014-03-26,22.44,22.69,22.32,22.32,67102413.0
2014-03-25,21.69,22.36,21.65,22.34,53374279.0
2014-03-24,21.68,21.79,21.46,21.57,32782091.0
2014-03-21,21.94,22.1,21.58,21.64,97377342.0
2014-03-20,21.59,22.0,21.59,21.83,34952767.0
2014-03-19,21.69,21.8,21.56,21.63,32674256.0
2014-03-18,21.34,21.71,21.29,21.63,45849610.0
2014-03-17,21.35,21.62,21.27,21.51,33221895.0
2014-03-14,21.55,21.65,21.28,21.35,38256705.0
2014-03-13,21.89,21.92,21.5,21.52,42144410.0
2014-03-12,21.53,21.92,21.53,21.82,31855258.0
2014-03-11,21.86,21.93,21.58,21.61,34645658.0
2014-03-10,21.63,21.82,21.6,21.69,26164042.0
2014-03-07,21.92,21.94,21.66,21.73,33180970.0
2014-03-06,21.88,21.98,21.75,21.82,23573297.0
2014-03-05,21.9,22.05,21.81,21.87,28206193.0
2014-03-04,21.78,21.89,21.7,21.82,35709590.0
2014-03-03,21.57,21.82,21.44,21.57,37295927.0
2014-02-28,21.97,22.11,21.7,21.8,40870739.0
2014-02-27,21.88,22.05,21.86,21.92,25804236.0
2014-02-26,21.84,22.02,21.55,21.93,43575225.0
2014-02-25,22.15,22.22,21.76,21.84,45400603.0
2014-02-24,22.19,22.34,22.0,22.12,41861632.0
2014-02-21,22.37,22.45,22.13,22.13,31485147.0
2014-02-20,22.24,22.4,22.16,22.3,26215321.0
2014-02-19,22.33,22.56,22.22,22.28,29339087.0
2014-02-18,22.49,22.54,22.33,22.41,31033686.0
2014-02-14,22.22,22.77,22.2,22.56,64580952.0
2014-02-13,21.99,22.27,21.68,22.27,153766718.0
