Date,Open,High,Low,Close,Volume
2014-04-07,25.56,25.96,25.21,25.67,209549.0
2014-04-04,26.34,26.49,25.59,25.65,169024.0
2014-04-03,26.63,26.68,25.98,26.15,189308.0
2014-04-02,26.35,26.83,26.2,26.57,254050.0
2014-04-01,26.11,26.45,25.96,26.3,249077.0
2014-03-31,25.94,26.16,25.77,26.04,261245.0
2014-03-28,26.01,26.25,25.66,25.69,89869.0
2014-03-27,25.83,26.12,25.59,26.01,259048.0
2014-03-26,26.68,26.68,25.81,25.81,119584.0
2014-03-25,26.71,26.83,26.15,26.43,256938.0
2014-03-24,27.42,27.85,26.48,26.61,205349.0
2014-03-21,27.13,27.77,26.94,27.3,224564.0
2014-03-20,26.96,27.2,26.78,26.95,86809.0
2014-03-19,27.65,27.66,26.4,26.96,302910.0
2014-03-18,27.17,27.81,27.02,27.72,158724.0
2014-03-17,27.08,27.38,26.9,27.11,174444.0
2014-03-14,27.19,27.57,26.96,26.99,192401.0
2014-03-13,27.95,27.97,27.26,27.28,133513.0
2014-03-12,27.9,27.98,27.46,27.92,72039.0
2014-03-11,28.5,28.72,27.97,28.01,224169.0
2014-03-10,28.16,28.6,28.16,28.48,350503.0
2014-03-07,28.4,28.41,28.06,28.38,112337.0
2014-03-06,28.32,28.42,28.14,28.23,98733.0
2014-03-05,28.18,28.4,27.8,28.22,159064.0
2014-03-04,27.83,28.63,27.63,28.24,369301.0
2014-03-03,27.64,27.92,27.29,27.56,138945.0
2014-02-28,27.57,28.34,27.35,28.0,286156.0
2014-02-27,27.32,27.99,27.28,27.72,205360.0
2014-02-26,27.21,27.79,27.08,27.52,192890.0
2014-02-25,27.35,27.53,27.22,27.33,156630.0
2014-02-24,26.58,27.38,26.42,27.31,125096.0
2014-02-21,26.82,26.82,26.51,26.62,154645.0
2014-02-20,26.61,26.96,26.59,26.73,99099.0
2014-02-19,26.92,27.24,26.58,26.6,125422.0
2014-02-18,26.91,27.09,26.67,27.05,365948.0
2014-02-14,26.82,27.02,26.42,26.84,209504.0
2014-02-13,26.38,27.1,26.34,26.85,183873.0
2014-02-12,26.86,26.99,26.48,26.56,236760.0
2014-02-11,26.5,26.98,26.32,26.78,113385.0
2014-02-10,26.82,26.99,26.45,26.56,222672.0
2014-02-07,27.14,27.98,26.76,26.88,185412.0
2014-02-06,26.91,27.31,26.65,27.03,400696.0
2014-02-05,27.41,27.6,26.06,26.92,768747.0
2014-02-04,28.91,30.0,27.45,28.86,231714.0
2014-02-03,29.98,30.11,28.22,28.82,293051.0
2014-01-31,29.86,30.15,29.73,29.96,208747.0
2014-01-30,30.4,30.55,30.09,30.34,156987.0
2014-01-29,29.94,30.43,29.76,30.15,167480.0
2014-01-28,30.16,30.48,30.02,30.1,178110.0
2014-01-27,30.62,31.02,30.05,30.05,169090.0
2014-01-24,31.56,31.9,30.36,30.62,489636.0
2014-01-23,31.85,32.03,31.5,31.76,449675.0
2014-01-22,31.57,32.11,31.57,32.0,382442.0
2014-01-21,31.36,31.55,31.26,31.46,173012.0
2014-01-17,30.87,31.28,30.8,31.07,344319.0
2014-01-16,30.57,31.13,30.55,30.96,588060.0
2014-01-15,29.68,30.6,29.68,30.56,273796.0
2014-01-14,29.42,29.89,29.21,29.64,190294.0
2014-01-13,29.83,30.04,29.33,29.42,185913.0
2014-01-10,29.39,30.0,29.25,29.93,150846.0
2014-01-09,29.15,29.47,28.9,29.3,167063.0
2014-01-08,28.91,29.5,28.7,29.03,423560.0
2014-01-07,28.73,29.11,28.7,28.99,269693.0
2014-01-06,29.23,29.29,28.5,28.55,128297.0
2014-01-03,29.2,29.47,29.02,29.18,73729.0
2014-01-02,29.23,29.55,29.01,29.18,74731.0
2013-12-31,29.46,29.81,29.28,29.4,95824.0
2013-12-30,29.57,29.8,29.36,29.43,128564.0
2013-12-27,29.67,29.68,29.39,29.61,133575.0
2013-12-26,29.6,29.78,29.37,29.55,179521.0
2013-12-24,29.5,29.71,29.5,29.59,56653.0
2013-12-23,29.32,29.59,29.07,29.5,104874.0
2013-12-20,29.15,29.51,29.0,29.3,427698.0
2013-12-19,29.42,29.72,29.11,29.19,104641.0
2013-12-18,28.77,29.53,28.77,29.46,155660.0
2013-12-17,29.12,29.43,28.75,28.76,168346.0
2013-12-16,28.89,29.26,28.69,29.17,183477.0
2013-12-13,28.82,28.91,28.46,28.68,100486.0
2013-12-12,28.96,29.13,28.73,28.81,116175.0
2013-12-11,29.08,29.26,28.89,28.94,168502.0
2013-12-10,29.04,29.39,28.93,29.0,340589.0
2013-12-09,29.04,29.05,28.63,29.01,140971.0
2013-12-06,28.76,29.11,28.7,28.97,134320.0
2013-12-05,28.83,28.83,28.33,28.57,139744.0
2013-12-04,28.67,29.12,28.31,28.83,95261.0
2013-12-03,28.72,28.96,28.44,28.69,321905.0
2013-12-02,28.85,29.07,28.53,28.74,148585.0
2013-11-29,28.77,29.04,28.63,28.87,41888.0
2013-11-27,28.72,29.0,28.5,28.66,125411.0
2013-11-26,28.58,28.77,28.42,28.63,352886.0
2013-11-25,28.47,28.72,28.41,28.49,56388.0
2013-11-22,28.21,28.78,28.1,28.47,93148.0
2013-11-21,28.15,28.4,28.03,28.11,137571.0
2013-11-20,28.31,28.45,27.9,27.95,86663.0
2013-11-19,28.64,29.01,28.09,28.12,104448.0
2013-11-18,28.36,28.9,28.34,28.76,220217.0
2013-11-15,28.04,28.33,27.9,28.32,138505.0
2013-11-14,28.0,28.24,27.85,28.08,81327.0
2013-11-13,27.67,28.0,27.57,28.0,112722.0
2013-11-12,27.44,27.84,27.29,27.74,142582.0
2013-11-11,27.75,27.76,27.37,27.61,91407.0
2013-11-08,26.89,27.88,26.75,27.88,233268.0
2013-11-07,27.39,27.58,26.8,26.88,168558.0
2013-11-06,27.6,27.6,27.24,27.36,142962.0
2013-11-05,27.55,27.79,27.33,27.36,144914.0
2013-11-04,28.0,28.0,27.46,27.79,196279.0
2013-11-01,27.81,27.94,27.42,27.91,274596.0
2013-10-31,27.65,27.86,27.44,27.86,204641.0
2013-10-30,27.65,27.92,26.5,27.59,194375.0
2013-10-29,26.85,27.22,26.76,27.14,158720.0
2013-10-28,27.44,27.63,26.51,26.79,396412.0
2013-10-25,27.71,27.88,27.05,27.42,322491.0
2013-10-24,27.52,27.69,27.24,27.6,292662.0
2013-10-23,27.02,27.51,27.02,27.4,253590.0
2013-10-22,26.91,27.24,26.8,27.19,89874.0
2013-10-21,26.64,26.98,26.64,26.75,78088.0
2013-10-18,26.41,26.69,26.26,26.54,143610.0
2013-10-17,25.93,26.23,25.93,26.2,201492.0
2013-10-16,25.75,26.02,25.66,26.01,134010.0
2013-10-15,25.4,25.61,25.3,25.51,262752.0
2013-10-14,25.15,25.45,25.05,25.4,158682.0
2013-10-11,24.43,25.22,24.2,25.21,123681.0
2013-10-10,24.27,24.57,23.92,24.56,63361.0
2013-10-09,24.25,24.3,23.8,23.92,118267.0
2013-10-08,24.43,24.62,24.15,24.15,104507.0
2013-10-07,24.51,24.62,24.33,24.36,100113.0
2013-10-04,24.3,24.7,24.3,24.65,72947.0
2013-10-03,24.82,24.82,23.81,24.36,141166.0
2013-10-02,25.15,25.22,24.75,24.8,133237.0
2013-10-01,25.12,25.31,24.94,25.27,136624.0
2013-09-30,24.75,25.05,24.71,25.05,215360.0
2013-09-27,24.87,25.11,24.84,24.92,109071.0
2013-09-26,25.14,25.14,24.85,25.05,116880.0
2013-09-25,24.86,25.26,24.72,25.03,117138.0
2013-09-24,24.58,24.9,24.35,24.76,182698.0
2013-09-23,24.36,24.7,24.14,24.48,91146.0
2013-09-20,24.29,24.77,24.25,24.37,277244.0
2013-09-19,24.26,24.32,24.09,24.21,138700.0
2013-09-18,24.16,24.47,24.08,24.17,169683.0
2013-09-17,23.97,24.21,23.84,24.14,137183.0
2013-09-16,24.03,24.17,23.84,23.98,130599.0
2013-09-13,23.88,24.05,23.61,23.8,55177.0
2013-09-12,24.12,24.19,23.71,23.77,121238.0
2013-09-11,24.16,24.16,23.92,24.1,118133.0
2013-09-10,24.05,24.09,23.75,24.06,168544.0
2013-09-09,23.84,24.02,23.37,24.01,84549.0
2013-09-06,23.75,23.79,23.02,23.7,132096.0
2013-09-05,23.98,24.04,23.54,23.76,279887.0
