Date,Open,High,Low,Close,Volume
2014-04-07,71.49,72.72,70.91,72.01,707743.0
2014-04-04,71.82,72.83,70.9,71.72,572399.0
2014-04-03,70.15,71.98,70.15,71.74,598020.0
2014-04-02,72.37,72.62,71.04,71.52,702634.0
2014-04-01,71.72,72.64,71.0,72.08,605546.0
2014-03-31,71.99,73.25,71.71,72.5,1546935.0
2014-03-28,69.56,71.86,69.56,71.82,566031.0
2014-03-27,68.9,70.75,68.68,70.62,891144.0
2014-03-26,67.86,69.5,67.81,69.17,790603.0
2014-03-25,67.04,69.42,66.99,67.89,654010.0
2014-03-24,66.63,66.82,65.34,66.41,700304.0
2014-03-21,66.89,67.47,66.25,66.76,576736.0
2014-03-20,66.2,67.32,66.2,66.8,395005.0
2014-03-19,66.42,67.18,65.75,66.56,377304.0
2014-03-18,65.34,66.4,65.06,66.27,477416.0
2014-03-17,64.74,66.0,64.32,65.3,999547.0
2014-03-14,65.05,65.44,63.96,64.7,535146.0
2014-03-13,65.33,65.58,63.92,64.65,827898.0
2014-03-12,63.91,65.86,63.69,65.5,853891.0
2014-03-11,66.43,66.83,64.43,64.51,1918417.0
2014-03-10,68.99,70.37,68.36,68.4,2311949.0
2014-03-07,71.22,71.22,68.1,68.55,3857166.0
2014-03-06,73.78,73.88,71.12,71.15,1689175.0
2014-03-05,73.0,74.3,72.59,73.29,968660.0
2014-03-04,71.88,73.18,71.39,73.06,1069580.0
2014-03-03,70.44,71.69,70.44,71.34,667581.0
2014-02-28,71.44,71.95,70.5,70.73,1408808.0
2014-02-27,71.02,71.59,70.5,71.34,750757.0
2014-02-26,71.8,71.81,70.6,70.91,547594.0
2014-02-25,70.71,71.99,70.6,71.72,682061.0
2014-02-24,71.4,72.13,70.65,70.7,626050.0
2014-02-21,72.21,72.26,71.23,71.37,909531.0
2014-02-20,71.1,72.21,71.06,71.82,447294.0
2014-02-19,71.52,72.5,71.22,71.58,355923.0
2014-02-18,72.54,72.74,71.56,71.89,459090.0
2014-02-14,72.69,72.75,71.81,72.26,402062.0
2014-02-13,71.67,73.5,71.45,72.69,842682.0
2014-02-12,70.96,72.11,70.79,71.72,709941.0
2014-02-11,70.75,71.98,70.5,71.02,1013003.0
2014-02-10,71.45,71.94,70.0,71.01,1260380.0
2014-02-07,71.0,72.58,70.41,71.4,5635130.0
2014-02-06,62.98,65.11,62.9,63.64,1615649.0
2014-02-05,63.92,64.47,62.91,63.17,454957.0
2014-02-04,64.0,65.04,63.12,64.12,753313.0
2014-02-03,64.8,65.99,62.6,63.63,1267814.0
2014-01-31,63.67,64.43,63.67,64.31,800478.0
