Date,Open,High,Low,Close,Volume
2014-04-07,9.42,9.48,9.14,9.26,542870.0
2014-04-04,9.73,9.8,9.45,9.47,640907.0
2014-04-03,9.75,9.85,9.58,9.63,460385.0
2014-04-02,9.5,9.76,9.5,9.71,949113.0
2014-04-01,9.28,9.48,9.27,9.47,763359.0
2014-03-31,9.0,9.3,8.97,9.21,772605.0
2014-03-28,8.62,8.87,8.6,8.87,700671.0
2014-03-27,8.54,8.79,8.49,8.62,1331029.0
2014-03-26,8.73,8.92,8.46,8.5,1488706.0
2014-03-25,8.66,8.94,8.63,8.69,987208.0
2014-03-24,8.68,8.75,8.55,8.58,890857.0
2014-03-21,8.75,8.89,8.47,8.58,1309109.0
2014-03-20,9.26,9.32,8.69,8.71,1381531.0
2014-03-19,9.45,9.45,9.02,9.14,792103.0
2014-03-18,9.21,9.51,9.2,9.41,979771.0
2014-03-17,9.3,9.44,9.01,9.16,1093969.0
2014-03-14,9.26,9.36,8.98,9.31,1304817.0
2014-03-13,9.3,9.44,9.06,9.12,1865127.0
2014-03-12,9.26,9.33,9.08,9.25,884132.0
2014-03-11,9.55,9.68,9.22,9.28,926586.0
2014-03-10,9.87,9.89,9.48,9.52,840727.0
2014-03-07,10.15,10.28,9.74,9.85,556448.0
2014-03-06,10.2,10.34,10.06,10.14,698075.0
2014-03-05,10.21,10.25,9.86,10.21,661745.0
2014-03-04,9.9,10.35,9.87,10.25,632908.0
2014-03-03,10.18,10.3,9.44,9.7,1006656.0
2014-02-28,10.83,11.03,10.51,10.56,781194.0
2014-02-27,11.16,11.32,10.71,10.82,841078.0
2014-02-26,11.22,11.29,11.03,11.15,533861.0
2014-02-25,11.35,11.49,11.11,11.17,398425.0
2014-02-24,11.32,11.47,11.28,11.37,248380.0
2014-02-21,11.28,11.56,11.22,11.29,351085.0
2014-02-20,11.23,11.63,10.93,11.22,925160.0
2014-02-19,11.36,11.47,11.16,11.18,430754.0
2014-02-18,11.73,11.8,11.36,11.41,487649.0
