Date,Open,High,Low,Close,Volume
2014-04-07,56.17,56.44,55.08,55.12,3347550.0
2014-04-04,57.34,57.34,55.73,56.53,3888832.0
2014-04-03,58.71,59.0,56.72,57.06,2862625.0
2014-04-02,58.49,59.37,58.47,58.72,1546840.0
2014-04-01,57.68,58.54,57.37,58.48,1575897.0
2014-03-31,57.53,57.96,56.85,57.44,3822734.0
2014-03-28,58.21,58.76,57.32,57.47,2748744.0
2014-03-27,57.98,58.63,57.17,58.23,3873529.0
2014-03-26,61.09,61.69,56.91,58.16,8011504.0
2014-03-25,61.46,61.93,60.63,60.9,1596770.0
2014-03-24,62.31,62.37,60.39,61.14,1858283.0
2014-03-21,62.92,62.92,61.13,62.02,3184156.0
2014-03-20,61.68,62.51,61.65,62.37,1942675.0
2014-03-19,61.19,62.31,60.78,61.85,2489399.0
2014-03-18,60.63,61.54,60.54,61.3,1638294.0
2014-03-17,60.08,61.1,60.08,60.79,2208192.0
2014-03-14,59.6,60.28,58.63,59.8,2722836.0
2014-03-13,60.88,61.23,59.53,60.02,1915675.0
2014-03-12,60.13,60.68,59.58,60.65,1305756.0
2014-03-11,60.71,61.32,60.15,60.33,1501009.0
2014-03-10,61.08,61.2,60.07,60.75,1808850.0
2014-03-07,61.16,61.92,60.5,60.99,1795142.0
2014-03-06,62.56,62.75,60.99,61.13,3394349.0
2014-03-05,60.8,62.75,60.4,62.56,4050152.0
2014-03-04,60.23,61.01,60.22,60.78,2029336.0
2014-03-03,59.3,60.07,59.17,59.82,1995801.0
2014-02-28,60.8,60.8,59.56,60.05,2445223.0
2014-02-27,60.8,61.07,60.28,60.92,1471711.0
2014-02-26,60.3,61.09,60.0,60.79,2337012.0
2014-02-25,60.0,60.27,59.22,60.25,2055004.0
2014-02-24,59.68,60.52,59.48,59.61,1890757.0
2014-02-21,61.01,61.11,59.25,59.8,3811297.0
2014-02-20,57.31,60.96,56.62,60.59,8388930.0
2014-02-19,57.22,57.81,57.11,57.24,1780555.0
2014-02-18,57.24,57.53,56.91,57.48,2466556.0
2014-02-14,56.58,57.63,56.5,57.14,5262483.0
2014-02-13,56.21,58.12,55.53,57.64,6703555.0
2014-02-12,56.1,56.73,55.9,56.25,3573262.0
2014-02-11,55.38,56.4,55.32,56.05,2866704.0
2014-02-10,55.06,55.85,55.02,55.41,2288669.0
2014-02-07,54.26,55.45,53.63,55.28,3860120.0
2014-02-06,54.15,54.83,53.75,54.23,3065731.0
2014-02-05,53.73,54.19,53.03,53.97,3695139.0
2014-02-04,52.75,53.72,52.61,53.62,5320764.0
2014-02-03,54.15,54.46,52.02,52.72,5412892.0
