Date,Open,High,Low,Close,Volume
2014-04-07,63.75,63.98,60.94,61.61,358478.0
2014-04-04,66.5,67.12,64.01,64.1,297725.0
2014-04-03,65.74,66.13,65.0,65.99,138537.0
2014-04-02,66.07,66.78,65.32,65.85,121753.0
2014-04-01,65.12,66.77,64.8,65.85,215817.0
2014-03-31,62.21,65.44,61.74,65.26,244788.0
2014-03-28,62.37,62.75,61.71,62.0,202693.0
2014-03-27,62.88,63.18,61.85,62.47,198950.0
2014-03-26,64.54,64.77,62.84,62.89,183377.0
2014-03-25,64.9,65.72,63.52,63.96,133158.0
2014-03-24,65.96,66.74,63.98,64.55,156629.0
2014-03-21,69.18,69.18,65.54,65.85,319811.0
2014-03-20,65.75,66.66,65.36,66.05,153171.0
2014-03-19,66.85,67.14,65.76,66.0,137371.0
2014-03-18,66.45,67.0,66.11,66.7,160534.0
2014-03-17,65.99,67.33,65.81,66.41,159434.0
2014-03-14,64.83,66.19,64.52,65.77,159177.0
2014-03-13,67.21,67.21,64.55,65.13,140269.0
2014-03-12,66.78,67.45,65.64,66.93,142023.0
2014-03-11,67.36,67.77,66.48,66.96,144542.0
2014-03-10,67.01,67.9,66.79,67.36,165811.0
2014-03-07,68.32,68.37,66.77,67.23,198053.0
2014-03-06,68.59,68.61,67.41,67.86,163990.0
2014-03-05,70.25,70.46,68.27,68.49,227934.0
2014-03-04,69.48,70.7,68.84,70.15,284155.0
2014-03-03,67.95,68.75,66.76,68.65,205377.0
2014-02-28,68.94,69.6,68.17,68.47,230707.0
2014-02-27,67.96,68.7,67.6,68.7,142870.0
2014-02-26,68.9,69.38,67.7,68.39,224716.0
2014-02-25,68.9,69.92,68.3,68.75,218191.0
2014-02-24,69.15,69.79,68.65,69.12,245336.0
2014-02-21,69.8,71.35,69.0,69.25,293003.0
2014-02-20,71.8,71.8,66.36,69.36,886349.0
2014-02-19,72.32,73.48,72.07,72.51,309307.0
2014-02-18,72.15,73.22,71.73,72.98,405353.0
2014-02-14,72.51,73.52,70.97,71.72,200602.0
2014-02-13,69.5,72.55,69.5,72.44,255558.0
2014-02-12,69.67,70.04,68.73,69.96,173373.0
2014-02-11,67.43,69.97,67.0,69.46,279323.0
2014-02-10,67.27,67.62,66.03,67.13,225150.0
2014-02-07,65.89,67.69,65.37,66.96,215712.0
2014-02-06,66.17,66.73,65.39,65.55,216840.0
2014-02-05,65.96,67.07,65.45,66.38,219502.0
2014-02-04,65.22,66.79,65.22,65.91,260141.0
2014-02-03,66.99,67.24,64.53,65.26,262413.0
2014-01-31,66.13,67.76,66.13,66.8,210101.0
2014-01-30,67.16,68.35,66.0,67.13,247773.0
2014-01-29,66.44,67.55,66.13,66.68,158493.0
2014-01-28,66.72,67.22,66.19,67.04,225685.0
2014-01-27,67.34,67.78,65.87,66.67,242408.0
2014-01-24,67.58,68.05,66.2,67.16,221438.0
2014-01-23,67.9,68.36,67.21,68.16,233031.0
2014-01-22,68.39,69.26,67.39,68.14,165873.0
2014-01-21,69.06,69.61,68.23,68.55,346571.0
2014-01-17,69.8,69.99,68.49,68.77,187270.0
2014-01-16,69.39,69.94,68.42,69.62,197439.0
2014-01-15,68.69,69.93,67.99,69.74,213207.0
