Date,Open,High,Low,Close,Volume
2014-04-07,79.53,80.18,78.01,78.42,836122.0
2014-04-04,80.29,82.1,79.44,79.98,1160917.0
2014-04-03,78.4,81.0,75.27,79.24,673179.0
2014-04-02,80.6,80.77,78.74,79.89,780667.0
2014-04-01,79.35,81.17,78.39,81.09,630802.0
2014-03-31,78.2,80.0,78.2,79.73,464666.0
2014-03-28,78.15,80.18,76.92,78.98,598998.0
2014-03-27,76.78,78.24,76.07,77.86,670792.0
2014-03-26,77.25,78.36,76.54,76.68,572027.0
2014-03-25,78.42,79.25,76.04,77.13,883387.0
2014-03-24,75.67,77.99,75.19,77.87,950800.0
2014-03-21,76.76,77.46,75.13,75.33,702955.0
2014-03-20,75.45,76.95,75.04,76.72,494254.0
2014-03-19,75.71,76.49,74.79,75.43,554649.0
2014-03-18,73.83,75.5,73.65,75.45,976384.0
2014-03-17,73.96,75.07,73.38,73.66,636702.0
2014-03-14,73.09,74.12,72.51,73.6,721108.0
2014-03-13,73.7,74.44,72.59,72.86,856921.0
2014-03-12,74.54,74.93,73.15,73.85,974360.0
2014-03-11,76.06,76.5,74.85,75.05,860932.0
2014-03-10,76.33,76.95,75.19,76.11,621630.0
2014-03-07,76.55,76.72,75.3,76.27,779238.0
2014-03-06,75.11,76.48,75.03,76.07,983280.0
2014-03-05,74.4,75.94,74.4,75.01,1347658.0
2014-03-04,73.57,75.02,73.21,74.28,1461122.0
2014-03-03,73.3,73.95,71.81,72.87,1926637.0
2014-02-28,73.5,75.49,70.68,74.35,9720758.0
2014-02-27,82.87,85.74,82.79,84.67,2429564.0
2014-02-26,84.5,85.34,81.77,82.34,1534013.0
2014-02-25,84.64,85.23,83.4,84.11,1125018.0
2014-02-24,84.44,86.0,83.74,84.25,1090084.0
2014-02-21,85.52,86.31,82.62,83.6,1511758.0
2014-02-20,85.49,87.28,84.33,85.56,794173.0
2014-02-19,86.73,87.86,85.48,85.5,953723.0
2014-02-18,84.75,87.29,84.39,86.25,976640.0
2014-02-14,84.31,85.13,82.9,84.18,674249.0
2014-02-13,81.69,85.2,81.3,84.73,1094560.0
2014-02-12,82.4,83.24,81.33,82.46,795421.0
2014-02-11,81.36,82.07,79.59,82.07,900715.0
2014-02-10,81.53,82.0,79.81,81.45,898564.0
2014-02-07,78.35,81.65,78.02,81.21,1036468.0
2014-02-06,78.5,79.93,77.87,78.26,1293809.0
2014-02-05,76.1,78.82,74.53,78.34,1408593.0
2014-02-04,76.15,77.59,75.12,75.75,1074349.0
2014-02-03,77.69,78.67,75.0,75.35,1321397.0
2014-01-31,77.27,80.18,76.53,77.95,1115959.0
2014-01-30,76.18,79.93,76.02,78.63,1364182.0
2014-01-29,77.63,77.66,74.12,74.72,1360619.0
2014-01-28,76.46,78.49,76.0,78.13,1209207.0
2014-01-27,74.91,77.24,73.62,76.45,1345106.0
2014-01-24,73.22,75.77,72.68,74.69,1467402.0
2014-01-23,74.51,76.05,73.42,73.75,1303684.0
2014-01-22,75.73,77.52,73.43,74.47,1628374.0
2014-01-21,76.05,77.52,75.23,76.23,1464741.0
2014-01-17,76.26,77.13,74.41,75.02,1591140.0
2014-01-16,83.04,83.45,75.26,75.65,3935487.0
2014-01-15,83.11,84.63,82.88,83.04,1112543.0
2014-01-14,85.68,86.72,80.94,82.59,2715448.0
2014-01-13,86.92,88.0,84.52,85.28,1262071.0
2014-01-10,87.92,89.19,86.89,88.56,1254093.0
2014-01-09,87.0,88.88,86.71,88.11,1184302.0
2014-01-08,87.01,87.6,85.53,85.9,665938.0
2014-01-07,88.02,90.09,85.82,86.93,1369248.0
2014-01-06,86.25,88.77,85.29,87.99,1870655.0
2014-01-03,84.12,85.85,83.9,85.73,894113.0
2014-01-02,84.25,85.0,83.1,83.91,596430.0
2013-12-31,84.3,84.53,83.32,84.46,411668.0
2013-12-30,83.8,85.6,83.52,84.22,674760.0
2013-12-27,84.72,85.5,83.1,83.84,438576.0
2013-12-26,84.4,86.75,84.4,84.85,590448.0
2013-12-24,84.19,85.08,83.81,84.4,403237.0
2013-12-23,85.23,85.41,83.54,84.6,808064.0
2013-12-20,81.66,84.83,81.34,84.72,1810586.0
2013-12-19,84.03,84.03,80.97,81.35,1342236.0
2013-12-18,83.0,84.45,82.23,84.17,1267912.0
2013-12-17,83.0,83.36,81.81,82.86,1135850.0
2013-12-16,84.52,85.0,82.67,83.18,1483627.0
2013-12-13,83.42,85.6,83.37,84.52,816388.0
2013-12-12,83.92,84.74,82.32,83.29,1368396.0
2013-12-11,85.56,86.0,83.71,83.78,1033181.0
2013-12-10,85.16,85.81,82.6,85.41,1495139.0
2013-12-09,85.83,86.66,85.22,85.91,756386.0
2013-12-06,86.1,86.5,83.83,85.03,1026783.0
2013-12-05,85.2,86.88,83.82,85.6,941571.0
2013-12-04,87.28,87.82,84.3,85.25,2586510.0
2013-12-03,84.19,86.25,83.12,86.09,1668554.0
2013-12-02,83.52,85.68,83.19,83.96,1504473.0
2013-11-29,82.29,82.95,80.99,82.64,535930.0
2013-11-27,82.68,83.42,81.14,82.36,773502.0
2013-11-26,81.64,82.93,81.21,82.61,942523.0
2013-11-25,80.65,83.04,80.51,81.64,1698082.0
2013-11-22,77.87,79.99,77.54,79.92,1209057.0
2013-11-21,77.15,78.35,76.92,78.05,729096.0
2013-11-20,75.96,77.5,75.89,77.04,1141997.0
2013-11-19,77.23,77.95,75.52,75.74,1423763.0
2013-11-18,79.64,79.75,76.96,77.37,1292623.0
2013-11-15,78.31,78.84,77.25,78.7,1282620.0
2013-11-14,76.79,77.33,75.85,77.13,1361863.0
2013-11-13,72.13,77.75,72.07,76.83,3231067.0
2013-11-12,71.83,74.0,71.25,72.83,1628130.0
2013-11-11,68.59,73.07,68.53,71.79,1740977.0
2013-11-08,66.97,68.65,66.97,68.29,700497.0
2013-11-07,69.16,69.33,66.41,66.9,1102045.0
