Date,Open,High,Low,Close,Volume
2014-04-07,52.09,52.17,50.58,50.94,2769056.0
2014-04-04,53.0,53.15,51.92,52.11,2075014.0
2014-04-03,52.83,53.1,52.61,52.76,2290315.0
2014-04-02,52.47,52.97,52.28,52.82,1931553.0
2014-04-01,51.52,52.78,51.52,52.47,1753416.0
2014-03-31,52.25,52.41,51.71,52.18,2033819.0
2014-03-28,52.01,52.53,51.93,52.15,1405304.0
2014-03-27,51.89,52.09,51.22,51.83,1764515.0
2014-03-26,52.14,52.59,52.03,52.03,1990650.0
2014-03-25,52.38,52.64,51.86,51.91,1766600.0
2014-03-24,52.9,53.0,52.04,52.29,2381233.0
2014-03-21,53.74,53.86,52.63,52.75,3666543.0
2014-03-20,53.12,53.61,52.96,53.32,1196341.0
2014-03-19,53.78,53.94,52.91,53.27,1348902.0
2014-03-18,53.62,53.87,53.33,53.66,1155978.0
2014-03-17,54.3,54.3,53.26,53.68,1488602.0
2014-03-14,54.02,54.75,53.86,53.92,1386385.0
2014-03-13,54.1,54.94,54.0,54.21,1634589.0
2014-03-12,54.14,54.99,54.11,54.96,2273810.0
2014-03-11,54.48,54.58,54.23,54.43,1675070.0
2014-03-10,54.3,54.54,54.0,54.29,1836973.0
2014-03-07,54.6,54.94,54.28,54.33,1896080.0
2014-03-06,54.02,54.37,53.68,54.11,1334629.0
2014-03-05,54.52,54.6,53.59,54.01,2564064.0
2014-03-04,55.1,55.32,54.24,54.63,1947721.0
2014-03-03,54.45,54.99,54.26,54.72,1788763.0
2014-02-28,54.76,55.12,54.44,54.77,2375334.0
2014-02-27,55.04,55.63,54.62,54.66,4322581.0
2014-02-26,52.24,56.39,52.24,55.29,9320110.0
2014-02-25,52.25,52.9,52.02,52.68,3153552.0
2014-02-24,52.0,52.78,51.96,52.33,2313161.0
2014-02-21,51.6,52.27,51.38,51.97,1958193.0
2014-02-20,52.15,52.15,51.5,51.52,2661310.0
2014-02-19,52.2,52.52,52.02,52.19,2291369.0
2014-02-18,52.04,52.37,51.81,52.29,1877915.0
2014-02-14,51.78,52.18,51.4,51.92,1969618.0
2014-02-13,51.79,51.89,51.51,51.84,1681895.0
2014-02-12,51.79,52.17,51.55,51.93,2610887.0
