Date,Open,High,Low,Close,Volume
2014-04-07,2.82,2.85,2.74,2.78,2296781.0
2014-04-04,2.92,2.94,2.8,2.84,2977550.0
2014-04-03,3.0,3.03,2.91,2.93,3511766.0
2014-04-02,2.99,3.03,2.97,2.99,2706928.0
2014-04-01,3.03,3.04,2.97,3.0,3278320.0
2014-03-31,2.98,3.02,2.97,2.99,2732555.0
2014-03-28,3.0,3.11,2.97,2.97,3903807.0
2014-03-27,2.97,3.04,2.96,3.02,2153505.0
2014-03-26,3.02,3.07,2.96,2.98,3415177.0
2014-03-25,3.02,3.04,2.96,3.0,5519877.0
2014-03-24,3.0,3.08,2.97,3.0,4585909.0
2014-03-21,3.0,3.03,2.96,3.02,4255635.0
2014-03-20,2.96,3.03,2.96,3.0,1915392.0
2014-03-19,3.02,3.08,2.96,2.98,1819265.0
2014-03-18,3.01,3.05,2.98,3.04,2186674.0
2014-03-17,3.0,3.05,2.96,2.99,2280227.0
2014-03-14,2.96,3.02,2.92,2.99,2082368.0
2014-03-13,3.0,3.02,2.92,2.96,2911751.0
2014-03-12,2.89,2.99,2.82,2.97,3343228.0
2014-03-11,2.94,3.0,2.88,2.91,2611780.0
2014-03-10,2.98,2.98,2.88,2.95,3367809.0
2014-03-07,3.06,3.06,2.91,2.98,3871504.0
2014-03-06,3.2,3.2,3.04,3.04,3918117.0
2014-03-05,3.06,3.21,3.0,3.16,6257840.0
2014-03-04,3.24,3.28,3.03,3.07,10161997.0
2014-03-03,3.11,3.46,3.11,3.31,25951591.0
2014-02-28,2.98,3.01,2.8,2.88,3461886.0
2014-02-27,2.95,2.98,2.9,2.97,2521569.0
2014-02-26,3.0,3.0,2.92,2.98,1269045.0
2014-02-25,2.97,3.01,2.94,2.99,1395918.0
2014-02-24,2.99,3.02,2.94,2.99,2325299.0
2014-02-21,3.05,3.06,2.92,2.97,2551310.0
2014-02-20,2.96,3.04,2.96,3.01,1744721.0
2014-02-19,3.02,3.06,2.97,2.99,2019319.0
2014-02-18,2.95,3.07,2.94,3.01,2552772.0
2014-02-14,2.9,3.01,2.85,2.95,3254736.0
2014-02-13,2.85,2.88,2.81,2.88,1381475.0
2014-02-12,2.9,2.94,2.8,2.86,1675111.0
2014-02-11,2.82,2.9,2.82,2.86,1575533.0
2014-02-10,2.75,2.83,2.74,2.81,1887844.0
2014-02-07,2.67,2.77,2.65,2.73,1858061.0
2014-02-06,2.68,2.71,2.64,2.66,1431039.0
2014-02-05,2.69,2.69,2.52,2.67,2548995.0
2014-02-04,2.68,2.74,2.61,2.65,2234454.0
2014-02-03,2.76,2.78,2.65,2.67,3031528.0
2014-01-31,2.79,2.84,2.76,2.79,1689120.0
2014-01-30,2.9,2.94,2.78,2.83,2683398.0
2014-01-29,2.73,2.79,2.65,2.79,2141469.0
2014-01-28,2.69,2.77,2.67,2.74,3919042.0
2014-01-27,2.86,2.86,2.61,2.69,6620852.0
2014-01-24,2.89,2.89,2.8,2.82,4041754.0
2014-01-23,3.0,3.07,2.85,2.88,7451764.0
2014-01-22,3.23,3.24,2.97,3.01,9179897.0
2014-01-21,3.25,3.26,3.16,3.22,2391584.0
2014-01-17,3.14,3.27,3.12,3.18,3585187.0
2014-01-16,3.25,3.26,3.08,3.12,5756425.0
2014-01-15,3.41,3.47,3.32,3.33,4787901.0
2014-01-14,3.31,3.4,3.21,3.3,5063529.0
2014-01-13,3.24,3.48,3.08,3.26,17205578.0
2014-01-10,2.9,3.06,2.83,2.99,5694489.0
2014-01-09,2.9,2.91,2.75,2.91,5616830.0
2014-01-08,2.88,2.88,2.78,2.85,4845387.0
2014-01-07,3.02,3.02,2.8,2.86,6190874.0
2014-01-06,3.09,3.11,2.98,2.98,3208322.0
2014-01-03,3.04,3.12,3.0,3.08,2405935.0
2014-01-02,2.93,3.07,2.89,3.04,2998759.0
2013-12-31,2.99,3.08,2.96,2.99,4191157.0
2013-12-30,3.15,3.2,3.0,3.05,5761695.0
2013-12-27,3.27,3.28,3.17,3.23,3246371.0
2013-12-26,3.33,3.39,3.23,3.28,3615323.0
2013-12-24,3.4,3.41,3.3,3.35,2169126.0
2013-12-23,3.47,3.51,3.32,3.33,5692989.0
2013-12-20,3.37,3.45,3.3,3.32,8394147.0
2013-12-19,3.3,3.52,3.27,3.38,4546431.0
2013-12-18,3.26,3.32,3.16,3.28,2440082.0
2013-12-17,3.29,3.34,3.17,3.28,3362488.0
2013-12-16,3.31,3.33,3.25,3.31,2894959.0
2013-12-13,3.26,3.34,3.2,3.32,4209911.0
2013-12-12,3.09,3.23,3.02,3.21,5957948.0
2013-12-11,2.94,3.07,2.88,3.07,3595436.0
2013-12-10,2.99,3.0,2.92,2.96,1876631.0
2013-12-09,3.0,3.08,2.96,3.0,2160260.0
2013-12-06,3.04,3.05,2.98,3.01,2207626.0
2013-12-05,3.07,3.14,3.0,3.02,2080724.0
2013-12-04,2.96,3.08,2.96,3.05,3691034.0
2013-12-03,2.9,3.12,2.87,2.97,5597174.0
2013-12-02,2.96,3.0,2.89,2.92,2077951.0
2013-11-29,2.95,3.03,2.91,2.97,1605421.0
2013-11-27,2.88,2.98,2.81,2.94,2180900.0
2013-11-26,2.84,2.92,2.75,2.87,1743121.0
2013-11-25,2.8,2.93,2.75,2.86,1980343.0
2013-11-22,2.8,2.86,2.72,2.79,2115675.0
2013-11-21,2.86,2.93,2.75,2.83,2649509.0
2013-11-20,2.99,3.07,2.79,2.83,6878706.0
2013-11-19,2.7,2.98,2.66,2.95,8985650.0
2013-11-18,2.54,2.82,2.54,2.69,6891000.0
2013-11-15,2.54,2.54,2.46,2.54,3344260.0
2013-11-14,2.5,2.52,2.45,2.49,2398407.0
2013-11-13,2.46,2.55,2.43,2.53,3495967.0
2013-11-12,2.62,2.73,2.42,2.58,9253130.0
2013-11-11,2.6,2.62,2.44,2.5,3188379.0
2013-11-08,2.41,2.57,2.38,2.57,3208974.0
2013-11-07,2.45,2.49,2.35,2.38,2070963.0
2013-11-06,2.56,2.59,2.44,2.45,2473469.0
2013-11-05,2.55,2.62,2.52,2.58,2035488.0
2013-11-04,2.62,2.63,2.55,2.57,1836326.0
2013-11-01,2.66,2.66,2.51,2.56,3265648.0
2013-10-31,2.64,2.64,2.46,2.56,3630308.0
2013-10-30,2.7,2.78,2.61,2.61,3185988.0
2013-10-29,2.8,2.83,2.65,2.68,4766919.0
2013-10-28,2.98,3.02,2.73,2.81,22593650.0
2013-10-25,2.45,2.7,2.4,2.53,7585415.0
2013-10-24,2.27,2.42,2.24,2.41,6328410.0
2013-10-23,2.35,2.39,2.23,2.25,4475020.0
2013-10-22,2.4,2.47,2.31,2.33,4256511.0
2013-10-21,2.45,2.51,2.39,2.4,3406230.0
2013-10-18,2.56,2.58,2.42,2.44,15103466.0
2013-10-17,2.64,2.67,2.4,2.53,10561858.0
2013-10-16,2.61,2.73,2.56,2.7,3772119.0
2013-10-15,2.64,2.65,2.55,2.6,2237660.0
2013-10-14,2.62,2.65,2.55,2.64,2020501.0
2013-10-11,2.65,2.73,2.6,2.65,2402563.0
2013-10-10,2.61,2.76,2.59,2.68,2478306.0
2013-10-09,2.65,2.65,2.48,2.56,3136576.0
2013-10-08,2.75,2.78,2.55,2.62,4090617.0
2013-10-07,2.77,2.83,2.72,2.73,2305772.0
2013-10-04,2.8,2.81,2.75,2.78,3270686.0
2013-10-03,2.89,2.9,2.78,2.82,2842793.0
2013-10-02,2.92,2.93,2.88,2.9,2049639.0
2013-10-01,2.94,2.94,2.88,2.94,2836601.0
2013-09-30,2.97,2.97,2.9,2.93,3458064.0
2013-09-27,3.06,3.1,2.98,2.99,3110872.0
2013-09-26,2.99,3.0,2.96,2.98,1650734.0
2013-09-25,2.99,3.04,2.97,2.97,1676949.0
2013-09-24,3.05,3.07,2.97,2.98,2452567.0
2013-09-23,3.04,3.06,2.97,3.04,2577578.0
2013-09-20,3.23,3.23,3.01,3.05,10801335.0
2013-09-19,3.3,3.32,3.17,3.21,3279440.0
2013-09-18,3.25,3.34,3.18,3.24,7337650.0
2013-09-17,3.3,3.41,3.1,3.13,15165134.0
2013-09-16,3.06,3.08,2.96,2.98,2863247.0
2013-09-13,3.12,3.13,2.99,3.02,2133645.0
2013-09-12,3.01,3.13,2.97,3.1,2903836.0
2013-09-11,3.0,3.05,2.97,3.03,2449674.0
2013-09-10,3.13,3.14,2.97,2.99,3919333.0
2013-09-09,2.9,3.15,2.87,3.07,6631935.0
2013-09-06,2.87,2.93,2.86,2.88,2142874.0
2013-09-05,2.92,2.97,2.84,2.85,2531225.0
2013-09-04,2.93,2.97,2.89,2.93,2173931.0
2013-09-03,2.87,2.94,2.85,2.92,2306173.0
2013-08-30,2.9,2.96,2.84,2.84,1651979.0
2013-08-29,2.83,2.94,2.79,2.91,3067177.0
2013-08-28,2.83,2.83,2.69,2.79,2897542.0
2013-08-27,2.89,2.9,2.76,2.77,3289951.0
2013-08-26,2.82,2.89,2.79,2.87,4778695.0
2013-08-23,3.03,3.08,2.84,2.91,11196346.0
2013-08-22,3.17,3.24,3.15,3.19,1974380.0
2013-08-21,3.2,3.25,3.15,3.17,2907559.0
2013-08-20,3.16,3.2,3.13,3.19,2680269.0
2013-08-19,3.18,3.28,3.13,3.15,3604809.0
2013-08-16,3.15,3.25,3.15,3.18,3638690.0
2013-08-15,3.17,3.2,3.11,3.15,3229919.0
2013-08-14,3.15,3.26,3.15,3.18,3653707.0
2013-08-13,3.28,3.34,3.15,3.17,7859706.0
2013-08-12,3.46,3.47,3.1,3.37,13865727.0
2013-08-09,3.82,3.87,3.38,3.39,28623106.0
2013-08-08,4.75,5.08,4.59,4.59,10064679.0
2013-08-07,4.94,5.0,4.63,4.66,6335698.0
2013-08-06,5.25,5.34,4.79,4.99,5146866.0
2013-08-05,4.61,5.38,4.61,5.23,10994465.0
2013-08-02,4.56,4.69,4.54,4.6,3020509.0
2013-08-01,4.6,4.64,4.5,4.6,2152163.0
2013-07-31,4.51,4.69,4.49,4.59,3934877.0
2013-07-30,4.35,4.52,4.29,4.48,2828978.0
2013-07-29,4.44,4.49,4.32,4.34,1614264.0
2013-07-26,4.5,4.52,4.35,4.42,2363684.0
2013-07-25,4.42,4.56,4.31,4.52,3169495.0
2013-07-24,4.55,4.55,4.32,4.4,1865211.0
2013-07-23,4.56,4.59,4.48,4.51,1371559.0
2013-07-22,4.61,4.65,4.55,4.55,1403741.0
2013-07-19,4.52,4.6,4.5,4.57,3249960.0
2013-07-18,4.57,4.58,4.47,4.55,2495075.0
2013-07-17,4.53,4.6,4.47,4.54,1435397.0
2013-07-16,4.62,4.68,4.5,4.52,2763460.0
2013-07-15,4.5,4.62,4.48,4.57,2125974.0
2013-07-12,4.53,4.56,4.41,4.49,3365819.0
2013-07-11,4.56,4.6,4.43,4.58,2662352.0
2013-07-10,4.52,4.54,4.42,4.48,1905623.0
2013-07-09,4.5,4.64,4.41,4.5,2308167.0
2013-07-08,4.52,4.65,4.43,4.49,3396471.0
2013-07-05,4.43,4.52,4.33,4.48,3083583.0
2013-07-03,4.4,4.41,4.25,4.3,1463003.0
2013-07-02,4.35,4.41,4.27,4.39,3339676.0
2013-07-01,4.22,4.35,4.16,4.3,4982655.0
2013-06-28,4.48,4.49,4.12,4.12,12397407.0
2013-06-27,4.06,4.12,3.98,4.08,2946064.0
2013-06-26,4.15,4.2,4.01,4.01,3351574.0
2013-06-25,4.03,4.14,3.9,4.11,3646875.0
2013-06-24,3.87,3.95,3.8,3.93,3082944.0
2013-06-21,3.89,4.04,3.87,3.88,6035553.0
2013-06-20,3.99,4.03,3.85,3.88,3044057.0
2013-06-19,4.1,4.11,3.98,3.99,2358270.0
2013-06-18,4.13,4.13,4.02,4.08,1934004.0
2013-06-17,4.1,4.1,3.97,4.1,2372672.0
2013-06-14,4.16,4.16,3.98,4.05,2913185.0
2013-06-13,4.21,4.34,4.05,4.06,4982998.0
2013-06-12,4.05,4.25,4.03,4.23,5597148.0
2013-06-11,3.99,4.17,3.9,4.02,4655434.0
2013-06-10,3.9,4.01,3.82,4.0,4080627.0
2013-06-07,3.94,3.95,3.87,3.9,1502845.0
2013-06-06,3.9,3.92,3.82,3.88,2769676.0
2013-06-05,3.92,4.02,3.87,3.89,2232958.0
2013-06-04,4.05,4.1,3.93,3.95,2081086.0
2013-06-03,4.1,4.1,3.89,4.03,3253948.0
2013-05-31,4.28,4.3,3.97,3.99,5751225.0
2013-05-30,3.87,4.08,3.86,4.08,4840852.0
2013-05-29,3.91,3.91,3.86,3.87,1361630.0
2013-05-28,3.97,4.02,3.87,3.89,2250751.0
2013-05-24,3.92,3.93,3.86,3.89,2058242.0
2013-05-23,3.9,3.98,3.86,3.91,2226469.0
2013-05-22,3.99,4.04,3.92,3.95,2667355.0
2013-05-21,3.99,4.05,3.93,3.96,2735325.0
2013-05-20,4.01,4.02,3.91,3.94,3265616.0
2013-05-17,3.99,4.14,3.93,4.01,3619016.0
2013-05-16,4.09,4.14,3.9,3.97,3909044.0
2013-05-15,4.15,4.37,3.98,4.06,6652737.0
2013-05-14,3.83,4.19,3.83,4.17,10275872.0
2013-05-13,3.96,3.98,3.81,3.81,7552479.0
2013-05-10,3.85,4.14,3.81,3.98,11154070.0
2013-05-09,4.33,4.4,3.95,4.03,20902437.0
2013-05-08,4.71,4.82,4.66,4.74,4167064.0
2013-05-07,4.65,4.76,4.56,4.7,3677810.0
2013-05-06,4.72,4.76,4.59,4.63,3154037.0
2013-05-03,4.8,4.9,4.61,4.7,3216231.0
2013-05-02,4.62,4.8,4.52,4.72,2255616.0
2013-05-01,4.72,4.8,4.58,4.61,2770093.0
2013-04-30,4.62,4.83,4.55,4.71,4190012.0
2013-04-29,4.36,4.65,4.32,4.6,4291833.0
2013-04-26,4.36,4.45,4.32,4.36,4344640.0
2013-04-25,4.47,4.49,4.35,4.36,7477698.0
2013-04-24,4.57,4.57,4.43,4.44,1999508.0
2013-04-23,4.67,4.67,4.46,4.56,2978863.0
2013-04-22,4.59,4.68,4.48,4.6,2177937.0
2013-04-19,4.35,4.59,4.35,4.57,5491412.0
2013-04-18,4.42,4.46,4.3,4.33,2522612.0
2013-04-17,4.49,4.53,4.32,4.42,2819417.0
2013-04-16,4.5,4.55,4.45,4.53,2911473.0
2013-04-15,4.65,4.68,4.44,4.47,4276381.0
2013-04-12,4.72,4.87,4.61,4.63,4100435.0
2013-04-11,4.65,4.77,4.65,4.72,4484213.0
2013-04-10,4.6,4.69,4.55,4.63,4190242.0
2013-04-09,4.6,4.63,4.47,4.55,2768123.0
2013-04-08,4.6,4.65,4.44,4.6,3909454.0

