Date,Open,High,Low,Close,Volume
2014-04-07,16.87,17.53,16.65,17.34,427262.0
2014-04-04,17.6,17.6,16.93,16.98,263097.0
2014-04-03,17.59,17.78,17.38,17.47,194544.0
2014-04-02,17.71,17.86,17.5,17.59,256009.0
2014-04-01,17.51,17.88,17.46,17.68,252388.0
2014-03-31,17.38,17.68,17.37,17.43,314666.0
2014-03-28,17.17,17.67,17.17,17.23,222534.0
2014-03-27,17.33,17.55,17.08,17.19,188656.0
2014-03-26,17.83,17.95,17.32,17.34,245721.0
2014-03-25,17.89,18.0,17.49,17.7,235033.0
2014-03-24,17.96,18.18,17.6,17.74,176633.0
2014-03-21,18.12,18.2,17.84,17.94,281561.0
2014-03-20,17.99,18.2,17.82,18.06,138126.0
2014-03-19,18.21,18.5,17.77,18.1,221691.0
2014-03-18,17.69,18.32,17.67,18.29,352966.0
2014-03-17,17.4,17.7,17.23,17.67,232858.0
2014-03-14,17.09,17.54,17.09,17.23,178992.0
2014-03-13,17.62,17.62,17.08,17.2,208614.0
2014-03-12,17.33,17.59,17.06,17.56,215683.0
2014-03-11,17.63,17.82,17.26,17.38,245966.0
2014-03-10,17.82,17.82,17.48,17.57,247104.0
2014-03-07,18.15,18.15,17.77,17.9,289577.0
2014-03-06,18.0,18.26,17.9,18.11,314631.0
2014-03-05,17.97,18.04,17.77,17.99,191083.0
2014-03-04,17.98,18.23,17.92,17.97,374658.0
2014-03-03,17.61,17.84,17.39,17.75,154621.0
2014-02-28,18.07,18.27,17.65,17.77,190751.0
2014-02-27,17.97,18.25,17.82,18.06,226104.0
2014-02-26,18.07,18.27,17.45,18.02,421333.0
2014-02-25,18.0,18.13,17.91,18.02,193885.0
2014-02-24,18.1,18.42,17.86,18.06,228446.0
2014-02-21,18.35,18.35,17.96,18.08,375020.0
2014-02-20,17.57,18.03,17.48,18.03,211000.0
2014-02-19,17.5,17.78,17.33,17.58,207837.0
2014-02-18,17.18,17.71,17.18,17.61,382162.0
2014-02-14,16.99,17.27,16.99,17.14,140886.0
2014-02-13,16.55,17.12,16.55,17.0,206210.0
2014-02-12,16.61,16.96,16.6,16.68,198934.0
2014-02-11,16.35,16.72,16.31,16.57,238128.0
2014-02-10,16.04,16.53,15.71,16.37,444448.0
2014-02-07,15.96,16.14,15.57,16.03,313951.0
2014-02-06,16.21,16.68,15.72,15.94,663455.0
2014-02-05,16.99,17.51,16.62,17.51,476993.0
2014-02-04,16.19,17.07,16.1,17.03,330097.0
2014-02-03,17.56,17.74,16.1,16.16,365197.0
2014-01-31,17.78,18.28,17.51,17.58,316668.0
2014-01-30,17.66,18.36,17.66,18.06,211197.0
2014-01-29,17.43,17.83,17.02,17.55,174665.0
2014-01-28,17.5,17.8,17.44,17.62,176442.0
2014-01-27,18.09,18.15,17.46,17.47,161279.0
2014-01-24,18.13,18.33,17.99,18.04,183855.0
2014-01-23,18.36,18.4,18.08,18.28,106764.0
2014-01-22,18.42,18.42,18.2,18.39,131150.0
2014-01-21,18.48,18.5,18.15,18.41,177833.0
2014-01-17,18.53,18.99,18.02,18.38,116244.0
2014-01-16,18.5,18.72,18.44,18.6,171711.0
2014-01-15,18.48,18.67,18.46,18.53,150963.0
2014-01-14,18.17,18.5,18.11,18.46,98963.0
2014-01-13,18.35,18.43,17.93,18.12,224133.0
2014-01-10,18.5,18.53,18.37,18.46,238606.0
2014-01-09,18.62,18.62,18.28,18.45,394585.0
2014-01-08,18.37,18.5,18.25,18.5,251172.0
2014-01-07,18.23,18.56,18.23,18.37,164484.0
2014-01-06,18.5,18.5,18.03,18.21,252545.0
2014-01-03,18.41,18.65,18.36,18.51,293166.0
2014-01-02,18.46,18.5,18.24,18.39,134583.0
2013-12-31,18.17,18.88,18.12,18.47,308355.0
2013-12-30,18.27,18.33,18.04,18.12,241068.0
2013-12-27,18.4,18.4,18.04,18.33,480497.0
2013-12-26,18.79,18.79,18.06,18.38,245545.0
2013-12-24,18.07,18.91,17.83,18.77,124082.0
2013-12-23,18.28,18.42,17.92,18.1,920712.0
2013-12-20,17.67,18.26,17.34,18.14,2009278.0
2013-12-19,16.91,17.72,16.77,17.59,165279.0
2013-12-18,17.17,17.27,16.57,16.89,225118.0
2013-12-17,17.23,17.47,16.98,17.14,149183.0
2013-12-16,17.02,17.34,16.95,17.2,137970.0
2013-12-13,17.38,17.5,16.93,16.95,212705.0
2013-12-12,17.56,17.58,17.23,17.37,221394.0
2013-12-11,17.75,17.8,17.36,17.6,217164.0
2013-12-10,17.55,17.87,17.55,17.76,145815.0
2013-12-09,17.52,17.62,17.43,17.62,124305.0
2013-12-06,17.75,17.75,17.39,17.54,183412.0
2013-12-05,17.23,17.68,17.12,17.55,145624.0
2013-12-04,17.41,17.64,17.04,17.22,96518.0
2013-12-03,17.43,17.61,17.41,17.53,137908.0
2013-12-02,17.9,17.95,17.39,17.5,130327.0
2013-11-29,17.75,17.98,17.55,17.87,83869.0
2013-11-27,17.66,17.83,17.51,17.63,246563.0
2013-11-26,17.6,17.67,17.5,17.6,117065.0
2013-11-25,17.67,17.68,17.43,17.55,120576.0
2013-11-22,17.59,17.82,17.52,17.59,169636.0
2013-11-21,17.31,17.66,17.22,17.56,191373.0
2013-11-20,17.61,17.67,17.19,17.29,132236.0
2013-11-19,17.9,18.05,17.5,17.59,142753.0
2013-11-18,18.02,18.06,17.78,17.9,448360.0
2013-11-15,17.94,18.02,17.7,17.99,249901.0
2013-11-14,17.97,18.14,17.78,18.0,290343.0
2013-11-13,17.87,18.1,17.74,18.01,455679.0
2013-11-12,17.79,18.02,17.66,17.99,190293.0
2013-11-11,17.41,17.83,17.24,17.8,176283.0
2013-11-08,17.14,17.67,17.11,17.49,235880.0
2013-11-07,17.49,17.73,17.02,17.13,261851.0
2013-11-06,17.67,17.81,17.35,17.42,199172.0
2013-11-05,17.62,17.65,17.18,17.57,262496.0
2013-11-04,17.8,18.17,17.71,17.77,390543.0
2013-11-01,17.81,18.02,17.54,17.78,354551.0
2013-10-31,18.12,18.75,17.26,17.84,1113827.0
2013-10-30,18.78,18.99,18.32,18.37,343900.0
2013-10-29,18.92,19.14,18.72,18.77,211422.0
2013-10-28,19.15,19.29,18.76,18.91,269309.0
2013-10-25,19.58,19.67,19.01,19.17,229484.0
2013-10-24,18.99,19.63,18.98,19.51,311557.0
2013-10-23,18.68,18.99,18.62,18.93,289717.0
2013-10-22,18.72,18.99,18.62,18.75,168699.0
2013-10-21,18.53,18.82,18.39,18.62,225378.0
2013-10-18,18.26,18.59,18.1,18.57,446570.0
2013-10-17,17.81,18.24,17.75,18.11,165922.0
2013-10-16,17.71,18.03,17.58,17.92,154693.0
