Date,Open,High,Low,Close,Volume
2014-04-07,19.7,19.87,19.4,19.56,92699.0
2014-04-04,19.94,19.98,19.14,19.72,97909.0
2014-04-03,20.05,20.05,19.72,19.74,49209.0
2014-04-02,20.05,20.25,19.9,20.1,48224.0
2014-04-01,19.7,20.05,19.7,19.95,92111.0
2014-03-31,19.93,19.93,19.66,19.76,167717.0
2014-03-28,19.86,20.1,19.68,19.75,56591.0
2014-03-27,20.05,20.19,19.74,19.91,38272.0
2014-03-26,20.79,21.07,20.0,20.1,67437.0
2014-03-25,20.87,21.2,20.4,20.54,63688.0
2014-03-24,20.64,20.97,20.54,20.75,87428.0
2014-03-21,20.45,20.75,20.34,20.5,115745.0
2014-03-20,20.0,20.76,19.7,20.29,497470.0
2014-03-19,19.63,20.39,19.49,20.02,51434.0
2014-03-18,18.25,20.45,18.25,19.75,187945.0
2014-03-17,20.82,21.53,20.75,21.21,143551.0
2014-03-14,20.25,21.48,20.11,20.99,39907.0
2014-03-13,21.58,21.58,20.37,20.37,50296.0
2014-03-12,21.42,21.55,20.38,21.43,33121.0
2014-03-11,21.74,21.91,21.4,21.47,26702.0
2014-03-10,21.24,21.81,21.0,21.63,43760.0
2014-03-07,21.59,21.59,21.18,21.4,16565.0
2014-03-06,21.39,21.4,21.0,21.4,16983.0
2014-03-05,21.44,21.83,21.34,21.4,44159.0
2014-03-04,20.55,21.78,20.55,21.58,91755.0
2014-03-03,20.04,20.32,19.87,20.25,24156.0
2014-02-28,20.5,20.85,20.27,20.31,31707.0
2014-02-27,19.98,20.56,19.98,20.49,16461.0
2014-02-26,20.36,20.52,20.04,20.12,19878.0
2014-02-25,20.02,20.79,19.87,20.28,22196.0
2014-02-24,20.37,20.74,20.09,20.09,32919.0
2014-02-21,20.08,20.58,19.8,20.38,50461.0
2014-02-20,19.5,20.06,19.5,19.96,17526.0
2014-02-19,20.32,20.45,19.28,19.39,24277.0
2014-02-18,19.74,20.38,19.74,20.16,33552.0
2014-02-14,19.87,19.93,19.51,19.78,22518.0
2014-02-13,19.39,19.89,19.32,19.85,18394.0
2014-02-12,19.44,19.72,19.22,19.5,28973.0
2014-02-11,19.43,19.61,19.17,19.35,42667.0
2014-02-10,19.5,19.76,19.06,19.41,30878.0
2014-02-07,19.44,19.68,19.27,19.52,46162.0
2014-02-06,19.56,20.07,19.27,19.34,28200.0
2014-02-05,19.77,20.08,19.32,19.44,36014.0
2014-02-04,20.19,20.21,19.67,19.8,43460.0
2014-02-03,20.74,20.9,19.74,20.01,92089.0
2014-01-31,20.82,21.07,20.5,20.73,35135.0
2014-01-30,21.22,21.68,21.16,21.24,30411.0
2014-01-29,21.31,21.84,20.83,20.96,27823.0
2014-01-28,21.88,22.0,21.18,21.6,51218.0
2014-01-27,22.32,22.65,21.89,21.93,29414.0
2014-01-24,22.53,22.76,22.2,22.26,64037.0
2014-01-23,21.25,22.75,21.25,22.75,38579.0
2014-01-22,22.5,22.95,22.38,22.69,25714.0
2014-01-21,22.7,22.92,22.46,22.55,33033.0
2014-01-17,22.9,22.9,22.14,22.64,62305.0
2014-01-16,22.83,23.05,22.49,22.98,23087.0
2014-01-15,22.97,23.07,22.71,22.98,22462.0
2014-01-14,22.44,23.17,22.38,22.98,30966.0
2014-01-13,23.05,23.08,22.16,22.44,40967.0
2014-01-10,23.43,23.62,22.92,23.21,39001.0
2014-01-09,23.68,23.74,23.39,23.5,34976.0
2014-01-08,22.58,23.7,22.44,23.66,46263.0
2014-01-07,23.03,23.76,23.03,23.58,52428.0
2014-01-06,23.69,23.69,22.89,22.97,45091.0
2014-01-03,23.55,24.0,23.55,23.67,47291.0
2014-01-02,23.96,23.96,23.21,23.53,31187.0
2013-12-31,24.41,24.65,23.91,23.91,60633.0
2013-12-30,24.33,24.48,24.2,24.43,31958.0
2013-12-27,24.19,24.41,24.04,24.33,64616.0
2013-12-26,23.61,24.3,23.51,24.09,39481.0
2013-12-24,23.84,23.99,23.54,23.76,17976.0
2013-12-23,23.53,24.0,23.28,23.84,61196.0
2013-12-20,22.58,23.52,22.45,23.44,182371.0
2013-12-19,22.23,22.67,22.18,22.48,49767.0
2013-12-18,22.09,22.4,21.88,22.28,50765.0
2013-12-17,22.04,22.21,21.84,22.12,39087.0
2013-12-16,21.69,22.07,21.57,22.04,40030.0
2013-12-13,21.41,21.87,21.26,21.65,27277.0
2013-12-12,21.94,21.94,21.22,21.34,44695.0
2013-12-11,22.23,22.32,21.82,21.99,51501.0
2013-12-10,22.36,22.5,22.2,22.26,45698.0
2013-12-09,22.31,22.47,22.11,22.38,42809.0
2013-12-06,22.43,22.62,22.21,22.35,32026.0
2013-12-05,21.6,22.21,21.6,22.15,47068.0
2013-12-04,21.53,22.14,21.5,21.53,94771.0
2013-12-03,21.6,21.76,21.26,21.65,37597.0
2013-12-02,22.32,22.32,21.6,21.69,41387.0
2013-11-29,22.59,22.86,22.09,22.39,18397.0
2013-11-27,22.14,22.6,22.0,22.41,41829.0
2013-11-26,21.37,22.36,21.37,22.05,43953.0
2013-11-25,21.43,21.53,21.11,21.4,103093.0
2013-11-22,21.31,21.5,21.08,21.43,42302.0
2013-11-21,21.2,21.47,20.9,21.24,52877.0
2013-11-20,21.16,21.32,20.95,21.17,67691.0
2013-11-19,21.58,21.81,21.0,21.1,99435.0
2013-11-18,21.3,22.45,21.13,21.7,393065.0
2013-11-15,21.0,21.45,20.92,21.37,205220.0
2013-11-14,20.75,21.45,20.75,21.03,103647.0
2013-11-13,20.45,20.91,20.35,20.74,186047.0
2013-11-12,19.91,20.7,19.9,20.57,160971.0
2013-11-11,20.11,20.3,19.85,19.93,389357.0
2013-11-08,20.07,20.3,20.01,20.1,61844.0
2013-11-07,20.15,20.95,19.8,20.07,83068.0
2013-11-06,20.34,20.62,19.93,20.07,58205.0
2013-11-05,19.72,20.35,19.58,20.11,56882.0
2013-11-04,19.68,19.99,19.51,19.67,91230.0
