Date,Open,High,Low,Close,Volume
2014-04-07,54.04,54.12,52.86,52.95,16807211.0
2014-04-04,55.17,55.5,53.87,54.0,15959016.0
2014-04-03,55.03,55.23,54.29,54.58,11321817.0
2014-04-02,56.15,56.25,55.29,55.45,9460776.0
2014-04-01,55.59,56.2,55.39,56.04,7945523.0
2014-03-31,55.68,56.16,55.21,55.24,7097542.0
2014-03-28,55.45,55.64,54.74,55.19,8874385.0
2014-03-27,55.46,55.76,54.23,55.18,9425320.0
2014-03-26,56.82,56.84,55.47,55.6,7573688.0
2014-03-25,56.85,57.05,55.74,56.33,8106915.0
2014-03-24,57.01,57.51,56.18,56.54,8817602.0
2014-03-21,57.28,57.75,56.78,56.96,11748516.0
2014-03-20,57.2,57.36,56.64,57.12,7504512.0
2014-03-19,57.63,58.17,56.97,57.3,7046095.0
2014-03-18,57.65,58.06,57.27,57.84,6258581.0
2014-03-17,57.9,57.9,57.06,57.42,8419993.0
2014-03-14,56.66,57.3,56.41,56.74,8518747.0
2014-03-13,58.3,58.58,56.46,56.7,12313412.0
2014-03-12,57.18,58.06,56.97,57.98,8977113.0
2014-03-11,58.45,58.94,57.48,57.54,10253073.0
2014-03-10,58.59,58.89,58.03,58.22,9765757.0
2014-03-07,59.44,59.55,58.63,59.06,9099461.0
2014-03-06,58.99,59.65,58.86,59.3,12032120.0
2014-03-05,59.03,59.65,58.8,58.86,9559510.0
2014-03-04,58.97,59.27,58.75,59.06,9961844.0
2014-03-03,57.88,58.57,57.45,58.31,10504400.0
2014-02-28,58.46,59.7,58.35,58.77,16363516.0
2014-02-27,57.3,59.27,57.12,58.34,21847398.0
2014-02-26,56.23,57.8,56.18,57.34,18462099.0
2014-02-25,56.28,56.49,55.6,56.15,10216529.0
2014-02-24,55.1,56.73,54.88,56.3,18990938.0
2014-02-21,55.16,55.51,54.58,54.59,10391845.0
2014-02-20,54.75,55.31,54.73,54.96,7990070.0
2014-02-19,55.33,55.5,54.63,54.74,9658231.0
2014-02-18,54.85,55.53,54.51,55.15,9828907.0
2014-02-14,54.17,54.93,54.06,54.77,9687954.0
2014-02-13,54.48,54.95,54.11,54.92,11788620.0
2014-02-12,54.27,54.9,54.16,54.83,11502901.0
2014-02-11,54.05,54.43,53.45,54.31,11693177.0
2014-02-10,54.47,54.48,53.43,53.78,9675861.0
2014-02-07,54.45,54.74,53.84,54.58,9749448.0
2014-02-06,53.66,54.53,53.52,54.37,15146022.0
2014-02-05,52.29,54.04,52.04,53.52,16767327.0
2014-02-04,52.56,53.14,52.48,52.91,10983460.0
2014-02-03,53.14,53.34,52.11,52.39,16855277.0
2014-01-31,52.59,53.62,52.3,53.2,12359040.0
2014-01-30,52.61,53.35,52.44,53.18,16660675.0
2014-01-29,52.81,52.95,52.05,52.19,16582349.0
2014-01-28,53.09,53.62,52.86,53.16,12919283.0
2014-01-27,53.8,54.31,52.77,52.88,22457949.0
2014-01-24,54.55,54.95,53.86,54.37,24586337.0
2014-01-23,55.72,55.9,54.0,54.94,61919052.0
2014-01-22,53.84,54.51,53.78,54.41,36155017.0
2014-01-21,54.0,54.2,53.51,54.15,15985502.0
2014-01-17,53.41,53.93,52.98,53.2,22771151.0
2014-01-16,53.78,54.16,53.6,53.74,11268123.0
2014-01-15,53.22,54.16,53.11,53.79,13879964.0
2014-01-14,52.65,53.09,52.34,52.96,12843239.0
2014-01-13,52.12,52.91,51.79,52.54,19062464.0
2014-01-10,51.9,52.2,51.11,52.16,20052920.0
2014-01-09,52.75,52.81,51.83,52.07,10529090.0
2014-01-08,52.96,53.62,52.17,52.37,13034826.0
2014-01-07,52.39,53.03,51.98,52.87,14088474.0
2014-01-06,52.4,52.46,51.21,51.78,17918646.0
2014-01-03,54.09,54.19,53.19,53.26,9591227.0
2014-01-02,54.97,55.0,53.9,53.94,9980763.0
2013-12-31,54.05,54.97,53.99,54.86,6365881.0
2013-12-30,54.45,54.49,53.82,54.01,6119174.0
2013-12-27,54.01,54.48,53.74,54.18,6623438.0
2013-12-26,54.8,54.81,53.71,54.06,10292182.0
2013-12-24,54.74,55.23,54.74,55.17,5520026.0
2013-12-23,54.7,55.32,54.6,55.3,13508205.0
2013-12-20,53.44,54.8,53.37,54.58,17229822.0
2013-12-19,53.04,53.43,52.43,53.4,10221373.0
2013-12-18,52.89,53.18,51.56,53.13,13210341.0
2013-12-17,52.21,53.24,52.0,52.58,15204229.0
2013-12-16,52.35,53.3,52.01,53.11,13067781.0
2013-12-13,51.65,52.17,51.42,51.55,7322474.0
2013-12-12,51.24,51.96,51.19,51.37,8126790.0
2013-12-11,51.88,52.07,51.31,51.37,8226524.0
2013-12-10,51.65,52.3,51.62,51.92,9549725.0
2013-12-09,52.0,52.25,51.56,51.69,7912227.0
2013-12-06,51.72,52.41,51.7,52.01,9431508.0
2013-12-05,51.08,51.65,50.83,51.41,9928610.0
2013-12-04,51.29,51.54,50.51,51.09,15465897.0
2013-12-03,51.85,52.22,51.27,51.93,14471956.0
2013-12-02,52.21,53.08,51.23,51.35,24811361.0
2013-11-29,49.77,50.75,49.71,50.52,9636624.0
2013-11-27,49.29,49.86,49.15,49.3,12640187.0
2013-11-26,49.26,49.27,48.06,48.76,23429501.0
2013-11-25,50.72,50.74,48.47,49.04,34904347.0
2013-11-22,50.27,50.52,50.18,50.33,13722817.0
2013-11-21,50.77,50.8,49.93,50.21,17609612.0
2013-11-20,52.48,52.5,49.86,50.39,34262761.0
2013-11-19,52.43,52.5,51.94,52.13,10263297.0
2013-11-18,52.33,52.69,51.73,52.08,12753940.0
2013-11-15,53.02,53.12,52.32,52.6,10588533.0
2013-11-14,53.1,53.48,52.68,52.88,10519427.0
2013-11-13,52.6,53.04,52.47,53.03,7658912.0
2013-11-12,52.05,53.2,51.96,52.83,10741792.0
2013-11-11,52.63,53.08,52.5,52.82,6898854.0
2013-11-08,52.84,53.17,52.47,53.0,9804309.0
2013-11-07,53.5,53.85,52.31,52.57,9687193.0
2013-11-06,51.57,53.82,51.12,53.28,25126766.0
2013-11-05,51.27,51.34,50.52,51.08,11341673.0
2013-11-04,51.99,52.28,51.31,51.37,8835564.0
2013-11-01,52.94,52.99,51.85,51.94,12346728.0
2013-10-31,52.73,52.93,52.25,52.71,9047478.0
2013-10-30,53.51,53.51,52.52,52.72,8700053.0
2013-10-29,52.29,53.37,52.08,53.34,12253291.0
2013-10-28,51.8,52.28,51.46,51.97,8551595.0
2013-10-25,52.59,52.92,51.05,51.64,15838077.0
2013-10-24,52.07,52.51,51.85,52.34,9700225.0
2013-10-23,51.75,52.28,51.57,51.73,8359574.0
2013-10-22,52.31,52.36,51.57,51.83,11155104.0
2013-10-21,52.43,52.59,51.6,51.94,14252661.0
2013-10-18,51.58,52.68,50.46,52.2,30624874.0
2013-10-17,50.33,51.87,50.23,51.38,34376189.0
2013-10-16,54.44,54.44,53.16,53.52,19320622.0
2013-10-15,54.59,54.8,53.82,53.97,8921700.0
2013-10-14,54.11,54.78,53.86,54.77,6031497.0
2013-10-11,53.55,54.79,53.49,54.37,8762457.0
2013-10-10,52.88,53.55,52.58,53.42,8850739.0
2013-10-09,53.13,53.23,52.1,52.33,9096133.0
2013-10-08,54.52,54.6,52.63,52.97,9238255.0
2013-10-07,54.9,55.43,54.52,54.57,5321826.0
2013-10-04,55.06,55.8,54.82,55.58,5869147.0
2013-10-03,55.5,55.77,54.49,54.91,6699129.0
2013-10-02,55.57,55.72,55.11,55.63,6322889.0
2013-10-01,55.65,56.25,55.59,55.97,5803978.0
2013-09-30,55.27,56.07,55.0,55.8,8075533.0
2013-09-27,56.1,56.3,55.67,55.78,7229460.0
2013-09-26,54.63,56.9,54.47,56.64,13906426.0
2013-09-25,55.02,55.18,54.02,54.21,7504314.0
2013-09-24,55.0,55.47,54.64,55.17,6652661.0
2013-09-23,55.01,55.3,54.28,54.76,7240587.0
2013-09-20,54.6,55.25,54.54,54.95,11473494.0
2013-09-19,54.98,55.1,54.14,54.45,6311357.0
2013-09-18,54.31,54.75,53.76,54.68,10319895.0
2013-09-17,53.96,55.07,53.86,54.63,10349534.0
2013-09-16,54.48,54.65,53.44,53.65,6995520.0
2013-09-13,54.19,54.22,53.4,53.82,5218729.0
2013-09-12,54.46,54.61,53.5,54.04,7936698.0
2013-09-11,53.0,54.47,53.0,54.28,9996309.0
2013-09-10,53.05,53.54,52.96,53.49,8747739.0
2013-09-09,52.78,53.29,52.1,52.67,8995105.0
2013-09-06,52.53,53.24,52.28,52.83,12072613.0
2013-09-05,51.48,52.23,51.29,51.95,6752834.0
2013-09-04,50.75,51.65,50.41,51.45,9502414.0
2013-09-03,50.58,51.08,50.08,50.32,8138203.0
2013-08-30,51.09,51.1,49.62,49.99,11123775.0
2013-08-29,50.22,51.48,50.2,50.99,7109271.0
2013-08-28,50.75,51.01,50.42,50.43,8138571.0
2013-08-27,51.24,51.49,50.42,50.61,10341794.0
2013-08-26,51.67,52.14,51.21,51.96,8070908.0
2013-08-23,51.22,51.7,51.14,51.65,7025948.0
2013-08-22,51.2,51.62,51.01,51.08,7479349.0
2013-08-21,51.74,51.87,50.81,50.96,12852648.0
2013-08-20,52.3,52.62,51.78,51.99,9379423.0
2013-08-19,52.74,53.28,52.04,52.07,6644480.0
2013-08-16,53.09,53.64,52.69,52.92,7531618.0
2013-08-15,53.39,53.46,51.68,53.18,15268889.0
2013-08-14,54.14,54.52,53.99,54.23,6768009.0
2013-08-13,53.74,54.48,53.51,54.12,9443214.0
2013-08-12,52.75,53.46,52.52,53.28,4713978.0
2013-08-09,53.54,53.78,52.97,53.33,6381518.0
2013-08-08,53.53,53.73,52.84,53.57,5637204.0
2013-08-07,53.43,53.88,52.98,53.01,7062208.0
2013-08-06,52.71,53.79,52.44,53.7,10343374.0
2013-08-05,52.63,52.95,52.33,52.71,5381115.0
2013-08-02,52.45,52.75,52.13,52.54,8508685.0
2013-08-01,52.14,52.43,51.79,52.41,8103955.0
2013-07-31,52.18,52.18,51.4,51.69,7732670.0
2013-07-30,51.98,52.11,51.6,51.98,7814557.0
2013-07-29,52.1,52.53,51.5,51.64,7500242.0
2013-07-26,51.42,52.41,50.92,52.25,12708212.0
2013-07-25,52.0,52.23,51.33,51.5,10152383.0
2013-07-24,51.61,52.37,51.6,52.1,15500253.0
2013-07-23,52.38,52.46,51.52,51.64,11021729.0
2013-07-22,52.42,52.47,51.89,52.31,15576045.0
2013-07-19,53.75,53.92,52.12,52.18,19230296.0
2013-07-18,53.58,53.85,53.16,53.52,43088889.0
2013-07-17,56.85,57.5,56.68,57.38,15158003.0
2013-07-16,56.83,56.96,56.26,56.81,9020097.0
2013-07-15,57.02,57.09,56.18,56.45,6880479.0
2013-07-12,55.8,57.07,55.75,57.04,8641269.0
2013-07-11,55.36,56.15,55.34,55.88,9692297.0
