Date,Open,High,Low,Close,Volume
2014-04-07,41.2,42.28,40.98,41.12,613435.0
2014-04-04,42.72,43.12,41.23,41.43,238594.0
2014-04-03,42.23,42.52,41.57,42.42,223418.0
2014-04-02,43.76,43.99,42.04,42.1,412788.0
2014-04-01,41.61,43.62,41.46,43.59,363659.0
2014-03-31,40.99,41.73,40.76,41.59,317462.0
2014-03-28,41.5,41.76,40.56,40.79,248531.0
2014-03-27,41.44,41.63,41.04,41.51,238946.0
2014-03-26,41.92,42.17,41.25,41.46,309747.0
2014-03-25,41.93,42.33,41.38,41.65,552290.0
2014-03-24,41.96,41.98,41.34,41.76,548977.0
2014-03-21,41.62,42.17,41.42,41.93,457623.0
2014-03-20,40.93,41.54,40.7,41.52,267762.0
2014-03-19,40.32,41.09,39.87,40.99,431791.0
2014-03-18,39.77,40.45,39.31,40.18,228175.0
2014-03-17,39.09,40.22,39.0,39.75,426169.0
2014-03-14,38.17,39.25,38.0,39.0,446314.0
2014-03-13,38.68,39.13,38.12,38.29,374611.0
2014-03-12,38.65,38.65,37.23,38.52,498181.0
2014-03-11,36.9,38.25,36.57,37.89,1472444.0
2014-03-10,36.31,36.68,36.05,36.21,180105.0
2014-03-07,36.74,36.93,36.24,36.29,392299.0
2014-03-06,36.7,36.83,36.18,36.48,216405.0
2014-03-05,36.76,36.86,36.3,36.5,334308.0
2014-03-04,37.09,37.47,36.61,36.92,696499.0
2014-03-03,37.99,38.26,36.15,36.59,567530.0
2014-02-28,38.52,39.09,38.04,38.26,580125.0
2014-02-27,37.66,38.7,37.54,38.48,663124.0
2014-02-26,37.48,38.25,36.91,37.91,968965.0
2014-02-25,36.62,37.45,36.62,37.35,1300689.0
2014-02-24,36.37,36.99,36.28,36.8,445833.0
2014-02-21,36.4,36.48,36.16,36.26,345657.0
2014-02-20,36.22,36.66,36.18,36.33,811595.0
2014-02-19,37.65,37.8,36.24,36.25,904910.0
2014-02-18,38.51,38.77,37.72,37.8,499602.0
2014-02-14,39.38,39.38,38.23,38.55,329436.0
2014-02-13,39.0,40.23,38.4,39.44,936448.0
2014-02-12,42.0,44.05,37.29,38.1,2307615.0
2014-02-11,43.59,44.14,43.29,44.05,355035.0
2014-02-10,42.87,43.92,42.7,43.66,463437.0
2014-02-07,42.7,42.98,42.35,42.95,373939.0
2014-02-06,42.13,42.64,41.92,42.5,210164.0
2014-02-05,41.5,42.21,40.64,42.02,254101.0
2014-02-04,41.63,41.98,40.8,41.65,284623.0
2014-02-03,42.84,43.18,40.82,41.4,387574.0
2014-01-31,42.33,43.41,42.16,42.86,356261.0
2014-01-30,42.73,43.36,42.51,43.17,273471.0
2014-01-29,41.64,42.54,41.46,42.28,354828.0
2014-01-28,41.43,42.15,40.85,42.12,693418.0
2014-01-27,42.12,42.42,40.98,41.3,397374.0
2014-01-24,42.27,42.8,41.86,42.13,464416.0
2014-01-23,46.22,46.31,42.73,42.83,621462.0
2014-01-22,47.14,47.18,46.26,46.41,242757.0
2014-01-21,47.46,47.76,46.83,47.11,209886.0
2014-01-17,47.32,47.58,46.83,47.11,193758.0
2014-01-16,47.24,48.54,47.24,47.52,272814.0
2014-01-15,47.12,47.63,47.07,47.47,252300.0
2014-01-14,46.67,47.39,46.37,47.13,277048.0
2014-01-13,46.45,46.97,46.33,46.58,339985.0
2014-01-10,46.33,46.63,45.47,46.59,282067.0
2014-01-09,46.34,46.75,46.06,46.26,274484.0
2014-01-08,46.87,47.18,46.26,46.32,299890.0
2014-01-07,46.67,47.31,46.67,46.9,362808.0
2014-01-06,48.05,48.13,46.33,46.38,474121.0
2014-01-03,47.5,48.15,46.75,47.96,456840.0
2014-01-02,47.41,47.76,46.61,47.55,323156.0
2013-12-31,49.23,49.23,47.79,47.85,220356.0
2013-12-30,48.96,48.96,48.39,48.5,137666.0
2013-12-27,49.45,49.45,48.44,48.91,141609.0
2013-12-26,49.19,50.0,49.02,49.37,224644.0
2013-12-24,49.45,49.73,49.08,49.27,126565.0
2013-12-23,49.17,49.33,48.8,49.28,157719.0
2013-12-20,49.14,49.26,48.71,49.1,578262.0
2013-12-19,49.08,49.41,48.73,48.91,326203.0
2013-12-18,48.5,49.43,48.16,49.38,307398.0
2013-12-17,48.5,48.5,47.93,48.44,243630.0
2013-12-16,47.68,48.5,47.5,48.48,320455.0
2013-12-13,46.21,47.89,45.92,47.83,325155.0
2013-12-12,45.53,46.08,45.26,45.97,189211.0
2013-12-11,46.17,46.26,45.07,45.44,184477.0
2013-12-10,45.94,46.33,45.64,45.93,181393.0
2013-12-09,46.43,46.82,45.87,46.12,210421.0
2013-12-06,46.69,47.28,46.26,46.52,244057.0
2013-12-05,46.52,46.92,46.09,46.36,278458.0
2013-12-04,46.99,47.41,46.01,46.65,243300.0
2013-12-03,47.38,48.08,47.09,47.33,262199.0
2013-12-02,48.58,48.58,47.41,47.58,267338.0
2013-11-29,48.34,48.62,47.66,48.45,99857.0
2013-11-27,48.19,48.35,47.41,48.03,152507.0
2013-11-26,48.22,48.63,47.97,48.01,235496.0
2013-11-25,48.89,48.98,48.06,48.24,242324.0
2013-11-22,47.38,48.78,47.2,48.66,304564.0
2013-11-21,47.0,47.7,46.5,47.16,253083.0
2013-11-20,47.0,47.22,46.14,46.94,368303.0
2013-11-19,45.79,47.5,45.79,46.84,375834.0
2013-11-18,45.79,46.05,45.36,45.78,277859.0
2013-11-15,44.48,45.61,44.48,45.59,360558.0
2013-11-14,43.95,45.19,43.6,44.43,268577.0
2013-11-13,43.47,44.08,43.01,43.92,225465.0
2013-11-12,42.65,43.98,42.65,43.79,239962.0
2013-11-11,44.43,44.43,42.46,42.77,182830.0
2013-11-08,41.4,44.64,41.07,44.45,419468.0
2013-11-07,43.25,43.35,41.15,41.19,229655.0
2013-11-06,42.87,43.49,42.81,43.07,181449.0
2013-11-05,43.22,43.38,42.54,42.65,255750.0
2013-11-04,43.64,43.64,42.6,43.33,235535.0
2013-11-01,43.29,43.6,42.63,43.4,356032.0
2013-10-31,43.93,44.06,43.33,43.4,214111.0
2013-10-30,44.63,44.63,43.71,43.93,165074.0
2013-10-29,44.97,45.63,44.01,44.74,162783.0
2013-10-28,44.7,44.94,44.26,44.7,176457.0
2013-10-25,45.04,45.47,44.53,44.68,167712.0
2013-10-24,43.33,45.44,43.33,45.32,422211.0
2013-10-23,42.15,43.96,40.68,43.36,418942.0
2013-10-22,42.7,44.0,42.51,42.6,280832.0
2013-10-21,42.48,42.76,42.12,42.6,172261.0
2013-10-18,42.7,43.21,42.42,42.55,246475.0
2013-10-17,41.38,42.43,41.38,42.41,299449.0
2013-10-16,41.69,42.0,41.28,41.57,165646.0
2013-10-15,40.51,41.76,40.36,41.5,261741.0
2013-10-14,40.12,40.57,39.97,40.52,229253.0
2013-10-11,40.06,40.69,40.05,40.26,267376.0
2013-10-10,39.75,40.33,39.33,40.2,150796.0
2013-10-09,39.49,40.15,39.28,39.32,155614.0
2013-10-08,39.92,40.14,39.35,39.45,182404.0
2013-10-07,40.0,40.25,39.56,39.92,130599.0
2013-10-04,40.11,40.6,40.11,40.2,91620.0
2013-10-03,40.15,40.49,40.01,40.23,325114.0
2013-10-02,40.14,40.41,39.78,40.21,162684.0
2013-10-01,39.9,40.73,39.71,40.39,471442.0
2013-09-30,38.29,39.98,38.12,39.88,300766.0
2013-09-27,37.6,38.62,37.6,38.6,236534.0
2013-09-26,37.3,38.1,37.05,37.94,218103.0
2013-09-25,37.29,37.64,36.9,37.24,181685.0
2013-09-24,36.89,37.48,36.56,37.32,195412.0
2013-09-23,36.73,36.98,36.46,36.82,175043.0
2013-09-20,37.11,37.29,36.68,36.73,511175.0
2013-09-19,37.73,37.73,36.8,37.08,174856.0
2013-09-18,37.38,37.71,36.57,37.6,137473.0
2013-09-17,37.11,37.65,36.91,37.46,114393.0
2013-09-16,37.55,37.88,37.08,37.21,129768.0
2013-09-13,37.17,37.63,36.41,37.18,219248.0
2013-09-12,37.37,37.5,36.94,37.02,221257.0
2013-09-11,37.35,37.65,37.2,37.36,196483.0
2013-09-10,37.36,37.88,36.84,37.55,193723.0
2013-09-09,36.89,37.12,36.66,37.09,142336.0
2013-09-06,35.99,37.67,35.6,36.79,274967.0
2013-09-05,35.28,35.78,35.24,35.7,151879.0
2013-09-04,35.21,35.29,34.64,35.13,158989.0
2013-09-03,34.73,35.6,34.73,35.13,176911.0
2013-08-30,35.06,35.07,34.25,34.35,177952.0
2013-08-29,35.02,35.31,34.7,35.21,279932.0
2013-08-28,35.35,35.35,34.8,35.01,163183.0
2013-08-27,36.6,36.74,35.28,35.36,135885.0
2013-08-26,36.69,37.69,36.4,37.04,179702.0
2013-08-23,37.31,37.32,36.48,36.59,83493.0
2013-08-22,36.97,37.47,36.82,37.28,115678.0
2013-08-21,36.92,37.31,36.58,36.96,123188.0
2013-08-20,36.77,37.44,36.6,37.11,141977.0
2013-08-19,36.72,37.1,36.37,36.7,233401.0
2013-08-16,36.64,37.35,36.17,36.68,305891.0
2013-08-15,37.13,37.42,36.68,36.79,303467.0
2013-08-14,37.7,37.86,37.08,37.55,378371.0
2013-08-13,37.68,37.92,37.24,37.73,87137.0
2013-08-12,37.32,37.68,37.32,37.61,330178.0
2013-08-09,37.47,37.62,37.24,37.53,53982.0
2013-08-08,37.8,37.87,37.33,37.64,152884.0
2013-08-07,37.7,37.77,37.48,37.51,121085.0
2013-08-06,37.79,38.01,37.6,37.73,147289.0
2013-08-05,38.38,38.63,37.57,37.88,269180.0
2013-08-02,37.78,38.46,37.42,38.32,203949.0
2013-08-01,37.18,38.09,37.11,38.01,222219.0
2013-07-31,37.0,37.18,36.73,36.81,140704.0
2013-07-30,36.92,37.0,36.75,36.94,275069.0
2013-07-29,36.76,36.99,36.49,36.63,449539.0
2013-07-26,36.72,36.85,36.46,36.73,553286.0
2013-07-25,35.75,37.23,35.75,37.14,729836.0
2013-07-24,35.0,36.14,33.91,35.75,732748.0
2013-07-23,34.15,34.34,33.57,33.9,183269.0
2013-07-22,34.11,34.34,34.04,34.11,236759.0
2013-07-19,34.29,34.84,34.25,34.29,265203.0
2013-07-18,33.9,34.42,33.8,34.42,319376.0
2013-07-17,33.3,33.91,33.16,33.75,259971.0
2013-07-16,32.94,33.31,32.62,33.27,323928.0
2013-07-15,33.08,33.45,32.74,32.98,422597.0
2013-07-12,33.3,33.68,33.05,33.1,230373.0
2013-07-11,33.82,33.99,33.28,33.4,174584.0
2013-07-10,33.27,33.43,33.06,33.35,113868.0
2013-07-09,33.71,33.88,33.25,33.3,148290.0
2013-07-08,34.0,34.21,33.43,33.5,134900.0
2013-07-05,33.25,34.0,32.9,34.0,163122.0
2013-07-03,32.46,33.24,32.25,32.88,73169.0
2013-07-02,32.5,32.87,32.1,32.76,300458.0
2013-07-01,32.0,32.81,31.91,32.63,229974.0
2013-06-28,31.4,32.25,30.97,31.86,2201044.0
2013-06-27,31.09,31.6,30.71,31.43,335381.0
2013-06-26,30.98,31.15,30.76,30.91,254996.0
2013-06-25,30.69,31.05,30.04,30.82,198612.0
2013-06-24,29.91,31.53,29.81,30.47,530517.0
2013-06-21,30.52,30.54,29.88,30.28,284271.0
2013-06-20,31.15,31.15,30.26,30.39,159464.0
