Date,Open,High,Low,Close,Volume
2014-04-07,178.41,180.25,175.0,177.06,1751770.0
2014-04-04,183.89,184.9,177.96,179.0,1717345.0
2014-04-03,186.12,186.12,182.26,182.98,1187625.0
2014-04-02,185.68,186.42,184.25,184.44,1097062.0
2014-04-01,185.48,185.99,184.24,185.44,934454.0
2014-03-31,185.0,185.52,183.14,184.84,699500.0
2014-03-28,181.25,184.3,180.11,184.02,695842.0
2014-03-27,180.12,183.07,179.43,181.35,769931.0
2014-03-26,183.57,184.92,180.65,180.69,881263.0
2014-03-25,183.24,184.7,180.44,182.5,649600.0
2014-03-24,181.63,181.9,178.69,181.3,707684.0
2014-03-21,182.65,182.79,180.02,180.34,888050.0
2014-03-20,182.99,182.99,179.8,181.44,439776.0
2014-03-19,183.4,183.75,178.76,180.95,1323068.0
2014-03-18,183.12,184.58,182.24,183.19,449005.0
2014-03-17,183.72,184.81,181.83,183.39,375689.0
2014-03-14,181.1,183.42,180.31,183.09,669700.0
2014-03-13,190.5,191.92,181.63,181.71,1558321.0
2014-03-12,188.94,191.05,187.44,190.25,538689.0
2014-03-11,191.99,194.99,189.42,189.86,796720.0
2014-03-10,193.58,193.94,190.78,192.27,646821.0
2014-03-07,193.92,194.0,191.24,193.44,497283.0
2014-03-06,192.7,194.0,191.18,193.77,377970.0
2014-03-05,191.15,192.8,189.65,192.03,408801.0
2014-03-04,190.63,191.99,189.58,191.05,709669.0
2014-03-03,188.97,190.95,187.38,189.47,629693.0
2014-02-28,192.08,192.21,188.53,189.96,810965.0
2014-02-27,190.11,193.0,188.01,191.85,700493.0
2014-02-26,189.69,191.56,189.32,190.0,736365.0
2014-02-25,190.45,192.7,188.01,188.5,1109177.0
2014-02-24,189.36,190.17,188.89,189.79,636581.0
2014-02-21,189.21,190.02,187.79,189.43,1009797.0
2014-02-20,191.69,196.2,186.0,187.95,2197181.0
2014-02-19,194.8,194.8,190.64,192.62,1128433.0
2014-02-18,192.12,194.38,192.06,194.02,959459.0
2014-02-14,191.14,193.41,188.89,193.24,804795.0
2014-02-13,189.99,192.69,188.8,191.85,569790.0
2014-02-12,190.02,191.07,188.7,190.75,1158790.0
2014-02-11,188.98,191.7,188.73,190.74,770873.0
2014-02-10,186.24,190.13,184.69,189.93,989914.0
2014-02-07,184.09,186.83,182.36,186.31,970758.0
2014-02-06,181.27,183.6,180.95,183.06,712821.0
2014-02-05,182.92,183.99,180.18,181.01,730574.0
2014-02-04,180.68,184.54,178.58,183.99,1103257.0
2014-02-03,185.78,185.92,179.05,179.14,1977507.0
2014-01-31,182.2,186.5,181.57,185.2,766507.0
2014-01-30,183.32,185.67,182.76,184.34,762814.0
2014-01-29,182.46,183.78,180.02,182.64,704446.0
2014-01-28,181.07,182.82,179.1,182.6,735999.0
2014-01-27,184.14,184.43,179.36,181.07,1215409.0
2014-01-24,181.14,187.67,180.15,183.88,2155912.0
2014-01-23,178.28,183.0,177.28,182.64,2325484.0
2014-01-22,179.6,179.98,177.33,178.97,1430821.0
2014-01-21,177.53,179.94,176.05,179.29,1021169.0
2014-01-17,178.92,180.43,175.01,175.87,777537.0
2014-01-16,179.3,180.97,178.43,179.48,735075.0
2014-01-15,178.57,181.0,178.33,179.53,763044.0
2014-01-14,175.41,179.28,175.11,178.74,710190.0
2014-01-13,179.82,179.94,174.73,174.92,931883.0
2014-01-10,177.94,179.13,176.52,179.01,599580.0
2014-01-09,180.08,180.68,176.01,177.49,532324.0
2014-01-08,179.68,180.97,178.37,180.29,1091416.0
2014-01-07,174.8,182.02,173.57,179.59,1347801.0
2014-01-06,174.0,174.79,172.56,174.18,573046.0
2014-01-03,174.91,175.41,172.65,173.42,419632.0
2014-01-02,177.63,177.63,171.91,174.76,823185.0
2013-12-31,173.08,177.51,173.0,177.45,644476.0
2013-12-30,174.86,174.99,172.97,173.07,572584.0
2013-12-27,176.86,177.21,174.47,174.58,405154.0
2013-12-26,176.13,178.68,175.56,175.92,481046.0
2013-12-24,175.0,176.59,174.48,175.62,388445.0
2013-12-23,171.84,175.12,170.69,174.82,1046656.0
