Date,Open,High,Low,Close,Volume
2014-04-07,20.2,20.55,19.62,19.97,12649204.0
2014-04-04,22.11,22.16,20.0,20.43,21422683.0
2014-04-03,23.77,23.8,21.76,22.16,15676445.0
2014-04-02,23.85,23.87,23.5,23.7,3761931.0
2014-04-01,23.13,23.78,22.92,23.76,3976018.0
2014-03-31,22.75,23.17,22.75,23.02,3528122.0
2014-03-28,22.81,23.14,22.49,22.59,4962999.0
2014-03-27,23.47,23.6,22.52,22.8,5595772.0
2014-03-26,24.26,24.42,23.53,23.53,4249764.0
2014-03-25,24.33,24.54,23.59,24.02,2714082.0
2014-03-24,24.96,25.11,24.06,24.2,6527947.0
2014-03-21,25.43,25.58,24.78,24.86,5544557.0
2014-03-20,24.6,25.33,24.56,25.14,4842472.0
2014-03-19,24.4,24.72,23.92,24.67,4728742.0
2014-03-18,23.92,24.43,23.84,24.43,3515071.0
2014-03-17,23.75,23.93,23.63,23.76,2327813.0
2014-03-14,23.24,23.64,23.16,23.49,2247070.0
2014-03-13,23.68,23.82,23.12,23.26,2266318.0
2014-03-12,23.16,23.61,22.91,23.57,3121757.0
2014-03-11,23.5,24.09,23.25,23.27,4023110.0
2014-03-10,23.45,23.7,23.32,23.48,2809052.0
2014-03-07,23.56,23.72,23.26,23.5,1913194.0
2014-03-06,23.33,23.69,23.23,23.4,2406945.0
2014-03-05,23.1,23.25,22.98,23.24,1775301.0
2014-03-04,22.33,23.25,22.26,23.16,4476859.0
2014-03-03,22.16,22.32,21.86,21.97,2788870.0
2014-02-28,22.3,22.5,22.09,22.47,4171943.0
2014-02-27,22.27,22.44,22.02,22.3,2573756.0
2014-02-26,22.65,22.74,22.24,22.33,2145973.0
2014-02-25,22.74,22.75,22.41,22.55,1998129.0
2014-02-24,22.48,22.97,22.04,22.71,3709137.0
2014-02-21,22.8,22.85,22.34,22.37,3822871.0
2014-02-20,22.43,22.78,22.19,22.73,2910943.0
2014-02-19,22.46,22.99,22.32,22.5,6716027.0
2014-02-18,21.78,22.55,21.77,22.53,5190147.0
2014-02-14,21.82,22.02,21.59,21.81,4905799.0
2014-02-13,21.13,21.82,21.04,21.79,4403462.0
2014-02-12,21.07,21.36,20.9,21.3,2563065.0
2014-02-11,20.64,21.09,20.64,21.04,4377613.0
2014-02-10,20.34,20.76,20.2,20.63,5403021.0
2014-02-07,19.84,20.54,19.79,20.27,5804865.0
2014-02-06,19.25,19.81,19.22,19.76,2959910.0
2014-02-05,19.34,19.49,18.86,19.23,4319340.0
2014-02-04,19.19,19.78,19.08,19.39,4079264.0
2014-02-03,20.03,20.12,18.97,19.04,4648370.0
2014-01-31,20.0,20.16,19.79,20.02,3087639.0
2014-01-30,20.08,20.39,19.98,20.35,2906365.0
2014-01-29,20.25,20.25,19.82,19.9,5110789.0
2014-01-28,20.23,20.47,20.09,20.37,4287174.0
2014-01-27,21.3,21.32,20.06,20.07,7510518.0
2014-01-24,21.33,21.6,20.18,20.97,10078719.0
2014-01-23,21.38,21.47,20.54,21.04,6680883.0
2014-01-22,21.38,21.58,21.33,21.51,3589381.0
2014-01-21,21.21,21.59,21.13,21.33,4436563.0
2014-01-17,21.3,21.33,21.0,21.02,3051642.0
2014-01-16,21.06,21.48,21.05,21.29,2637376.0
2014-01-15,21.01,21.22,20.95,21.19,2817002.0
2014-01-14,20.66,20.98,20.51,20.95,2462037.0
2014-01-13,20.87,20.98,20.5,20.55,2596579.0
2014-01-10,21.0,21.1,20.77,20.91,2657282.0
2014-01-09,20.92,21.08,20.8,20.94,2543651.0
2014-01-08,20.67,20.84,20.56,20.71,3643985.0
2014-01-07,20.39,20.76,20.3,20.68,3985845.0
2014-01-06,20.33,20.56,20.19,20.27,4826211.0
2014-01-03,19.86,20.35,19.83,20.3,3360212.0
2014-01-02,19.71,19.86,19.58,19.81,3115394.0
2013-12-31,19.41,19.67,19.29,19.64,1812877.0
2013-12-30,19.45,19.45,19.27,19.37,1520921.0
2013-12-27,19.45,19.58,19.4,19.45,1888016.0
2013-12-26,19.45,19.55,19.4,19.46,1618588.0
2013-12-24,19.52,19.54,19.3,19.41,1006690.0
2013-12-23,19.42,19.5,19.34,19.48,2070683.0
2013-12-20,19.44,19.5,19.22,19.34,3718030.0
2013-12-19,19.09,19.36,19.04,19.33,4522159.0
2013-12-18,18.75,19.16,18.59,19.14,5391577.0
2013-12-17,18.64,18.71,18.43,18.65,2051190.0
2013-12-16,18.6,18.75,18.47,18.64,2802882.0
2013-12-13,18.48,18.64,18.4,18.53,1288786.0
2013-12-12,18.45,18.55,18.28,18.4,2640526.0
2013-12-11,18.7,18.74,18.38,18.47,2162674.0
2013-12-10,18.26,18.75,18.2,18.69,3709969.0
2013-12-09,18.37,18.4,18.1,18.21,2359008.0
2013-12-06,18.21,18.34,18.03,18.28,1273653.0
2013-12-05,18.0,18.12,17.83,18.03,1775561.0
2013-12-04,18.08,18.22,17.74,18.05,2219731.0
2013-12-03,18.0,18.24,17.9,18.11,3715397.0
2013-12-02,17.96,18.29,17.9,18.1,3035458.0
2013-11-29,17.98,17.99,17.88,17.92,717553.0
2013-11-27,17.92,17.95,17.81,17.89,1043000.0
2013-11-26,17.7,17.94,17.57,17.9,1968025.0
2013-11-25,17.79,17.85,17.66,17.69,1996064.0
2013-11-22,17.64,17.81,17.59,17.75,1991897.0
2013-11-21,17.5,17.72,17.4,17.6,3075589.0
2013-11-20,17.43,17.68,17.28,17.42,2479152.0
2013-11-19,17.68,17.83,17.32,17.38,2956832.0
2013-11-18,17.63,17.93,17.53,17.63,2007925.0
2013-11-15,17.69,17.82,17.62,17.64,2672051.0
2013-11-14,18.0,18.05,17.65,17.68,3545768.0
2013-11-13,17.49,17.95,17.45,17.94,2262303.0
2013-11-12,17.93,17.99,17.5,17.63,3035846.0
2013-11-11,17.69,18.04,17.65,17.93,3679349.0
2013-11-08,16.88,17.76,16.87,17.76,5200157.0
2013-11-07,17.27,17.4,16.84,16.87,3047869.0
2013-11-06,17.3,17.34,17.04,17.27,2199102.0
2013-11-05,17.19,17.32,17.04,17.25,2587494.0
2013-11-04,17.2,17.25,17.05,17.22,1599716.0
2013-11-01,16.97,17.19,16.91,17.13,3559216.0
2013-10-31,17.03,17.21,16.84,16.91,3689262.0
2013-10-30,17.36,17.4,16.97,17.05,2597522.0
2013-10-29,17.28,17.36,17.16,17.35,2827331.0
2013-10-28,17.34,17.4,17.12,17.21,2803495.0
2013-10-25,16.85,17.37,16.84,17.31,10691979.0
2013-10-24,16.42,16.85,16.26,16.81,11243577.0
2013-10-23,17.41,17.55,17.2,17.34,3056905.0
2013-10-22,17.49,17.53,17.22,17.44,3622151.0
2013-10-21,17.56,17.58,17.28,17.43,1797842.0
2013-10-18,17.38,17.71,17.22,17.49,3159069.0
2013-10-17,17.22,17.41,17.16,17.32,2459172.0
2013-10-16,17.08,17.51,16.92,17.35,3883074.0
2013-10-15,16.92,17.18,16.81,16.88,3506542.0
2013-10-14,16.83,17.0,16.63,16.92,2659347.0
2013-10-11,16.69,17.01,16.55,17.0,2584371.0
2013-10-10,16.51,16.94,16.51,16.75,3186197.0
2013-10-09,15.54,16.39,15.54,16.26,4217701.0
2013-10-08,16.74,16.88,16.02,16.19,3965543.0
2013-10-07,16.94,17.06,16.75,16.76,1569387.0
2013-10-04,16.89,17.3,16.82,17.13,3572630.0
2013-10-03,16.62,17.0,16.48,16.87,3865565.0
2013-10-02,16.65,16.76,16.54,16.68,2220748.0
2013-10-01,16.51,16.82,16.51,16.8,2837936.0
2013-09-30,16.49,16.66,16.34,16.5,2298822.0
2013-09-27,16.61,16.79,16.52,16.76,1311225.0
2013-09-26,16.79,16.94,16.65,16.8,1788224.0
2013-09-25,16.73,16.98,16.7,16.79,3219591.0
2013-09-24,16.5,16.84,16.38,16.66,2677331.0
2013-09-23,16.64,16.69,16.4,16.47,3068159.0
