Date,Open,High,Low,Close,Volume
2014-04-07,3.65,3.73,3.53,3.62,5349928.0
2014-04-04,3.74,3.75,3.5,3.62,9420066.0
2014-04-03,3.7,3.73,3.53,3.58,4756727.0
2014-04-02,3.72,3.77,3.65,3.69,5553520.0
2014-04-01,3.67,3.72,3.58,3.67,7169391.0
2014-03-31,3.43,3.65,3.43,3.54,15558203.0
2014-03-28,3.9,3.91,3.37,3.38,22914805.0
2014-03-27,4.07,4.08,3.85,3.86,10767223.0
2014-03-26,4.46,4.5,3.87,3.9,54477820.0
2014-03-25,6.61,6.66,6.23,6.44,5349135.0
2014-03-24,6.2,6.36,6.06,6.27,3369511.0
2014-03-21,6.51,6.61,6.18,6.29,4100150.0
2014-03-20,6.38,6.5,6.25,6.5,2342722.0
2014-03-19,6.28,6.47,6.23,6.4,1842609.0
2014-03-18,6.17,6.36,6.15,6.29,1206878.0
2014-03-17,6.04,6.35,6.04,6.14,1452909.0
2014-03-14,6.1,6.3,6.05,6.27,1856331.0
2014-03-13,6.28,6.35,6.1,6.13,2780838.0
2014-03-12,6.35,6.5,6.14,6.27,5091269.0
2014-03-11,6.66,6.78,6.36,6.39,7098770.0
2014-03-10,6.76,6.84,6.61,6.67,2963685.0
2014-03-07,6.98,6.99,6.66,6.79,2491130.0
2014-03-06,7.4,7.4,6.85,6.9,3135897.0
2014-03-05,7.39,7.58,7.33,7.39,1737563.0
2014-03-04,7.24,7.51,7.17,7.38,2535298.0
2014-03-03,6.94,7.19,6.8,7.17,1855524.0
2014-02-28,7.33,7.48,6.94,7.06,3071798.0
2014-02-27,7.28,7.35,7.18,7.3,2089365.0
2014-02-26,7.05,7.41,6.97,7.28,4577246.0
2014-02-25,6.9,7.07,6.9,7.04,1838442.0
2014-02-24,7.03,7.12,6.9,6.93,1737966.0
2014-02-21,6.96,7.13,6.38,7.02,5245200.0
2014-02-20,7.16,7.26,6.97,7.16,2766647.0
2014-02-19,7.24,7.32,7.1,7.18,2199944.0
2014-02-18,7.27,7.34,7.21,7.28,1923573.0
2014-02-14,7.29,7.49,7.15,7.21,1606531.0
2014-02-13,7.18,7.37,7.11,7.28,1745462.0
2014-02-12,7.27,7.37,7.17,7.28,3568609.0
2014-02-11,7.31,7.43,7.19,7.26,1615365.0
2014-02-10,7.16,7.39,7.02,7.27,2850504.0
2014-02-07,6.58,7.23,6.55,7.2,3233154.0
2014-02-06,6.54,6.67,6.45,6.6,2043768.0
2014-02-05,6.6,6.63,6.28,6.54,2941238.0
2014-02-04,6.55,6.73,6.49,6.62,2107162.0
2014-02-03,6.88,6.9,6.49,6.53,2717961.0
2014-01-31,6.88,7.02,6.78,6.88,2659663.0
2014-01-30,6.96,7.24,6.93,7.02,4509788.0
2014-01-29,7.04,7.1,6.84,6.92,3323206.0
2014-01-28,6.93,7.22,6.81,6.96,8426941.0
2014-01-27,7.61,7.64,6.85,7.1,5999181.0
2014-01-24,7.94,8.09,7.62,7.64,8228172.0
2014-01-23,8.18,8.26,7.83,8.01,18670342.0
2014-01-22,8.28,8.41,7.94,8.04,6149970.0
2014-01-21,8.18,8.34,7.94,8.24,2609043.0
2014-01-17,8.14,8.23,8.04,8.08,1630626.0
