Date,Open,High,Low,Close,Volume
2014-04-07,39.37,39.69,39.14,39.42,1184302.0
2014-04-04,40.37,40.5,39.33,39.44,1138356.0
2014-04-03,40.0,40.39,39.93,40.25,1071627.0
2014-04-02,39.67,39.99,39.32,39.92,1324367.0
2014-04-01,39.67,39.77,39.25,39.73,1302081.0
2014-03-31,39.38,39.82,39.22,39.63,1498659.0
2014-03-28,38.66,39.43,38.62,39.21,802599.0
2014-03-27,38.62,38.83,38.48,38.64,1052912.0
2014-03-26,39.29,39.6,38.66,38.68,978940.0
2014-03-25,39.2,39.55,39.03,39.23,998582.0
2014-03-24,38.96,39.22,38.55,39.1,2257344.0
2014-03-21,39.09,39.09,38.51,38.95,5644054.0
2014-03-20,38.71,38.79,38.43,38.78,1955719.0
2014-03-19,38.96,38.97,38.42,38.74,2103049.0
2014-03-18,38.94,39.07,38.78,38.8,1104904.0
2014-03-17,39.27,39.56,38.74,38.89,1720102.0
2014-03-14,39.57,39.82,38.84,38.98,2632434.0
2014-03-13,40.19,40.36,39.73,39.78,1770017.0
2014-03-12,39.52,40.27,39.32,40.26,1604179.0
2014-03-11,39.66,40.0,39.45,39.68,1732823.0
2014-03-10,39.36,39.76,38.99,39.7,2154303.0
2014-03-07,39.72,39.96,39.45,39.82,2218477.0
2014-03-06,39.6,39.94,39.35,39.54,2113331.0
2014-03-05,39.49,39.61,39.31,39.59,1293292.0
2014-03-04,39.59,40.28,39.43,39.5,2568056.0
2014-03-03,39.29,39.71,39.1,39.43,1812165.0
2014-02-28,39.29,39.7,39.02,39.51,2185037.0
2014-02-27,38.97,39.4,38.82,39.18,2542063.0
2014-02-26,38.82,39.38,38.72,39.02,4614593.0
2014-02-25,41.91,41.91,38.7,39.06,4913044.0
2014-02-24,42.5,42.77,42.0,42.01,2156504.0
2014-02-21,41.71,41.94,41.43,41.58,994299.0
2014-02-20,41.37,41.88,41.02,41.7,922192.0
2014-02-19,41.69,41.83,41.06,41.15,1161366.0
2014-02-18,41.88,42.11,41.68,41.87,824888.0
2014-02-14,41.57,42.0,41.47,41.86,760456.0
2014-02-13,41.38,41.9,41.33,41.77,816324.0
2014-02-12,41.73,41.96,41.41,41.61,921989.0
2014-02-11,40.91,41.9,40.8,41.6,1480343.0
2014-02-10,40.57,40.94,40.4,40.92,1061643.0
2014-02-07,40.39,40.69,40.2,40.66,1337256.0
2014-02-06,40.4,40.48,40.02,40.12,1467480.0
2014-02-05,40.15,40.49,39.91,40.4,1638413.0
2014-02-04,40.55,40.83,39.88,40.54,1944077.0
2014-02-03,40.84,41.26,40.27,40.29,1881011.0
2014-01-31,40.56,41.36,40.54,40.86,1356075.0
2014-01-30,41.24,41.65,41.0,41.22,1022915.0
