Date,Open,High,Low,Close,Volume
2014-04-07,69.92,70.58,67.56,68.55,3554066.0
2014-04-04,73.91,73.91,69.56,70.05,4701477.0
2014-04-03,76.0,76.73,72.81,73.43,3140375.0
2014-04-02,75.64,76.51,75.17,76.01,1947379.0
2014-04-01,72.68,76.04,72.35,75.9,2994250.0
2014-03-31,72.09,73.49,72.05,72.5,1531874.0
2014-03-28,71.92,72.94,71.62,72.21,1638225.0
2014-03-27,71.16,72.49,69.93,71.83,3011195.0
2014-03-26,72.2,72.82,71.15,71.16,1749370.0
2014-03-25,72.35,73.09,71.32,72.07,1726533.0
2014-03-24,74.64,75.0,71.17,72.29,2888916.0
2014-03-21,75.8,75.94,74.05,74.2,2313195.0
2014-03-20,75.22,75.82,74.37,75.21,1389722.0
2014-03-19,77.09,77.3,74.62,75.29,1501390.0
2014-03-18,77.11,78.0,76.81,76.93,1333805.0
2014-03-17,76.31,77.45,75.96,76.76,1337540.0
2014-03-14,74.91,76.63,74.91,75.77,1888297.0
2014-03-13,76.42,77.46,75.37,75.47,3205078.0
2014-03-12,74.5,76.52,73.14,76.51,2271174.0
2014-03-11,74.89,76.45,73.59,74.74,2642548.0
2014-03-10,75.26,75.8,74.75,75.23,2065185.0
2014-03-07,74.83,75.39,74.44,75.19,2671885.0
2014-03-06,75.77,76.46,74.59,74.71,2469466.0
2014-03-05,77.17,77.75,75.25,75.73,2830964.0
2014-03-04,77.28,77.97,76.82,77.04,2623975.0
2014-03-03,76.45,77.85,75.97,76.7,2276487.0
2014-02-28,78.03,79.71,77.62,78.53,1763418.0
2014-02-27,78.36,79.15,77.98,78.62,1254812.0
2014-02-26,79.99,80.36,78.17,78.52,1826069.0
2014-02-25,79.63,80.43,78.98,79.44,1862038.0
2014-02-24,79.61,80.2,79.16,79.26,1571911.0
2014-02-21,80.66,81.78,79.82,79.99,2142985.0
2014-02-20,79.32,80.1,78.72,79.71,2322304.0
2014-02-19,78.0,80.68,77.55,79.62,3662373.0
2014-02-18,77.33,78.06,76.15,78.02,1814905.0
2014-02-14,76.47,77.63,76.11,77.13,1777373.0
2014-02-13,75.0,78.27,74.76,76.69,2521066.0
2014-02-12,75.39,76.27,74.85,75.86,1907943.0
2014-02-11,75.04,76.44,74.58,74.79,2406931.0
2014-02-10,74.21,75.25,73.5,74.32,2253576.0
2014-02-07,74.0,75.45,72.44,74.45,9103014.0
2014-02-06,63.82,65.67,63.61,65.14,5459392.0
2014-02-05,63.85,64.2,62.91,63.93,2320830.0
2014-02-04,63.99,64.5,63.06,63.97,2370360.0
2014-02-03,65.07,65.26,62.76,63.27,2427758.0
2014-01-31,64.5,65.54,64.32,64.98,2210953.0
2014-01-30,65.9,66.28,65.41,65.52,2014734.0
2014-01-29,66.27,66.66,64.9,65.47,1839011.0
2014-01-28,65.48,67.25,65.44,66.95,1356083.0
2014-01-27,66.35,66.87,64.19,65.46,1964326.0
2014-01-24,65.93,66.49,65.26,66.3,2173051.0
2014-01-23,66.2,67.81,66.04,66.5,2054348.0
2014-01-22,67.74,68.18,66.47,67.06,2705147.0
2014-01-21,68.17,68.3,65.14,67.67,7080241.0
2014-01-17,69.51,72.05,69.45,70.69,3315443.0
2014-01-16,69.05,69.55,67.78,68.48,1914093.0
2014-01-15,69.54,70.77,69.22,69.42,1986788.0
2014-01-14,68.18,69.65,68.05,69.33,1866359.0
2014-01-13,69.65,70.23,67.47,67.87,2343812.0
2014-01-10,69.82,70.4,68.91,69.6,1406466.0
2014-01-09,70.59,70.84,69.1,69.55,1477285.0
2014-01-08,71.45,72.19,70.1,70.31,2458788.0
2014-01-07,69.26,71.72,69.08,71.45,2961709.0
2014-01-06,69.13,69.2,67.71,68.96,1680917.0
2014-01-03,69.22,69.72,68.82,69.2,1315507.0
2014-01-02,69.08,69.69,68.56,69.21,1399901.0
2013-12-31,68.91,69.76,68.81,69.66,1183592.0
2013-12-30,69.0,69.33,68.34,68.84,932536.0
2013-12-27,68.97,69.45,68.51,68.76,831259.0
2013-12-26,68.56,69.34,68.48,69.03,602079.0
2013-12-24,68.62,68.79,68.0,68.5,462876.0
2013-12-23,67.99,68.76,67.62,68.68,1092862.0
2013-12-20,68.18,68.21,67.25,67.61,3162255.0
2013-12-19,67.69,67.79,66.5,66.8,1482382.0
2013-12-18,66.66,67.61,65.46,67.55,2010208.0
2013-12-17,65.72,66.55,65.29,66.39,1835342.0
2013-12-16,63.49,66.99,63.28,65.88,4405034.0
2013-12-13,62.94,63.67,62.29,62.73,1141612.0
2013-12-12,62.38,62.75,62.1,62.54,2368369.0
2013-12-11,62.99,63.39,62.16,62.31,2108188.0
2013-12-10,63.25,64.01,63.19,63.2,1245301.0
2013-12-09,63.73,64.13,63.27,63.5,1093417.0
2013-12-06,64.16,64.23,63.38,63.48,1523104.0
2013-12-05,62.67,63.87,62.39,63.58,1999515.0
2013-12-04,62.16,63.15,61.92,62.84,1397962.0
2013-12-03,62.04,62.88,62.03,62.56,1236570.0
2013-12-02,63.6,63.77,62.38,62.61,1456999.0
2013-11-29,63.21,64.2,63.2,63.69,1056455.0
2013-11-27,62.55,63.86,62.55,63.3,1537779.0
2013-11-26,61.18,62.8,61.16,62.33,1954817.0
2013-11-25,62.21,62.55,61.3,61.39,1559335.0
2013-11-22,62.71,62.71,61.85,62.05,1892376.0
2013-11-21,61.12,62.66,61.11,62.59,2023380.0
2013-11-20,61.48,62.3,60.71,61.11,2716093.0
2013-11-19,60.76,61.17,60.21,60.7,2005209.0
2013-11-18,61.24,62.0,60.89,61.05,2053386.0
2013-11-15,61.23,61.49,60.84,61.19,1783106.0
2013-11-14,61.65,61.75,60.62,61.04,1828436.0
2013-11-13,61.68,61.81,61.15,61.72,1980745.0
2013-11-12,61.31,62.06,60.57,62.02,2357584.0
2013-11-11,59.61,61.33,59.12,61.25,2417917.0
2013-11-08,59.16,60.69,59.1,59.88,2491740.0
2013-11-07,59.82,60.49,58.1,58.91,3106333.0
2013-11-06,59.57,59.95,59.15,59.81,2665933.0
2013-11-05,60.07,60.32,59.27,59.58,3594040.0
2013-11-04,60.08,60.88,59.29,60.24,3588462.0
2013-11-01,58.98,60.19,58.21,60.11,5498466.0
