Date,Open,High,Low,Close,Volume
2014-04-07,99.23,99.53,95.85,96.59,570394.0
2014-04-04,106.41,106.49,100.04,100.25,409097.0
2014-04-03,106.24,106.91,104.93,105.79,311874.0
2014-04-02,106.37,106.86,104.15,105.71,393621.0
2014-04-01,103.33,106.84,102.8,105.9,6814367.0
2014-03-31,103.15,104.92,102.75,103.02,362507.0
2014-03-28,102.56,104.8,101.85,102.88,645893.0
2014-03-27,100.34,104.3,100.34,102.71,459461.0
2014-03-26,102.53,103.66,99.51,99.51,205748.0
2014-03-25,103.01,104.63,101.82,102.07,255887.0
2014-03-24,103.01,103.01,100.51,102.46,195618.0
2014-03-21,104.36,104.84,102.1,102.62,367905.0
2014-03-20,101.3,103.88,101.3,103.74,207970.0
2014-03-19,102.68,103.67,100.9,101.63,158933.0
2014-03-18,101.11,102.63,100.89,102.42,153640.0
2014-03-17,99.84,101.81,99.84,100.9,175937.0
2014-03-14,99.93,101.53,99.27,99.5,192505.0
2014-03-13,102.45,104.02,99.75,100.22,131879.0
2014-03-12,101.8,102.35,100.28,101.77,261189.0
2014-03-11,104.84,104.84,101.85,102.25,187633.0
2014-03-10,104.83,105.86,103.92,104.56,149580.0
2014-03-07,105.81,105.81,104.11,104.87,120945.0
2014-03-06,106.55,106.96,104.39,104.98,205886.0
2014-03-05,111.57,111.57,104.6,106.5,287559.0
2014-03-04,103.6,106.84,101.75,106.22,349281.0
2014-03-03,101.95,103.23,100.51,102.09,214361.0
2014-02-28,102.01,104.09,101.97,102.65,196266.0
2014-02-27,102.1,102.41,101.05,101.85,103568.0
2014-02-26,101.98,103.87,101.68,102.25,115946.0
2014-02-25,101.87,102.64,100.79,101.74,186296.0
2014-02-24,101.81,102.6,101.71,102.07,222022.0
2014-02-21,102.22,103.3,101.99,102.1,247378.0
2014-02-20,100.5,101.88,99.9,101.7,201520.0
2014-02-19,100.11,102.32,100.11,100.32,228401.0
2014-02-18,100.76,101.29,99.45,100.76,242839.0
2014-02-14,100.57,100.96,99.69,100.66,152336.0
2014-02-13,98.45,100.66,98.37,100.38,132376.0
2014-02-12,99.52,100.32,97.99,99.31,245244.0
2014-02-11,98.89,100.95,98.89,99.12,424560.0
2014-02-10,96.99,98.98,95.34,98.65,480051.0
2014-02-07,97.23,97.96,95.18,97.15,312791.0
2014-02-06,87.57,99.8,85.31,97.25,635594.0
