Date,Open,High,Low,Close,Volume
2014-04-07,41.93,42.32,40.71,40.9,166850.0
2014-04-04,43.48,43.54,41.99,42.23,175911.0
2014-04-03,43.71,43.99,42.78,43.07,87333.0
2014-04-02,43.24,43.62,43.1,43.58,104724.0
2014-04-01,42.7,43.36,42.7,43.04,210637.0
2014-03-31,42.02,42.93,41.92,42.52,168814.0
2014-03-28,41.2,42.29,40.92,41.65,275041.0
2014-03-27,41.78,41.78,41.0,41.24,120613.0
2014-03-26,43.54,43.54,41.74,41.76,109903.0
2014-03-25,43.3,43.84,42.7,43.08,141922.0
2014-03-24,43.91,44.0,42.24,42.94,200170.0
2014-03-21,43.5,44.66,43.5,43.71,615553.0
2014-03-20,43.3,43.78,42.94,43.45,155883.0
2014-03-19,43.8,44.03,42.76,43.27,96302.0
2014-03-18,43.27,43.87,43.18,43.79,110700.0
2014-03-17,42.96,43.74,42.79,43.14,173605.0
2014-03-14,42.44,43.26,42.44,42.6,110923.0
2014-03-13,43.53,44.37,42.34,42.67,119002.0
2014-03-12,43.02,43.34,42.57,43.24,181338.0
2014-03-11,43.9,44.26,42.96,43.19,150169.0
2014-03-10,43.89,44.18,43.25,43.95,136195.0
2014-03-07,43.93,44.17,43.39,43.92,126688.0
2014-03-06,43.54,43.7,43.36,43.54,83783.0
2014-03-05,43.28,43.75,42.97,43.61,121655.0
2014-03-04,43.42,43.88,42.33,43.27,361222.0
2014-03-03,43.11,43.51,42.33,42.74,183051.0
2014-02-28,43.11,43.82,42.75,43.59,215958.0
2014-02-27,42.41,43.34,42.41,43.04,168807.0
2014-02-26,42.51,43.42,42.38,42.69,247327.0
2014-02-25,42.7,43.35,42.25,42.4,170252.0
2014-02-24,42.43,43.41,42.01,42.57,267269.0
2014-02-21,43.43,43.43,42.14,42.31,299190.0
2014-02-20,39.6,43.55,38.77,43.19,443492.0
2014-02-19,40.18,40.66,39.23,39.44,157757.0
2014-02-18,40.29,40.93,40.13,40.54,138072.0
2014-02-14,39.67,40.32,39.18,40.25,155662.0
2014-02-13,38.48,39.81,38.48,39.71,205878.0
2014-02-12,38.57,39.21,38.56,38.87,188051.0
2014-02-11,38.51,38.91,38.46,38.62,122875.0
2014-02-10,38.6,38.65,38.12,38.53,121770.0
2014-02-07,38.32,38.96,38.32,38.73,128718.0
2014-02-06,37.81,38.61,37.55,38.28,415460.0
2014-02-05,37.95,38.39,37.24,37.76,179649.0
2014-02-04,37.84,38.54,37.01,38.19,237849.0
2014-02-03,39.6,39.8,37.53,37.85,264262.0
2014-01-31,39.51,40.32,39.34,39.84,167995.0
2014-01-30,40.52,40.76,40.01,40.33,118503.0
2014-01-29,40.17,41.04,40.01,40.16,159702.0
2014-01-28,40.43,40.83,40.22,40.7,254990.0
2014-01-27,41.52,41.52,40.17,40.27,345158.0
2014-01-24,42.53,43.0,41.03,41.29,214073.0
2014-01-23,43.14,43.62,42.64,42.89,199182.0
2014-01-22,43.31,43.4,42.76,43.28,387675.0
2014-01-21,43.31,43.64,42.92,43.31,233048.0
2014-01-17,43.9,44.0,43.15,43.31,221515.0
2014-01-16,43.98,44.33,43.81,44.16,155242.0
2014-01-15,44.37,44.67,44.08,44.21,156165.0
2014-01-14,43.75,44.23,43.54,44.14,132016.0
2014-01-13,44.0,44.32,43.44,43.65,206294.0
2014-01-10,43.94,44.26,43.47,44.09,140847.0
2014-01-09,44.35,44.39,43.45,43.92,242622.0
2014-01-08,44.04,44.16,43.33,44.07,344087.0
2014-01-07,44.43,44.77,43.7,44.2,225024.0
2014-01-06,44.43,44.43,43.55,43.89,328271.0
2014-01-03,44.11,44.63,43.94,44.08,106594.0
2014-01-02,44.4,44.6,43.86,44.05,197224.0
2013-12-31,45.0,45.46,44.56,44.64,193589.0
2013-12-30,45.6,45.65,45.25,45.42,95180.0
2013-12-27,45.82,46.11,45.28,45.51,115983.0
2013-12-26,45.32,45.72,45.21,45.62,98239.0
2013-12-24,45.28,45.72,44.77,45.14,121845.0
2013-12-23,44.92,45.39,44.55,45.22,229466.0
2013-12-20,43.67,44.99,43.25,44.58,534159.0
2013-12-19,43.97,43.97,43.4,43.5,142836.0
2013-12-18,43.38,44.34,43.06,43.99,209506.0
2013-12-17,43.35,43.45,42.98,43.29,99843.0
2013-12-16,42.37,43.56,42.2,43.49,150611.0
2013-12-13,42.2,42.51,41.85,42.25,179108.0
2013-12-12,41.99,42.2,41.87,42.02,239872.0
2013-12-11,42.78,43.17,41.9,42.04,223679.0
2013-12-10,42.67,42.95,42.14,42.82,213966.0
2013-12-09,42.55,42.88,42.06,42.88,132938.0
2013-12-06,42.89,43.72,42.38,42.42,288365.0
2013-12-05,42.28,42.64,41.86,42.26,118709.0
2013-12-04,41.99,42.69,41.42,42.23,165855.0
2013-12-03,41.81,42.39,41.7,42.31,346169.0
2013-12-02,44.53,44.86,42.83,43.22,297981.0
2013-11-29,44.64,44.86,44.24,44.5,79998.0
2013-11-27,43.88,44.59,43.76,44.28,87323.0
2013-11-26,43.26,43.91,42.76,43.71,110450.0
2013-11-25,43.77,43.77,42.58,43.09,180674.0
2013-11-22,43.29,44.0,43.09,43.47,228691.0
2013-11-21,41.63,43.36,41.44,43.14,269670.0
2013-11-20,41.41,41.7,40.85,41.47,162859.0
2013-11-19,41.08,41.77,40.77,41.31,141688.0
2013-11-18,41.29,41.5,40.63,41.15,135061.0
2013-11-15,40.73,41.1,40.64,40.99,101027.0
2013-11-14,40.3,41.12,40.09,40.7,146300.0
2013-11-13,39.56,40.45,39.29,40.41,107591.0
2013-11-12,39.11,39.87,38.86,39.84,188242.0
2013-11-11,38.96,39.42,38.78,39.19,135617.0
2013-11-08,37.85,39.2,37.85,39.16,158667.0
2013-11-07,38.65,38.87,37.82,37.83,134164.0
2013-11-06,38.1,38.67,37.84,38.39,70472.0
2013-11-05,37.99,38.19,37.6,37.96,73217.0
2013-11-04,37.78,38.32,37.27,38.22,156132.0
2013-11-01,37.75,38.11,37.17,37.6,204282.0
2013-10-31,38.26,38.73,37.82,37.85,104933.0
2013-10-30,38.92,38.98,38.02,38.12,125860.0
2013-10-29,38.34,39.03,38.26,38.9,111182.0
2013-10-28,38.33,38.71,38.08,38.29,107099.0
2013-10-25,38.34,38.6,38.03,38.33,124312.0
2013-10-24,38.21,38.54,38.11,38.13,153762.0
2013-10-23,38.25,38.71,37.98,38.21,144393.0
2013-10-22,38.9,39.25,38.51,38.56,177475.0
2013-10-21,39.51,39.52,38.51,38.79,182521.0
2013-10-18,38.65,39.39,38.64,39.38,132730.0
2013-10-17,37.52,38.36,37.52,38.22,148653.0
2013-10-16,37.92,38.12,37.5,37.63,126484.0
2013-10-15,38.12,38.14,37.57,37.64,140538.0
2013-10-14,37.66,38.43,37.4,38.19,140032.0
2013-10-11,37.29,38.15,37.29,38.02,149205.0
2013-10-10,37.74,37.77,37.05,37.53,171517.0
2013-10-09,37.67,37.67,37.01,37.21,122501.0
2013-10-08,38.34,38.46,37.37,37.4,135306.0
2013-10-07,38.64,39.5,38.09,38.45,57113.0
2013-10-04,38.71,39.38,38.71,39.11,41278.0
2013-10-03,39.31,39.31,38.44,38.8,77125.0
2013-10-02,39.58,40.34,39.15,39.28,81880.0
2013-10-01,39.48,40.0,39.46,39.87,98276.0
2013-09-30,38.47,39.55,38.47,39.4,209711.0
2013-09-27,39.05,39.35,38.85,38.91,75459.0
2013-09-26,39.16,39.49,38.9,39.46,112938.0
2013-09-25,39.19,39.6,38.8,38.94,119764.0
2013-09-24,39.42,39.89,39.16,39.22,113645.0
2013-09-23,39.2,39.46,38.99,39.26,111156.0
2013-09-20,39.03,39.41,38.88,39.19,245664.0
2013-09-19,39.22,39.45,38.54,38.94,69297.0
2013-09-18,38.53,39.16,38.16,38.99,114123.0
2013-09-17,38.83,38.95,38.25,38.55,114578.0
2013-09-16,39.03,39.84,38.42,38.83,115802.0
2013-09-13,38.24,38.7,38.18,38.32,62005.0
2013-09-12,38.1,38.49,37.7,38.01,62560.0
2013-09-11,38.24,38.7,37.99,38.21,71253.0
2013-09-10,37.5,38.28,37.02,38.27,120155.0
2013-09-09,36.78,37.28,36.46,37.24,73644.0
2013-09-06,37.05,37.11,36.03,36.62,96681.0
2013-09-05,36.96,37.3,36.66,36.76,59644.0
2013-09-04,36.25,37.22,36.25,36.94,94251.0
2013-09-03,36.64,36.86,35.86,36.17,95324.0
2013-08-30,36.27,36.69,35.8,35.94,119231.0
2013-08-29,36.01,36.54,35.25,36.42,58371.0
2013-08-28,36.01,36.53,35.93,36.02,70145.0
2013-08-27,37.4,37.4,36.05,36.07,153200.0
2013-08-26,38.15,38.54,37.83,38.09,74099.0
2013-08-23,38.16,38.47,37.69,38.0,55644.0
2013-08-22,37.57,38.14,37.34,38.11,60967.0
2013-08-21,37.49,37.81,37.24,37.3,63317.0
2013-08-20,37.18,37.99,37.1,37.73,102629.0
2013-08-19,37.15,37.38,37.06,37.11,87075.0
2013-08-16,36.88,37.42,36.88,37.12,79476.0
2013-08-15,37.3,37.38,36.78,37.06,87961.0
2013-08-14,38.6,38.6,37.74,37.9,147204.0
2013-08-13,38.58,38.9,38.13,38.52,192661.0
2013-08-12,37.61,38.44,37.61,38.42,63760.0
2013-08-09,38.17,38.41,37.49,37.83,56247.0
2013-08-08,37.37,38.61,37.15,38.3,147803.0
2013-08-07,37.36,37.48,36.92,37.02,54898.0
2013-08-06,37.72,38.03,37.1,37.43,104531.0
2013-08-05,38.05,38.49,37.55,37.86,103011.0
2013-08-02,37.64,38.19,37.5,38.16,106514.0
2013-08-01,37.82,38.0,37.05,37.97,305694.0
2013-07-31,37.21,38.02,36.69,37.26,120458.0
2013-07-30,37.88,37.88,36.86,37.12,115870.0
2013-07-29,37.53,38.0,36.94,37.41,72468.0
2013-07-26,37.63,37.9,37.2,37.63,129577.0
2013-07-25,37.46,38.27,37.45,38.0,177118.0
2013-07-24,38.19,38.31,37.27,37.62,169407.0
2013-07-23,38.42,38.42,37.64,37.92,106506.0
2013-07-22,37.5,38.29,37.44,38.21,65338.0
2013-07-19,37.62,38.1,37.54,37.72,108259.0
2013-07-18,37.43,37.86,37.19,37.69,118702.0
2013-07-17,38.07,38.18,37.19,37.4,215707.0
2013-07-16,38.11,38.24,37.63,37.9,144583.0
2013-07-15,38.06,38.44,37.8,38.02,108858.0
2013-07-12,37.64,38.12,37.44,37.92,105703.0
2013-07-11,38.1,38.25,37.47,37.78,147343.0
2013-07-10,38.1,38.78,37.5,37.6,143760.0
2013-07-09,37.16,38.59,36.76,38.07,269169.0
2013-07-08,36.5,37.0,36.31,36.71,129872.0
2013-07-05,36.15,36.44,35.46,36.41,122110.0
2013-07-03,34.89,35.53,34.89,35.23,36976.0
2013-07-02,34.7,35.29,34.6,35.2,100206.0
2013-07-01,34.07,35.12,33.74,34.83,125501.0
2013-06-28,33.98,34.28,33.58,33.65,282920.0
2013-06-27,33.51,34.28,33.36,34.18,112323.0
2013-06-26,33.46,33.55,32.86,33.34,112622.0
2013-06-25,33.22,33.38,32.91,33.17,121095.0
2013-06-24,33.29,33.4,32.86,32.91,277494.0
2013-06-21,34.22,34.46,33.68,33.84,539395.0
2013-06-20,34.4,35.09,33.8,33.97,211434.0
2013-06-19,35.38,35.56,34.92,34.97,102778.0
2013-06-18,34.86,35.51,34.7,35.48,106998.0
2013-06-17,34.77,35.1,34.05,34.72,198806.0
2013-06-14,34.74,34.74,34.36,34.37,96983.0
2013-06-13,34.19,34.88,34.01,34.8,104739.0
2013-06-12,34.7,34.88,34.13,34.26,194172.0
2013-06-11,34.21,34.67,33.94,34.44,99779.0
2013-06-10,34.54,34.79,34.15,34.77,69804.0
2013-06-07,34.6,34.85,34.1,34.47,154481.0
2013-06-06,34.04,34.34,33.47,34.24,120403.0
2013-06-05,34.36,34.43,33.87,33.97,149959.0
2013-06-04,34.3,34.57,34.03,34.5,207126.0
2013-06-03,33.67,34.35,33.51,34.14,249276.0
2013-05-31,33.56,34.28,33.56,33.81,122429.0
2013-05-30,33.64,33.94,33.31,33.9,66805.0
2013-05-29,33.69,34.21,33.14,33.42,50001.0
2013-05-28,33.88,34.71,33.45,33.89,200471.0
2013-05-24,32.94,33.55,32.77,33.16,70278.0
2013-05-23,32.4,33.2,32.37,33.1,94148.0
2013-05-22,33.6,33.97,32.94,33.15,86550.0
2013-05-21,33.93,34.12,33.51,33.65,66891.0
2013-05-20,33.43,34.19,33.43,33.97,87754.0
2013-05-17,33.37,33.66,32.94,33.65,176493.0
2013-05-16,33.45,33.45,32.94,33.18,124574.0
2013-05-15,33.28,33.95,33.23,33.49,101828.0
2013-05-14,32.78,33.5,32.78,33.49,172097.0
2013-05-13,32.83,33.41,32.58,32.87,131963.0
2013-05-10,32.61,32.98,32.37,32.98,96070.0
2013-05-09,32.48,32.67,32.32,32.47,77753.0
2013-05-08,32.66,32.72,32.33,32.62,180549.0
