Date,Open,High,Low,Close,Volume
2014-04-07,61.02,61.97,60.0,60.39,111343.0
2014-04-04,63.36,63.66,61.02,61.08,110073.0
2014-04-03,63.24,63.32,62.3,63.11,80714.0
2014-04-02,63.29,63.29,62.15,63.08,77978.0
2014-04-01,62.04,63.41,61.19,63.32,159826.0
2014-03-31,61.13,62.19,60.95,61.79,93155.0
2014-03-28,60.96,61.8,60.52,60.6,76286.0
2014-03-27,62.29,63.53,60.85,61.0,98032.0
2014-03-26,63.68,63.68,62.01,62.07,130506.0
2014-03-25,63.42,63.88,63.11,63.26,106015.0
2014-03-24,63.47,63.69,62.76,63.07,97635.0
2014-03-21,64.44,64.8,63.15,63.29,469676.0
2014-03-20,62.07,64.18,62.07,64.04,129773.0
2014-03-19,61.93,63.11,61.35,62.41,87440.0
2014-03-18,61.38,62.1,61.19,61.98,116355.0
2014-03-17,60.66,61.6,60.66,61.38,174802.0
2014-03-14,60.29,61.38,59.76,60.09,229423.0
2014-03-13,61.7,61.83,60.36,60.68,122635.0
2014-03-12,61.94,62.24,60.94,61.29,187495.0
2014-03-11,63.58,63.58,62.31,62.59,119114.0
2014-03-10,63.38,63.85,63.12,63.65,106514.0
2014-03-07,63.55,64.02,63.38,63.57,101709.0
2014-03-06,62.23,63.21,62.23,62.98,127969.0
2014-03-05,62.13,62.51,61.1,62.21,107528.0
2014-03-04,60.95,62.68,60.16,62.3,228342.0
2014-03-03,60.06,60.86,59.28,60.11,117138.0
2014-02-28,60.14,61.49,59.42,60.48,188767.0
2014-02-27,59.83,60.17,59.63,59.99,79948.0
2014-02-26,59.4,60.88,58.81,60.02,132640.0
2014-02-25,59.57,59.94,59.05,59.18,129614.0
2014-02-24,58.92,60.03,58.92,59.38,166944.0
2014-02-21,58.21,59.2,58.02,58.26,212159.0
2014-02-20,57.89,58.73,57.21,57.91,133429.0
2014-02-19,59.58,59.84,57.7,57.84,183195.0
2014-02-18,59.59,60.62,59.41,59.85,110285.0
2014-02-14,59.65,59.78,58.86,59.56,95064.0
2014-02-13,58.9,59.86,58.68,59.63,86047.0
2014-02-12,59.42,60.28,58.86,59.34,88146.0
2014-02-11,59.21,59.76,58.72,59.55,91245.0
2014-02-10,58.84,59.27,58.38,59.03,95738.0
2014-02-07,59.12,59.77,58.15,58.98,132573.0
2014-02-06,58.92,59.56,58.51,59.12,112739.0
2014-02-05,59.44,59.89,58.73,58.9,144618.0
2014-02-04,59.07,60.69,58.88,59.6,203964.0
2014-02-03,61.15,61.65,58.99,58.99,198083.0
2014-01-31,61.34,62.76,61.1,61.17,256378.0
2014-01-30,62.42,63.0,61.79,62.55,122028.0
2014-01-29,62.76,63.33,61.62,61.82,146859.0
2014-01-28,63.89,64.53,63.06,63.38,118234.0
2014-01-27,65.02,65.12,63.88,63.89,198320.0
2014-01-24,64.36,65.75,64.16,65.01,158714.0
2014-01-23,65.92,65.92,64.44,65.33,113655.0
2014-01-22,65.86,66.94,65.53,66.29,89493.0
2014-01-21,65.19,66.45,65.0,65.97,81254.0
2014-01-17,63.89,64.71,63.83,64.64,122991.0
2014-01-16,64.66,64.79,63.72,64.0,98887.0
2014-01-15,65.11,65.3,64.54,64.67,85275.0
2014-01-14,65.43,65.95,64.5,65.1,170092.0
2014-01-13,65.03,65.79,64.49,65.14,123213.0
2014-01-10,66.01,66.23,64.75,65.41,73707.0
2014-01-09,65.7,66.18,65.13,65.88,68462.0
2014-01-08,65.18,66.29,65.02,65.46,157259.0
2014-01-07,64.92,65.87,64.78,65.18,113322.0
2014-01-06,65.81,65.91,64.4,64.51,122058.0
2014-01-03,64.81,65.67,64.67,65.38,82951.0
2014-01-02,66.05,66.06,64.73,64.77,106053.0
