Date,Open,High,Low,Close,Volume
2014-04-07,20.84,21.59,19.57,20.51,31612.0
2014-04-04,19.28,21.15,18.6,20.84,140587.0
2014-04-03,19.7,19.89,18.88,19.11,11219.0
2014-04-02,20.08,20.15,19.56,19.6,21995.0
2014-04-01,19.59,20.1,19.49,19.95,20284.0
2014-03-31,19.41,19.75,19.26,19.51,37520.0
2014-03-28,19.5,19.69,19.01,19.12,31920.0
2014-03-27,19.97,20.0,19.18,19.38,31371.0
2014-03-26,20.8,20.8,19.87,19.88,20712.0
2014-03-25,20.35,20.75,20.35,20.58,12968.0
2014-03-24,20.92,20.99,20.42,20.51,17919.0
2014-03-21,21.13,21.13,20.73,20.9,48499.0
2014-03-20,20.69,21.88,20.62,21.18,17188.0
2014-03-19,21.01,21.12,20.74,20.81,14089.0
2014-03-18,21.06,21.16,20.86,21.13,11645.0
2014-03-17,21.3,21.3,20.9,20.99,10087.0
2014-03-14,21.13,21.68,20.87,20.94,15264.0
2014-03-13,21.71,21.71,21.01,21.27,10992.0
2014-03-12,21.4,21.74,21.14,21.56,12989.0
2014-03-11,21.64,21.75,21.17,21.26,11420.0
2014-03-10,21.62,21.94,21.36,21.9,17915.0
2014-03-07,21.75,21.75,21.5,21.74,9512.0
2014-03-06,21.3,21.59,20.91,21.59,22173.0
2014-03-05,21.8,21.95,21.12,21.33,24197.0
2014-03-04,20.75,22.15,20.75,21.92,41704.0
2014-03-03,20.8,20.98,20.24,20.58,22870.0
2014-02-28,21.31,21.57,20.66,21.04,17037.0
2014-02-27,20.97,21.27,20.83,21.23,7502.0
2014-02-26,21.54,21.74,20.84,21.06,12236.0
2014-02-25,21.47,21.55,21.16,21.45,6179.0
2014-02-24,20.96,21.88,20.96,21.41,19522.0
2014-02-21,21.54,21.54,20.77,20.86,29126.0
2014-02-20,20.8,21.6,20.72,21.46,16444.0
2014-02-19,21.69,22.02,20.81,20.97,17655.0
2014-02-18,22.11,22.11,21.47,21.87,23696.0
