Date,Open,High,Low,Close,Volume
2014-04-07,36.53,36.68,35.32,35.46,1216212.0
2014-04-04,37.14,37.35,36.42,36.56,2101502.0
2014-04-03,36.82,37.09,36.62,37.0,1629864.0
2014-04-02,36.83,36.95,36.44,36.8,1575947.0
2014-04-01,36.06,36.79,36.0,36.73,1008771.0
2014-03-31,35.4,36.04,35.17,36.0,1354723.0
2014-03-28,34.9,35.34,34.77,35.25,619666.0
2014-03-27,34.9,35.04,34.52,34.77,1464086.0
2014-03-26,35.35,35.46,34.88,35.01,813340.0
2014-03-25,35.32,35.47,34.99,35.2,1078324.0
2014-03-24,35.27,35.39,35.02,35.19,1371692.0
2014-03-21,35.06,35.66,34.61,35.18,1921343.0
2014-03-20,34.29,34.66,34.08,34.65,585367.0
2014-03-19,34.62,34.98,34.23,34.39,702139.0
2014-03-18,34.38,34.93,34.2,34.61,959003.0
2014-03-17,34.3,34.64,34.15,34.34,859318.0
2014-03-14,34.29,34.56,34.1,34.13,1211526.0
2014-03-13,35.0,35.08,34.17,34.28,1600651.0
2014-03-12,34.71,34.94,34.43,34.87,935936.0
2014-03-11,35.15,35.19,34.68,34.9,2352001.0
2014-03-10,35.12,35.22,34.93,35.14,1245348.0
2014-03-07,35.29,35.31,34.94,35.18,933403.0
2014-03-06,35.01,35.44,34.95,35.22,1379279.0
2014-03-05,34.75,35.34,34.5,35.0,2129825.0
2014-03-04,34.67,35.19,34.48,34.7,2335317.0
2014-03-03,33.89,34.29,33.57,34.22,1981889.0
2014-02-28,33.21,34.28,33.08,34.14,1531946.0
2014-02-27,33.28,33.3,32.98,33.19,926988.0
2014-02-26,32.89,33.55,32.77,33.31,1299288.0
2014-02-25,33.0,33.04,32.67,32.82,1186790.0
2014-02-24,32.86,33.12,32.64,33.0,1183540.0
2014-02-21,32.25,32.91,32.03,32.79,1210947.0
2014-02-20,31.2,32.44,31.2,32.15,1308826.0
2014-02-19,31.41,31.62,31.0,31.18,1015911.0
2014-02-18,30.69,31.47,30.69,31.42,1598840.0
2014-02-14,30.88,31.03,30.53,30.89,1376679.0
2014-02-13,30.79,31.26,30.78,30.95,1207285.0
2014-02-12,31.11,31.38,30.97,31.11,1012691.0
2014-02-11,30.47,31.47,30.37,31.13,1512733.0
2014-02-10,30.98,31.08,30.36,30.48,1171220.0
2014-02-07,31.19,31.57,29.63,30.71,2975144.0
2014-02-06,30.96,32.22,30.63,32.19,1713252.0
2014-02-05,30.97,31.19,30.57,30.96,710111.0
2014-02-04,30.87,31.26,30.53,31.18,921851.0
2014-02-03,31.75,31.99,30.74,30.75,1390691.0
2014-01-31,32.25,32.44,31.68,31.72,1557388.0
2014-01-30,32.43,32.85,32.32,32.77,626485.0
2014-01-29,32.35,32.63,31.77,32.18,1020998.0
2014-01-28,32.54,32.75,32.44,32.69,524244.0
2014-01-27,32.82,33.05,32.36,32.49,928522.0
2014-01-24,33.92,33.92,32.6,32.67,1125436.0
2014-01-23,34.0,34.12,33.81,34.0,1422248.0
2014-01-22,33.84,34.19,33.59,34.17,769915.0
2014-01-21,33.64,33.88,33.32,33.87,943012.0
2014-01-17,33.26,33.75,33.12,33.44,1047921.0
2014-01-16,33.12,33.36,32.9,33.24,843316.0
2014-01-15,32.64,33.96,32.46,33.24,1417759.0
2014-01-14,32.65,32.69,32.39,32.52,1483043.0
2014-01-13,32.3,32.76,32.15,32.46,1324648.0
2014-01-10,32.61,32.66,32.09,32.3,1663246.0
2014-01-09,33.01,33.34,32.44,32.5,1818494.0
2014-01-08,32.07,33.73,31.97,32.9,4505427.0
2014-01-07,29.05,31.82,28.93,31.8,3273940.0
2014-01-06,29.03,29.12,28.86,29.0,686180.0
2014-01-03,29.08,29.2,28.81,29.02,730534.0
2014-01-02,29.92,30.01,29.07,29.11,781424.0
2013-12-31,29.79,30.13,29.74,30.1,489601.0
2013-12-30,29.72,29.79,29.66,29.75,360521.0
2013-12-27,29.68,29.87,29.63,29.76,307672.0
2013-12-26,29.5,29.86,29.5,29.67,458759.0
2013-12-24,29.52,29.76,29.43,29.48,191793.0
2013-12-23,29.38,29.88,29.23,29.57,578701.0
2013-12-20,28.8,29.17,28.52,29.14,1711146.0
2013-12-19,28.69,28.79,28.54,28.67,585272.0
2013-12-18,28.8,28.82,28.29,28.77,987891.0
