Date,Open,High,Low,Close,Volume
2014-04-07,20.97,21.0,20.62,20.75,1440730.0
2014-04-04,21.54,21.67,20.95,20.99,1506337.0
2014-04-03,21.21,21.46,21.09,21.35,1198307.0
2014-04-02,21.55,21.58,21.07,21.14,770796.0
2014-04-01,20.85,21.64,20.72,21.5,2462796.0
2014-03-31,20.44,20.97,20.43,20.83,950503.0
2014-03-28,20.33,20.78,20.13,20.35,769521.0
2014-03-27,20.83,21.08,20.31,20.34,974585.0
2014-03-26,21.46,21.46,20.85,20.85,995964.0
2014-03-25,21.42,21.55,21.17,21.31,887028.0
2014-03-24,21.7,21.83,21.2,21.26,1098317.0
2014-03-21,21.93,22.08,21.57,21.62,2152363.0
2014-03-20,21.29,21.82,21.29,21.8,1620440.0
2014-03-19,21.4,21.54,21.19,21.39,1238789.0
2014-03-18,21.32,21.5,21.19,21.42,635850.0
2014-03-17,21.57,21.65,21.26,21.32,998571.0
2014-03-14,21.38,21.62,21.23,21.4,792260.0
2014-03-13,21.7,21.93,21.37,21.45,1132133.0
2014-03-12,21.66,21.72,21.38,21.63,1234750.0
2014-03-11,21.88,21.96,21.68,21.71,885593.0
2014-03-10,21.78,21.98,21.61,21.93,936706.0
2014-03-07,21.55,22.03,21.4,21.77,1227275.0
2014-03-06,21.07,21.35,20.96,21.35,1176711.0
2014-03-05,21.12,21.13,20.86,21.06,1124673.0
2014-03-04,20.86,21.2,20.68,21.14,2729948.0
2014-03-03,20.17,20.76,20.17,20.57,1972696.0
2014-02-28,20.58,20.96,20.5,20.76,1582625.0
2014-02-27,20.09,20.51,20.05,20.5,1329899.0
2014-02-26,20.16,20.34,20.03,20.26,1031943.0
2014-02-25,20.25,20.31,19.97,20.04,1040913.0
2014-02-24,20.02,20.43,20.02,20.31,835893.0
2014-02-21,20.03,20.15,19.84,20.0,1360522.0
2014-02-20,19.8,19.95,19.65,19.89,1343724.0
2014-02-19,20.3,20.48,19.76,19.81,2019248.0
2014-02-18,20.27,20.5,20.11,20.38,1288414.0
2014-02-14,20.26,20.38,20.1,20.3,877769.0
2014-02-13,20.07,20.29,19.98,20.27,1094826.0
2014-02-12,20.48,20.72,20.1,20.23,830206.0
2014-02-11,20.18,20.47,20.12,20.42,959181.0
2014-02-10,20.0,20.23,19.84,20.17,1034811.0
2014-02-07,19.9,20.05,19.64,19.98,1234325.0
2014-02-06,19.85,20.02,19.64,19.89,1220128.0
2014-02-05,19.71,19.94,19.46,19.86,1514130.0
2014-02-04,19.56,19.82,19.33,19.76,2106253.0
2014-02-03,20.33,20.37,19.24,19.49,3534800.0
2014-01-31,20.4,20.79,20.31,20.35,2949406.0
2014-01-30,21.34,21.44,20.62,20.8,1522045.0
2014-01-29,20.86,20.99,20.5,20.74,2117823.0
2014-01-28,21.75,21.95,21.04,21.14,2143357.0
2014-01-27,21.95,22.13,21.74,21.75,1539952.0
2014-01-24,22.59,22.65,21.96,21.96,1302974.0
2014-01-23,23.19,23.21,22.62,22.78,840490.0
2014-01-22,23.09,23.36,22.86,23.3,726611.0
2014-01-21,22.69,23.11,22.5,23.1,1113474.0
2014-01-17,22.33,22.76,22.17,22.56,867288.0
2014-01-16,22.43,22.5,22.12,22.29,902173.0
2014-01-15,22.49,22.63,22.32,22.53,669687.0
2014-01-14,22.43,22.43,22.1,22.37,749680.0
2014-01-13,22.6,22.76,22.13,22.27,1045581.0
2014-01-10,22.74,22.81,22.49,22.72,1404663.0
2014-01-09,22.41,22.72,22.39,22.7,1294777.0
2014-01-08,22.21,22.42,21.89,22.28,1221636.0
2014-01-07,21.8,22.54,21.77,22.16,1964152.0
2014-01-06,21.76,21.91,21.58,21.62,947907.0
2014-01-03,21.69,21.79,21.48,21.73,885436.0
2014-01-02,22.11,22.19,21.72,21.72,925155.0
2013-12-31,22.15,22.3,22.1,22.23,703456.0
