Date,Open,High,Low,Close,Volume
2014-04-07,9.35,9.4,9.16,9.29,2966629.0
2014-04-04,9.52,9.55,9.35,9.38,2605685.0
2014-04-03,9.5,9.53,9.35,9.51,2439222.0
2014-04-02,9.59,9.61,9.44,9.48,3013499.0
2014-04-01,9.48,9.6,9.42,9.55,3926946.0
2014-03-31,9.35,9.49,9.33,9.45,2992283.0
2014-03-28,9.24,9.43,9.16,9.27,3901815.0
2014-03-27,9.3,9.33,9.13,9.18,3387727.0
2014-03-26,9.35,9.43,9.25,9.27,5573393.0
2014-03-25,9.32,9.36,9.19,9.29,4416519.0
2014-03-24,9.32,9.39,9.21,9.27,3145353.0
2014-03-21,9.4,9.43,9.2,9.27,7673094.0
2014-03-20,9.27,9.5,9.25,9.39,5289740.0
2014-03-19,9.12,9.35,9.12,9.26,5033712.0
2014-03-18,9.15,9.17,9.09,9.16,1909751.0
2014-03-17,9.08,9.2,9.08,9.12,1557079.0
2014-03-14,9.11,9.17,9.05,9.07,2141128.0
2014-03-13,9.17,9.2,9.05,9.11,1837557.0
2014-03-12,9.09,9.2,9.03,9.15,2477601.0
2014-03-11,9.24,9.24,9.03,9.12,2350054.0
2014-03-10,9.28,9.34,9.06,9.21,3126614.0
2014-03-07,9.26,9.31,9.2,9.31,3691550.0
2014-03-06,9.23,9.31,9.2,9.22,5259290.0
2014-03-05,9.22,9.25,9.13,9.23,3815293.0
2014-03-04,9.13,9.22,9.08,9.21,6510617.0
2014-03-03,9.05,9.11,8.9,9.03,6141104.0
2014-02-28,9.03,9.11,8.98,9.07,5796527.0
2014-02-27,9.06,9.22,8.98,9.02,11733302.0
2014-02-26,8.99,9.08,8.96,9.05,5939527.0
2014-02-25,8.82,8.99,8.78,8.92,4943698.0
2014-02-24,8.71,8.87,8.67,8.82,5097685.0
2014-02-21,8.6,8.72,8.54,8.71,3211817.0
2014-02-20,8.6,8.62,8.44,8.58,2932779.0
2014-02-19,8.73,8.85,8.54,8.57,4662856.0
2014-02-18,8.7,8.75,8.58,8.72,3968131.0
2014-02-14,8.51,8.76,8.5,8.72,4251700.0
2014-02-13,8.51,8.56,8.44,8.54,3073023.0
2014-02-12,8.63,8.74,8.51,8.55,3176750.0
2014-02-11,8.5,8.66,8.5,8.63,3755901.0
2014-02-10,8.58,8.61,8.37,8.53,3907926.0
2014-02-07,8.45,8.63,8.42,8.59,6088490.0
2014-02-06,8.41,8.48,8.32,8.41,2491946.0
2014-02-05,8.56,8.56,8.33,8.37,4205802.0
2014-02-04,8.25,8.56,8.2,8.49,8021007.0
2014-02-03,8.62,8.65,8.19,8.22,7508989.0
2014-01-31,8.57,8.75,8.53,8.64,5880960.0
2014-01-30,8.63,8.73,8.54,8.56,4425855.0
2014-01-29,8.6,8.74,8.56,8.59,4816093.0
2014-01-28,8.81,8.86,8.66,8.68,6824855.0
2014-01-27,8.9,9.2,8.78,8.81,8616207.0
2014-01-24,9.88,9.89,9.07,9.08,19454603.0
2014-01-23,10.46,10.46,10.26,10.34,4625300.0
2014-01-22,10.5,10.52,10.43,10.48,2181615.0
2014-01-21,10.5,10.58,10.36,10.49,5116172.0
2014-01-17,10.49,10.51,10.4,10.45,2729855.0
2014-01-16,10.49,10.51,10.37,10.46,3519039.0
2014-01-15,10.39,10.55,10.37,10.51,2706214.0
2014-01-14,10.4,10.47,10.38,10.39,4293177.0
2014-01-13,10.25,10.4,10.21,10.33,5172780.0
2014-01-10,10.26,10.27,10.18,10.24,3574715.0
2014-01-09,10.17,10.28,10.16,10.23,6214628.0
2014-01-08,10.09,10.33,10.04,10.32,4409044.0
2014-01-07,10.32,10.35,10.02,10.13,8900260.0
2014-01-06,10.42,10.48,10.3,10.3,2925869.0
2014-01-03,10.39,10.45,10.33,10.4,3604713.0
2014-01-02,10.58,10.65,10.4,10.4,3103406.0
2013-12-31,10.51,10.66,10.5,10.62,1800126.0
2013-12-30,10.54,10.62,10.52,10.55,2080806.0
2013-12-27,10.53,10.58,10.48,10.55,2304391.0
2013-12-26,10.53,10.6,10.49,10.51,2162479.0
2013-12-24,10.46,10.56,10.33,10.53,1081866.0
2013-12-23,10.48,10.51,10.4,10.43,5445570.0
2013-12-20,10.25,10.48,10.17,10.42,9130093.0
2013-12-19,10.7,10.72,10.2,10.22,15807863.0
2013-12-18,10.72,10.8,10.59,10.79,2100538.0
2013-12-17,10.79,10.79,10.64,10.67,1960160.0
2013-12-16,10.85,10.85,10.63,10.77,2930535.0
2013-12-13,10.78,10.85,10.62,10.72,1432719.0
2013-12-12,10.67,10.81,10.67,10.75,1877754.0
2013-12-11,10.85,10.91,10.68,10.7,2340684.0
2013-12-10,10.92,11.02,10.84,10.85,1441362.0
2013-12-09,10.93,11.03,10.9,10.97,2647394.0
2013-12-06,11.0,11.08,10.89,10.96,2593341.0
2013-12-05,10.89,10.96,10.81,10.92,1823989.0
2013-12-04,10.84,10.96,10.78,10.94,2886356.0
2013-12-03,10.95,10.96,10.79,10.86,2757584.0
2013-12-02,11.0,11.11,10.88,10.95,3878801.0
2013-11-29,11.21,11.23,11.11,11.14,786923.0
2013-11-27,11.19,11.23,11.13,11.2,1176057.0
2013-11-26,11.21,11.25,11.1,11.2,1853928.0
2013-11-25,11.19,11.34,11.16,11.19,2955674.0
2013-11-22,11.07,11.16,10.97,11.15,2956321.0
2013-11-21,11.11,11.16,10.98,11.09,3208425.0
2013-11-20,11.0,11.13,10.92,11.06,2171128.0
2013-11-19,11.1,11.22,10.95,10.96,3441804.0
2013-11-18,11.15,11.28,10.93,11.11,1880859.0
2013-11-15,11.25,11.25,11.08,11.14,1959375.0
2013-11-14,11.13,11.22,11.11,11.19,1189272.0
2013-11-13,10.96,11.12,10.92,11.11,2180980.0
2013-11-12,11.12,11.19,11.0,11.03,1905740.0
2013-11-11,11.09,11.22,11.02,11.19,2659270.0
2013-11-08,10.89,11.18,10.82,11.1,2565468.0
2013-11-07,10.9,11.02,10.88,10.91,2700888.0
2013-11-06,10.96,10.97,10.85,10.89,2574352.0
2013-11-05,11.0,11.08,10.98,10.98,2994045.0
2013-11-04,11.06,11.12,10.98,11.06,2082300.0
2013-11-01,11.05,11.06,10.86,11.04,3111383.0
2013-10-31,11.1,11.19,10.99,11.03,3403220.0
2013-10-30,11.12,11.19,11.09,11.12,2323954.0
2013-10-29,11.27,11.32,11.0,11.11,4365754.0
2013-10-28,11.11,11.28,11.07,11.26,2607510.0
2013-10-25,11.12,11.18,11.01,11.13,5359919.0
2013-10-24,11.08,11.21,10.96,11.11,5190788.0
2013-10-23,10.99,11.12,10.88,11.07,5262074.0
2013-10-22,10.94,11.1,10.88,11.05,9102115.0
2013-10-21,10.86,10.98,10.8,10.94,2938008.0
2013-10-18,11.0,11.0,10.43,10.87,7460613.0
2013-10-17,10.77,10.96,10.71,10.93,3900790.0
2013-10-16,10.7,10.81,10.64,10.76,3146371.0
2013-10-15,10.76,10.83,10.62,10.62,2098081.0
2013-10-14,10.63,10.8,10.62,10.8,1876794.0
2013-10-11,10.6,10.72,10.52,10.71,1897890.0
2013-10-10,10.36,10.61,10.32,10.6,3677119.0
2013-10-09,10.25,10.32,10.14,10.19,2336389.0
2013-10-08,10.26,10.36,10.2,10.22,2355697.0
2013-10-07,10.32,10.37,10.21,10.23,3233661.0
2013-10-04,10.31,10.44,10.27,10.43,1775711.0
2013-10-03,10.41,10.42,10.29,10.33,3102319.0
2013-10-02,10.35,10.49,10.35,10.42,2242321.0
2013-10-01,10.32,10.54,10.23,10.44,4806213.0
2013-09-30,10.22,10.38,10.11,10.37,2797839.0
2013-09-27,10.21,10.26,10.1,10.25,3788284.0
2013-09-26,10.31,10.32,10.24,10.25,5619870.0
2013-09-25,10.22,10.34,10.16,10.28,8618207.0
2013-09-24,10.05,10.35,9.99,10.24,5801603.0
2013-09-23,9.9,10.08,9.78,10.06,6058649.0
2013-09-20,9.94,10.0,9.9,9.91,4408726.0
2013-09-19,10.24,10.24,9.85,9.92,5127543.0
2013-09-18,10.44,10.48,10.13,10.2,5223081.0
2013-09-17,10.33,10.48,10.33,10.47,1428496.0
2013-09-16,10.45,10.49,10.32,10.34,1768610.0
2013-09-13,10.24,10.37,10.14,10.33,2337495.0
2013-09-12,10.19,10.29,10.18,10.26,2562195.0
2013-09-11,10.14,10.28,10.13,10.23,2025719.0
2013-09-10,10.13,10.16,10.0,10.16,3555411.0
2013-09-09,10.05,10.13,10.02,10.06,2688603.0
2013-09-06,10.2,10.2,9.93,10.07,3131550.0
2013-09-05,10.05,10.18,9.94,10.13,3517132.0
2013-09-04,10.04,10.09,9.99,10.02,4594815.0
2013-09-03,10.22,10.35,9.9,10.01,4855563.0
2013-08-30,10.35,10.41,10.08,10.1,2695865.0
2013-08-29,10.35,10.49,10.34,10.36,2293095.0
2013-08-28,10.28,10.4,10.18,10.38,2616491.0
2013-08-27,10.47,10.47,10.23,10.28,4132107.0
2013-08-26,10.67,10.68,10.53,10.54,1892164.0
2013-08-23,10.7,10.7,10.54,10.64,1962752.0
2013-08-22,10.4,10.64,10.4,10.63,1406696.0
2013-08-21,10.53,10.57,10.38,10.38,2424645.0
2013-08-20,10.46,10.59,10.4,10.54,1825433.0
2013-08-19,10.62,10.66,10.44,10.45,2056129.0
2013-08-16,10.62,10.69,10.51,10.62,1397338.0
2013-08-15,10.71,10.71,10.55,10.55,1948967.0
2013-08-14,10.69,10.79,10.69,10.74,1390643.0
2013-08-13,10.79,10.79,10.55,10.7,2298291.0
2013-08-12,10.63,10.75,10.62,10.73,1440987.0
2013-08-09,10.62,10.75,10.61,10.66,1534026.0
2013-08-08,10.76,10.82,10.64,10.65,1970705.0
2013-08-07,10.8,10.83,10.57,10.67,2302881.0
2013-08-06,10.95,11.01,10.82,10.89,2241604.0
2013-08-05,10.87,11.02,10.84,10.98,2424331.0
2013-08-02,10.96,10.96,10.83,10.92,2651214.0
2013-08-01,10.79,11.02,10.77,10.97,4401350.0
2013-07-31,10.68,10.84,10.67,10.69,2943111.0
2013-07-30,10.64,10.76,10.57,10.66,2364884.0
2013-07-29,10.7,10.73,10.55,10.59,2247499.0
2013-07-26,10.72,10.75,10.63,10.7,1465335.0
2013-07-25,10.69,10.96,10.6,10.73,4716348.0
2013-07-24,10.78,10.85,10.7,10.78,3822102.0
2013-07-23,10.66,10.77,10.52,10.71,3933378.0
2013-07-22,10.4,10.64,10.35,10.63,3562286.0
2013-07-19,10.38,10.5,10.3,10.35,3946951.0
2013-07-18,10.13,10.32,10.02,10.28,6015037.0
2013-07-17,9.96,10.09,9.94,10.09,7837653.0
2013-07-16,10.01,10.06,9.84,9.98,4253878.0
2013-07-15,9.99,10.05,9.92,9.97,6925184.0
2013-07-12,9.9,9.98,9.88,9.92,7498411.0
2013-07-11,10.36,10.37,9.86,9.88,9881323.0
2013-07-10,10.52,10.57,10.16,10.22,6807855.0
2013-07-09,10.49,10.5,10.34,10.5,3439938.0
2013-07-08,10.45,10.46,10.36,10.37,2164001.0
2013-07-05,10.26,10.41,10.21,10.41,2511890.0
2013-07-03,10.12,10.25,10.04,10.19,2480735.0
2013-07-02,10.13,10.22,10.07,10.18,4005631.0
2013-07-01,10.08,10.34,10.06,10.17,3091293.0
2013-06-28,10.03,10.1,9.95,10.07,3580492.0
2013-06-27,9.98,10.03,9.93,10.02,3132691.0
2013-06-26,10.03,10.06,9.89,9.9,2980685.0
2013-06-25,9.7,9.91,9.63,9.9,2610546.0
2013-06-24,9.68,9.72,9.56,9.64,3394339.0
2013-06-21,9.84,9.92,9.73,9.76,6362878.0
2013-06-20,9.72,9.85,9.62,9.78,4353591.0
2013-06-19,10.02,10.06,9.8,9.86,5586202.0
2013-06-18,9.88,10.07,9.8,10.01,2477477.0
2013-06-17,9.8,9.92,9.8,9.85,1923351.0
2013-06-14,9.78,9.88,9.71,9.78,2628567.0
2013-06-13,9.51,9.8,9.47,9.78,2611460.0
2013-06-12,9.74,9.74,9.52,9.53,3099701.0
2013-06-11,9.73,9.84,9.68,9.7,1726705.0
2013-06-10,9.75,9.89,9.65,9.85,2897713.0
2013-06-07,9.66,9.78,9.54,9.76,1722860.0
2013-06-06,9.5,9.64,9.4,9.6,3144897.0
2013-06-05,9.76,9.83,9.51,9.54,3652186.0
2013-06-04,9.74,9.85,9.7,9.77,4362211.0
2013-06-03,9.77,9.82,9.57,9.73,5487382.0
2013-05-31,9.83,9.89,9.76,9.77,2204541.0
2013-05-30,9.86,9.92,9.82,9.87,3099364.0
2013-05-29,9.81,9.88,9.74,9.84,2606207.0
2013-05-28,10.03,10.03,9.82,9.89,2150797.0
2013-05-24,9.78,9.88,9.71,9.86,1766233.0
2013-05-23,9.77,9.86,9.7,9.86,3633876.0
2013-05-22,10.08,10.17,9.81,9.86,4083646.0
2013-05-21,9.98,10.06,9.88,10.04,3058359.0
2013-05-20,9.89,10.01,9.86,9.97,2629044.0
2013-05-17,9.92,10.04,9.92,9.96,2026337.0
2013-05-16,9.95,10.01,9.85,9.9,2229690.0
2013-05-15,9.82,10.05,9.81,9.94,3979113.0
2013-05-14,9.75,9.95,9.72,9.83,3356965.0
2013-05-13,9.66,9.79,9.62,9.78,2766552.0
2013-05-10,9.65,9.78,9.6,9.72,2999839.0
