Date,Open,High,Low,Close,Volume
2014-04-07,6.22,6.27,6.0,6.14,243691.0
2014-04-04,6.57,6.58,6.11,6.22,186344.0
2014-04-03,6.66,6.69,6.49,6.5,119161.0
2014-04-02,6.61,6.71,6.54,6.67,116968.0
2014-04-01,6.41,6.58,6.24,6.57,141807.0
2014-03-31,6.28,6.52,6.21,6.39,207557.0
2014-03-28,6.37,6.5,6.21,6.24,217700.0
2014-03-27,6.35,6.54,6.28,6.39,164159.0
2014-03-26,6.88,6.88,6.37,6.37,288495.0
2014-03-25,6.84,6.95,6.74,6.8,82114.0
2014-03-24,6.81,6.85,6.64,6.8,130914.0
2014-03-21,7.05,7.08,6.82,6.83,370836.0
2014-03-20,6.92,7.06,6.9,7.02,145545.0
2014-03-19,6.99,7.06,6.91,6.95,80792.0
2014-03-18,6.8,7.02,6.64,7.0,117770.0
2014-03-17,6.84,6.89,6.79,6.81,115441.0
2014-03-14,6.77,6.9,6.45,6.77,140161.0
2014-03-13,7.08,7.14,6.73,6.81,178179.0
2014-03-12,6.87,7.09,6.85,7.04,266494.0
2014-03-11,6.91,7.07,6.91,6.93,202417.0
2014-03-10,7.05,7.09,6.86,6.93,120434.0
2014-03-07,7.04,7.08,6.91,7.03,154804.0
2014-03-06,7.15,7.16,6.92,6.98,181905.0
2014-03-05,7.11,7.16,7.02,7.14,156455.0
2014-03-04,7.19,7.37,7.1,7.14,521374.0
2014-03-03,7.09,7.15,6.91,7.15,217934.0
2014-02-28,7.2,7.2,7.06,7.13,409486.0
2014-02-27,7.02,7.2,6.95,7.19,313323.0
2014-02-26,6.93,7.09,6.93,7.04,342086.0
2014-02-25,6.84,6.98,6.78,6.94,508850.0
2014-02-24,6.74,6.88,6.74,6.81,236826.0
2014-02-21,6.7,6.77,6.64,6.74,364300.0
2014-02-20,6.5,6.7,6.5,6.67,187986.0
2014-02-19,6.59,6.72,6.5,6.5,195652.0
2014-02-18,6.55,6.68,6.53,6.64,147872.0
2014-02-14,6.55,6.61,6.35,6.57,93206.0
2014-02-13,6.49,6.65,6.46,6.54,241185.0
2014-02-12,6.46,6.58,6.46,6.54,323647.0
2014-02-11,6.32,6.55,6.25,6.48,360402.0
2014-02-10,6.25,6.41,6.21,6.34,361992.0
2014-02-07,6.52,6.54,6.29,6.42,285120.0
2014-02-06,6.25,6.6,6.16,6.5,514412.0
