Date,Open,High,Low,Close,Volume
2014-04-07,114.29,114.8,109.25,109.28,895833.0
2014-04-04,118.1,118.69,114.23,114.35,642668.0
2014-04-03,118.5,119.05,116.97,117.55,446558.0
2014-04-02,118.61,119.35,117.29,117.94,444660.0
2014-04-01,116.96,118.57,116.93,118.33,430583.0
2014-03-31,117.87,117.87,115.95,116.57,506886.0
2014-03-28,116.0,117.95,116.0,116.94,285806.0
2014-03-27,116.7,117.31,115.44,115.67,499143.0
2014-03-26,118.14,118.95,116.59,116.8,634644.0
2014-03-25,117.67,118.21,116.22,116.8,483989.0
2014-03-24,118.99,119.49,116.6,116.77,837274.0
2014-03-21,120.41,120.41,118.42,119.42,1016151.0
2014-03-20,119.65,120.23,118.72,119.01,564213.0
2014-03-19,118.85,120.79,117.43,120.23,1456979.0
2014-03-18,113.29,118.07,111.76,118.04,2317332.0
2014-03-17,113.0,114.08,112.36,112.84,578498.0
2014-03-14,112.73,113.83,112.25,112.43,1106752.0
2014-03-13,115.55,116.3,112.31,113.14,750113.0
2014-03-12,114.66,115.62,113.62,115.37,537112.0
2014-03-11,116.27,116.74,114.65,115.0,821368.0
2014-03-10,116.37,117.24,115.36,116.54,434124.0
2014-03-07,117.52,118.8,116.5,116.78,704268.0
2014-03-06,115.06,117.04,114.31,116.6,902520.0
2014-03-05,113.67,114.69,112.6,114.53,869531.0
2014-03-04,114.06,114.44,112.8,113.5,1005887.0
2014-03-03,113.5,114.15,112.38,113.09,901773.0
2014-02-28,117.0,118.19,114.73,114.91,1331127.0
2014-02-27,119.13,120.02,116.8,117.34,1043986.0
2014-02-26,118.52,120.23,117.79,119.43,663342.0
2014-02-25,119.52,120.38,117.76,118.31,659885.0
2014-02-24,119.5,120.94,118.99,119.44,866348.0
2014-02-21,120.75,120.97,118.81,119.66,628745.0
2014-02-20,119.77,120.4,118.85,119.35,714222.0
2014-02-19,121.2,121.45,118.96,119.15,1075765.0
2014-02-18,120.88,121.89,120.21,121.0,685467.0
2014-02-14,121.18,122.0,120.31,120.82,678062.0
2014-02-13,120.34,122.15,118.63,121.47,959524.0
2014-02-12,122.88,125.0,120.46,121.06,3574808.0
2014-02-11,115.5,117.93,113.91,116.96,3012867.0
2014-02-10,115.71,116.17,114.51,115.0,1236992.0
2014-02-07,115.89,116.91,114.82,115.91,917354.0
2014-02-06,112.62,115.71,111.72,115.11,991144.0
2014-02-05,112.97,114.48,111.99,112.25,1112432.0
2014-02-04,115.71,118.36,113.63,114.57,2300256.0
2014-02-03,111.73,111.82,106.91,108.02,1327237.0
2014-01-31,110.85,113.81,110.76,111.83,1230508.0
2014-01-30,112.81,116.56,112.81,115.25,1035290.0
2014-01-29,113.36,114.79,111.95,112.75,889704.0
2014-01-28,114.81,115.25,112.88,114.46,1362906.0
2014-01-27,113.41,115.19,112.75,114.71,1239856.0
2014-01-24,113.07,114.2,112.2,113.28,1179905.0
2014-01-23,113.79,115.7,112.73,113.62,751517.0
2014-01-22,115.48,115.86,114.17,115.42,663561.0
2014-01-21,116.36,116.97,114.02,115.43,602259.0
2014-01-17,116.29,117.3,114.9,115.09,571975.0
