Date,Open,High,Low,Close,Volume
2014-04-07,69.12,71.21,67.05,68.0,5149534.0
2014-04-04,69.68,72.96,68.66,69.72,6893975.0
2014-04-03,71.9,72.1,67.64,68.46,4683804.0
2014-04-02,71.06,72.79,70.31,71.93,3803984.0
2014-04-01,70.04,71.62,69.91,70.89,3783961.0
2014-03-31,69.55,70.49,68.94,69.79,2961170.0
2014-03-28,70.31,71.15,68.38,68.64,3744639.0
2014-03-27,68.58,70.5,67.18,69.75,5715888.0
2014-03-26,71.98,72.5,68.37,68.49,6229614.0
2014-03-25,74.0,74.2,70.46,72.08,6875061.0
2014-03-24,72.86,74.84,71.02,73.87,8159236.0
2014-03-21,70.0,73.97,69.55,73.37,11892671.0
2014-03-20,70.17,73.74,68.53,70.48,21778983.0
2014-03-19,57.1,70.99,56.96,69.4,30879295.0
2014-03-18,56.55,58.2,56.13,57.56,4406301.0
2014-03-17,55.38,56.99,54.75,56.52,4577402.0
2014-03-14,52.68,54.34,52.68,54.03,2526723.0
2014-03-13,53.97,54.46,52.42,53.03,2940678.0
2014-03-12,53.11,54.49,52.79,53.7,2202285.0
2014-03-11,55.07,55.71,53.09,53.48,3071657.0
2014-03-10,55.94,56.36,54.43,54.84,2848847.0
2014-03-07,58.63,58.7,55.72,56.11,4287466.0
2014-03-06,58.39,59.44,57.53,58.24,3097014.0
2014-03-05,57.5,59.1,57.37,58.15,3493830.0
2014-03-04,56.63,58.05,56.25,57.71,3990130.0
2014-03-03,55.71,57.36,55.1,55.96,3894712.0
2014-02-28,57.14,57.74,56.29,57.07,4570446.0
2014-02-27,54.08,57.3,54.0,57.19,9860249.0
2014-02-26,50.15,53.6,49.52,52.74,16564080.0
2014-02-25,58.5,58.75,56.91,58.03,7488828.0
2014-02-24,56.59,58.85,56.37,57.75,4119434.0
2014-02-21,57.37,57.54,55.7,55.93,2779129.0
2014-02-20,56.07,57.3,55.12,56.88,3016012.0
2014-02-19,56.63,57.95,55.61,55.97,4692174.0
2014-02-18,53.68,57.17,53.54,56.86,5920840.0
2014-02-14,53.2,53.66,52.01,53.17,3189603.0
2014-02-13,50.54,52.94,50.03,52.85,4082339.0
2014-02-12,51.78,52.78,51.3,51.58,2329286.0
2014-02-11,51.45,52.33,50.85,51.46,3298383.0
2014-02-10,49.97,51.48,49.7,51.1,3322977.0
2014-02-07,48.92,49.92,48.3,49.83,2865139.0
2014-02-06,48.01,48.95,47.81,48.2,2307703.0
2014-02-05,48.27,48.85,47.04,47.73,3399289.0
2014-02-04,48.9,49.43,48.35,49.11,2257952.0
2014-02-03,50.41,50.85,47.64,48.35,3975858.0
2014-01-31,50.46,51.92,50.3,50.58,2654899.0
2014-01-30,50.46,52.13,49.79,51.47,2900986.0
2014-01-29,49.5,50.92,49.11,49.7,2673807.0
2014-01-28,49.38,50.45,49.02,50.36,2523030.0
2014-01-27,48.33,50.12,47.75,48.84,3209120.0
2014-01-24,49.75,49.99,48.11,48.67,3886560.0
