Date,Open,High,Low,Close,Volume
2014-04-07,1.94,2.02,1.85,1.93,3489805.0
2014-04-04,2.02,2.04,1.86,1.94,5110923.0
2014-04-03,2.07,2.09,1.96,1.98,3920774.0
2014-04-02,2.14,2.16,2.03,2.05,3457938.0
2014-04-01,2.07,2.18,2.05,2.12,2931102.0
2014-03-31,2.07,2.16,2.02,2.09,3753684.0
2014-03-28,2.12,2.18,1.96,2.02,4697996.0
2014-03-27,1.99,2.06,1.88,2.05,4741657.0
2014-03-26,2.13,2.19,1.99,1.99,4665852.0
2014-03-25,2.29,2.31,2.06,2.15,6783536.0
2014-03-24,2.22,2.33,2.13,2.28,6243352.0
2014-03-21,2.23,2.29,2.13,2.21,10778377.0
2014-03-20,2.15,2.38,2.13,2.24,6448891.0
2014-03-19,2.38,2.46,2.21,2.28,12354402.0
2014-03-18,1.8,2.53,1.78,2.48,39034850.0
2014-03-17,1.82,1.93,1.77,1.78,7277939.0
2014-03-14,1.82,1.84,1.67,1.83,9204812.0
2014-03-13,1.7,1.95,1.69,1.78,16413826.0
2014-03-12,1.66,1.82,1.39,1.69,46578286.0
2014-03-11,4.52,4.67,4.35,4.4,2877307.0
2014-03-10,4.52,4.53,4.33,4.52,2482789.0
2014-03-07,4.62,4.64,4.25,4.53,5019871.0
2014-03-06,4.7,4.8,4.52,4.57,2322523.0
2014-03-05,4.78,4.81,4.68,4.77,2293179.0
2014-03-04,4.74,4.89,4.7,4.74,3028161.0
2014-03-03,4.67,4.73,4.51,4.63,2302783.0
2014-02-28,5.08,5.15,4.55,4.76,7223732.0
2014-02-27,5.09,5.19,4.82,5.06,4616281.0
2014-02-26,4.94,5.23,4.92,5.0,5098425.0
2014-02-25,4.97,5.05,4.83,4.95,2181256.0
2014-02-24,4.91,5.08,4.82,4.93,3664137.0
2014-02-21,4.91,5.02,4.77,4.88,2551484.0
2014-02-20,4.84,4.91,4.7,4.88,2236048.0
2014-02-19,5.12,5.15,4.8,4.84,4023429.0
2014-02-18,5.13,5.28,5.02,5.2,3121683.0
2014-02-14,5.09,5.26,4.95,4.97,3980338.0
2014-02-13,5.0,5.09,4.92,5.07,3415485.0
2014-02-12,5.1,5.22,5.04,5.1,2288857.0
2014-02-11,5.05,5.15,4.92,5.09,4547432.0
2014-02-10,4.79,5.02,4.7,5.01,2585257.0
2014-02-07,4.5,4.84,4.49,4.79,2847432.0
2014-02-06,4.52,4.61,4.43,4.48,2745662.0
2014-02-05,4.71,4.74,4.42,4.51,2903533.0
2014-02-04,4.87,4.94,4.7,4.73,2592683.0
2014-02-03,5.1,5.12,4.81,4.83,4120843.0
2014-01-31,5.05,5.22,4.93,5.02,6766314.0
2014-01-30,4.38,5.54,4.29,5.35,33906136.0
2014-01-29,4.52,4.53,4.3,4.33,3820413.0
2014-01-28,4.72,4.87,4.6,4.61,2481103.0
2014-01-27,5.04,5.15,4.5,4.76,11152643.0
2014-01-24,5.62,5.92,5.58,5.62,7124778.0
2014-01-23,5.49,5.78,5.24,5.71,6916551.0
2014-01-22,5.45,5.53,5.25,5.48,7226740.0
2014-01-21,4.8,5.38,4.67,5.38,11536263.0
2014-01-17,4.26,4.59,4.26,4.5,4545333.0
2014-01-16,4.38,4.38,4.08,4.26,5569625.0
2014-01-15,4.72,4.74,4.33,4.5,4172086.0
2014-01-14,4.6,4.78,4.48,4.76,3486066.0
2014-01-13,5.24,5.24,4.47,4.5,8460973.0
2014-01-10,5.26,5.35,5.07,5.22,5455450.0
2014-01-09,4.99,5.3,4.81,5.23,7013058.0
2014-01-08,4.69,4.83,4.55,4.83,2406077.0
2014-01-07,4.68,4.77,4.6,4.66,2486619.0
2014-01-06,4.91,4.91,4.64,4.65,2476287.0
2014-01-03,4.91,4.98,4.86,4.88,1350312.0
2014-01-02,4.75,4.94,4.67,4.9,2727572.0
2013-12-31,4.79,4.9,4.71,4.74,3118040.0
2013-12-30,4.89,4.94,4.72,4.77,2152913.0
2013-12-27,5.08,5.08,4.83,4.84,2598494.0
2013-12-26,5.02,5.19,4.98,5.1,2082512.0
2013-12-24,5.18,5.3,4.91,4.98,2647090.0
2013-12-23,4.83,5.28,4.83,5.2,4954074.0
2013-12-20,4.76,4.96,4.73,4.84,10119934.0
2013-12-19,4.66,4.86,4.62,4.75,2674390.0
2013-12-18,4.7,4.76,4.5,4.69,3278310.0
2013-12-17,4.81,4.87,4.6,4.7,3269949.0
2013-12-16,4.75,4.93,4.75,4.84,3242407.0
2013-12-13,4.76,4.8,4.6,4.77,3526562.0
2013-12-12,4.78,4.99,4.55,4.78,6867527.0
2013-12-11,5.21,5.25,4.65,4.66,8581393.0
2013-12-10,5.77,6.0,4.94,5.15,24569379.0
2013-12-09,5.9,5.94,5.43,5.52,8908139.0
2013-12-06,6.72,6.92,5.71,5.86,22573479.0
2013-12-05,5.86,6.08,5.66,5.87,7258625.0
2013-12-04,5.7,5.78,5.35,5.74,3326339.0
2013-12-03,5.81,5.9,5.37,5.48,5637889.0
2013-12-02,5.37,5.78,5.37,5.73,4110488.0
2013-11-29,5.38,5.59,5.31,5.37,2015549.0
2013-11-27,5.4,5.45,5.17,5.31,2983901.0
2013-11-26,5.33,5.5,4.95,5.41,5807844.0
2013-11-25,5.3,5.55,5.18,5.36,4110497.0
2013-11-22,5.25,5.46,5.22,5.27,3040292.0
2013-11-21,5.05,5.24,5.05,5.2,2314223.0
2013-11-20,4.98,5.1,4.9,5.04,3212139.0
2013-11-19,5.1,5.16,4.83,4.98,3857903.0
2013-11-18,5.55,5.65,5.02,5.08,8828444.0
2013-11-15,5.66,5.69,5.3,5.42,4667415.0
2013-11-14,5.27,5.86,5.25,5.62,7122112.0
2013-11-13,4.96,5.44,4.88,5.28,6773390.0
2013-11-12,5.07,5.13,4.72,5.02,6083840.0
2013-11-11,4.75,5.18,4.7,5.05,7793278.0
2013-11-08,5.08,5.29,4.3,4.6,19659971.0
2013-11-07,7.25,7.79,5.18,5.21,48495714.0
2013-11-06,3.88,4.0,3.56,3.6,3175746.0
2013-11-05,4.2,4.22,3.82,3.88,2750743.0
2013-11-04,3.99,4.09,3.94,4.01,2189163.0
2013-11-01,3.94,4.06,3.81,3.94,2349444.0
2013-10-31,3.88,4.0,3.62,3.95,2467543.0
2013-10-30,3.86,4.05,3.86,3.93,1606889.0
2013-10-29,4.12,4.18,3.81,3.93,3818097.0
2013-10-28,4.12,4.19,3.9,4.1,2695600.0
2013-10-25,4.48,4.48,4.04,4.12,2865689.0
2013-10-24,4.31,4.53,4.22,4.38,2316063.0
2013-10-23,4.22,4.4,4.06,4.29,2443984.0
2013-10-22,4.21,4.42,4.09,4.22,2823761.0
2013-10-21,4.3,4.78,4.12,4.15,6571693.0
2013-10-18,4.41,4.45,4.15,4.28,2556593.0
2013-10-17,4.2,4.49,3.95,4.32,6711462.0
2013-10-16,3.27,4.62,3.24,4.36,22723616.0
2013-10-15,3.15,3.37,2.99,3.12,2706159.0
2013-10-14,3.04,3.14,3.01,3.08,1445406.0
2013-10-11,3.07,3.25,2.97,3.08,3023686.0
2013-10-10,2.98,3.3,2.97,3.03,2211308.0
2013-10-09,2.9,2.95,2.74,2.92,1778426.0
2013-10-08,3.34,3.37,2.65,2.9,5171699.0
2013-10-07,3.3,3.44,3.15,3.35,1635341.0
2013-10-04,3.16,3.38,3.15,3.35,1724687.0
2013-10-03,3.39,3.51,3.1,3.17,2328034.0
2013-10-02,3.26,3.49,3.26,3.4,2306913.0
2013-10-01,3.31,3.66,3.13,3.32,3382652.0
2013-09-30,3.6,3.6,3.31,3.35,3790127.0
2013-09-27,3.35,3.95,3.35,3.7,6098995.0
2013-09-26,3.11,3.46,3.11,3.35,2362415.0
2013-09-25,3.19,3.32,3.08,3.12,2134559.0
2013-09-24,3.14,3.4,2.87,3.22,5296233.0
2013-09-23,2.47,3.18,2.46,3.16,6170933.0
2013-09-20,2.68,2.68,2.46,2.47,1801769.0
2013-09-19,2.74,2.75,2.52,2.65,2172510.0
2013-09-18,2.32,2.75,2.25,2.68,3911786.0
2013-09-17,2.26,2.34,2.1,2.31,2270733.0
2013-09-16,2.07,2.31,2.02,2.25,3133899.0
2013-09-13,1.95,2.03,1.86,1.99,1278764.0
2013-09-12,1.88,2.06,1.83,1.92,3068200.0
2013-09-11,1.65,1.85,1.62,1.81,2385946.0
2013-09-10,1.69,1.7,1.59,1.65,615788.0
2013-09-09,1.54,1.67,1.54,1.66,891325.0
2013-09-06,1.53,1.58,1.47,1.54,449757.0
2013-09-05,1.5,1.52,1.48,1.52,279086.0
2013-09-04,1.49,1.52,1.49,1.5,228317.0
2013-09-03,1.46,1.49,1.44,1.49,222855.0
2013-08-30,1.5,1.5,1.43,1.43,314316.0
2013-08-29,1.46,1.54,1.46,1.51,375012.0
2013-08-28,1.43,1.5,1.43,1.47,338417.0
2013-08-27,1.48,1.5,1.42,1.43,418562.0
2013-08-26,1.52,1.52,1.49,1.5,408721.0
2013-08-23,1.48,1.52,1.46,1.52,390162.0
2013-08-22,1.46,1.5,1.43,1.48,223030.0
2013-08-21,1.41,1.47,1.4,1.45,282570.0
2013-08-20,1.41,1.43,1.4,1.41,259957.0
2013-08-19,1.44,1.49,1.4,1.4,315523.0
2013-08-16,1.41,1.52,1.41,1.42,765374.0
2013-08-15,1.48,1.48,1.41,1.41,503124.0
2013-08-14,1.56,1.56,1.46,1.48,497580.0
2013-08-13,1.59,1.62,1.52,1.55,961423.0
2013-08-12,1.59,1.65,1.52,1.57,2056112.0
2013-08-09,1.53,1.68,1.46,1.49,4435676.0
2013-08-08,1.3,1.33,1.27,1.28,510603.0
2013-08-07,1.34,1.34,1.27,1.3,443115.0
2013-08-06,1.35,1.38,1.32,1.35,397020.0
2013-08-05,1.4,1.4,1.35,1.36,260672.0
2013-08-02,1.31,1.42,1.31,1.39,544404.0
2013-08-01,1.33,1.34,1.31,1.33,172622.0
2013-07-31,1.35,1.35,1.3,1.31,383127.0
2013-07-30,1.34,1.36,1.31,1.35,234420.0
2013-07-29,1.36,1.38,1.33,1.34,210863.0
2013-07-26,1.42,1.44,1.38,1.38,260089.0
2013-07-25,1.39,1.44,1.33,1.44,482801.0
2013-07-24,1.34,1.45,1.34,1.44,599108.0
2013-07-23,1.37,1.38,1.31,1.34,700486.0
2013-07-22,1.47,1.49,1.4,1.41,722936.0
2013-07-19,1.48,1.5,1.47,1.48,263648.0
2013-07-18,1.5,1.53,1.46,1.48,312647.0
2013-07-17,1.5,1.53,1.47,1.5,261610.0
2013-07-16,1.48,1.53,1.45,1.49,430409.0
2013-07-15,1.54,1.54,1.45,1.48,820941.0
2013-07-12,1.52,1.54,1.49,1.54,524516.0
2013-07-11,1.54,1.54,1.49,1.53,336614.0
2013-07-10,1.49,1.53,1.48,1.52,234481.0
2013-07-09,1.53,1.55,1.49,1.5,608586.0
2013-07-08,1.53,1.55,1.5,1.52,620026.0
2013-07-05,1.49,1.53,1.48,1.53,511233.0
2013-07-03,1.48,1.49,1.42,1.48,295752.0
2013-07-02,1.45,1.49,1.41,1.48,593285.0
2013-07-01,1.52,1.57,1.44,1.47,1125843.0
2013-06-28,1.46,1.55,1.42,1.5,3545607.0
2013-06-27,1.36,1.46,1.35,1.46,1766640.0
2013-06-26,1.25,1.36,1.22,1.34,1633801.0
2013-06-25,1.25,1.25,1.2,1.24,738092.0
2013-06-24,1.2,1.23,1.16,1.22,1087580.0
2013-06-21,1.12,1.23,1.11,1.21,4176535.0
2013-06-20,1.19,1.23,1.11,1.11,1415801.0
2013-06-19,1.13,1.23,1.12,1.19,1611596.0
2013-06-18,1.13,1.17,1.11,1.15,1034191.0
2013-06-17,1.14,1.27,1.13,1.15,2330438.0
2013-06-14,1.13,1.16,1.13,1.14,524945.0
2013-06-13,1.12,1.15,1.07,1.15,550997.0
2013-06-12,1.16,1.16,1.13,1.14,442298.0
2013-06-11,1.07,1.17,1.07,1.15,1089812.0
2013-06-10,1.11,1.14,1.11,1.12,937892.0
2013-06-07,1.16,1.16,1.06,1.11,1105195.0
2013-06-06,1.1,1.14,1.09,1.14,524417.0
2013-06-05,1.15,1.18,1.11,1.12,642493.0
2013-06-04,1.13,1.18,1.13,1.17,813706.0
2013-06-03,1.1,1.14,1.07,1.12,1085636.0
2013-05-31,1.09,1.13,1.09,1.09,1809252.0
2013-05-30,1.11,1.13,1.08,1.1,611157.0
2013-05-29,1.11,1.15,1.1,1.11,426777.0
2013-05-28,1.11,1.13,1.1,1.13,492169.0
2013-05-24,1.1,1.13,1.09,1.12,392723.0
2013-05-23,1.09,1.13,1.05,1.12,546524.0
2013-05-22,1.11,1.15,1.1,1.1,634255.0
2013-05-21,1.12,1.14,1.12,1.12,275068.0
2013-05-20,1.12,1.14,1.12,1.12,384320.0
2013-05-17,1.15,1.16,1.12,1.12,930253.0
2013-05-16,1.18,1.21,1.14,1.15,775485.0
2013-05-15,1.16,1.21,1.16,1.18,745769.0
2013-05-14,1.15,1.17,1.14,1.17,436329.0
2013-05-13,1.14,1.17,1.14,1.15,570405.0
2013-05-10,1.14,1.16,1.14,1.16,225109.0
2013-05-09,1.15,1.16,1.13,1.14,268757.0
2013-05-08,1.14,1.22,1.14,1.16,941379.0
2013-05-07,1.14,1.18,1.14,1.16,377240.0
2013-05-06,1.15,1.16,1.14,1.14,463131.0
2013-05-03,1.16,1.18,1.13,1.16,743347.0
2013-05-02,1.11,1.16,1.11,1.16,494094.0
2013-05-01,1.15,1.16,1.12,1.12,1117165.0
2013-04-30,1.15,1.17,1.14,1.17,891688.0
2013-04-29,1.15,1.17,1.14,1.17,320235.0
2013-04-26,1.14,1.16,1.1,1.14,1238598.0
