Date,Open,High,Low,Close,Volume
2014-04-07,26.03,27.36,25.75,26.78,190850.0
2014-04-04,26.22,26.58,25.68,26.23,338108.0
2014-04-03,26.67,26.67,25.67,26.08,181727.0
2014-04-02,26.77,27.05,26.36,26.76,147249.0
2014-04-01,26.37,26.95,26.07,26.57,185839.0
2014-03-31,26.04,26.76,25.95,26.34,130834.0
2014-03-28,26.95,27.1,25.71,25.95,176700.0
2014-03-27,26.52,27.13,26.0,26.99,116465.0
2014-03-26,27.36,28.02,26.61,26.62,244490.0
2014-03-25,27.38,27.82,26.7,27.21,129006.0
2014-03-24,27.42,28.0,26.53,27.15,186086.0
2014-03-21,28.45,28.81,26.73,27.29,722938.0
2014-03-20,29.38,29.77,28.3,28.39,110447.0
2014-03-19,29.5,29.93,29.17,29.49,135760.0
2014-03-18,28.25,29.5,28.25,29.39,103763.0
2014-03-17,29.21,29.93,28.04,28.21,168027.0
2014-03-14,28.29,29.46,27.86,29.09,258619.0
2014-03-13,28.35,28.81,28.2,28.42,440437.0
2014-03-12,28.69,28.91,27.91,28.2,173982.0
2014-03-11,28.81,28.91,28.34,28.8,198819.0
2014-03-10,27.61,28.81,27.43,28.76,278769.0
2014-03-07,26.39,28.06,26.05,27.99,216937.0
2014-03-06,26.67,26.71,26.03,26.24,223073.0
2014-03-05,26.39,26.76,26.2,26.49,66132.0
2014-03-04,26.53,27.07,26.29,26.38,306773.0
2014-03-03,26.18,26.61,25.71,26.2,214469.0
2014-02-28,27.78,27.86,26.27,26.41,213703.0
2014-02-27,27.64,27.74,27.19,27.7,258044.0
2014-02-26,29.07,29.11,27.5,27.73,349121.0
2014-02-25,28.8,29.43,28.58,29.08,103942.0
2014-02-24,28.53,29.64,28.32,28.83,154933.0
2014-02-21,28.62,29.23,28.24,28.53,205066.0
2014-02-20,27.75,28.59,27.33,28.51,160342.0
2014-02-19,27.96,28.14,27.56,27.75,131017.0
2014-02-18,27.8,28.46,27.51,27.98,187594.0
2014-02-14,27.56,27.63,27.11,27.62,122246.0
2014-02-13,27.3,27.58,27.0,27.56,156563.0
2014-02-12,27.82,28.03,27.16,27.46,145256.0
2014-02-11,27.01,27.74,27.01,27.6,225953.0
2014-02-10,26.5,27.24,25.7,27.12,390453.0
2014-02-07,25.5,26.78,25.5,26.52,869660.0
2014-02-06,26.8,26.8,25.54,26.66,455578.0
2014-02-05,27.52,28.0,26.5,26.86,897677.0
2014-02-04,29.04,29.9,28.93,29.5,210215.0
2014-02-03,30.08,30.08,28.25,28.94,227660.0
2014-01-31,30.49,30.98,30.01,30.12,146877.0
2014-01-30,31.0,31.35,30.74,31.05,96832.0
2014-01-29,30.47,31.12,30.38,30.76,203209.0
2014-01-28,30.13,31.11,30.05,30.84,216822.0
2014-01-27,31.19,31.2,29.2,30.0,228577.0
2014-01-24,32.53,32.55,31.02,31.26,151544.0
2014-01-23,32.75,32.95,32.3,32.87,119590.0
2014-01-22,33.07,33.78,32.91,33.0,329837.0
2014-01-21,32.64,32.96,32.4,32.89,149847.0
2014-01-17,32.96,32.96,32.26,32.5,186665.0
2014-01-16,31.97,33.0,31.91,32.9,235791.0
