Date,Open,High,Low,Close,Volume
2014-04-07,41.41,41.84,40.32,40.4,888486.0
2014-04-04,42.14,42.66,41.23,41.39,795035.0
2014-04-03,42.55,42.83,41.33,42.07,957672.0
2014-04-02,41.83,42.75,41.63,42.38,799623.0
2014-04-01,41.91,42.13,41.17,41.53,538039.0
2014-03-31,42.0,42.0,41.45,41.69,728972.0
2014-03-28,42.13,42.41,41.45,41.79,577026.0
2014-03-27,42.0,42.19,41.26,41.55,971002.0
2014-03-26,43.28,43.94,41.68,42.04,843475.0
2014-03-25,43.36,43.63,42.39,42.89,755801.0
2014-03-24,43.06,43.52,42.44,42.99,1028324.0
2014-03-21,40.78,43.17,40.59,43.04,1550349.0
2014-03-20,40.21,40.87,39.72,40.85,540080.0
2014-03-19,40.36,40.71,40.04,40.32,525224.0
2014-03-18,40.93,40.94,40.16,40.21,543078.0
2014-03-17,39.48,40.93,39.38,40.55,979190.0
2014-03-14,39.1,39.69,38.95,39.16,426699.0
2014-03-13,39.35,39.37,38.55,38.93,698157.0
2014-03-12,38.69,39.56,37.47,38.97,706332.0
2014-03-11,39.26,39.92,38.61,38.76,867961.0
2014-03-10,39.36,39.9,38.96,39.36,1368403.0
2014-03-07,40.0,40.33,39.46,39.69,926913.0
2014-03-06,41.0,41.2,39.1,40.03,1184242.0
2014-03-05,37.22,40.74,37.13,40.58,1857277.0
2014-03-04,38.76,40.77,37.41,37.55,3576398.0
2014-03-03,36.24,38.76,36.02,38.17,2783805.0
2014-02-28,34.4,37.4,33.54,36.6,3018436.0
2014-02-27,34.25,34.44,33.52,33.76,905818.0
2014-02-26,34.13,34.44,33.44,34.26,803771.0
2014-02-25,34.5,34.5,33.54,34.05,981734.0
2014-02-24,33.75,34.61,33.75,34.34,983499.0
2014-02-21,34.21,34.48,33.59,33.64,651162.0
2014-02-20,33.89,34.3,33.55,34.26,773530.0
2014-02-19,34.97,35.18,33.85,33.91,620919.0
2014-02-18,35.36,35.49,34.36,34.92,841384.0
2014-02-14,34.88,35.42,34.61,35.16,619551.0
2014-02-13,35.0,35.27,34.75,34.83,662155.0
2014-02-12,34.59,35.36,34.52,34.99,837451.0
