Date,Open,High,Low,Close,Volume
2014-04-07,102.48,105.05,101.44,101.93,2583002.0
2014-04-04,108.65,108.99,102.07,102.99,2779665.0
2014-04-03,108.6,108.89,106.75,108.48,2046317.0
2014-04-02,110.09,111.5,108.52,109.28,2333438.0
2014-04-01,105.63,110.03,105.59,109.77,1908690.0
2014-03-31,108.69,108.78,104.48,105.59,2766792.0
2014-03-28,107.9,109.44,107.48,108.15,1616792.0
2014-03-27,106.22,108.18,105.12,106.83,1928665.0
2014-03-26,107.52,108.68,105.63,105.67,1854921.0
2014-03-25,107.4,109.5,106.35,107.27,2198667.0
2014-03-24,112.0,112.0,105.2,105.88,5560709.0
2014-03-21,116.17,117.1,111.41,112.0,26839245.0
2014-03-20,114.92,117.23,113.55,115.4,1954453.0
2014-03-19,115.07,116.62,113.45,115.21,2070674.0
2014-03-18,115.63,116.99,114.5,115.79,2908071.0
2014-03-17,116.67,117.45,113.04,115.56,5747060.0
2014-03-14,107.0,115.92,106.51,113.25,6050316.0
2014-03-13,110.25,110.41,105.5,106.16,2099970.0
2014-03-12,105.83,109.12,105.49,108.6,2006119.0
2014-03-11,103.92,108.8,103.92,106.23,2820471.0
2014-03-10,105.65,107.3,103.64,103.99,1939482.0
2014-03-07,108.36,108.89,104.28,106.0,2464327.0
2014-03-06,110.64,110.99,106.74,107.12,3099806.0
2014-03-05,108.78,112.49,106.81,110.54,3569264.0
2014-03-04,111.47,111.98,107.71,108.62,3130763.0
2014-03-03,109.29,111.05,107.27,109.94,3635759.0
2014-02-28,114.25,114.38,108.84,109.78,3991066.0
2014-02-27,115.33,116.4,112.39,112.89,4119431.0
2014-02-26,117.73,118.95,115.82,116.1,2819996.0
2014-02-25,121.19,121.93,117.18,117.5,3875312.0
2014-02-24,123.48,123.56,121.07,121.49,2317412.0
2014-02-21,123.79,124.2,121.86,123.04,2493555.0
2014-02-20,118.38,124.42,118.01,123.74,4196854.0
2014-02-19,119.64,119.98,116.9,117.94,3200901.0
2014-02-18,115.85,120.97,115.4,120.36,3865943.0
2014-02-14,120.77,121.2,115.07,116.03,4834807.0
2014-02-13,118.83,122.38,118.18,120.77,5005216.0
2014-02-12,117.15,120.77,116.61,119.96,5957046.0
2014-02-11,111.13,120.24,111.01,119.4,10333642.0
2014-02-10,107.67,111.5,105.8,110.92,6453460.0
2014-02-07,98.15,113.23,98.0,107.75,14023327.0
2014-02-06,110.0,110.5,99.57,102.1,32449563.0
2014-02-05,80.58,84.02,80.3,80.88,13653591.0
2014-02-04,78.67,80.97,78.66,80.14,3980787.0
2014-02-03,81.82,81.9,76.61,77.99,4932685.0
2014-01-31,78.0,81.3,77.74,81.0,3059543.0
2014-01-30,76.74,79.59,76.59,79.15,1968687.0
2014-01-29,76.45,77.16,75.75,76.51,2302390.0
2014-01-28,76.17,77.31,74.44,77.25,2946509.0
2014-01-27,78.58,79.12,76.55,77.63,2302242.0
2014-01-24,80.0,80.21,78.0,78.68,2040693.0
2014-01-23,80.54,81.8,79.63,80.86,1842549.0
2014-01-22,80.1,81.5,79.71,81.15,1502210.0
2014-01-21,79.88,80.12,78.96,80.03,2117492.0
2014-01-17,79.75,81.48,78.86,78.96,2234237.0
2014-01-16,79.0,80.5,78.75,80.09,1738906.0
2014-01-15,80.3,80.4,78.58,79.1,1942160.0
2014-01-14,79.57,80.75,78.43,80.35,1824344.0
2014-01-13,80.59,81.22,78.35,79.41,3068430.0
2014-01-10,80.6,80.96,80.1,80.76,1970706.0
2014-01-09,81.16,81.23,79.48,80.69,2611586.0
2014-01-08,79.55,81.0,79.09,80.59,3251454.0
2014-01-07,77.42,80.28,77.25,79.69,3968726.0
2014-01-06,76.01,77.45,75.92,76.95,3146325.0
2014-01-03,74.58,75.85,74.25,75.75,2348487.0
2014-01-02,75.49,75.51,73.29,74.63,2241657.0
2013-12-31,75.44,76.19,75.04,75.54,1652602.0
2013-12-30,74.98,76.14,74.22,75.43,1881315.0
2013-12-27,75.95,76.39,74.63,74.83,1222768.0
2013-12-26,75.03,76.3,74.84,75.81,2185013.0
2013-12-24,74.79,75.33,74.28,74.84,1037657.0
2013-12-23,77.5,77.58,73.71,74.95,3496427.0
2013-12-20,76.52,77.48,76.51,77.25,3851948.0
2013-12-19,75.68,76.41,75.01,76.25,3540102.0
2013-12-18,74.75,76.19,73.75,76.16,3424049.0
