Date,Open,High,Low,Close,Volume
2014-04-07,8.73,8.73,8.31,8.58,529928.0
2014-04-04,9.39,9.42,8.79,8.8,293579.0
2014-04-03,9.53,9.7,9.22,9.32,312672.0
2014-04-02,9.35,9.64,9.28,9.53,385079.0
2014-04-01,9.13,9.38,9.13,9.36,208946.0
2014-03-31,9.1,9.16,8.92,9.12,306110.0
2014-03-28,8.81,9.17,8.81,9.05,272024.0
2014-03-27,8.95,8.96,8.7,8.8,460186.0
2014-03-26,9.03,9.15,8.93,8.96,447410.0
2014-03-25,9.03,9.22,8.73,9.0,462264.0
2014-03-24,9.22,9.22,8.72,9.01,585625.0
2014-03-21,9.32,9.39,9.15,9.21,460171.0
2014-03-20,9.18,9.37,9.05,9.26,268672.0
2014-03-19,8.9,9.25,8.86,9.2,272472.0
2014-03-18,8.77,8.93,8.75,8.92,290804.0
2014-03-17,8.87,8.94,8.73,8.76,289193.0
2014-03-14,8.87,8.87,8.66,8.83,309864.0
2014-03-13,8.94,9.0,8.7,8.87,495303.0
2014-03-12,8.68,8.9,8.66,8.89,531442.0
2014-03-11,8.77,8.81,8.62,8.77,479879.0
2014-03-10,8.69,8.85,8.53,8.78,429590.0
2014-03-07,8.73,8.85,8.6,8.72,483697.0
2014-03-06,8.85,8.85,8.45,8.67,652849.0
2014-03-05,9.63,9.66,8.6,8.8,1116041.0
2014-03-04,10.61,10.61,9.28,9.74,1215850.0
2014-03-03,10.66,10.96,10.58,10.84,191873.0
2014-02-28,10.42,10.81,10.35,10.71,431929.0
2014-02-27,10.37,10.49,10.35,10.38,198894.0
2014-02-26,10.63,10.67,10.38,10.43,212584.0
2014-02-25,10.58,10.66,10.5,10.6,151551.0
2014-02-24,10.6,10.82,10.49,10.6,288077.0
2014-02-21,10.72,10.84,10.61,10.63,199489.0
2014-02-20,10.77,10.79,10.55,10.66,342135.0
2014-02-19,11.05,11.13,10.77,10.77,168580.0
2014-02-18,11.01,11.18,10.96,11.11,172613.0
2014-02-14,10.91,11.09,10.83,11.01,133835.0
2014-02-13,10.7,10.95,10.68,10.91,171828.0
