Date,Open,High,Low,Close,Volume
2014-04-07,90.57,91.22,89.38,89.54,623150.0
2014-04-04,94.98,94.98,90.9,91.0,473363.0
2014-04-03,94.68,95.36,93.44,94.3,524801.0
2014-04-02,92.94,94.89,92.69,94.45,465239.0
2014-04-01,91.87,92.85,91.72,92.84,502888.0
2014-03-31,89.54,91.62,89.36,91.43,503102.0
2014-03-28,90.09,90.75,89.35,89.46,343226.0
2014-03-27,90.85,90.85,89.55,90.18,291980.0
2014-03-26,92.64,93.0,90.45,90.5,464879.0
2014-03-25,92.25,93.4,91.97,92.26,308079.0
2014-03-24,93.9,94.08,91.27,91.86,488744.0
2014-03-21,94.45,94.89,93.24,93.47,812566.0
2014-03-20,93.7,94.45,93.24,94.31,229889.0
2014-03-19,94.72,95.0,93.02,93.76,386821.0
2014-03-18,93.91,94.84,93.25,94.46,390797.0
2014-03-17,94.21,94.79,93.0,93.91,405840.0
2014-03-14,93.37,94.6,92.9,93.57,584328.0
2014-03-13,95.19,96.16,93.5,93.94,770827.0
2014-03-12,93.05,95.14,92.06,95.0,600082.0
2014-03-11,93.92,94.58,92.62,93.3,505947.0
2014-03-10,93.9,94.59,93.23,94.31,710649.0
2014-03-07,94.32,94.9,93.04,94.17,1035384.0
2014-03-06,92.05,94.19,91.59,93.84,738399.0
2014-03-05,91.31,91.99,90.5,91.79,601277.0
2014-03-04,89.39,91.88,89.39,91.23,749915.0
2014-03-03,88.67,89.0,87.58,88.53,587990.0
2014-02-28,89.07,90.19,88.31,89.3,609321.0
2014-02-27,88.43,89.38,88.0,88.87,407703.0
2014-02-26,89.33,89.86,88.26,88.74,709880.0
2014-02-25,87.86,90.42,87.78,89.5,1002246.0
2014-02-24,87.91,88.6,87.45,88.44,535396.0
2014-02-21,88.35,88.62,87.26,87.5,573945.0
2014-02-20,85.69,88.16,85.69,87.64,618810.0
2014-02-19,86.14,87.54,85.54,85.68,898312.0
2014-02-18,85.72,87.22,85.64,86.31,701328.0
2014-02-14,84.43,85.62,84.0,85.58,510798.0
2014-02-13,84.22,85.49,83.25,84.48,953310.0
2014-02-12,86.0,86.09,84.58,84.89,646503.0
2014-02-11,86.27,86.44,84.87,85.65,1413309.0
2014-02-10,87.21,87.21,85.75,86.43,647118.0
2014-02-07,87.3,88.17,85.52,86.35,877407.0
2014-02-06,86.01,87.3,85.67,86.69,1577186.0
2014-02-05,85.0,86.31,80.02,85.44,4909972.0
2014-02-04,90.46,91.6,89.55,90.99,1184364.0
2014-02-03,91.93,92.69,88.33,89.47,920664.0
2014-01-31,92.69,93.24,91.7,91.89,576533.0
2014-01-30,93.17,94.7,92.26,93.7,683060.0
2014-01-29,92.55,93.38,91.95,92.37,658261.0
2014-01-28,93.09,94.49,92.73,93.06,588534.0
2014-01-27,94.0,94.94,91.54,92.55,616470.0
2014-01-24,94.87,95.18,93.44,94.01,642810.0
2014-01-23,94.5,95.67,93.52,95.53,769616.0
2014-01-22,95.73,96.58,93.97,94.6,742996.0
2014-01-21,98.14,98.83,95.28,95.74,1037699.0
2014-01-17,96.96,97.98,96.31,97.58,401676.0
2014-01-16,97.21,97.58,96.24,97.27,687740.0
2014-01-15,97.0,98.06,96.31,97.81,819600.0
2014-01-14,92.27,96.93,92.27,96.89,971505.0
2014-01-13,90.21,93.78,90.21,91.51,633074.0
2014-01-10,90.29,91.07,89.5,90.12,323342.0
2014-01-09,90.29,91.32,89.36,90.15,372211.0
2014-01-08,91.04,91.91,89.36,90.19,581717.0
2014-01-07,89.68,91.32,89.53,90.73,615013.0
2014-01-06,90.97,91.39,89.68,89.75,549874.0
2014-01-03,89.75,90.96,89.7,90.68,601370.0
2014-01-02,90.64,90.64,88.92,89.7,535400.0
2013-12-31,89.68,91.41,89.5,90.78,623503.0
2013-12-30,89.81,90.35,88.85,89.66,444391.0
2013-12-27,90.26,90.44,89.46,89.63,286262.0
2013-12-26,89.78,90.6,89.02,89.9,504847.0
2013-12-24,89.14,89.83,89.0,89.17,399471.0
2013-12-23,87.86,89.4,87.36,89.32,6034533.0
2013-12-20,86.19,88.53,85.51,87.34,1101390.0
2013-12-19,84.01,85.45,83.55,85.13,568727.0
2013-12-18,83.53,84.56,81.84,83.87,413309.0
2013-12-17,82.81,84.55,82.59,83.62,492462.0
2013-12-16,82.98,83.41,81.92,82.85,283428.0
2013-12-13,80.79,82.07,80.62,81.92,377521.0
2013-12-12,81.81,81.85,80.15,80.66,285729.0
2013-12-11,82.53,82.58,81.41,81.9,251916.0
2013-12-10,83.78,84.0,82.17,82.62,278703.0
2013-12-09,83.72,84.91,83.34,84.12,377992.0
2013-12-06,83.01,84.02,82.57,83.27,488552.0
2013-12-05,82.54,83.0,82.08,82.85,539348.0
2013-12-04,81.2,82.99,80.5,82.54,637156.0
2013-12-03,82.0,82.46,80.81,81.31,520063.0
2013-12-02,82.75,82.98,82.01,82.06,273774.0
2013-11-29,83.39,83.96,82.52,82.69,133239.0
2013-11-27,83.18,83.42,82.52,82.9,306306.0
2013-11-26,81.06,83.34,80.75,82.45,653603.0
2013-11-25,83.7,83.7,79.59,79.85,904047.0
2013-11-22,83.67,84.26,83.13,83.67,189578.0
2013-11-21,82.33,83.82,82.16,83.51,199036.0
2013-11-20,83.5,84.0,82.01,82.33,224549.0
2013-11-19,84.05,84.29,82.81,83.4,251118.0
2013-11-18,84.55,85.12,83.75,84.26,320000.0
2013-11-15,84.79,84.99,83.64,84.51,397944.0
2013-11-14,85.35,85.35,84.1,84.81,724433.0
2013-11-13,83.2,85.0,82.36,85.0,407037.0
2013-11-12,83.32,83.71,82.66,83.41,223822.0
2013-11-11,83.9,84.5,83.49,83.78,394053.0
2013-11-08,82.82,84.97,82.71,83.7,624062.0
2013-11-07,86.24,86.72,82.69,82.84,608091.0
2013-11-06,85.04,88.36,83.58,86.25,930108.0
2013-11-05,82.96,83.52,82.22,83.37,768745.0
2013-11-04,82.46,83.51,82.37,83.07,732594.0
2013-11-01,83.09,83.21,80.81,81.89,794998.0
2013-10-31,84.61,84.61,82.85,83.18,348755.0
2013-10-30,86.4,86.4,84.25,84.78,512442.0
2013-10-29,86.04,86.41,85.31,86.26,647647.0
2013-10-28,84.45,86.22,84.44,85.68,495260.0
2013-10-25,83.76,84.63,83.1,84.63,459504.0
2013-10-24,82.82,84.33,82.31,83.34,744461.0
2013-10-23,81.4,82.7,81.01,82.47,408019.0
2013-10-22,80.43,81.83,80.23,81.57,483596.0
2013-10-21,80.16,80.96,79.95,80.3,551635.0
2013-10-18,80.01,81.11,79.34,80.27,944173.0
2013-10-17,78.04,79.51,77.26,79.35,714364.0
2013-10-16,77.44,78.75,77.02,78.13,564392.0
2013-10-15,77.61,78.05,76.24,76.75,766796.0
2013-10-14,77.44,77.85,76.5,77.78,727832.0
2013-10-11,76.51,77.86,76.16,77.82,429447.0
2013-10-10,74.66,76.86,74.39,76.37,801256.0
2013-10-09,75.87,76.18,72.34,73.92,1194932.0
2013-10-08,79.58,80.52,74.77,75.33,2649420.0
2013-10-07,79.23,80.4,78.8,79.56,801113.0
2013-10-04,78.15,78.79,77.98,78.18,405261.0
2013-10-03,78.33,78.77,77.83,78.3,403949.0
2013-10-02,78.17,78.96,77.61,78.68,485392.0
2013-10-01,76.87,78.51,76.78,78.46,574033.0
2013-09-30,76.46,77.17,76.3,77.12,376366.0
2013-09-27,76.92,77.49,76.34,77.29,584912.0
2013-09-26,76.51,77.6,76.5,77.04,446459.0
