Date,Open,High,Low,Close,Volume
2014-04-07,8.4,8.52,7.91,8.26,3954440.0
2014-04-04,7.94,9.2,7.88,8.43,20006716.0
2014-04-03,12.1,12.16,11.35,11.59,2041339.0
2014-04-02,12.32,12.49,12.03,12.14,1576275.0
2014-04-01,12.59,12.97,12.15,12.31,1790350.0
2014-03-31,13.2,13.49,12.25,12.7,3538975.0
2014-03-28,12.81,13.0,11.8,12.11,1828457.0
2014-03-27,12.13,12.35,11.28,12.3,2622368.0
2014-03-26,12.69,13.07,12.14,12.18,1541322.0
2014-03-25,12.96,13.42,12.18,12.61,1797683.0
2014-03-24,13.61,13.95,12.37,12.46,2963240.0
2014-03-21,14.09,14.25,13.25,13.54,2583717.0
2014-03-20,13.91,14.29,13.71,14.01,734463.0
2014-03-19,14.17,14.27,13.78,14.0,1075874.0
2014-03-18,13.56,14.04,13.49,14.02,1127664.0
2014-03-17,13.61,13.8,13.43,13.5,1168037.0
2014-03-14,13.37,13.63,13.14,13.45,940158.0
2014-03-13,13.87,13.98,13.28,13.45,1365297.0
2014-03-12,13.51,14.13,13.51,13.79,1349463.0
2014-03-11,13.92,14.18,13.5,13.7,1623980.0
2014-03-10,13.72,13.93,13.39,13.85,1725203.0
2014-03-07,14.34,14.55,13.6,13.83,2105239.0
2014-03-06,15.23,15.33,14.0,14.22,1721311.0
2014-03-05,15.0,15.39,14.93,15.22,2127862.0
2014-03-04,14.09,15.0,14.09,14.97,2429941.0
2014-03-03,13.78,14.05,13.49,13.84,2238373.0
2014-02-28,15.4,15.57,13.5,14.09,6084315.0
2014-02-27,16.0,16.25,15.56,16.02,1741090.0
2014-02-26,16.22,16.52,15.76,16.04,1492119.0
2014-02-25,16.13,16.5,15.97,16.22,1098104.0
2014-02-24,15.75,16.34,15.75,16.05,1248617.0
2014-02-21,15.23,15.84,14.9,15.65,1501010.0
2014-02-20,14.69,15.33,14.41,15.1,1457076.0
2014-02-19,15.45,15.49,14.66,14.69,2377418.0
2014-02-18,15.24,15.51,14.96,15.46,1217368.0
2014-02-14,15.16,15.5,14.97,15.12,888198.0
2014-02-13,14.71,15.23,14.7,15.14,899147.0
2014-02-12,14.79,15.28,14.7,15.06,1235751.0
2014-02-11,14.8,15.03,14.55,14.82,983981.0
2014-02-10,13.89,14.93,13.6,14.7,1682029.0
2014-02-07,13.23,14.15,13.21,14.08,2052392.0
2014-02-06,13.14,13.5,12.91,13.1,2121533.0
2014-02-05,13.44,13.66,12.7,13.14,9665807.0
2014-02-04,14.14,14.74,13.65,13.78,3081882.0
2014-02-03,15.74,15.85,14.46,14.74,1524967.0
2014-01-31,15.59,16.0,15.32,15.66,883862.0
2014-01-30,16.19,16.8,15.95,15.96,1445418.0
2014-01-29,16.24,16.68,15.76,15.92,1208238.0
2014-01-28,15.97,16.64,15.69,16.48,1265904.0
2014-01-27,16.75,16.84,14.82,15.87,2262584.0
2014-01-24,17.25,18.18,16.26,16.55,2599827.0
2014-01-23,17.45,17.64,17.0,17.57,1169548.0
2014-01-22,17.21,17.5,16.85,17.47,1059411.0
2014-01-21,17.31,17.55,16.4,17.22,1954877.0
2014-01-17,17.28,18.1,16.93,17.03,2893413.0
2014-01-16,16.06,17.28,15.95,17.22,2346334.0
2014-01-15,16.1,16.17,15.65,16.09,923958.0
2014-01-14,15.58,16.06,15.51,16.06,1508520.0
2014-01-13,16.48,16.58,15.23,15.55,1609458.0
2014-01-10,16.26,16.49,15.72,16.44,1347887.0
2014-01-09,15.98,16.45,15.84,16.15,1410234.0
2014-01-08,14.96,15.82,14.8,15.76,1309501.0
2014-01-07,14.79,15.07,14.66,14.97,895495.0
2014-01-06,15.16,15.17,14.16,14.66,1229178.0
2014-01-03,15.03,15.22,14.85,15.03,574360.0
2014-01-02,14.95,15.1,14.67,15.01,877481.0
