Date,Open,High,Low,Close,Volume
2014-04-07,67.23,67.61,66.09,66.23,291937.0
2014-04-04,69.76,70.12,66.95,67.5,226687.0
2014-04-03,69.45,69.74,68.36,69.21,166070.0
2014-04-02,69.45,69.68,68.85,69.35,139780.0
2014-04-01,69.32,69.93,69.0,69.39,278440.0
2014-03-31,68.53,69.56,68.0,69.23,210698.0
2014-03-28,67.08,68.59,67.08,68.43,140918.0
2014-03-27,68.19,68.19,66.82,67.21,223177.0
2014-03-26,68.69,69.39,67.2,67.2,122531.0
2014-03-25,67.46,68.25,67.02,68.2,132132.0
2014-03-24,68.08,68.57,66.82,67.31,238358.0
2014-03-21,68.4,68.88,67.64,67.78,1123849.0
2014-03-20,68.82,68.93,67.89,68.27,139802.0
2014-03-19,69.5,70.23,68.46,69.0,240655.0
2014-03-18,68.34,69.95,68.3,69.77,228751.0
2014-03-17,67.61,68.84,67.61,68.11,282823.0
2014-03-14,66.04,67.66,65.84,67.14,246651.0
2014-03-13,66.88,66.98,65.56,66.18,303920.0
2014-03-12,66.42,66.84,65.61,66.74,309370.0
2014-03-11,66.5,68.26,66.11,66.58,1015619.0
2014-03-10,66.0,66.65,65.79,66.55,694514.0
2014-03-07,65.92,66.01,65.18,65.88,411552.0
2014-03-06,66.16,66.3,65.55,65.66,344208.0
2014-03-05,66.19,66.56,65.96,66.1,256159.0
2014-03-04,66.43,66.95,66.06,66.29,354590.0
2014-03-03,65.11,66.02,64.92,65.99,453065.0
2014-02-28,65.28,65.94,65.07,65.31,261142.0
2014-02-27,64.55,65.48,64.35,65.39,217746.0
2014-02-26,63.6,64.94,63.2,64.52,208888.0
2014-02-25,63.12,63.63,63.12,63.5,238626.0
2014-02-24,62.59,63.38,62.59,63.12,586121.0
2014-02-21,63.05,63.15,62.54,62.68,372884.0
2014-02-20,62.54,63.35,62.51,63.22,220134.0
2014-02-19,62.6,63.17,62.41,62.54,280223.0
2014-02-18,63.12,63.3,62.51,62.76,279371.0
2014-02-14,62.84,63.2,62.34,62.93,257196.0
2014-02-13,62.01,63.05,61.97,62.84,317721.0
2014-02-12,63.11,63.65,61.91,62.36,632260.0
2014-02-11,63.33,63.75,62.86,63.07,378312.0
2014-02-10,63.17,64.74,62.79,63.56,838128.0
2014-02-07,59.03,59.51,58.63,59.35,256927.0
2014-02-06,58.34,60.59,58.32,59.08,466075.0
2014-02-05,56.1,58.32,55.97,58.0,313246.0
