Date,Open,High,Low,Close,Volume
2014-04-07,53.75,54.35,53.13,53.61,398357.0
2014-04-04,54.71,54.82,53.25,53.78,511314.0
2014-04-03,54.12,54.81,53.61,54.19,268418.0
2014-04-02,53.59,54.23,53.51,54.0,311959.0
2014-04-01,52.8,53.76,52.8,53.44,343702.0
2014-03-31,54.71,54.73,52.71,52.88,599903.0
2014-03-28,54.85,55.57,53.49,54.26,464418.0
2014-03-27,54.75,55.16,54.04,54.96,281978.0
2014-03-26,56.15,56.45,54.67,54.81,330465.0
2014-03-25,56.87,57.24,55.57,55.69,293663.0
2014-03-24,56.97,57.45,55.92,56.77,237210.0
2014-03-21,56.8,57.57,56.54,56.89,381458.0
2014-03-20,56.05,56.73,55.88,56.4,139624.0
2014-03-19,56.85,57.24,56.03,56.26,216832.0
2014-03-18,56.17,57.1,56.0,56.84,236850.0
2014-03-17,55.75,56.7,55.37,56.25,507513.0
2014-03-14,55.24,57.04,55.01,55.7,1502507.0
2014-03-13,59.22,59.41,57.74,57.84,367712.0
2014-03-12,57.86,59.04,57.32,58.92,509894.0
2014-03-11,59.14,59.42,58.08,58.14,426545.0
2014-03-10,59.24,59.76,58.89,59.05,388096.0
2014-03-07,59.8,60.89,58.64,59.2,721510.0
2014-03-06,59.02,60.02,58.39,59.64,387655.0
2014-03-05,58.67,59.11,58.5,58.81,278008.0
2014-03-04,57.33,58.79,57.0,58.58,522061.0
2014-03-03,56.78,57.64,56.67,56.88,204660.0
2014-02-28,58.53,59.3,57.3,57.33,290109.0
2014-02-27,58.0,58.49,57.04,58.32,227202.0
2014-02-26,57.31,58.51,57.09,58.16,337368.0
2014-02-25,55.74,57.48,55.72,56.81,442062.0
2014-02-24,54.25,56.22,54.0,55.87,539947.0
2014-02-21,57.17,57.17,56.47,56.79,313158.0
2014-02-20,56.8,57.49,56.47,56.82,309731.0
2014-02-19,57.48,58.0,56.84,56.9,229986.0
2014-02-18,56.88,57.94,56.67,57.75,292952.0
2014-02-14,57.46,57.56,56.72,57.05,184677.0
2014-02-13,56.99,58.07,56.84,57.89,152444.0
2014-02-12,57.98,58.11,57.19,57.51,322870.0
2014-02-11,58.27,59.34,57.73,57.86,380352.0
2014-02-10,59.29,60.02,58.16,58.3,376338.0
2014-02-07,58.74,59.08,58.06,58.83,221387.0
2014-02-06,56.83,58.63,56.83,58.57,293796.0
2014-02-05,57.25,57.61,56.27,56.62,488092.0
2014-02-04,58.25,58.94,57.32,57.32,260564.0
2014-02-03,59.84,60.18,57.8,58.07,368362.0
2014-01-31,58.95,60.33,58.95,60.01,238141.0
2014-01-30,59.34,60.0,58.93,59.61,222102.0
2014-01-29,59.54,60.26,58.71,58.74,296755.0
2014-01-28,60.02,60.44,59.5,59.84,194266.0
2014-01-27,59.1,60.52,59.1,59.98,181946.0
2014-01-24,59.85,60.33,59.31,59.94,236206.0
2014-01-23,60.67,60.84,59.21,60.23,295522.0
2014-01-22,60.92,61.56,60.23,60.86,429762.0
2014-01-21,61.64,61.96,60.55,60.96,282410.0
2014-01-17,62.16,62.59,61.07,61.16,333601.0
2014-01-16,63.2,63.78,61.91,62.09,397093.0
2014-01-15,62.75,64.22,62.54,63.54,303157.0
2014-01-14,62.01,62.89,61.1,62.86,255975.0
2014-01-13,63.39,63.72,61.32,61.67,373664.0
2014-01-10,64.67,65.03,63.55,63.81,216171.0
2014-01-09,65.68,65.74,63.95,64.5,357337.0
2014-01-08,66.04,66.68,65.57,65.74,187876.0
2014-01-07,66.16,66.82,65.81,65.93,271940.0
2014-01-06,66.47,66.47,65.39,65.81,259293.0
2014-01-03,66.63,67.66,66.26,66.39,229603.0
2014-01-02,67.08,67.63,66.07,66.62,185763.0
2013-12-31,67.84,68.21,66.92,67.15,178840.0
2013-12-30,67.01,67.98,66.53,67.73,256123.0
2013-12-27,67.55,68.31,66.45,67.2,160421.0
2013-12-26,67.04,67.87,67.04,67.26,161191.0
2013-12-24,66.72,67.49,66.49,66.92,112083.0
2013-12-23,66.91,67.0,65.97,66.69,373768.0
2013-12-20,65.81,67.65,65.53,66.98,645609.0
2013-12-19,65.31,66.0,64.75,65.55,221216.0
2013-12-18,64.29,65.93,63.66,65.35,385333.0
2013-12-17,64.47,64.97,63.92,64.29,255361.0
2013-12-16,64.39,65.27,64.21,64.61,270902.0
2013-12-13,64.26,64.54,63.49,64.31,219411.0
2013-12-12,64.31,64.59,63.6,64.05,273547.0
2013-12-11,64.29,64.48,63.88,64.38,223936.0
2013-12-10,63.71,64.44,63.6,64.16,212506.0
2013-12-09,64.26,64.48,63.67,63.83,196212.0
2013-12-06,65.02,65.18,63.8,64.01,223753.0
2013-12-05,63.57,64.51,63.4,64.22,184104.0
2013-12-04,63.86,64.58,62.83,63.54,235544.0
2013-12-03,64.37,65.44,63.72,64.14,246945.0
2013-12-02,64.25,65.25,63.67,64.64,246330.0
2013-11-29,65.48,65.79,64.28,64.57,131461.0
2013-11-27,63.74,65.34,63.74,65.13,323182.0
2013-11-26,63.57,64.09,63.4,63.81,223627.0
2013-11-25,63.4,64.56,62.7,63.4,429795.0
2013-11-22,59.73,63.95,59.01,62.72,1238899.0
2013-11-21,61.53,62.92,61.16,62.87,406905.0
2013-11-20,63.0,63.05,61.39,61.57,548442.0
2013-11-19,63.0,64.0,62.6,63.11,487157.0
2013-11-18,61.88,62.83,61.87,62.76,430659.0
2013-11-15,61.15,61.87,60.52,61.87,323531.0
2013-11-14,60.39,61.65,59.87,61.01,260839.0
2013-11-13,59.72,60.43,58.9,60.04,587153.0
2013-11-12,60.75,61.0,60.59,60.88,296459.0
2013-11-11,59.46,60.85,59.46,60.76,181118.0
2013-11-08,59.8,60.72,59.3,59.68,319922.0
2013-11-07,60.12,60.44,59.57,59.83,208754.0
2013-11-06,59.94,60.35,59.33,59.96,251125.0
2013-11-05,59.39,60.02,58.93,59.56,236129.0
2013-11-04,58.86,59.61,58.63,59.61,308794.0
2013-11-01,58.31,59.02,58.08,58.8,301989.0
2013-10-31,58.42,58.69,57.97,58.46,148810.0
2013-10-30,58.42,58.79,57.87,58.32,185188.0
2013-10-29,58.0,58.61,57.8,58.37,263497.0
2013-10-28,56.93,58.0,56.89,57.98,232097.0
2013-10-25,57.24,57.43,56.81,57.03,190505.0
2013-10-24,56.1,57.16,56.01,57.11,198453.0
2013-10-23,56.41,56.71,55.98,56.2,221834.0
2013-10-22,56.95,57.55,56.44,56.62,239258.0
2013-10-21,57.01,57.13,56.38,56.77,186444.0
2013-10-18,56.79,57.46,56.19,57.05,286798.0
2013-10-17,55.67,56.42,55.51,56.35,188456.0
2013-10-16,55.27,56.31,55.12,56.09,197622.0
2013-10-15,55.08,55.42,54.62,55.06,352818.0
2013-10-14,54.92,55.54,54.26,55.18,447878.0
2013-10-11,55.26,55.47,54.88,55.1,337385.0
2013-10-10,55.34,55.93,55.15,55.51,348574.0
2013-10-09,54.87,55.08,54.12,54.59,349142.0
2013-10-08,55.81,56.09,54.75,54.83,280348.0
2013-10-07,56.56,56.81,55.39,55.8,338047.0
2013-10-04,56.38,56.98,56.06,56.93,219730.0
2013-10-03,56.95,56.95,55.6,56.5,457441.0
2013-10-02,56.49,56.96,55.86,56.95,202050.0
2013-10-01,56.18,56.93,56.11,56.93,158054.0
2013-09-30,55.54,56.21,55.15,56.11,275279.0
2013-09-27,54.85,56.07,54.85,55.94,241734.0
2013-09-26,54.57,55.37,54.16,54.99,193620.0
2013-09-25,55.1,55.45,54.32,54.36,214688.0
2013-09-24,54.78,55.17,53.88,55.06,255363.0
2013-09-23,54.5,54.94,54.22,54.67,229358.0
2013-09-20,55.97,56.07,54.68,54.73,347587.0
2013-09-19,55.24,56.02,55.03,55.93,342391.0
2013-09-18,54.15,55.62,54.0,55.27,609685.0
2013-09-17,52.2,54.03,52.12,54.0,413783.0
2013-09-16,53.74,53.74,52.1,52.28,302697.0
2013-09-13,53.1,53.46,52.5,53.06,130166.0
2013-09-12,53.8,54.22,53.02,53.06,246603.0
2013-09-11,53.15,54.04,53.0,53.86,387748.0
2013-09-10,52.0,53.12,52.0,53.1,310244.0
2013-09-09,51.15,51.94,51.15,51.66,504982.0
2013-09-06,52.54,52.54,51.0,51.16,315610.0
2013-09-05,53.36,53.76,52.42,52.44,337125.0
2013-09-04,51.26,53.0,51.15,52.96,635516.0
2013-09-03,52.54,52.87,50.67,51.16,307099.0
2013-08-30,51.88,52.02,51.48,51.8,317068.0
2013-08-29,51.85,52.17,51.43,51.98,246827.0
2013-08-28,52.15,52.65,51.29,51.82,416122.0
2013-08-27,52.33,53.27,51.79,52.26,413868.0
2013-08-26,53.7,54.19,52.95,53.1,673621.0
2013-08-23,54.74,54.99,51.16,53.4,2678677.0
2013-08-22,58.11,59.22,57.73,58.47,366441.0
2013-08-21,58.88,59.37,57.77,57.96,420500.0
2013-08-20,58.53,58.94,57.65,58.9,478417.0
2013-08-19,59.31,60.05,58.64,58.76,212553.0
2013-08-16,58.73,59.88,58.57,59.53,285714.0
2013-08-15,59.29,59.97,58.73,59.05,235435.0
2013-08-14,61.0,61.38,60.13,60.22,137410.0
