Date,Open,High,Low,Close,Volume
2014-04-07,22.42,22.45,21.82,22.02,739143.0
2014-04-04,22.97,23.02,22.23,22.46,478319.0
2014-04-03,22.99,23.1,22.65,22.82,323136.0
2014-04-02,22.89,23.23,22.83,23.05,384433.0
2014-04-01,22.73,22.81,22.47,22.79,578526.0
2014-03-31,22.57,23.05,22.31,22.69,931927.0
2014-03-28,21.44,21.67,21.27,21.67,446692.0
2014-03-27,21.73,21.9,21.45,21.46,619919.0
2014-03-26,22.32,22.34,21.76,21.79,518989.0
2014-03-25,22.42,22.56,22.08,22.27,445042.0
2014-03-24,22.47,22.64,22.14,22.34,292807.0
2014-03-21,22.16,22.57,22.08,22.4,689553.0
2014-03-20,21.99,22.18,21.88,22.11,320275.0
2014-03-19,22.15,22.19,21.93,22.08,328385.0
2014-03-18,22.26,22.42,22.16,22.24,399009.0
2014-03-17,22.04,22.31,22.0,22.16,750090.0
2014-03-14,21.8,22.08,21.59,21.97,380068.0
2014-03-13,22.12,22.33,21.67,21.92,635393.0
2014-03-12,22.0,22.41,21.77,22.12,476050.0
2014-03-11,22.12,22.42,21.96,22.07,941952.0
2014-03-10,21.88,22.14,21.77,22.05,673456.0
2014-03-07,21.49,21.96,21.41,21.85,901046.0
2014-03-06,20.99,21.39,20.84,21.36,477854.0
2014-03-05,20.88,21.08,20.79,20.93,288244.0
2014-03-04,20.69,20.99,20.68,20.87,502519.0
2014-03-03,20.17,20.45,20.02,20.43,550659.0
2014-02-28,20.47,20.65,20.27,20.38,645635.0
2014-02-27,20.27,20.49,20.14,20.42,411495.0
2014-02-26,20.32,20.56,20.21,20.33,512250.0
2014-02-25,20.68,20.76,20.3,20.36,572964.0
2014-02-24,20.25,20.66,20.24,20.6,663607.0
2014-02-21,20.13,20.29,20.06,20.19,559232.0
2014-02-20,20.03,20.22,19.73,20.09,329915.0
2014-02-19,20.04,20.13,19.79,19.87,417094.0
2014-02-18,20.29,20.47,19.98,20.05,410862.0
2014-02-14,20.22,20.47,20.06,20.47,338617.0
2014-02-13,20.13,20.26,19.82,20.17,605562.0
2014-02-12,20.35,20.38,19.76,20.25,1067514.0
2014-02-11,20.25,20.49,20.18,20.4,349463.0
2014-02-10,20.26,20.26,19.99,20.12,436097.0
2014-02-07,20.38,20.47,20.19,20.35,358056.0
2014-02-06,20.39,20.52,20.12,20.32,618080.0
2014-02-05,19.97,20.7,19.97,20.4,692620.0
2014-02-04,20.34,20.4,20.02,20.31,412950.0
2014-02-03,21.05,21.23,20.17,20.21,589750.0
2014-01-31,21.0,21.62,21.0,21.06,547052.0
2014-01-30,20.93,21.51,20.84,21.32,772054.0
2014-01-29,20.28,20.81,20.24,20.74,743197.0
2014-01-28,20.12,20.55,20.07,20.38,382753.0
2014-01-27,20.66,20.69,20.0,20.14,436834.0
2014-01-24,21.21,21.32,20.42,20.55,419411.0
2014-01-23,21.55,21.55,21.04,21.4,407810.0
