Date,Open,High,Low,Close,Volume
2014-04-07,60.33,61.02,59.57,60.32,248821.0
2014-04-04,63.35,63.69,59.86,60.76,193327.0
2014-04-03,63.53,63.85,62.58,62.9,98577.0
2014-04-02,63.67,64.14,63.11,63.69,96034.0
2014-04-01,63.52,64.1,62.5,63.59,321902.0
2014-03-31,62.71,63.94,62.29,63.38,245355.0
2014-03-28,62.63,63.89,62.08,62.17,89163.0
2014-03-27,63.39,63.69,62.08,62.66,84631.0
2014-03-26,65.5,65.7,63.39,63.52,83810.0
2014-03-25,65.19,65.42,63.87,64.88,95931.0
2014-03-24,65.82,66.2,63.71,64.74,108639.0
2014-03-21,67.46,67.46,65.56,65.65,138530.0
2014-03-20,66.2,67.66,66.02,67.08,98077.0
2014-03-19,66.41,67.11,65.98,66.48,121701.0
2014-03-18,66.15,66.63,65.58,66.34,67114.0
2014-03-17,65.39,66.57,64.71,66.05,175456.0
2014-03-14,64.28,65.5,63.59,65.11,141201.0
2014-03-13,66.4,66.4,64.33,64.68,97425.0
2014-03-12,65.99,66.36,65.68,66.36,111668.0
2014-03-11,67.57,67.57,66.65,66.79,160350.0
2014-03-10,67.32,67.84,66.9,67.29,118676.0
2014-03-07,67.41,67.76,66.91,67.57,164209.0
2014-03-06,66.79,67.52,66.51,67.2,155108.0
2014-03-05,67.2,67.49,66.41,66.94,191594.0
2014-03-04,67.5,67.7,66.64,67.33,325426.0
2014-03-03,65.52,67.14,65.02,66.76,235223.0
2014-02-28,66.43,67.47,65.61,66.17,186223.0
2014-02-27,67.21,67.22,66.18,66.75,244824.0
2014-02-26,69.76,70.41,65.87,67.64,466314.0
2014-02-25,66.58,66.58,65.22,65.58,146120.0
2014-02-24,65.96,67.17,65.84,66.1,148604.0
2014-02-21,66.37,66.41,65.46,66.06,157813.0
2014-02-20,67.76,68.2,66.29,66.37,162805.0
2014-02-19,67.99,68.47,67.27,67.5,234852.0
2014-02-18,67.39,69.03,67.24,68.43,187994.0
2014-02-14,68.17,68.17,67.0,67.5,146365.0
2014-02-13,64.7,68.68,64.7,68.16,173245.0
2014-02-12,64.79,65.47,64.14,65.17,103019.0
2014-02-11,65.38,66.5,63.97,64.56,135467.0
2014-02-10,65.26,65.84,63.48,65.18,141588.0
2014-02-07,65.13,65.63,64.41,65.15,78002.0
2014-02-06,65.5,66.11,64.41,65.13,150011.0
2014-02-05,65.0,65.74,63.79,65.13,126385.0
2014-02-04,64.62,65.71,63.63,65.02,125721.0
2014-02-03,66.09,66.77,63.12,64.11,166948.0
2014-01-31,66.11,67.12,66.06,66.24,205274.0
2014-01-30,65.81,67.19,65.49,66.89,389648.0
2014-01-29,66.36,67.49,63.94,65.16,346709.0
