Date,Open,High,Low,Close,Volume
2014-04-07,16.58,16.91,16.38,16.57,457053.0
2014-04-04,17.1,17.28,16.6,16.63,333682.0
2014-04-03,17.05,17.17,16.77,16.97,159933.0
2014-04-02,17.47,17.47,17.01,17.05,237667.0
2014-04-01,17.12,17.74,17.0,17.39,461131.0
2014-03-31,16.58,17.22,16.56,17.14,330867.0
2014-03-28,16.07,16.64,16.04,16.5,339538.0
2014-03-27,15.83,16.18,15.75,16.05,441701.0
2014-03-26,15.94,16.07,15.65,15.87,248418.0
2014-03-25,15.99,16.31,15.78,15.84,623077.0
2014-03-24,16.66,16.66,15.9,15.9,382811.0
2014-03-21,16.69,16.87,16.41,16.63,394148.0
2014-03-20,16.45,16.88,16.2,16.61,380225.0
2014-03-19,16.41,16.63,16.35,16.5,205192.0
2014-03-18,16.01,16.48,15.85,16.43,241763.0
2014-03-17,16.07,16.2,15.94,16.01,438703.0
2014-03-14,15.11,16.03,14.98,16.02,577533.0
2014-03-13,15.57,15.65,15.05,15.18,337541.0
2014-03-12,15.3,15.73,15.26,15.54,276550.0
2014-03-11,15.25,15.41,15.18,15.39,195054.0
2014-03-10,15.03,15.41,15.02,15.27,412467.0
2014-03-07,15.01,15.09,14.7,15.05,237698.0
2014-03-06,14.69,15.15,14.58,14.99,289560.0
2014-03-05,14.7,14.83,14.5,14.68,356973.0
2014-03-04,15.13,15.32,14.69,14.74,529724.0
2014-03-03,14.83,15.04,14.69,14.97,222920.0
2014-02-28,15.55,15.66,14.9,14.96,1039573.0
2014-02-27,14.98,15.57,14.93,15.53,499464.0
2014-02-26,14.72,15.03,14.47,15.02,325844.0
2014-02-25,15.11,15.22,14.51,14.68,290624.0
2014-02-24,14.47,15.22,14.37,15.14,417123.0
2014-02-21,14.45,14.7,14.2,14.43,417647.0
2014-02-20,14.26,14.57,13.79,14.39,358706.0
2014-02-19,14.29,14.39,13.94,14.11,544045.0
2014-02-18,13.97,14.37,13.66,14.34,752315.0
2014-02-14,12.36,14.48,11.5,14.0,2507895.0
2014-02-13,13.66,14.13,13.56,13.9,249449.0
2014-02-12,13.75,13.89,13.6,13.72,255660.0
2014-02-11,14.18,14.24,13.68,13.77,500585.0
2014-02-10,13.76,14.32,13.65,14.2,359703.0
2014-02-07,13.91,14.32,13.56,13.65,333044.0
2014-02-06,13.79,14.02,13.64,13.91,330953.0
2014-02-05,14.46,14.46,13.75,13.76,693597.0
2014-02-04,14.7,14.85,13.97,14.5,530092.0
2014-02-03,15.31,15.44,14.55,14.66,912142.0
2014-01-31,15.63,16.22,15.3,15.31,399331.0
2014-01-30,15.8,16.27,15.71,15.85,269855.0
2014-01-29,16.23,16.81,15.61,15.67,458572.0
2014-01-28,16.5,17.01,16.15,16.38,301950.0
2014-01-27,16.25,16.7,15.89,16.44,431756.0
2014-01-24,16.25,16.25,15.77,16.15,451474.0
2014-01-23,15.98,16.46,15.77,16.35,405410.0
2014-01-22,16.85,16.92,16.01,16.07,532567.0
2014-01-21,17.13,17.23,16.55,16.79,340733.0
2014-01-17,16.75,17.07,16.55,16.99,300902.0
2014-01-16,16.9,17.36,16.54,16.74,535547.0
2014-01-15,16.62,17.28,16.58,16.98,485596.0
2014-01-14,15.73,17.12,15.66,16.66,723483.0
2014-01-13,15.39,16.12,15.39,15.62,349471.0
2014-01-10,15.24,15.47,15.05,15.41,432094.0
