Date,Open,High,Low,Close,Volume
2014-04-07,69.94,70.53,68.39,70.03,1587306.0
2014-04-04,71.98,71.98,69.3,69.99,2186431.0
2014-04-03,72.0,73.27,71.38,71.59,1443624.0
2014-04-02,72.8,73.27,72.21,72.4,717425.0
2014-04-01,71.78,73.0,71.01,72.59,1069260.0
2014-03-31,72.18,72.52,71.04,71.39,870013.0
2014-03-28,71.5,72.8,70.61,71.55,1016947.0
2014-03-27,71.91,73.72,71.24,72.26,1533650.0
2014-03-26,71.63,72.29,70.92,71.98,1089044.0
2014-03-25,72.66,73.37,71.14,71.31,1478272.0
2014-03-24,73.4,73.75,71.35,71.86,1344431.0
2014-03-21,73.29,73.98,72.45,72.76,1784001.0
2014-03-20,74.5,75.39,73.26,73.29,853363.0
2014-03-19,76.17,76.68,74.09,74.67,1325429.0
2014-03-18,74.76,76.3,74.51,76.01,477969.0
2014-03-17,74.47,75.49,74.02,74.48,907757.0
2014-03-14,73.1,74.82,72.47,74.45,1017192.0
2014-03-13,76.35,76.63,73.07,73.2,2183571.0
2014-03-12,75.75,76.78,74.8,76.24,2397437.0
2014-03-11,76.72,77.22,75.57,75.68,1084478.0
2014-03-10,77.98,78.67,75.32,76.48,1526421.0
2014-03-07,77.79,77.94,76.38,77.0,885931.0
2014-03-06,80.03,80.26,76.93,77.4,1915136.0
2014-03-05,78.4,80.64,78.4,79.86,1498434.0
2014-03-04,77.85,79.17,77.7,78.35,1120582.0
2014-03-03,76.73,78.0,76.46,77.58,745418.0
2014-02-28,76.89,78.29,76.66,77.53,1182031.0
2014-02-27,75.5,76.94,75.32,76.67,903196.0
2014-02-26,74.99,77.32,74.69,75.7,1475816.0
2014-02-25,74.55,74.99,74.17,74.77,867655.0
2014-02-24,74.75,75.4,74.05,74.16,968371.0
2014-02-21,75.52,76.06,73.98,74.36,1786490.0
2014-02-20,71.05,74.85,70.82,74.72,2368921.0
2014-02-19,69.79,71.64,69.63,71.11,1780903.0
2014-02-18,68.31,70.56,67.49,69.8,1745518.0
2014-02-14,66.66,68.66,66.66,68.37,1198104.0
2014-02-13,65.06,66.67,65.06,66.58,912402.0
2014-02-12,66.16,66.52,65.14,65.4,1114124.0
2014-02-11,67.19,67.37,66.18,66.19,950303.0
2014-02-10,66.85,67.39,66.02,67.08,970656.0
2014-02-07,65.59,67.92,65.56,66.97,1240093.0
2014-02-06,65.04,66.33,64.64,65.42,1854389.0
2014-02-05,65.0,66.35,64.45,65.04,3760011.0
2014-02-04,68.35,69.58,67.05,68.85,1996547.0
2014-02-03,69.62,69.99,65.81,67.68,2937449.0
2014-01-31,69.7,70.88,69.2,70.04,1615068.0
