Date,Open,High,Low,Close,Volume
2014-04-07,45.21,45.5,44.41,44.79,183868.0
2014-04-04,46.29,46.57,44.92,45.28,145293.0
2014-04-03,45.86,46.5,45.62,46.29,129577.0
2014-04-02,46.1,46.17,45.74,45.96,156858.0
2014-04-01,46.18,46.53,45.62,45.96,225931.0
2014-03-31,45.34,46.19,45.31,45.99,171831.0
2014-03-28,45.27,45.8,44.77,45.2,109968.0
2014-03-27,45.38,45.7,44.46,45.23,79036.0
2014-03-26,46.15,46.54,45.16,45.26,161859.0
2014-03-25,46.39,46.54,45.4,45.77,96721.0
2014-03-24,47.42,48.04,46.03,46.41,106979.0
2014-03-21,48.22,48.22,47.19,47.26,188244.0
2014-03-20,47.89,48.33,47.55,47.9,128789.0
2014-03-19,47.99,48.56,47.61,47.89,112380.0
2014-03-18,47.08,47.9,46.92,47.88,130123.0
2014-03-17,47.3,47.64,46.9,46.99,110570.0
2014-03-14,47.63,48.15,47.02,47.14,131032.0
2014-03-13,48.57,48.74,47.28,47.69,102277.0
2014-03-12,48.8,48.94,47.86,48.31,141547.0
2014-03-11,49.71,49.99,48.65,48.93,191898.0
2014-03-10,48.86,49.45,48.67,49.43,134393.0
2014-03-07,48.6,48.89,48.24,48.84,109881.0
2014-03-06,47.81,48.4,47.75,48.27,106895.0
2014-03-05,48.23,48.43,47.54,47.74,145450.0
2014-03-04,47.36,48.23,47.06,48.19,238899.0
2014-03-03,46.81,47.4,46.23,46.9,177423.0
2014-02-28,46.45,47.35,46.45,47.04,248635.0
2014-02-27,45.56,46.41,45.11,46.35,233317.0
2014-02-26,45.95,46.38,45.3,45.58,136529.0
2014-02-25,46.58,47.0,45.11,45.84,285002.0
2014-02-24,47.4,47.87,46.76,47.41,185960.0
2014-02-21,47.71,48.07,47.24,47.37,159861.0
2014-02-20,47.18,47.72,46.84,47.43,137203.0
2014-02-19,47.75,48.46,47.1,47.2,245254.0
2014-02-18,46.4,47.87,46.21,47.75,173316.0
2014-02-14,46.62,46.9,46.09,46.18,133914.0
2014-02-13,45.6,46.75,45.6,46.6,137677.0
2014-02-12,46.02,46.51,45.81,45.98,71559.0
2014-02-11,45.34,46.32,45.34,46.1,136425.0
2014-02-10,45.16,45.99,44.8,45.93,121349.0
2014-02-07,45.03,45.84,45.0,45.08,125026.0
2014-02-06,45.12,45.3,44.71,45.06,165872.0
2014-02-05,44.52,45.83,44.25,45.0,189233.0
2014-02-04,44.5,45.0,43.56,44.8,116240.0
2014-02-03,46.45,46.5,44.5,44.52,211162.0
2014-01-31,45.91,46.81,45.9,46.46,99468.0
2014-01-30,46.61,46.87,46.23,46.54,115902.0
2014-01-29,46.37,46.92,45.79,46.31,131730.0
2014-01-28,45.55,46.75,44.89,46.71,194663.0
2014-01-27,46.87,47.15,45.49,45.55,142850.0
2014-01-24,47.7,47.84,46.06,46.85,254966.0
2014-01-23,47.81,48.02,47.12,47.97,301498.0
2014-01-22,48.78,48.9,47.7,48.01,194191.0
2014-01-21,49.18,49.18,48.52,48.65,194122.0
2014-01-17,49.2,49.34,48.77,49.07,189233.0
2014-01-16,49.06,49.71,48.55,49.25,171191.0
2014-01-15,49.69,49.74,48.14,48.92,154601.0
2014-01-14,49.05,49.58,48.76,49.5,108789.0
2014-01-13,49.26,49.62,48.64,48.78,150156.0
2014-01-10,49.5,49.9,49.23,49.48,248088.0
2014-01-09,49.5,49.9,49.12,49.5,243605.0
2014-01-08,49.39,49.85,49.2,49.46,398827.0
2014-01-07,48.65,49.24,48.26,48.6,208438.0
2014-01-06,48.0,48.71,47.52,48.55,194470.0
2014-01-03,47.43,48.21,47.43,47.81,186064.0
2014-01-02,47.49,47.91,46.73,47.42,209717.0
2013-12-31,47.75,48.24,47.47,47.71,109712.0
2013-12-30,47.86,48.06,47.6,47.65,101859.0
2013-12-27,47.77,48.13,47.46,47.84,170928.0
2013-12-26,47.47,47.82,45.94,47.6,135427.0
2013-12-24,47.01,48.11,47.01,47.3,197393.0
2013-12-23,46.67,47.39,46.54,47.28,181172.0
2013-12-20,45.75,47.02,45.06,46.61,602442.0
2013-12-19,46.25,46.35,45.46,45.61,160525.0
2013-12-18,45.96,46.61,45.07,46.25,206466.0
2013-12-17,46.15,46.62,45.17,46.03,196532.0
2013-12-16,45.75,46.63,43.67,46.01,204162.0
2013-12-13,46.25,46.48,45.39,45.66,178524.0
2013-12-12,46.1,46.54,45.91,46.1,252080.0
2013-12-11,46.68,46.68,46.0,46.22,177590.0
2013-12-10,46.83,47.07,46.42,46.78,185727.0
2013-12-09,46.68,47.35,45.86,47.01,263368.0
2013-12-06,46.93,47.21,46.46,46.63,219407.0
2013-12-05,46.48,46.78,46.09,46.64,192575.0
2013-12-04,46.59,46.84,45.88,46.61,172793.0
2013-12-03,46.48,46.9,45.95,46.65,193089.0
2013-12-02,46.38,46.78,46.0,46.5,122863.0
2013-11-29,46.3,46.8,45.89,46.45,64852.0
2013-11-27,46.12,46.5,46.0,46.1,100951.0
2013-11-26,45.92,46.24,45.54,45.98,171343.0
2013-11-25,45.96,46.16,45.69,45.95,154984.0
2013-11-22,45.42,46.08,45.28,45.95,148941.0
2013-11-21,45.58,45.91,45.2,45.32,156180.0
2013-11-20,45.0,46.0,44.81,45.6,112513.0
2013-11-19,44.41,44.97,43.84,44.93,124074.0
2013-11-18,45.07,45.15,44.37,44.53,158595.0
2013-11-15,45.27,46.0,44.81,45.09,163688.0
2013-11-14,44.62,45.42,43.73,45.34,188769.0
2013-11-13,44.04,44.69,43.45,44.6,232186.0
2013-11-12,44.21,45.1,43.47,44.37,308245.0
2013-11-11,43.66,45.26,42.91,44.44,439671.0
2013-11-08,42.2,43.53,41.78,43.37,399839.0
2013-11-07,40.35,42.77,39.74,42.34,3159482.0
2013-11-06,45.12,45.14,41.8,42.4,662898.0
2013-11-05,45.81,45.81,44.58,45.26,123353.0
2013-11-04,45.37,46.4,45.01,46.23,126609.0
2013-11-01,45.66,45.92,44.78,45.26,186702.0
2013-10-31,45.78,46.28,45.1,45.78,148920.0
2013-10-30,45.48,45.88,44.88,45.74,130372.0
2013-10-29,44.54,45.73,43.91,45.33,331411.0
2013-10-28,43.41,43.99,42.87,43.65,215517.0
2013-10-25,43.46,43.84,41.64,43.42,135868.0
2013-10-24,43.43,43.89,43.01,43.31,117966.0
2013-10-23,42.48,44.25,39.83,43.43,189411.0
2013-10-22,44.08,44.68,43.77,44.15,62274.0
2013-10-21,43.94,44.2,43.25,44.06,107934.0
2013-10-18,44.03,44.47,43.9,44.0,94984.0
2013-10-17,43.56,44.12,43.33,44.05,151059.0
2013-10-16,43.07,43.66,42.48,43.59,117513.0
2013-10-15,43.46,43.63,42.69,43.0,106369.0
2013-10-14,42.86,43.82,42.76,43.65,101301.0
2013-10-11,42.67,43.13,42.27,43.12,83326.0
2013-10-10,41.81,42.74,41.51,42.72,122821.0
2013-10-09,41.71,41.87,41.29,41.71,88948.0
2013-10-08,41.26,41.92,41.06,41.51,192197.0
2013-10-07,41.25,41.42,40.94,41.24,155907.0
2013-10-04,40.72,41.39,40.65,41.38,180654.0
2013-10-03,40.92,41.33,40.52,41.15,170673.0
2013-10-02,40.93,41.05,40.27,41.03,106513.0
2013-10-01,40.36,41.0,40.01,41.0,113891.0
2013-09-30,39.84,40.29,39.34,40.25,105622.0
2013-09-27,39.73,40.09,39.44,39.91,115876.0
2013-09-26,39.18,39.79,39.02,39.78,152910.0
2013-09-25,39.42,39.42,38.49,38.65,94087.0
2013-09-24,39.13,39.64,38.68,39.28,73849.0
2013-09-23,39.47,39.47,38.47,39.03,137878.0
2013-09-20,39.93,40.03,39.44,39.45,205067.0
2013-09-19,39.77,40.1,39.73,39.92,110791.0
2013-09-18,39.92,39.92,39.36,39.76,102069.0
2013-09-17,39.7,40.02,37.92,39.88,106313.0
2013-09-16,40.23,40.23,39.78,39.83,167273.0
2013-09-13,40.32,40.44,39.8,40.04,121540.0
2013-09-12,40.78,41.13,40.0,40.18,126870.0
2013-09-11,41.25,41.28,40.35,40.7,158287.0
2013-09-10,40.86,41.09,40.31,40.75,158545.0
2013-09-09,40.43,41.06,40.31,40.85,217965.0
2013-09-06,40.97,41.13,39.63,40.51,149150.0
2013-09-05,40.08,41.06,40.02,40.81,132855.0
2013-09-04,40.34,40.69,40.06,40.16,172863.0
2013-09-03,40.93,41.31,40.16,40.19,146361.0
2013-08-30,40.95,41.15,40.5,40.64,129512.0
2013-08-29,41.29,41.68,40.96,41.08,101938.0
2013-08-28,41.22,41.38,40.9,41.32,157150.0
2013-08-27,41.24,41.58,40.77,41.24,129338.0
2013-08-26,41.78,42.0,41.46,41.58,54494.0
2013-08-23,42.48,42.58,41.48,41.78,122174.0
2013-08-22,42.39,43.0,41.3,42.48,232138.0
2013-08-21,41.93,42.53,41.41,42.28,252026.0
2013-08-20,42.03,42.68,42.03,42.07,265585.0
2013-08-19,41.58,42.9,41.58,42.1,349612.0
2013-08-16,40.92,41.97,40.03,41.4,276405.0
2013-08-15,39.24,41.36,39.05,41.17,505511.0
2013-08-14,37.98,38.05,37.39,37.46,61742.0
2013-08-13,38.13,38.42,37.79,37.91,75043.0
2013-08-12,37.75,38.31,37.57,38.09,252261.0
2013-08-09,38.29,38.46,37.83,37.98,100072.0
2013-08-08,37.95,38.37,37.75,38.26,213821.0
2013-08-07,37.85,37.95,37.52,37.76,73888.0
2013-08-06,38.39,38.72,37.87,38.0,127614.0
2013-08-05,38.6,38.84,38.4,38.56,92107.0
2013-08-02,38.67,39.26,38.3,38.52,139986.0
2013-08-01,39.5,40.07,37.18,38.56,329284.0
2013-07-31,38.52,40.27,38.49,39.39,347938.0
2013-07-30,38.42,38.64,38.02,38.16,112870.0
2013-07-29,37.81,38.5,37.71,38.35,66434.0
2013-07-26,37.75,38.27,37.52,37.94,40695.0
2013-07-25,37.46,38.11,37.26,38.0,88341.0
2013-07-24,37.8,37.89,37.36,37.5,54085.0
2013-07-23,37.7,38.04,37.42,37.73,94071.0
2013-07-22,37.76,38.3,37.6,37.74,93211.0
2013-07-19,37.65,37.94,36.93,37.87,135471.0
2013-07-18,38.14,38.14,37.79,37.85,90677.0
2013-07-17,38.03,38.18,37.78,38.01,150237.0
2013-07-16,38.11,38.3,37.75,37.79,117584.0
2013-07-15,37.55,38.21,37.55,38.19,113359.0
2013-07-12,37.34,37.68,37.2,37.56,78757.0
2013-07-11,38.19,38.19,37.28,37.46,146728.0
2013-07-10,37.95,37.95,37.37,37.83,101124.0
2013-07-09,38.15,38.15,37.52,37.89,94586.0
2013-07-08,37.8,38.47,37.6,38.19,96809.0
2013-07-05,37.79,37.85,37.44,37.83,55416.0
2013-07-03,36.57,37.52,36.11,37.4,69870.0
2013-07-02,36.57,37.0,36.25,36.75,63543.0
2013-07-01,36.79,37.12,35.73,36.7,91441.0
2013-06-28,36.47,36.98,36.0,36.63,116400.0
2013-06-27,36.16,36.65,35.78,36.48,53124.0
2013-06-26,36.55,36.55,35.89,35.95,67974.0
