Date,Open,High,Low,Close,Volume
2014-04-07,69.17,69.2,67.99,68.44,148034.0
2014-04-04,70.89,71.09,69.0,69.08,246527.0
2014-04-03,71.01,71.25,70.56,70.86,166930.0
2014-04-02,71.69,71.94,70.88,71.12,86296.0
2014-04-01,70.14,71.53,69.35,71.37,234680.0
2014-03-31,69.62,70.42,69.62,70.15,181931.0
2014-03-28,69.6,70.42,68.9,69.21,149216.0
2014-03-27,70.39,70.39,69.16,69.59,349460.0
2014-03-26,71.0,71.48,70.5,70.6,315345.0
2014-03-25,71.15,71.41,70.53,70.97,195530.0
2014-03-24,71.42,71.64,70.51,71.0,284686.0
2014-03-21,71.79,72.41,71.38,71.51,447510.0
2014-03-20,70.29,72.13,70.03,71.6,189483.0
2014-03-19,69.83,70.99,69.32,70.31,169014.0
2014-03-18,69.7,69.85,69.4,69.76,154326.0
2014-03-17,69.41,69.95,69.1,69.66,141479.0
2014-03-14,68.23,69.5,68.23,69.17,132828.0
2014-03-13,68.66,69.0,68.4,68.68,153311.0
2014-03-12,68.57,69.52,68.0,68.64,177593.0
2014-03-11,68.81,69.86,68.58,69.33,240543.0
2014-03-10,67.69,68.8,67.69,68.47,161584.0
2014-03-07,67.5,68.44,66.95,68.05,152248.0
2014-03-06,66.94,67.27,66.72,67.07,166602.0
2014-03-05,67.11,67.21,66.76,66.9,107769.0
2014-03-04,66.0,67.47,65.53,67.09,261762.0
2014-03-03,65.25,65.55,64.6,65.22,179017.0
2014-02-28,64.04,65.96,64.0,65.5,310179.0
2014-02-27,63.35,64.4,63.17,63.75,293052.0
2014-02-26,63.0,63.71,62.73,63.15,146212.0
2014-02-25,63.02,63.68,62.5,63.02,115552.0
2014-02-24,62.22,64.02,62.15,63.64,102331.0
2014-02-21,62.55,62.94,61.71,62.34,183917.0
2014-02-20,62.5,63.13,61.61,62.15,136661.0
2014-02-19,65.49,66.14,62.27,62.28,332094.0
2014-02-18,65.46,66.27,65.23,65.73,123598.0
2014-02-14,64.76,65.53,64.18,65.37,97101.0
2014-02-13,63.91,64.73,63.4,64.69,127969.0
2014-02-12,64.5,65.16,64.04,64.28,222074.0
2014-02-11,63.82,64.93,63.7,64.51,145238.0
2014-02-10,63.4,64.06,62.76,63.62,195190.0
2014-02-07,63.69,64.68,63.56,64.5,198658.0
2014-02-06,63.37,63.76,62.7,63.55,147006.0
2014-02-05,63.37,63.64,62.67,63.29,94785.0
2014-02-04,63.42,64.36,62.55,63.54,140288.0
2014-02-03,65.94,65.94,63.01,63.37,305042.0
2014-01-31,65.17,66.33,64.65,65.84,266856.0
2014-01-30,66.82,66.99,65.85,66.2,203349.0
2014-01-29,66.63,67.99,64.15,66.55,506429.0
2014-01-28,62.76,63.18,62.2,62.63,170781.0
2014-01-27,62.89,63.56,62.69,62.76,202339.0
2014-01-24,63.4,63.81,62.69,63.04,180352.0
2014-01-23,63.69,63.94,63.03,63.91,183315.0
2014-01-22,63.9,64.19,63.72,64.04,125633.0
2014-01-21,62.78,64.17,62.74,64.01,193006.0
2014-01-17,62.32,62.74,61.86,62.28,142075.0
2014-01-16,62.43,62.53,61.89,62.25,81877.0
2014-01-15,62.71,63.19,62.09,62.62,130253.0
2014-01-14,62.5,62.83,62.01,62.7,143823.0
2014-01-13,61.27,62.9,61.18,62.04,203219.0
2014-01-10,61.94,62.22,61.11,62.1,143522.0
2014-01-09,61.92,62.5,61.72,62.13,88518.0
2014-01-08,61.71,62.31,61.34,61.85,80612.0
2014-01-07,61.53,62.25,61.12,61.87,65705.0
2014-01-06,62.02,62.32,60.96,61.2,133429.0
2014-01-03,62.18,62.88,61.75,61.91,80877.0
2014-01-02,62.78,62.78,61.95,62.2,196522.0
2013-12-31,62.58,63.43,62.58,62.85,77768.0
2013-12-30,63.61,63.61,62.59,62.67,59263.0
2013-12-27,63.2,63.64,62.51,63.44,108979.0
2013-12-26,63.67,63.81,63.16,63.32,64779.0
2013-12-24,63.31,63.98,63.12,63.28,28239.0
2013-12-23,62.42,63.62,62.35,63.45,130260.0
2013-12-20,62.0,62.55,61.55,62.0,356121.0
2013-12-19,62.43,62.88,61.78,61.99,174919.0
2013-12-18,62.0,62.85,61.29,62.67,147289.0
2013-12-17,62.13,62.13,61.23,61.78,124913.0
2013-12-16,60.6,62.25,60.6,62.08,136337.0
2013-12-13,60.96,61.01,60.05,60.43,117413.0
2013-12-12,60.69,61.45,60.51,60.69,109538.0
2013-12-11,61.6,62.2,60.58,60.69,127570.0
2013-12-10,62.42,62.82,61.78,61.87,83094.0
2013-12-09,62.24,62.83,61.82,62.6,114330.0
2013-12-06,61.49,63.21,61.49,62.3,121507.0
2013-12-05,61.11,61.78,60.87,61.06,117615.0
2013-12-04,61.29,62.25,60.8,61.24,125891.0
2013-12-03,62.15,62.79,61.12,61.37,195442.0
2013-12-02,62.54,62.85,62.23,62.39,145186.0
2013-11-29,63.0,63.25,62.08,62.7,59842.0
2013-11-27,62.33,62.68,61.66,62.64,104479.0
2013-11-26,61.29,62.59,60.8,62.39,133772.0
2013-11-25,61.4,62.23,60.8,61.39,75185.0
2013-11-22,61.02,61.81,60.3,61.11,136896.0
2013-11-21,60.32,61.18,60.02,60.9,87302.0
2013-11-20,60.52,60.6,59.74,60.04,96886.0
2013-11-19,60.69,61.01,59.64,60.42,100758.0
2013-11-18,60.28,61.34,59.92,60.79,125412.0
2013-11-15,60.32,60.61,59.51,60.2,88664.0
2013-11-14,60.68,60.68,59.86,60.32,116584.0
2013-11-13,59.33,60.64,58.97,60.62,73716.0
2013-11-12,60.01,60.2,59.1,59.54,60276.0
2013-11-11,60.7,60.81,59.6,60.11,49786.0
2013-11-08,59.61,62.6,59.12,60.93,226683.0
2013-11-07,59.65,59.99,59.0,59.53,107992.0
2013-11-06,59.45,59.69,59.3,59.48,53191.0
2013-11-05,58.77,59.32,58.6,59.0,113151.0
2013-11-04,58.46,59.0,57.81,58.82,80671.0
2013-11-01,58.25,58.74,57.39,58.48,186328.0
2013-10-31,59.58,59.91,58.29,58.43,123685.0
2013-10-30,59.57,59.87,59.13,59.48,82952.0
2013-10-29,59.91,60.58,58.82,59.39,157310.0
2013-10-28,60.12,60.5,59.28,60.04,104230.0
2013-10-25,59.95,60.28,59.11,59.97,127454.0
2013-10-24,60.09,60.91,59.3,60.08,300992.0
2013-10-23,57.87,60.78,57.41,60.47,361095.0
2013-10-22,57.35,58.0,56.88,57.55,174090.0
2013-10-21,57.11,57.49,56.85,57.33,106347.0
2013-10-18,56.25,57.2,55.48,57.1,183565.0
2013-10-17,54.94,55.74,54.92,55.65,87890.0
2013-10-16,54.56,56.09,54.4,55.31,144301.0
2013-10-15,55.04,55.2,54.32,54.36,94487.0
2013-10-14,54.76,55.4,54.65,55.15,71510.0
2013-10-11,53.85,55.04,53.18,54.94,120600.0
2013-10-10,53.55,54.24,53.32,54.11,111622.0
2013-10-09,54.24,54.27,52.73,53.01,281046.0
2013-10-08,54.19,54.68,53.7,54.25,157338.0
2013-10-07,54.95,55.43,54.01,54.27,224231.0
2013-10-04,53.46,56.01,53.0,55.42,557088.0
2013-10-03,52.63,53.83,51.96,53.61,297303.0
2013-10-02,52.8,53.11,52.29,52.77,71466.0
2013-10-01,52.02,53.28,51.55,53.02,181133.0
2013-09-30,51.87,52.38,51.54,51.91,171322.0
2013-09-27,52.25,53.05,52.11,52.13,75950.0
2013-09-26,53.42,53.81,52.34,52.63,96585.0
2013-09-25,53.6,53.97,53.16,53.51,140440.0
2013-09-24,53.73,54.21,53.58,53.61,135268.0
2013-09-23,54.03,54.1,53.18,53.85,99771.0
2013-09-20,53.26,54.47,53.26,54.04,205010.0
2013-09-19,54.35,54.35,52.76,53.22,202320.0
2013-09-18,54.85,55.79,54.23,54.37,93463.0
2013-09-17,54.14,55.0,54.01,54.95,68216.0
2013-09-16,54.32,54.33,53.63,54.29,119650.0
2013-09-13,54.63,54.68,53.77,53.84,83988.0
2013-09-12,55.0,55.61,54.22,54.39,110264.0
2013-09-11,55.88,55.88,54.99,55.12,62547.0
2013-09-10,55.63,56.15,55.15,55.95,98580.0
2013-09-09,54.44,55.36,53.99,55.33,120563.0
2013-09-06,53.47,54.54,52.42,54.29,141214.0
2013-09-05,52.61,53.7,52.56,53.24,152728.0
2013-09-04,52.32,53.2,52.02,52.73,144044.0
2013-09-03,52.67,53.25,52.28,52.5,143601.0
2013-08-30,53.29,53.29,52.19,52.34,97132.0
2013-08-29,53.06,53.68,52.81,53.4,82729.0
2013-08-28,53.16,53.67,52.9,53.27,89298.0
2013-08-27,54.45,54.55,53.07,53.14,155210.0
2013-08-26,55.24,55.41,54.82,54.84,131568.0
2013-08-23,55.34,55.61,54.73,55.3,197991.0
2013-08-22,55.5,55.84,55.01,55.43,137354.0
2013-08-21,56.66,56.66,55.47,55.53,109813.0
2013-08-20,55.63,57.16,55.46,56.82,90233.0
2013-08-19,55.83,56.17,55.3,55.41,66181.0
2013-08-16,56.25,57.11,55.92,55.93,110943.0
2013-08-15,55.93,56.46,55.89,56.25,98446.0
2013-08-14,56.23,56.64,56.15,56.41,99333.0
2013-08-13,56.6,56.6,55.21,56.12,77998.0
2013-08-12,55.86,56.5,55.49,56.39,111444.0
2013-08-09,56.66,56.94,56.11,56.19,118629.0
2013-08-08,56.66,56.88,56.22,56.72,56712.0
2013-08-07,57.23,57.39,56.25,56.32,172869.0
2013-08-06,58.25,58.25,57.27,57.48,76087.0
2013-08-05,57.94,58.43,57.49,58.26,86693.0
2013-08-02,58.43,58.43,57.28,57.9,137788.0
2013-08-01,59.23,59.81,58.37,58.68,252036.0
2013-07-31,58.68,59.11,58.24,58.79,176650.0
2013-07-30,58.11,58.54,57.8,58.43,245169.0
2013-07-29,58.15,58.15,57.34,57.77,110072.0
2013-07-26,57.96,58.37,57.43,58.1,249229.0
2013-07-25,58.18,59.42,57.76,58.22,406549.0
2013-07-24,58.85,59.46,58.02,59.25,348588.0
2013-07-23,58.5,58.94,58.04,58.73,275140.0
2013-07-22,57.83,58.52,57.59,58.44,159081.0
2013-07-19,57.53,58.4,57.53,58.26,198030.0
2013-07-18,56.64,57.68,56.47,57.63,104081.0
2013-07-17,56.55,57.23,55.68,56.67,98443.0
2013-07-16,57.81,58.6,56.3,56.45,298951.0
2013-07-15,55.72,57.87,55.7,57.6,424338.0
2013-07-12,54.59,55.75,54.59,55.52,108618.0
2013-07-11,55.78,55.84,54.35,54.54,151433.0
2013-07-10,56.31,56.52,55.01,55.38,124460.0
2013-07-09,56.26,56.6,55.7,56.2,108058.0
2013-07-08,56.51,56.86,55.99,56.08,177046.0
2013-07-05,56.19,56.46,55.4,56.42,107694.0
2013-07-03,55.33,55.57,54.95,55.39,84590.0
2013-07-02,54.79,56.11,54.69,55.34,134519.0
2013-07-01,53.7,54.99,53.65,54.96,166147.0
2013-06-28,53.51,54.01,53.06,53.61,317118.0
2013-06-27,53.15,53.71,52.79,53.47,193042.0
2013-06-26,52.94,54.0,52.31,52.73,207934.0
2013-06-25,53.19,54.27,52.73,53.87,176441.0
2013-06-24,53.04,53.45,52.62,52.89,189714.0
2013-06-21,52.44,53.29,52.23,53.19,426788.0
2013-06-20,52.35,52.81,52.01,52.3,176692.0
2013-06-19,52.36,53.42,52.03,52.62,430745.0
2013-06-18,52.15,52.8,51.84,52.5,206442.0
2013-06-17,52.47,52.55,51.46,51.98,146493.0
2013-06-14,52.42,52.44,51.85,52.0,145525.0
2013-06-13,51.94,52.41,51.51,52.36,103774.0
2013-06-12,52.0,52.0,51.54,51.79,162500.0
2013-06-11,51.64,52.09,51.4,51.77,150114.0
2013-06-10,52.02,52.2,51.2,52.01,146304.0
2013-06-07,51.89,51.89,51.1,51.72,159748.0
2013-06-06,51.7,52.24,50.82,51.49,186058.0
2013-06-05,52.83,52.83,51.69,51.87,118693.0
2013-06-04,52.82,53.14,52.55,52.96,245442.0
2013-06-03,51.71,52.7,51.17,52.65,273155.0
2013-05-31,52.23,52.3,51.5,51.54,110882.0
2013-05-30,51.84,52.43,51.24,52.35,172546.0
2013-05-29,51.41,51.72,51.18,51.61,121096.0
2013-05-28,51.01,52.19,50.82,51.54,234545.0
2013-05-24,49.33,50.51,48.87,50.48,143330.0
2013-05-23,49.54,49.77,49.0,49.46,136819.0
2013-05-22,51.16,51.72,49.74,49.99,183738.0
2013-05-21,51.81,51.94,51.02,51.22,230014.0
2013-05-20,50.0,51.89,49.97,51.64,559719.0
