Date,Open,High,Low,Close,Volume
2014-04-07,21.58,21.87,20.74,21.3,749892.0
2014-04-04,22.55,22.55,20.35,21.52,2885124.0
2014-04-03,22.84,22.97,22.29,22.54,819922.0
2014-04-02,22.45,22.8,22.25,22.78,603422.0
2014-04-01,21.75,22.15,21.55,22.1,323549.0
2014-03-31,21.31,21.72,21.3,21.67,270492.0
2014-03-28,21.02,21.42,21.02,21.21,330047.0
2014-03-27,21.03,21.36,20.98,20.98,383003.0
2014-03-26,21.87,21.91,21.07,21.11,484175.0
2014-03-25,21.87,22.17,21.67,21.73,301791.0
2014-03-24,21.8,21.98,21.46,21.77,303899.0
2014-03-21,22.15,22.21,21.75,21.75,644486.0
2014-03-20,21.67,22.1,21.62,22.01,199873.0
2014-03-19,21.9,22.1,21.6,21.74,357421.0
2014-03-18,22.16,22.16,21.68,21.92,411189.0
2014-03-17,22.03,22.22,21.89,21.99,374659.0
2014-03-14,22.07,22.31,21.71,21.8,426780.0
2014-03-13,22.53,22.56,21.99,22.1,248620.0
2014-03-12,22.35,22.47,22.09,22.43,156856.0
2014-03-11,22.54,22.7,22.35,22.42,172700.0
2014-03-10,22.42,22.59,22.24,22.5,173070.0
2014-03-07,22.55,22.72,22.34,22.48,213287.0
2014-03-06,22.52,22.62,22.3,22.49,330028.0
2014-03-05,22.63,22.63,22.27,22.44,284070.0
2014-03-04,22.03,22.68,21.95,22.61,329690.0
2014-03-03,22.05,22.27,21.68,21.77,419190.0
2014-02-28,22.22,22.38,22.05,22.24,238027.0
2014-02-27,22.08,22.23,21.92,22.22,291366.0
2014-02-26,22.28,22.3,22.09,22.12,486729.0
2014-02-25,22.24,22.48,22.13,22.41,553454.0
2014-02-24,21.97,22.52,21.77,22.27,432446.0
2014-02-21,21.9,21.98,21.6,21.94,495957.0
2014-02-20,21.54,21.87,21.37,21.8,433799.0
2014-02-19,21.68,21.68,21.47,21.53,473567.0
2014-02-18,21.67,21.86,21.6,21.73,421648.0
2014-02-14,21.88,21.88,21.57,21.74,366177.0
2014-02-13,21.48,22.05,21.4,21.99,362570.0
2014-02-12,21.72,21.87,21.53,21.64,448421.0
2014-02-11,21.97,21.98,21.54,21.78,375674.0
2014-02-10,21.81,21.93,21.67,21.88,426254.0
2014-02-07,21.5,21.92,21.45,21.85,435035.0
2014-02-06,21.11,21.58,21.03,21.43,553283.0
2014-02-05,21.03,21.32,20.69,21.07,512247.0
2014-02-04,20.81,21.11,20.73,21.09,548070.0
2014-02-03,21.22,21.28,20.59,20.73,548905.0
2014-01-31,21.21,21.27,20.94,21.2,474618.0
2014-01-30,21.39,21.55,21.19,21.43,363837.0
2014-01-29,21.57,21.88,21.22,21.26,703120.0
2014-01-28,20.84,21.31,20.81,21.13,471857.0
2014-01-27,22.0,22.06,20.8,20.8,992994.0
2014-01-24,22.21,22.21,21.88,22.02,800276.0
2014-01-23,22.35,22.49,22.19,22.33,912211.0
2014-01-22,21.97,22.55,21.35,22.45,1907185.0
2014-01-21,22.77,23.13,22.51,22.6,727627.0
2014-01-17,23.01,23.04,22.74,22.76,394471.0
2014-01-16,23.08,23.09,22.74,22.95,393603.0
2014-01-15,23.02,23.34,22.89,23.08,495766.0
2014-01-14,22.88,23.19,22.7,22.94,846951.0
2014-01-13,23.03,23.03,22.59,22.85,645693.0
2014-01-10,23.0,23.1,22.55,22.86,475346.0
2014-01-09,23.24,23.4,22.67,22.89,918576.0
2014-01-08,24.16,24.26,23.04,23.25,1975096.0
2014-01-07,24.31,24.59,24.02,24.21,851303.0
2014-01-06,24.69,24.74,24.12,24.2,952051.0
2014-01-03,24.46,24.84,24.26,24.63,545039.0
2014-01-02,24.27,24.55,24.01,24.52,492670.0
2013-12-31,24.53,24.53,24.29,24.34,435014.0
2013-12-30,24.48,24.72,24.34,24.55,360425.0
2013-12-27,24.73,24.77,24.38,24.46,232792.0
2013-12-26,24.41,24.89,24.41,24.66,396289.0
2013-12-24,24.6,24.62,24.35,24.4,145522.0
2013-12-23,24.34,24.56,24.13,24.56,394408.0
2013-12-20,24.41,24.41,24.15,24.21,792965.0
2013-12-19,24.39,24.79,24.26,24.31,363190.0
2013-12-18,24.21,24.39,23.85,24.36,438297.0
2013-12-17,24.15,24.41,24.09,24.13,381094.0
2013-12-16,24.52,24.63,24.16,24.18,484366.0
2013-12-13,24.22,24.73,24.15,24.49,456829.0
2013-12-12,24.25,24.88,24.2,24.21,580997.0
2013-12-11,24.16,24.45,23.84,24.11,719719.0
2013-12-10,24.34,24.34,24.05,24.14,562622.0
2013-12-09,24.61,24.68,24.07,24.35,563906.0
2013-12-06,24.51,24.87,24.51,24.66,449563.0
2013-12-05,24.6,24.7,24.5,24.53,310503.0
2013-12-04,24.55,24.69,24.36,24.66,402072.0
2013-12-03,24.95,24.96,24.4,24.52,568018.0
2013-12-02,24.27,25.03,24.26,24.98,627815.0
2013-11-29,24.28,24.33,24.18,24.25,228640.0
2013-11-27,24.17,24.31,24.14,24.31,261667.0
2013-11-26,24.33,24.39,24.14,24.17,293683.0
2013-11-25,24.33,24.45,24.1,24.37,358934.0
2013-11-22,24.23,24.28,24.0,24.22,379392.0
2013-11-21,23.78,24.4,23.78,24.17,490175.0
2013-11-20,23.66,23.86,23.51,23.76,562923.0
2013-11-19,23.65,24.05,23.58,23.67,823841.0
2013-11-18,23.69,23.79,22.8,23.57,1448006.0
2013-11-15,23.46,24.19,23.43,24.02,635069.0
2013-11-14,23.51,23.73,23.22,23.35,649279.0
2013-11-13,23.2,23.42,23.14,23.4,395902.0
2013-11-12,22.25,23.59,22.22,23.42,1030867.0
2013-11-11,22.03,22.45,21.93,22.39,640606.0
2013-11-08,21.87,22.25,21.8,22.11,536973.0
2013-11-07,21.8,21.93,21.67,21.83,516824.0
2013-11-06,21.58,21.78,21.31,21.76,440736.0
2013-11-05,21.47,21.69,21.34,21.56,346647.0
2013-11-04,21.21,21.44,21.08,21.44,370182.0
2013-11-01,20.61,21.34,20.44,21.22,475632.0
2013-10-31,20.79,20.86,20.59,20.64,803421.0
2013-10-30,20.76,20.99,20.72,20.87,442961.0
2013-10-29,20.5,20.82,20.41,20.73,581930.0
2013-10-28,20.27,20.56,20.22,20.54,585137.0
2013-10-25,20.08,20.25,20.0,20.2,396564.0
2013-10-24,20.07,20.16,19.93,20.12,446572.0
2013-10-23,19.86,20.25,19.85,20.12,421583.0
2013-10-22,20.01,20.11,19.94,20.01,481620.0
2013-10-21,19.86,20.04,19.81,20.03,450279.0
2013-10-18,19.59,19.9,19.51,19.88,557374.0
2013-10-17,19.3,19.65,19.19,19.62,725307.0
2013-10-16,19.46,19.98,19.12,19.5,1157957.0
2013-10-15,19.61,19.92,19.5,19.67,1088116.0
2013-10-14,19.4,19.57,19.25,19.55,374047.0
2013-10-11,19.3,19.63,19.26,19.44,328575.0
2013-10-10,19.21,19.54,19.07,19.36,319936.0
2013-10-09,19.21,19.21,18.94,19.12,394445.0
2013-10-08,19.15,19.24,18.83,19.01,463304.0
