Date,Open,High,Low,Close,Volume
2014-04-07,59.97,59.97,59.07,59.24,78998.0
2014-04-04,61.58,61.98,60.11,60.15,78039.0
2014-04-03,60.88,61.65,60.62,61.35,78533.0
2014-04-02,60.72,61.0,60.08,60.85,122835.0
2014-04-01,60.03,61.0,59.72,60.82,144066.0
2014-03-31,59.51,60.53,59.44,59.88,108357.0
2014-03-28,59.14,60.22,59.07,59.45,125372.0
2014-03-27,59.31,59.7,58.65,59.16,85995.0
2014-03-26,59.93,59.93,59.1,59.43,110103.0
2014-03-25,58.93,60.71,58.71,59.42,100238.0
2014-03-24,59.61,59.85,58.58,59.19,248729.0
2014-03-21,59.56,60.28,59.16,59.42,129442.0
2014-03-20,59.5,59.9,59.29,59.5,56900.0
2014-03-19,59.5,59.99,59.29,59.56,94040.0
2014-03-18,57.96,59.78,57.67,59.62,183957.0
2014-03-17,59.19,59.74,57.87,58.17,105324.0
2014-03-14,58.29,59.24,58.09,59.07,117898.0
2014-03-13,58.81,59.28,57.82,58.53,183405.0
2014-03-12,58.97,59.64,58.02,58.51,193206.0
2014-03-11,59.04,59.99,58.64,59.13,245513.0
2014-03-10,59.7,60.0,58.68,59.11,114040.0
2014-03-07,60.44,60.5,59.34,59.54,111334.0
2014-03-06,60.04,60.57,59.44,60.5,230172.0
2014-03-05,58.3,58.99,58.27,58.69,216361.0
2014-03-04,57.31,58.72,56.51,58.61,246963.0
2014-03-03,57.28,57.56,56.64,56.75,189663.0
2014-02-28,58.57,58.85,57.84,57.86,118938.0
2014-02-27,58.7,59.2,58.16,58.4,227281.0
2014-02-26,58.51,59.31,58.51,59.0,199714.0
2014-02-25,58.87,59.21,58.25,58.71,298784.0
2014-02-24,58.64,59.31,58.63,58.79,261594.0
2014-02-21,59.39,60.48,58.08,58.75,711452.0
2014-02-20,61.66,63.11,61.25,62.92,94835.0
2014-02-19,61.07,61.96,60.42,61.45,154078.0
2014-02-18,61.69,62.33,61.32,61.39,135267.0
2014-02-14,62.47,62.81,61.66,61.75,109450.0
2014-02-13,62.29,62.64,61.48,62.48,152650.0
2014-02-12,62.64,62.95,61.8,62.6,50472.0
2014-02-11,62.98,63.04,62.25,62.44,114164.0
2014-02-10,62.5,62.8,61.7,62.32,95334.0
2014-02-07,62.81,63.59,62.18,62.49,95095.0
2014-02-06,62.06,62.86,61.5,62.81,73577.0
2014-02-05,62.13,63.18,61.69,61.99,93224.0
2014-02-04,63.48,63.75,62.66,62.82,126004.0
2014-02-03,64.7,65.33,62.93,63.45,156546.0
2014-01-31,63.98,64.77,63.84,64.51,91220.0
2014-01-30,64.66,65.46,64.19,64.82,66784.0
2014-01-29,63.53,64.5,63.06,64.28,84435.0
2014-01-28,64.0,64.18,62.9,64.05,139981.0
2014-01-27,65.91,66.09,63.98,64.1,108657.0
2014-01-24,65.66,66.4,64.37,65.67,117237.0
2014-01-23,65.41,66.36,65.09,66.2,159837.0
2014-01-22,65.37,66.0,65.15,65.65,51304.0
2014-01-21,65.64,65.88,65.12,65.47,64008.0
2014-01-17,65.2,65.85,64.66,65.47,161937.0
2014-01-16,65.2,65.4,64.28,65.1,109035.0
2014-01-15,64.95,65.5,64.16,65.16,52492.0
2014-01-14,64.57,65.81,63.71,65.07,159772.0
2014-01-13,64.32,65.06,63.64,64.2,152752.0
2014-01-10,63.81,65.3,63.81,64.49,171951.0
2014-01-09,64.09,64.94,63.58,64.07,126990.0
2014-01-08,62.75,64.01,62.22,63.87,210254.0
2014-01-07,63.5,65.77,62.68,62.9,232593.0
2014-01-06,63.14,63.89,63.0,63.42,143128.0
2014-01-03,62.74,63.79,62.41,63.08,108906.0
2014-01-02,63.64,63.66,62.52,62.79,93169.0
2013-12-31,64.26,64.47,63.32,63.71,80668.0
2013-12-30,64.52,64.72,63.89,64.38,90431.0
2013-12-27,64.95,65.74,64.3,64.67,91530.0
2013-12-26,65.12,65.29,64.3,64.71,72625.0
2013-12-24,64.78,65.84,64.05,65.0,54046.0
2013-12-23,64.5,64.66,63.78,64.64,119075.0
2013-12-20,64.49,65.07,63.73,64.46,289032.0
2013-12-19,64.98,65.7,64.21,64.23,92769.0
2013-12-18,64.88,65.43,64.55,65.21,140210.0
2013-12-17,64.75,65.0,64.19,64.7,143609.0
2013-12-16,64.28,64.98,64.28,64.97,112407.0
2013-12-13,63.93,65.0,63.85,64.21,79093.0
2013-12-12,63.93,64.36,63.39,63.96,135981.0
2013-12-11,65.59,65.59,63.58,63.91,144220.0
2013-12-10,65.78,65.78,64.93,65.37,139921.0
2013-12-09,65.84,66.45,65.16,65.72,104234.0
2013-12-06,65.73,66.28,65.12,65.95,119784.0
2013-12-05,65.61,66.02,64.85,65.32,110180.0
2013-12-04,66.03,66.2,64.73,65.78,138135.0
2013-12-03,66.0,66.5,64.94,66.12,165432.0
2013-12-02,65.68,66.62,65.33,66.25,122778.0
2013-11-29,66.02,66.51,65.45,65.68,58714.0
2013-11-27,64.58,66.2,64.58,65.68,108814.0
2013-11-26,63.51,64.87,63.15,64.58,126931.0
2013-11-25,63.62,64.01,63.3,63.52,69231.0
2013-11-22,63.3,64.11,62.08,63.74,71092.0
2013-11-21,63.2,64.1,62.08,63.36,65195.0
2013-11-20,61.43,64.29,60.75,63.21,242117.0
2013-11-19,61.85,61.97,60.93,61.18,91082.0
2013-11-18,62.58,63.14,61.22,61.74,60315.0
2013-11-15,62.7,62.82,62.15,62.48,104703.0
