Date,Open,High,Low,Close,Volume
2014-04-07,11.8,11.97,11.52,11.65,2118027.0
2014-04-04,12.38,12.39,11.74,11.85,2281168.0
2014-04-03,12.32,12.5,12.14,12.26,1620323.0
2014-04-02,12.47,12.49,12.14,12.29,3153474.0
2014-04-01,12.28,12.52,12.25,12.39,2779381.0
2014-03-31,12.05,12.37,12.05,12.23,2486324.0
2014-03-28,11.85,12.18,11.78,11.94,2554451.0
2014-03-27,12.02,12.14,11.69,11.85,2245829.0
2014-03-26,12.38,12.53,12.02,12.03,1795260.0
2014-03-25,12.58,12.69,12.11,12.27,2301919.0
2014-03-24,12.31,12.53,12.18,12.5,2311194.0
2014-03-21,12.98,13.04,12.3,12.3,3225582.0
2014-03-20,12.85,13.0,12.7,12.91,1591729.0
2014-03-19,13.22,13.29,12.75,12.84,3335710.0
2014-03-18,12.73,13.22,12.72,13.18,2929670.0
2014-03-17,12.47,12.78,12.46,12.72,2070067.0
2014-03-14,12.01,12.61,12.01,12.46,2289980.0
2014-03-13,11.99,12.23,11.86,12.07,2554508.0
2014-03-12,12.1,12.31,11.91,11.96,2158192.0
2014-03-11,12.18,12.42,12.02,12.05,2107315.0
2014-03-10,12.31,12.46,12.1,12.16,1679829.0
2014-03-07,12.5,12.5,12.2,12.31,1487685.0
2014-03-06,12.49,12.51,12.32,12.42,1102174.0
2014-03-05,12.26,12.47,12.15,12.41,2040547.0
2014-03-04,12.0,12.3,11.96,12.24,2965707.0
2014-03-03,11.68,11.9,11.51,11.8,1989999.0
2014-02-28,12.07,12.09,11.68,11.79,3624263.0
2014-02-27,12.78,12.83,11.96,12.05,4847362.0
2014-02-26,12.8,12.98,12.57,12.86,3144688.0
2014-02-25,12.82,12.89,12.58,12.79,3840371.0
2014-02-24,12.2,12.98,12.2,12.77,4818554.0
2014-02-21,12.5,12.5,12.11,12.15,2732333.0
2014-02-20,12.0,12.77,11.88,12.43,7354000.0
2014-02-19,11.84,12.0,11.79,11.94,4248743.0
2014-02-18,11.78,11.89,11.5,11.85,2183861.0
2014-02-14,11.76,11.8,11.6,11.79,1314745.0
2014-02-13,11.69,11.82,11.57,11.75,2495502.0
2014-02-12,11.41,11.82,11.32,11.77,7082594.0
2014-02-11,10.6,11.08,10.55,11.01,2796581.0
