Date,Open,High,Low,Close,Volume
2014-04-07,121.44,122.73,119.58,120.02,409135.0
2014-04-04,124.99,125.2,121.78,121.95,229630.0
2014-04-03,122.49,124.65,121.31,124.2,851475.0
2014-04-02,122.0,122.36,121.2,122.32,342355.0
2014-04-01,122.0,122.0,120.81,121.65,439300.0
2014-03-31,121.94,122.35,121.27,121.4,524138.0
2014-03-28,122.09,122.72,120.96,121.59,145329.0
2014-03-27,121.68,122.52,120.19,121.55,211952.0
2014-03-26,122.98,123.1,121.5,121.55,202043.0
2014-03-25,121.95,123.45,121.63,122.18,305393.0
2014-03-24,122.32,122.38,120.05,121.73,415190.0
2014-03-21,123.99,124.82,121.49,121.75,542271.0
2014-03-20,123.89,124.15,122.87,123.54,263111.0
2014-03-19,124.71,124.71,122.96,123.74,311456.0
2014-03-18,124.09,125.62,123.14,124.94,279899.0
2014-03-17,127.99,129.17,123.64,123.68,627471.0
2014-03-14,125.59,128.05,125.59,127.91,288421.0
2014-03-13,128.56,128.56,126.03,126.09,217560.0
2014-03-12,126.81,128.47,126.22,128.26,248512.0
2014-03-11,128.02,129.27,127.44,127.59,203332.0
2014-03-10,126.16,128.25,126.16,127.55,245520.0
2014-03-07,127.06,127.38,126.0,126.73,210039.0
2014-03-06,126.38,127.45,125.77,126.67,351767.0
2014-03-05,126.43,126.76,125.23,126.0,199635.0
2014-03-04,126.05,126.82,125.32,126.09,328003.0
2014-03-03,124.69,125.56,124.07,124.58,264833.0
2014-02-28,126.12,126.99,125.08,125.9,265635.0
2014-02-27,126.2,126.85,124.93,126.35,244473.0
2014-02-26,126.0,126.72,125.64,126.13,192138.0
2014-02-25,125.71,126.36,125.08,125.54,258565.0
2014-02-24,125.31,126.19,124.65,125.44,195139.0
2014-02-21,126.22,126.42,124.38,124.64,306504.0
2014-02-20,125.22,126.83,124.22,126.33,261408.0
2014-02-19,124.06,125.79,124.06,125.09,179971.0
2014-02-18,124.0,125.7,123.44,125.6,315443.0
2014-02-14,123.48,124.3,122.51,124.0,310265.0
2014-02-13,121.79,124.23,119.08,124.07,205259.0
2014-02-12,122.04,123.86,120.61,122.68,299619.0
2014-02-11,120.75,123.07,119.83,122.28,342078.0
2014-02-10,119.11,120.98,118.75,120.88,484199.0
2014-02-07,117.8,119.12,116.85,118.89,332283.0
2014-02-06,116.8,117.8,115.39,117.05,430384.0
2014-02-05,114.5,116.47,113.03,116.23,507332.0
2014-02-04,115.0,116.88,110.85,115.1,852300.0
2014-02-03,113.69,113.69,108.58,109.09,784340.0
2014-01-31,112.27,114.39,110.95,114.26,670115.0
2014-01-30,112.31,114.15,111.32,113.76,438743.0
2014-01-29,112.07,113.88,112.07,113.45,214376.0
2014-01-28,113.23,113.61,112.77,113.11,342384.0
2014-01-27,113.43,114.69,112.43,112.91,275920.0
2014-01-24,114.36,114.36,111.7,113.28,304890.0
2014-01-23,113.96,114.93,113.61,114.6,264230.0
2014-01-22,114.34,114.98,113.62,114.58,272114.0
2014-01-21,113.83,115.0,113.34,114.18,421244.0
2014-01-17,112.22,113.72,111.94,113.58,324936.0
2014-01-16,112.01,112.75,111.37,112.51,288924.0
2014-01-15,109.99,112.56,109.99,112.11,409823.0
2014-01-14,108.88,110.58,108.01,110.01,233993.0
2014-01-13,108.52,109.5,107.75,108.38,204284.0
2014-01-10,109.0,109.99,108.23,109.05,232400.0
2014-01-09,108.35,109.09,107.47,108.98,164702.0
2014-01-08,107.96,108.9,107.15,108.31,250409.0
2014-01-07,105.67,107.9,105.05,107.86,252166.0
2014-01-06,106.6,106.93,105.01,105.32,347817.0
2014-01-03,105.59,106.56,105.06,106.29,291861.0
2014-01-02,105.99,107.47,104.64,105.03,427594.0
2013-12-31,107.18,107.18,105.56,106.37,369891.0
2013-12-30,106.56,106.95,105.6,106.69,189238.0
2013-12-27,106.02,107.06,105.71,106.77,205499.0
2013-12-26,106.16,106.51,105.66,105.72,205838.0
2013-12-24,105.19,106.44,104.2,106.0,87380.0
2013-12-23,105.75,105.75,104.27,105.34,211648.0
2013-12-20,103.82,106.14,103.82,105.21,1103423.0
2013-12-19,103.72,104.77,102.7,103.81,773249.0
2013-12-18,104.74,105.31,103.54,104.0,591871.0
2013-12-17,103.64,104.69,103.06,104.34,1348969.0
2013-12-16,102.92,104.79,102.69,103.43,1025439.0
2013-12-13,101.41,102.77,101.41,102.27,376007.0
2013-12-12,102.31,103.23,101.33,101.59,469065.0
2013-12-11,103.75,103.94,101.96,102.15,381637.0
2013-12-10,103.89,104.5,103.02,103.5,354779.0
2013-12-09,103.32,105.64,103.02,104.12,281273.0
