Date,Open,High,Low,Close,Volume
2014-04-07,26.35,26.49,25.99,26.17,412573.0
2014-04-04,27.51,27.51,26.32,26.5,217655.0
2014-04-03,26.74,27.45,26.55,27.29,348520.0
2014-04-02,26.7,26.79,26.48,26.66,132561.0
2014-04-01,26.25,26.85,26.25,26.69,202901.0
2014-03-31,26.08,26.46,25.8,26.14,280260.0
2014-03-28,25.85,26.49,25.62,25.96,112209.0
2014-03-27,25.75,26.1,25.39,25.88,143446.0
2014-03-26,26.28,26.29,25.67,25.77,182097.0
2014-03-25,26.62,26.98,25.75,26.16,253821.0
2014-03-24,26.37,26.64,25.89,26.48,173827.0
2014-03-21,26.4,26.89,26.2,26.36,245426.0
2014-03-20,26.13,26.53,26.0,26.27,84582.0
2014-03-19,26.51,26.56,25.98,26.23,68445.0
2014-03-18,26.29,26.63,26.16,26.59,96666.0
2014-03-17,26.3,26.81,26.11,26.23,102783.0
2014-03-14,26.26,26.91,26.13,26.21,135453.0
2014-03-13,26.34,26.6,25.83,26.37,231362.0
2014-03-12,25.9,26.24,25.84,26.23,244135.0
2014-03-11,26.61,26.93,25.57,26.05,171189.0
2014-03-10,26.7,26.78,26.33,26.63,99935.0
2014-03-07,27.03,27.21,26.58,26.71,142890.0
2014-03-06,26.97,27.25,26.73,26.81,237599.0
2014-03-05,27.33,27.58,26.73,26.85,209178.0
2014-03-04,26.96,27.98,26.86,27.45,301813.0
2014-03-03,26.91,28.13,26.31,26.59,323517.0
2014-02-28,30.75,30.81,27.11,27.19,324618.0
2014-02-27,27.65,28.35,27.35,28.25,243289.0
2014-02-26,27.3,27.71,27.29,27.68,153249.0
2014-02-25,27.44,27.48,26.97,27.19,77050.0
2014-02-24,26.75,27.57,26.55,27.39,165500.0
2014-02-21,26.82,27.15,26.52,26.75,139730.0
2014-02-20,25.82,27.07,25.82,26.68,151218.0
2014-02-19,27.5,27.5,26.48,26.54,126142.0
2014-02-18,27.47,27.92,27.08,27.43,193943.0
2014-02-14,27.66,28.02,26.97,27.45,109087.0
2014-02-13,26.58,27.7,26.58,27.65,174121.0
2014-02-12,26.78,27.07,26.45,26.74,149168.0
2014-02-11,26.9,27.01,26.57,26.77,161907.0
2014-02-10,27.05,27.19,26.65,26.86,159087.0
2014-02-07,26.93,27.14,26.58,27.07,159093.0
2014-02-06,26.67,27.07,26.67,26.82,94416.0
2014-02-05,26.89,26.97,26.28,26.6,278822.0
2014-02-04,26.55,27.17,26.39,26.99,233164.0
2014-02-03,26.38,26.61,25.79,26.32,345300.0
2014-01-31,26.96,27.87,26.31,26.4,298724.0
2014-01-30,27.38,27.98,27.11,27.46,161356.0
2014-01-29,27.58,28.06,27.0,27.14,101885.0
2014-01-28,27.56,27.83,27.36,27.77,148494.0
2014-01-27,28.08,28.32,27.46,27.62,220068.0
2014-01-24,28.35,28.39,27.75,28.03,124017.0
2014-01-23,29.05,29.17,28.44,28.58,143904.0
2014-01-22,29.42,29.6,28.99,29.1,147582.0
2014-01-21,29.62,29.64,29.02,29.31,103804.0
2014-01-17,29.46,29.72,29.31,29.4,151161.0
2014-01-16,29.55,30.04,29.35,29.41,147145.0
2014-01-15,29.86,30.0,29.62,29.66,108092.0
2014-01-14,29.79,29.99,29.27,29.78,107048.0
2014-01-13,29.77,29.87,29.3,29.54,387225.0
2014-01-10,30.12,30.12,29.69,30.0,132114.0
2014-01-09,30.57,30.57,29.7,30.05,253307.0
2014-01-08,30.39,30.84,30.14,30.42,397275.0
2014-01-07,30.51,30.77,30.3,30.47,415863.0
2014-01-06,30.77,31.04,30.33,30.39,382068.0
2014-01-03,30.77,30.96,30.55,30.72,283235.0
2014-01-02,30.87,30.94,30.45,30.75,277857.0
2013-12-31,31.04,31.15,30.79,30.91,321469.0
2013-12-30,30.9,31.04,30.7,30.89,155877.0
2013-12-27,31.28,31.28,30.78,30.9,106524.0
2013-12-26,31.5,31.66,31.09,31.2,155808.0
2013-12-24,31.55,31.83,31.2,31.28,74965.0
2013-12-23,32.09,32.13,31.29,31.42,155431.0
2013-12-20,30.86,31.96,30.76,31.88,475479.0
2013-12-19,30.88,31.04,30.42,30.72,208638.0
2013-12-18,29.53,30.87,29.49,30.86,265796.0
2013-12-17,29.48,29.62,29.09,29.54,132645.0
2013-12-16,28.38,29.49,28.35,29.48,177752.0
2013-12-13,28.75,28.75,28.14,28.35,136553.0
2013-12-12,28.2,28.76,27.99,28.61,114627.0
2013-12-11,28.88,29.02,27.91,28.2,274225.0
2013-12-10,28.73,29.15,28.54,28.91,235536.0
2013-12-09,28.55,28.87,28.49,28.69,144884.0
2013-12-06,28.46,28.67,28.14,28.5,158782.0
2013-12-05,27.66,28.25,27.66,28.15,176426.0
2013-12-04,27.37,27.9,27.23,27.69,230101.0
2013-12-03,27.45,27.82,27.08,27.55,788932.0
2013-12-02,27.18,27.6,26.88,27.4,399151.0
2013-11-29,26.81,26.88,26.57,26.78,83472.0
2013-11-27,26.44,26.69,26.26,26.64,96921.0
2013-11-26,25.66,26.4,25.1,26.39,105398.0
2013-11-25,25.74,25.81,25.48,25.6,95041.0
2013-11-22,25.45,25.75,25.34,25.64,79116.0
2013-11-21,25.21,25.66,25.05,25.5,110233.0
2013-11-20,25.08,25.31,23.9,25.06,65849.0
2013-11-19,24.69,25.07,24.57,24.92,258134.0
2013-11-18,24.59,25.08,24.4,24.72,174336.0
2013-11-15,24.56,24.8,24.52,24.59,178872.0
2013-11-14,24.91,24.91,24.5,24.58,195908.0
2013-11-13,24.99,25.06,24.81,24.95,279993.0
2013-11-12,24.73,25.16,24.67,25.13,99447.0
2013-11-11,24.62,24.88,24.57,24.8,77091.0
2013-11-08,24.46,24.86,24.46,24.7,183433.0
2013-11-07,25.03,25.03,24.26,24.55,209542.0
2013-11-06,25.05,26.3,24.51,25.07,251776.0
2013-11-05,24.23,25.17,23.89,24.86,219825.0
2013-11-04,23.86,24.68,23.61,24.44,205779.0
2013-11-01,24.22,24.28,23.37,23.85,352095.0
2013-10-31,24.34,24.53,24.18,24.27,93924.0
2013-10-30,24.71,24.78,24.38,24.39,119854.0
2013-10-29,24.54,25.01,24.42,24.64,129134.0
2013-10-28,24.47,24.7,24.25,24.5,397893.0
2013-10-25,24.61,24.77,24.24,24.47,191728.0
2013-10-24,24.5,24.75,24.32,24.52,253768.0
2013-10-23,24.39,24.63,24.39,24.5,94467.0
2013-10-22,24.63,24.78,24.53,24.58,133180.0
2013-10-21,24.72,24.82,24.48,24.6,156462.0
2013-10-18,24.78,24.94,24.39,24.72,202415.0
2013-10-17,24.24,24.56,23.99,24.53,164192.0
2013-10-16,24.5,24.6,24.29,24.37,58175.0
2013-10-15,24.53,24.64,24.24,24.38,93956.0
2013-10-14,24.17,24.6,24.03,24.6,75785.0
2013-10-11,23.79,24.29,23.69,24.29,73131.0
2013-10-10,23.63,24.07,23.48,23.91,111569.0
2013-10-09,23.17,23.48,23.02,23.28,104103.0
2013-10-08,23.23,23.23,23.0,23.15,110114.0
2013-10-07,23.19,23.43,23.1,23.25,117589.0
2013-10-04,23.31,23.64,23.31,23.38,103004.0
2013-10-03,23.57,23.64,23.12,23.37,100353.0
2013-10-02,23.92,23.98,23.59,23.66,188379.0
2013-10-01,23.6,24.1,23.41,24.02,118470.0
2013-09-30,23.17,23.69,23.08,23.63,249149.0
2013-09-27,23.26,23.5,23.26,23.41,57074.0
2013-09-26,23.39,23.52,23.2,23.45,151200.0
2013-09-25,23.4,23.66,23.18,23.39,107643.0
2013-09-24,23.21,23.69,23.1,23.42,98625.0
2013-09-23,23.19,23.44,22.82,23.22,142541.0
2013-09-20,22.94,23.3,22.74,23.25,206476.0
2013-09-19,22.89,23.09,22.7,22.93,44496.0
2013-09-18,22.61,22.95,22.36,22.88,77560.0
2013-09-17,22.35,22.66,22.35,22.66,62307.0
2013-09-16,22.61,22.73,21.62,22.41,66117.0
2013-09-13,22.38,22.59,22.33,22.43,134119.0
2013-09-12,22.42,22.42,22.21,22.28,98548.0
2013-09-11,22.63,22.67,22.36,22.48,73435.0
2013-09-10,22.37,22.75,22.37,22.72,89108.0
2013-09-09,21.79,22.33,21.63,22.3,60568.0
2013-09-06,22.06,22.2,21.74,21.77,55759.0
2013-09-05,21.8,22.06,21.68,21.96,123049.0
2013-09-04,21.58,21.87,21.58,21.73,76300.0
2013-09-03,21.81,21.95,21.41,21.6,140345.0
2013-08-30,21.88,22.02,21.56,21.6,137801.0
2013-08-29,21.8,22.12,21.8,22.04,81523.0
2013-08-28,21.57,21.85,21.35,21.79,136986.0
2013-08-27,21.81,22.03,21.52,21.55,105035.0
2013-08-26,22.37,22.5,22.02,22.02,89817.0
2013-08-23,22.08,22.5,22.08,22.39,141368.0
2013-08-22,21.65,22.16,21.57,22.09,293290.0
2013-08-21,21.3,21.93,21.29,21.65,119443.0
2013-08-20,20.89,21.45,20.75,21.39,183261.0
2013-08-19,21.16,21.24,20.89,20.93,97064.0
2013-08-16,20.88,21.28,20.7,21.16,227122.0
2013-08-15,21.64,21.64,20.98,21.0,179815.0
2013-08-14,21.64,21.92,21.59,21.8,167332.0
2013-08-13,21.9,22.14,21.66,21.69,203624.0
2013-08-12,21.8,22.1,21.8,21.95,267344.0
2013-08-09,21.78,22.04,21.7,21.99,392359.0
2013-08-08,23.81,23.85,21.69,21.76,218583.0
2013-08-07,21.88,22.17,21.75,22.05,108696.0
2013-08-06,21.85,21.9,21.51,21.87,111989.0
2013-08-05,21.74,22.0,21.74,21.85,45029.0
2013-08-02,21.7,21.92,21.63,21.83,81016.0
2013-08-01,21.62,21.98,21.47,21.84,168748.0
2013-07-31,21.59,21.65,21.48,21.51,133279.0
2013-07-30,21.58,21.65,21.3,21.58,102100.0
2013-07-29,21.6,21.73,21.36,21.45,94966.0
2013-07-26,21.75,21.75,21.46,21.7,94382.0
2013-07-25,21.6,21.95,21.25,21.95,99434.0
2013-07-24,21.83,22.04,21.63,21.69,57461.0
2013-07-23,21.97,21.99,21.76,21.8,53040.0
2013-07-22,21.83,22.02,21.73,21.96,79182.0
2013-07-19,21.88,21.99,21.72,21.95,98727.0
2013-07-18,21.88,22.0,21.81,21.94,118050.0
2013-07-17,21.75,21.87,21.7,21.77,168381.0
2013-07-16,21.7,21.85,21.61,21.7,104735.0
2013-07-15,21.65,21.79,21.56,21.74,233004.0
2013-07-12,21.68,21.74,21.56,21.69,96214.0
2013-07-11,21.69,21.73,21.51,21.66,93434.0
2013-07-10,21.46,21.59,21.45,21.49,112843.0
2013-07-09,21.49,21.56,21.32,21.51,143218.0
2013-07-08,21.33,21.54,21.33,21.39,116694.0
2013-07-05,21.26,21.59,20.82,21.3,204089.0
2013-07-03,20.74,21.1,20.7,20.96,155619.0
2013-07-02,20.55,20.85,20.54,20.81,91598.0
2013-07-01,19.98,20.64,19.95,20.62,559411.0
2013-06-28,19.9,20.15,19.66,19.92,338207.0
2013-06-27,20.0,20.15,19.96,20.01,299062.0
2013-06-26,19.98,20.06,19.74,19.92,182807.0
2013-06-25,19.96,19.97,19.71,19.85,181267.0
2013-06-24,19.81,19.99,19.59,19.82,246502.0
2013-06-21,20.51,20.66,19.64,19.96,336512.0
2013-06-20,20.61,20.61,20.03,20.41,84531.0
2013-06-19,20.93,21.08,20.83,20.94,70493.0
2013-06-18,21.03,21.06,20.78,20.99,180931.0
2013-06-17,21.04,21.08,20.18,20.97,91741.0
2013-06-14,21.08,21.08,20.78,20.8,78090.0
2013-06-13,20.48,21.07,20.47,21.05,99887.0
2013-06-12,20.92,20.92,20.49,20.53,87249.0
2013-06-11,21.01,21.09,20.81,20.82,58392.0
2013-06-10,21.23,21.39,21.14,21.27,50974.0
2013-06-07,21.21,21.31,21.01,21.2,103445.0
2013-06-06,21.09,21.13,20.78,21.03,118654.0
2013-06-05,21.71,21.71,21.01,21.05,81894.0
2013-06-04,21.8,22.0,21.58,21.67,104297.0
2013-06-03,21.41,21.84,21.37,21.8,268484.0
2013-05-31,21.47,21.77,20.81,21.61,157571.0
2013-05-30,21.9,21.9,21.59,21.73,126018.0
2013-05-29,21.8,21.95,21.67,21.79,147647.0
2013-05-28,21.87,22.24,21.7,22.01,292947.0
2013-05-24,21.57,21.82,21.42,21.58,118058.0
2013-05-23,21.5,21.85,21.5,21.72,83201.0
2013-05-22,21.7,22.02,21.64,21.74,159199.0
2013-05-21,21.94,21.94,21.62,21.74,147282.0
2013-05-20,21.86,22.13,21.85,22.0,166359.0
2013-05-17,22.04,22.12,21.73,22.0,333724.0
2013-05-16,21.96,22.04,21.92,21.98,142410.0
2013-05-15,21.85,22.08,21.81,22.0,188906.0
2013-05-14,21.79,21.99,21.72,21.99,127662.0
2013-05-13,21.69,21.82,21.62,21.82,138161.0
2013-05-10,21.78,21.89,21.58,21.79,123592.0
2013-05-09,21.15,21.77,21.02,21.68,294653.0
2013-05-08,20.67,21.14,20.67,21.13,189297.0
2013-05-07,19.67,20.77,19.67,20.74,116570.0
2013-05-06,19.39,19.54,18.89,19.54,126138.0
2013-05-03,19.76,19.8,19.41,19.44,278467.0
2013-05-02,19.23,19.54,19.17,19.48,86641.0
2013-05-01,18.93,19.44,18.84,19.18,296699.0
2013-04-30,19.2,19.31,18.82,19.06,835107.0
2013-04-29,19.27,19.27,18.88,19.1,244925.0
2013-04-26,19.21,19.37,19.01,19.19,216150.0
2013-04-25,19.38,19.58,19.15,19.22,287819.0
2013-04-24,19.27,19.42,19.17,19.32,144264.0
2013-04-23,19.36,19.4,19.16,19.35,71958.0
2013-04-22,19.35,19.37,19.06,19.26,173961.0
2013-04-19,19.06,19.35,18.98,19.29,163841.0
2013-04-18,19.55,19.55,18.95,19.07,191932.0
2013-04-17,19.95,20.25,19.43,19.58,122019.0
2013-04-16,20.21,20.34,20.08,20.2,139525.0
2013-04-15,20.75,20.75,20.03,20.06,148267.0
2013-04-12,20.52,20.84,20.46,20.83,82069.0
2013-04-11,20.58,20.76,20.46,20.66,94549.0
2013-04-10,20.3,20.85,20.24,20.66,80563.0
2013-04-09,20.59,20.62,20.14,20.18,88878.0
2013-04-08,20.48,20.5,20.21,20.5,49857.0

