Date,Open,High,Low,Close,Volume
2014-04-07,37.45,37.9,37.08,37.41,912693.0
2014-04-04,38.81,38.97,37.37,37.65,671182.0
2014-04-03,39.42,39.6,38.37,38.42,951779.0
2014-04-02,39.8,39.93,39.21,39.31,773670.0
2014-04-01,38.98,39.92,38.52,39.79,1558043.0
2014-03-31,37.5,37.85,37.39,37.78,1781806.0
2014-03-28,37.26,37.69,37.09,37.31,1220283.0
2014-03-27,37.59,37.77,37.01,37.06,976269.0
2014-03-26,38.68,39.03,37.57,37.59,819135.0
2014-03-25,38.88,39.25,38.22,38.28,845282.0
2014-03-24,39.4,39.59,38.4,38.61,1199521.0
2014-03-21,39.92,40.3,39.22,39.38,1202778.0
2014-03-20,39.34,39.61,38.94,39.52,816235.0
2014-03-19,40.11,40.21,39.33,39.58,680212.0
2014-03-18,39.91,40.33,39.57,40.2,1030897.0
2014-03-17,38.67,39.25,38.67,39.0,771695.0
2014-03-14,38.63,39.39,38.24,38.46,860546.0
2014-03-13,40.08,40.29,38.45,38.71,1185691.0
2014-03-12,39.29,40.15,39.06,39.99,1160659.0
2014-03-11,39.61,39.72,39.05,39.54,532433.0
2014-03-10,39.99,40.14,39.29,39.49,567016.0
2014-03-07,40.7,41.0,39.8,40.09,567415.0
2014-03-06,40.94,41.17,40.56,40.62,590393.0
2014-03-05,41.37,41.54,40.99,41.0,423959.0
2014-03-04,40.98,41.51,40.96,41.27,480223.0
2014-03-03,40.92,41.38,40.13,40.54,740699.0
2014-02-28,41.32,41.68,41.08,41.56,1177526.0
2014-02-27,40.61,41.87,40.61,41.35,1347375.0
2014-02-26,40.38,40.85,40.17,40.66,682799.0
2014-02-25,40.54,40.75,40.18,40.24,565871.0
2014-02-24,40.22,40.76,40.06,40.67,854646.0
2014-02-21,40.68,41.0,40.24,40.27,646275.0
2014-02-20,40.12,40.59,39.9,40.57,670603.0
2014-02-19,40.07,40.68,39.92,40.09,733206.0
2014-02-18,39.99,40.33,39.93,40.15,628884.0
2014-02-14,40.0,40.22,39.84,39.99,414290.0
2014-02-13,39.05,40.47,39.05,39.98,852739.0
2014-02-12,39.52,39.98,39.11,39.35,764572.0
2014-02-11,39.22,39.71,39.16,39.52,657753.0
2014-02-10,38.97,39.32,38.43,39.23,692085.0
2014-02-07,38.64,39.19,38.24,38.95,869113.0
2014-02-06,39.03,39.38,38.4,38.49,731743.0
2014-02-05,38.3,39.13,38.11,38.82,760597.0
2014-02-04,38.39,39.02,38.15,38.6,894644.0
2014-02-03,40.1,40.31,38.13,38.25,1733746.0
2014-01-31,40.17,40.59,39.74,40.36,892259.0
2014-01-30,40.78,41.24,40.32,40.39,1224577.0
2014-01-29,40.78,41.5,40.3,40.33,1219201.0
2014-01-28,41.14,41.56,40.94,41.42,725170.0
2014-01-27,41.58,41.7,40.57,40.98,1043737.0
2014-01-24,42.65,42.74,39.91,41.57,3146547.0
2014-01-23,43.09,43.24,42.5,42.9,2116204.0
2014-01-22,43.79,43.79,43.08,43.49,2538199.0
2014-01-21,42.73,42.94,42.38,42.55,839643.0
2014-01-17,43.15,43.15,42.39,42.56,1008698.0
2014-01-16,43.52,43.52,42.81,43.11,849515.0
2014-01-15,42.65,43.13,42.44,42.89,1108357.0
2014-01-14,42.31,43.0,42.05,42.43,1027122.0
2014-01-13,42.97,43.47,42.06,42.17,975435.0
2014-01-10,42.77,43.47,42.73,42.99,939984.0
2014-01-09,42.9,43.18,42.16,42.81,762386.0
2014-01-08,42.26,42.92,42.06,42.9,726836.0
2014-01-07,41.23,42.32,41.19,42.29,639973.0
2014-01-06,40.9,41.36,40.8,41.1,629521.0
2014-01-03,40.83,41.13,40.72,40.82,487666.0
2014-01-02,41.31,41.73,40.62,40.73,507894.0
2013-12-31,41.59,42.0,41.39,41.5,524555.0
2013-12-30,41.38,41.46,41.18,41.38,442878.0
2013-12-27,41.55,41.91,41.06,41.49,248405.0
2013-12-26,41.32,41.75,41.22,41.43,353149.0
2013-12-24,41.0,41.37,40.66,41.34,187861.0
2013-12-23,40.95,41.3,40.53,41.03,511861.0
2013-12-20,40.19,40.74,39.89,40.68,1382345.0
2013-12-19,40.49,40.67,39.9,40.03,907742.0
2013-12-18,39.89,40.35,39.1,40.34,674754.0
2013-12-17,39.07,39.81,39.04,39.74,668740.0
2013-12-16,38.98,39.24,38.57,39.12,582067.0
2013-12-13,38.55,39.05,38.27,38.94,605286.0
2013-12-12,38.5,38.86,38.06,38.33,830971.0
2013-12-11,39.63,39.66,38.54,38.63,1026428.0
2013-12-10,40.06,40.25,39.58,39.6,684411.0
2013-12-09,39.63,40.27,39.44,40.24,987916.0
2013-12-06,38.78,39.94,38.58,39.82,1093803.0
2013-12-05,38.5,38.75,38.18,38.47,400566.0
2013-12-04,37.72,38.45,37.52,38.4,558929.0
2013-12-03,38.27,38.52,37.75,37.77,553696.0
2013-12-02,38.62,39.09,38.16,38.34,693977.0
2013-11-29,38.95,39.08,38.67,38.81,181776.0
2013-11-27,38.73,39.04,38.56,38.79,485103.0
2013-11-26,38.58,38.99,38.1,38.75,637123.0
2013-11-25,39.47,39.59,38.41,38.48,661226.0
2013-11-22,38.55,39.51,38.49,39.47,935437.0
2013-11-21,38.39,38.85,38.39,38.49,743968.0
2013-11-20,38.5,39.14,38.22,38.31,579497.0
2013-11-19,39.19,39.25,38.23,38.4,582109.0
2013-11-18,39.35,39.7,39.14,39.29,694509.0
2013-11-15,39.32,39.59,39.24,39.59,527807.0
2013-11-14,39.18,39.32,38.66,39.31,533836.0
2013-11-13,38.71,39.34,38.6,39.21,894930.0
2013-11-12,38.8,39.15,38.69,38.82,648113.0
2013-11-11,38.08,39.13,38.08,38.99,698417.0
2013-11-08,38.1,38.71,37.97,38.19,944158.0
2013-11-07,38.69,38.99,37.96,38.07,647628.0
2013-11-06,38.69,38.89,38.26,38.52,896818.0
2013-11-05,38.42,38.91,38.12,38.48,906883.0
2013-11-04,37.74,38.74,37.73,38.71,853804.0
2013-11-01,38.83,39.0,37.86,38.11,1047712.0
2013-10-31,38.46,39.17,38.16,38.6,2086101.0
2013-10-30,38.11,38.83,37.99,38.55,1959285.0
2013-10-29,37.34,38.15,37.34,38.14,1350741.0
