Date,Open,High,Low,Close,Volume
2014-04-07,8.44,8.56,8.22,8.4,1288588.0
2014-04-04,8.92,9.0,8.42,8.5,1553443.0
2014-04-03,9.16,9.28,8.71,8.82,1966242.0
2014-04-02,9.2,9.24,9.01,9.13,1191835.0
2014-04-01,9.08,9.25,9.06,9.16,1026191.0
2014-03-31,8.86,9.13,8.8,9.08,1503570.0
2014-03-28,8.95,9.1,8.65,8.76,896877.0
2014-03-27,9.05,9.16,8.73,8.95,1503453.0
2014-03-26,9.52,9.59,9.0,9.04,1376635.0
2014-03-25,9.54,9.64,9.2,9.35,845901.0
2014-03-24,9.71,9.82,9.26,9.46,1253297.0
2014-03-21,9.72,9.87,9.56,9.7,1833674.0
2014-03-20,9.89,9.91,9.65,9.67,2260967.0
2014-03-19,9.46,9.46,9.25,9.37,794587.0
2014-03-18,9.28,9.52,9.28,9.5,947789.0
2014-03-17,9.45,9.57,9.2,9.26,1267105.0
2014-03-14,9.24,9.47,9.16,9.37,996430.0
2014-03-13,9.78,9.81,9.2,9.27,2544394.0
2014-03-12,8.85,9.75,8.83,9.71,5592203.0
2014-03-11,8.61,8.68,8.41,8.45,1028530.0
2014-03-10,8.93,8.93,8.55,8.63,1006590.0
2014-03-07,9.05,9.12,8.72,8.94,1368594.0
2014-03-06,8.78,9.15,8.73,9.0,2596361.0
2014-03-05,8.6,8.78,8.6,8.72,1006186.0
2014-03-04,8.32,8.74,8.32,8.6,2187634.0
2014-03-03,8.2,8.25,8.08,8.17,1077780.0
2014-02-28,8.43,8.52,8.26,8.32,1264864.0
2014-02-27,8.47,8.5,8.33,8.41,918293.0
2014-02-26,8.38,8.55,8.32,8.52,856863.0
2014-02-25,8.52,8.65,8.3,8.34,865559.0
2014-02-24,8.37,8.51,8.31,8.48,1005719.0
2014-02-21,8.51,8.51,8.32,8.33,885976.0
2014-02-20,8.48,8.55,8.27,8.45,1438224.0
2014-02-19,8.66,8.69,8.4,8.44,1728300.0
