Date,Open,High,Low,Close,Volume
2014-04-07,76.96,77.19,74.3,74.79,2731870.0
2014-04-04,79.09,79.36,77.13,77.19,2219333.0
2014-04-03,79.0,79.43,78.08,78.58,2007268.0
2014-04-02,78.69,79.22,78.31,78.97,1543272.0
2014-04-01,77.98,78.92,77.73,78.89,2108232.0
2014-03-31,78.27,78.67,77.55,77.73,1942288.0
2014-03-28,77.77,78.25,77.42,77.77,960172.0
2014-03-27,77.41,77.96,76.91,77.58,1893130.0
2014-03-26,79.09,79.09,77.7,77.72,1630305.0
2014-03-25,79.38,79.71,77.95,78.67,1366282.0
2014-03-24,79.36,79.81,78.01,78.81,1623711.0
2014-03-21,81.54,81.54,79.39,79.44,2257081.0
2014-03-20,79.94,80.7,79.81,80.69,841223.0
2014-03-19,80.28,80.74,79.64,80.21,1168672.0
2014-03-18,80.49,80.85,80.19,80.66,1157259.0
2014-03-17,80.24,81.18,80.01,80.55,1185591.0
2014-03-14,80.15,80.39,79.59,79.91,1308841.0
2014-03-13,81.16,81.44,79.94,80.15,1558540.0
2014-03-12,81.09,81.19,80.49,80.93,2117862.0
2014-03-11,82.06,82.4,80.83,81.27,1682701.0
2014-03-10,81.76,82.33,81.31,81.82,2189044.0
2014-03-07,81.29,82.38,80.57,82.2,2778003.0
2014-03-06,80.45,81.12,80.44,80.73,1297875.0
2014-03-05,80.89,80.89,80.12,80.63,1884924.0
2014-03-04,78.53,81.24,78.5,80.91,3061292.0
2014-03-03,78.59,78.74,77.23,77.87,1622275.0
2014-02-28,77.39,78.3,77.27,78.15,2318097.0
2014-02-27,77.67,78.16,77.09,78.1,1289454.0
2014-02-26,81.21,81.21,77.23,77.7,1233136.0
2014-02-25,77.55,77.66,76.65,77.33,1531355.0
2014-02-24,76.67,78.18,76.41,77.41,2680194.0
2014-02-21,75.47,78.74,74.2,77.24,5414287.0
2014-02-20,73.67,74.19,73.04,73.85,1894402.0
2014-02-19,73.19,73.9,72.86,73.42,2361125.0
2014-02-18,71.9,73.26,71.68,73.05,2489526.0
2014-02-14,70.55,71.87,70.32,71.69,2491967.0
2014-02-13,69.49,70.76,69.12,70.72,3164918.0
2014-02-12,71.5,72.72,69.02,69.72,5067136.0
2014-02-11,71.4,73.0,71.4,72.72,1853927.0
2014-02-10,71.54,71.57,70.99,71.45,1774811.0
2014-02-07,71.29,71.73,71.01,71.45,2114269.0
2014-02-06,70.73,71.36,70.73,71.03,1590602.0
2014-02-05,70.54,71.01,70.36,70.75,1462666.0
2014-02-04,70.96,71.17,70.7,70.91,1732344.0
2014-02-03,73.49,73.79,70.71,70.81,2489320.0
2014-01-31,73.26,73.55,72.66,73.25,2103797.0
2014-01-30,73.47,74.56,73.2,74.19,1140757.0
2014-01-29,73.28,73.99,72.89,73.18,1618529.0
2014-01-28,73.35,74.12,73.18,73.48,1776490.0
2014-01-27,73.18,73.49,72.83,73.06,1670696.0
2014-01-24,75.11,75.43,73.17,73.24,1778846.0
2014-01-23,75.06,75.74,74.85,75.32,1339296.0
2014-01-22,76.01,76.16,75.17,75.57,2855285.0
2014-01-21,77.73,77.78,76.1,76.18,1229463.0
2014-01-17,76.06,77.58,76.06,76.99,1764541.0
2014-01-16,76.46,77.15,76.36,76.79,1470461.0
2014-01-15,76.23,77.22,75.95,76.78,1285609.0
2014-01-14,75.34,76.08,75.15,76.06,1113718.0
2014-01-13,75.98,76.22,74.82,75.01,1108979.0
2014-01-10,76.9,76.96,75.84,76.24,1165247.0
2014-01-09,76.8,77.0,76.32,76.63,1129974.0
2014-01-08,76.89,77.05,76.01,76.44,2437575.0
2014-01-07,75.88,77.35,75.74,77.06,1551004.0
2014-01-06,75.8,76.0,75.47,75.74,1268747.0
2014-01-03,75.75,76.38,75.53,75.8,998796.0
2014-01-02,76.11,76.16,75.4,75.94,1355681.0
2013-12-31,76.55,76.76,76.08,76.32,1040829.0
2013-12-30,76.63,76.84,76.24,76.57,838059.0
2013-12-27,76.36,76.89,75.99,76.09,698367.0
2013-12-26,76.21,76.71,75.98,76.35,581299.0
2013-12-24,76.5,76.57,76.22,76.42,393461.0
2013-12-23,75.65,76.65,75.5,76.32,1361985.0
2013-12-20,75.98,76.33,75.25,75.28,6408262.0
2013-12-19,75.99,76.21,75.52,75.69,1879235.0
2013-12-18,74.6,75.82,74.02,75.81,2327418.0
2013-12-17,74.76,75.05,74.53,74.69,1653390.0
2013-12-16,74.94,75.47,74.61,74.86,2071241.0
