Date,Open,High,Low,Close,Volume
2014-04-07,23.58,24.38,23.02,23.81,868876.0
2014-04-04,25.62,25.67,23.36,23.6,857734.0
2014-04-03,26.15,26.15,24.66,25.34,490698.0
2014-04-02,26.63,26.73,25.76,26.24,371886.0
2014-04-01,26.49,27.07,25.95,26.49,458689.0
2014-03-31,24.89,26.48,24.51,26.42,707918.0
2014-03-28,25.7,26.09,24.58,24.77,433340.0
2014-03-27,25.1,25.93,24.86,25.76,585340.0
2014-03-26,25.7,26.16,25.12,25.12,375141.0
2014-03-25,25.76,26.15,25.04,25.44,385964.0
2014-03-24,26.73,26.73,25.12,25.57,483186.0
2014-03-21,27.14,27.14,26.05,26.43,809065.0
2014-03-20,27.37,27.37,26.76,26.9,501482.0
2014-03-19,27.86,27.88,27.08,27.39,321850.0
2014-03-18,27.77,28.05,27.58,27.84,586520.0
2014-03-17,28.0,28.5,27.81,27.91,692432.0
2014-03-14,26.38,28.08,26.25,27.81,1093926.0
2014-03-13,26.82,27.08,26.35,26.51,568453.0
2014-03-12,26.46,26.75,26.13,26.69,678702.0
2014-03-11,27.52,27.61,26.51,26.63,678891.0
2014-03-10,27.48,27.75,27.23,27.59,453381.0
2014-03-07,27.51,27.68,26.65,27.45,503593.0
2014-03-06,27.79,27.79,27.22,27.27,908600.0
2014-03-05,26.93,27.64,26.71,27.6,604469.0
2014-03-04,26.01,27.48,25.92,26.97,1175668.0
2014-03-03,25.5,26.06,25.22,25.8,677057.0
2014-02-28,26.03,26.21,25.44,25.77,773113.0
2014-02-27,25.38,26.27,25.19,25.96,1201626.0
2014-02-26,25.3,25.86,25.14,25.53,454811.0
2014-02-25,25.57,25.65,24.96,25.36,458738.0
2014-02-24,25.81,25.98,25.03,25.57,848135.0
2014-02-21,25.1,27.91,25.0,25.77,2232093.0
2014-02-20,24.38,25.38,23.93,25.28,742386.0
2014-02-19,23.74,24.63,23.38,24.26,513529.0
2014-02-18,22.77,23.97,22.77,23.82,429024.0
2014-02-14,22.44,23.24,22.3,22.61,479701.0
2014-02-13,21.8,22.59,21.66,22.42,386929.0
2014-02-12,22.32,22.44,21.34,22.02,658494.0
2014-02-11,23.04,23.07,22.32,22.37,447250.0
2014-02-10,22.64,23.06,22.37,23.05,293883.0
2014-02-07,22.25,22.69,21.88,22.67,421904.0
2014-02-06,22.37,22.62,21.92,22.22,341692.0
2014-02-05,22.47,22.52,21.84,22.29,346488.0
2014-02-04,22.48,22.57,21.91,22.56,443184.0
2014-02-03,23.16,23.4,22.25,22.38,357918.0
2014-01-31,23.42,24.16,23.09,23.14,358235.0
2014-01-30,23.61,24.2,23.4,23.95,386401.0
2014-01-29,23.76,23.83,23.24,23.4,240548.0
2014-01-28,23.3,24.0,23.12,23.95,276260.0
2014-01-27,24.02,24.02,22.96,23.16,509723.0
2014-01-24,24.93,24.97,23.82,23.99,478377.0
2014-01-23,25.07,25.29,24.8,25.15,395774.0
2014-01-22,24.82,25.48,24.72,25.18,502986.0
2014-01-21,24.84,25.05,24.57,24.76,385400.0
2014-01-17,24.61,24.75,24.27,24.62,274816.0
2014-01-16,24.6,24.7,24.39,24.56,337697.0
2014-01-15,24.47,24.81,24.25,24.71,737763.0
2014-01-14,24.63,24.98,24.4,24.45,482980.0
2014-01-13,24.5,24.77,24.35,24.44,598427.0
2014-01-10,24.47,24.69,24.18,24.57,489344.0
2014-01-09,24.5,24.76,24.17,24.41,433255.0
2014-01-08,24.31,24.64,24.17,24.55,1009290.0
2014-01-07,25.2,25.45,24.45,24.51,556490.0
2014-01-06,25.3,25.46,24.79,25.22,823893.0
2014-01-03,24.82,25.25,24.67,25.18,340207.0
2014-01-02,25.12,25.13,24.68,24.82,327904.0
2013-12-31,24.95,25.5,24.81,25.14,517381.0
2013-12-30,25.04,25.06,24.74,24.83,261386.0
2013-12-27,25.13,25.13,24.71,25.04,213896.0
2013-12-26,25.06,25.28,24.91,25.03,192472.0
2013-12-24,25.18,25.48,24.83,25.0,167085.0
2013-12-23,25.05,25.24,24.84,25.04,464062.0
2013-12-20,24.16,25.09,24.03,25.02,1617546.0
2013-12-19,24.2,24.35,23.88,23.99,492694.0
2013-12-18,23.24,24.2,23.1,24.17,523035.0
2013-12-17,23.38,23.49,23.19,23.36,261177.0
2013-12-16,23.9,23.95,22.88,23.45,388116.0
2013-12-13,23.21,23.37,22.67,22.91,244149.0
2013-12-12,23.07,23.45,22.98,23.09,243929.0
2013-12-11,23.77,23.91,23.03,23.12,485357.0
2013-12-10,23.67,23.81,23.48,23.8,463000.0
2013-12-09,23.64,23.68,23.41,23.67,391065.0
2013-12-06,23.66,24.02,23.48,23.68,269862.0
2013-12-05,23.71,23.96,23.51,23.51,234473.0
2013-12-04,23.21,23.88,23.06,23.72,535511.0
2013-12-03,23.3,23.59,22.89,23.18,953215.0
2013-12-02,24.08,24.16,23.37,23.38,520039.0
2013-11-29,23.83,24.28,23.69,24.04,199098.0
2013-11-27,23.56,23.88,23.31,23.71,342849.0
2013-11-26,23.45,23.65,23.05,23.48,576194.0
2013-11-25,23.59,23.59,23.24,23.39,311591.0
2013-11-22,23.46,23.66,23.28,23.49,430799.0
2013-11-21,23.15,23.55,22.92,23.4,587560.0
2013-11-20,22.94,23.3,22.9,23.14,327595.0
2013-11-19,22.87,23.35,22.8,22.82,826027.0
2013-11-18,23.4,23.48,22.8,22.85,434372.0
2013-11-15,23.1,23.44,23.06,23.3,552448.0
2013-11-14,23.61,23.74,23.14,23.14,328178.0
2013-11-13,22.98,23.73,22.31,23.57,730808.0
2013-11-12,22.37,22.7,22.2,22.7,322861.0
2013-11-11,22.57,22.57,22.09,22.38,391320.0
2013-11-08,21.98,22.66,21.88,22.51,483186.0
2013-11-07,22.18,22.18,21.68,22.01,491001.0
2013-11-06,22.3,22.61,21.86,22.04,994164.0
2013-11-05,21.8,22.18,20.8,22.16,868996.0
2013-11-04,20.87,21.05,20.64,21.01,526226.0
2013-11-01,20.16,21.8,20.16,20.89,733272.0
2013-10-31,20.24,20.28,19.67,20.26,468992.0
2013-10-30,20.68,20.69,20.06,20.3,387016.0
2013-10-29,20.64,20.74,20.32,20.68,257908.0
2013-10-28,20.44,20.62,20.41,20.61,248859.0
2013-10-25,20.57,20.6,20.19,20.47,220551.0
2013-10-24,20.6,20.6,20.35,20.47,284262.0
2013-10-23,20.3,20.6,20.22,20.59,330131.0
2013-10-22,20.18,20.52,19.95,20.37,475255.0
2013-10-21,20.51,20.51,19.9,20.13,362995.0
2013-10-18,20.39,20.53,20.14,20.52,502573.0
2013-10-17,19.71,20.28,19.71,20.19,511688.0
2013-10-16,19.55,19.97,19.49,19.73,538234.0
2013-10-15,19.74,19.8,19.39,19.42,536654.0
2013-10-14,19.59,19.87,19.58,19.72,555251.0
2013-10-11,19.8,19.92,19.54,19.6,960337.0
2013-10-10,19.86,20.12,19.62,19.8,1104447.0
2013-10-09,20.1,20.2,19.5,19.66,687938.0
2013-10-08,20.64,20.97,20.08,20.11,296361.0
2013-10-07,20.78,20.97,20.54,20.66,329630.0
2013-10-04,20.81,21.11,20.8,20.83,301686.0
2013-10-03,21.21,21.31,20.71,20.82,486699.0
2013-10-02,21.17,21.4,20.83,21.29,434506.0
2013-10-01,20.35,21.28,20.35,21.25,598030.0
2013-09-30,20.19,20.52,19.94,20.47,468348.0
2013-09-27,20.23,20.49,20.04,20.31,264480.0
2013-09-26,20.35,20.5,20.03,20.35,198762.0
2013-09-25,20.38,20.62,20.13,20.35,225797.0
2013-09-24,20.39,20.68,20.1,20.31,329858.0
2013-09-23,20.42,20.67,20.25,20.34,268103.0
2013-09-20,20.41,20.65,19.8,20.38,1308489.0
2013-09-19,20.34,20.41,19.9,19.96,358804.0
2013-09-18,20.84,20.84,20.01,20.34,379563.0
2013-09-17,20.54,20.9,20.42,20.89,352700.0
2013-09-16,20.82,20.97,20.52,20.59,317766.0
2013-09-13,20.46,20.64,20.34,20.64,301506.0
2013-09-12,20.61,20.68,20.26,20.31,318027.0
2013-09-11,20.87,21.05,20.43,20.63,325972.0
2013-09-10,21.07,21.22,20.67,20.88,407321.0
2013-09-09,21.03,21.18,20.72,21.0,274142.0
2013-09-06,21.21,21.31,20.9,21.04,331571.0
2013-09-05,20.36,21.17,20.36,21.06,722019.0
2013-09-04,20.33,20.95,20.26,20.65,637969.0
2013-09-03,20.46,20.99,20.25,20.26,555275.0
2013-08-30,20.85,21.0,20.31,20.38,201149.0
2013-08-29,20.46,21.02,20.46,20.91,274255.0
2013-08-28,20.61,20.75,20.45,20.46,139502.0
2013-08-27,21.12,21.19,20.33,20.59,400380.0
2013-08-26,21.0,21.49,21.0,21.25,230333.0
2013-08-23,20.87,20.98,20.7,20.95,321214.0
2013-08-22,20.81,21.0,20.66,20.9,148223.0
2013-08-21,20.82,21.0,20.61,20.8,264304.0
2013-08-20,20.79,21.0,20.5,20.88,210798.0
2013-08-19,20.6,20.87,20.53,20.71,194584.0
2013-08-16,20.55,20.78,20.29,20.65,382590.0
2013-08-15,21.07,21.19,20.65,20.69,435725.0
2013-08-14,21.15,21.61,21.14,21.23,517228.0
2013-08-13,21.31,21.59,21.13,21.15,446699.0
2013-08-12,21.47,22.01,21.1,21.35,775557.0
2013-08-09,21.01,22.0,20.96,21.74,854019.0
2013-08-08,20.9,21.14,20.7,20.96,469341.0
2013-08-07,21.05,21.05,20.7,20.81,353261.0
2013-08-06,21.2,21.31,20.95,21.05,229463.0
2013-08-05,21.03,21.5,20.83,21.25,525590.0
2013-08-02,20.8,21.02,20.74,20.97,330232.0
2013-08-01,20.89,21.13,20.73,20.83,334822.0
2013-07-31,20.92,21.04,20.73,20.74,407386.0
2013-07-30,20.91,20.97,20.63,20.86,212098.0
2013-07-29,20.97,21.43,20.67,20.79,244490.0
2013-07-26,20.87,20.99,20.63,20.94,214306.0
2013-07-25,20.68,21.1,20.66,20.97,427638.0
2013-07-24,20.85,20.95,20.59,20.63,311294.0
