Date,Open,High,Low,Close,Volume
2014-04-07,26.82,26.82,26.37,26.72,464596.0
2014-04-04,27.7,27.74,26.84,26.86,350897.0
2014-04-03,27.68,27.71,27.52,27.64,210026.0
2014-04-02,27.89,28.0,27.59,27.63,322918.0
2014-04-01,27.65,27.93,27.51,27.88,348876.0
2014-03-31,27.8,28.02,27.6,27.64,335506.0
2014-03-28,27.5,27.73,27.33,27.63,333165.0
2014-03-27,27.79,27.9,27.52,27.55,336188.0
2014-03-26,28.25,28.25,27.82,27.83,388697.0
2014-03-25,28.06,28.25,27.88,28.14,371452.0
2014-03-24,28.43,28.61,27.81,27.86,334452.0
2014-03-21,28.24,28.71,28.19,28.3,1209157.0
2014-03-20,27.84,28.22,27.75,28.21,292144.0
2014-03-19,27.75,28.18,27.62,27.94,225534.0
2014-03-18,27.55,27.82,27.39,27.78,180414.0
2014-03-17,27.19,27.56,27.12,27.48,497413.0
2014-03-14,27.06,27.32,26.91,27.04,474202.0
2014-03-13,27.25,27.25,26.92,27.16,229746.0
2014-03-12,26.9,27.09,26.76,27.04,171254.0
2014-03-11,27.13,27.13,26.77,27.02,168700.0
2014-03-10,26.95,27.15,26.84,27.13,211537.0
2014-03-07,27.12,27.38,26.97,27.02,213478.0
2014-03-06,26.82,27.1,26.7,27.07,174899.0
2014-03-05,26.98,26.98,26.67,26.82,267155.0
2014-03-04,26.57,27.21,26.57,26.96,367914.0
2014-03-03,26.34,26.47,26.12,26.3,303778.0
2014-02-28,26.33,26.8,26.24,26.52,275228.0
2014-02-27,25.93,26.28,25.92,26.26,233298.0
2014-02-26,25.8,26.01,25.65,25.99,295391.0
2014-02-25,25.82,25.86,25.63,25.71,126701.0
2014-02-24,25.54,25.86,25.54,25.79,452069.0
2014-02-21,25.5,25.63,25.44,25.54,443351.0
2014-02-20,25.34,25.67,25.2,25.41,228615.0
2014-02-19,25.71,25.76,25.25,25.31,359998.0
2014-02-18,25.95,26.02,25.72,25.82,204075.0
2014-02-14,25.59,25.9,25.45,25.88,123255.0
2014-02-13,25.45,25.63,25.38,25.56,125639.0
2014-02-12,25.5,25.8,25.46,25.59,192162.0
2014-02-11,25.3,25.65,25.3,25.54,229382.0
2014-02-10,25.27,25.56,24.96,25.3,277649.0
2014-02-07,25.17,25.46,25.09,25.27,290825.0
2014-02-06,24.92,25.16,24.76,25.13,224094.0
2014-02-05,24.94,25.08,24.68,24.83,227785.0
2014-02-04,25.06,25.47,24.73,24.97,283793.0
2014-02-03,25.37,25.55,24.77,24.93,693104.0
2014-01-31,25.4,25.5,25.22,25.37,259569.0
2014-01-30,25.38,25.7,25.35,25.51,302082.0
2014-01-29,25.3,25.5,25.3,25.31,407472.0
2014-01-28,25.45,25.56,25.31,25.48,237158.0
2014-01-27,25.52,26.54,25.02,25.36,306179.0
2014-01-24,25.31,25.41,25.18,25.36,385398.0
2014-01-23,25.5,25.5,25.3,25.48,191911.0
2014-01-22,25.78,25.8,25.59,25.65,111113.0
2014-01-21,25.63,25.87,25.63,25.72,176536.0
2014-01-17,25.45,25.56,25.38,25.5,120477.0
2014-01-16,25.4,25.54,25.28,25.44,151193.0
2014-01-15,25.4,25.65,25.4,25.47,125839.0
2014-01-14,25.42,25.47,25.28,25.38,344738.0
2014-01-13,25.48,25.52,25.33,25.39,230199.0
2014-01-10,25.7,25.84,25.37,25.61,184338.0
2014-01-09,26.08,26.12,25.56,25.64,423901.0
2014-01-08,25.64,25.96,25.44,25.95,166221.0
2014-01-07,25.43,25.72,25.4,25.6,185123.0
2014-01-06,25.6,25.6,25.28,25.4,212915.0
2014-01-03,25.36,25.63,25.3,25.51,197610.0
2014-01-02,25.55,25.56,25.13,25.36,211182.0
2013-12-31,25.62,25.92,25.5,25.58,179212.0
2013-12-30,25.57,25.66,25.46,25.56,188212.0
2013-12-27,25.63,25.74,25.41,25.66,188343.0
2013-12-26,25.51,25.65,25.37,25.53,200629.0
2013-12-24,25.66,25.81,25.34,25.38,88789.0
2013-12-23,25.4,25.64,25.11,25.62,182626.0
2013-12-20,24.38,25.49,24.32,25.38,1060108.0
2013-12-19,24.5,24.63,24.12,24.26,526983.0
2013-12-18,24.04,24.43,23.83,24.42,141911.0
2013-12-17,24.12,24.12,23.77,24.03,92260.0
2013-12-16,23.74,24.09,23.71,24.08,108243.0
2013-12-13,23.63,23.78,23.42,23.7,159816.0
2013-12-12,23.7,23.86,23.56,23.65,122489.0
2013-12-11,23.82,24.0,23.53,23.67,185925.0
2013-12-10,23.99,24.09,23.76,23.84,240022.0
2013-12-09,24.4,24.4,24.01,24.01,455972.0
2013-12-06,24.25,24.54,24.25,24.38,160231.0
2013-12-05,23.97,24.09,23.84,24.01,174866.0
2013-12-04,24.12,24.35,23.94,23.99,356253.0
2013-12-03,23.5,24.13,23.06,24.07,347846.0
2013-12-02,24.04,24.04,23.5,23.52,151734.0
2013-11-29,24.25,24.25,24.05,24.07,76548.0
2013-11-27,24.01,24.16,23.88,24.16,115614.0
2013-11-26,23.97,24.0,23.81,23.97,107896.0
2013-11-25,23.88,24.03,23.81,23.89,389414.0
2013-11-22,23.8,23.9,23.64,23.82,141941.0
2013-11-21,23.65,23.8,23.53,23.75,158374.0
2013-11-20,23.6,23.61,23.45,23.55,93972.0
2013-11-19,23.64,23.77,23.45,23.52,194761.0
2013-11-18,23.7,23.93,23.56,23.62,149649.0
2013-11-15,23.59,23.69,23.45,23.61,340261.0
2013-11-14,23.84,23.84,23.62,23.62,73125.0
2013-11-13,23.44,23.78,23.44,23.78,69093.0
2013-11-12,23.71,23.74,23.43,23.52,170151.0
2013-11-11,24.0,24.06,23.71,23.73,81776.0
2013-11-08,23.31,24.0,23.31,24.0,271262.0
2013-11-07,23.56,23.6,23.31,23.32,272230.0
2013-11-06,23.67,23.67,23.42,23.51,362458.0
2013-11-05,23.63,23.77,23.54,23.59,105060.0
2013-11-04,23.82,23.82,23.57,23.69,154020.0
2013-11-01,23.67,23.85,23.51,23.68,217775.0
2013-10-31,24.07,24.07,23.7,23.71,144062.0
2013-10-30,24.29,24.31,24.0,24.02,165471.0
2013-10-29,24.38,24.48,24.1,24.24,126032.0
2013-10-28,24.4,24.82,24.24,24.25,315775.0
2013-10-25,23.17,24.33,23.05,24.32,396993.0
2013-10-24,22.74,23.01,22.64,22.96,175013.0
2013-10-23,22.64,22.79,22.54,22.75,75917.0
2013-10-22,22.78,22.82,22.66,22.74,70968.0
2013-10-21,22.67,22.89,22.51,22.74,113074.0
2013-10-18,22.75,22.85,22.12,22.8,137121.0
2013-10-17,22.19,22.56,22.13,22.54,110045.0
2013-10-16,22.31,22.55,22.2,22.25,249000.0
2013-10-15,22.29,22.44,22.18,22.22,93727.0
2013-10-14,22.16,22.32,22.11,22.29,222504.0
2013-10-11,21.96,22.27,21.94,22.23,225164.0
2013-10-10,21.87,22.09,21.87,22.07,112883.0
2013-10-09,21.7,21.75,21.55,21.62,151706.0
2013-10-08,21.9,21.99,21.66,21.66,107827.0
2013-10-07,21.97,22.13,21.85,21.88,122440.0
2013-10-04,22.01,22.15,21.99,22.13,61727.0
2013-10-03,22.06,22.15,21.93,22.07,104806.0
2013-10-02,22.06,22.15,21.9,22.11,173785.0
2013-10-01,21.94,22.15,21.89,22.15,197111.0
2013-09-30,21.84,22.09,21.58,21.9,216330.0
2013-09-27,21.88,22.13,21.88,21.99,110228.0
2013-09-26,22.01,22.06,21.81,22.03,121669.0
2013-09-25,22.0,22.15,21.77,21.99,145150.0
2013-09-24,22.01,22.16,21.83,22.0,166880.0
2013-09-23,22.07,22.11,21.76,21.91,261483.0
2013-09-20,21.88,22.17,21.78,22.11,456369.0
2013-09-19,22.05,22.06,21.56,21.75,158342.0
2013-09-18,21.84,22.25,21.7,21.97,186578.0
2013-09-17,21.42,21.89,21.29,21.83,162477.0
2013-09-16,21.69,21.69,21.3,21.45,243928.0
2013-09-13,21.58,21.7,21.38,21.41,145601.0
2013-09-12,21.5,21.67,21.44,21.51,210526.0
2013-09-11,21.5,21.55,21.14,21.53,165298.0
2013-09-10,21.47,21.53,21.27,21.52,68312.0
2013-09-09,21.36,21.4,21.09,21.4,88785.0
2013-09-06,21.46,21.46,20.96,21.25,113234.0
2013-09-05,21.4,21.5,21.26,21.36,98206.0
2013-09-04,21.1,21.41,21.03,21.36,159082.0
2013-09-03,21.0,21.21,20.8,21.0,176599.0
2013-08-30,20.77,20.87,20.65,20.82,537458.0
2013-08-29,20.42,20.81,20.41,20.79,138076.0
2013-08-28,20.59,20.76,20.47,20.52,179596.0
2013-08-27,21.2,21.2,20.64,20.65,142351.0
2013-08-26,21.49,21.51,21.27,21.35,93672.0
2013-08-23,21.58,21.67,21.28,21.42,70788.0
2013-08-22,21.35,21.58,21.28,21.58,49385.0
2013-08-21,21.54,21.59,21.22,21.26,104211.0
2013-08-20,21.21,21.69,21.16,21.67,106362.0
2013-08-19,21.27,21.35,21.14,21.2,81204.0
2013-08-16,21.23,21.49,21.16,21.27,104801.0
2013-08-15,21.52,21.71,21.25,21.33,104730.0
2013-08-14,21.66,21.84,21.61,21.7,79198.0
2013-08-13,22.12,22.12,21.61,21.72,167700.0
2013-08-12,22.2,22.34,21.99,22.04,147432.0
2013-08-09,22.37,22.4,22.29,22.34,77216.0
2013-08-08,22.59,22.84,22.37,22.41,123624.0
2013-08-07,22.49,22.54,22.32,22.43,97126.0
2013-08-06,22.53,22.68,22.34,22.53,189213.0
2013-08-05,22.25,22.6,22.25,22.55,310770.0
2013-08-02,22.24,22.28,22.14,22.2,172120.0
2013-08-01,22.4,22.49,22.23,22.25,234592.0
2013-07-31,22.3,22.57,22.12,22.2,115597.0
2013-07-30,22.33,22.47,22.18,22.25,148107.0
2013-07-29,22.52,22.52,22.04,22.31,87520.0
2013-07-26,22.48,22.93,22.09,22.44,105023.0
2013-07-25,22.56,22.76,22.38,22.58,154429.0
2013-07-24,22.6,22.69,22.47,22.59,85385.0
2013-07-23,22.54,22.57,22.27,22.56,84027.0
2013-07-22,22.39,22.55,22.3,22.52,68762.0
2013-07-19,22.3,22.43,22.05,22.34,102259.0
2013-07-18,22.16,22.48,22.12,22.37,108997.0
2013-07-17,22.23,22.28,22.12,22.16,97608.0
2013-07-16,22.21,22.37,21.71,22.15,127549.0
2013-07-15,22.18,22.33,22.13,22.21,121290.0
2013-07-12,21.96,22.23,21.94,22.15,150356.0
2013-07-11,22.4,22.73,21.75,21.97,140657.0
2013-07-10,22.45,22.5,22.03,22.18,163060.0
2013-07-09,22.5,22.53,22.15,22.43,178769.0
2013-07-08,22.51,22.72,22.28,22.33,118916.0
2013-07-05,22.02,22.46,21.77,22.42,135715.0
2013-07-03,21.39,21.77,21.31,21.69,67893.0
2013-07-02,21.41,21.77,21.17,21.63,102861.0
2013-07-01,21.18,21.64,21.05,21.37,129818.0
2013-06-28,21.21,21.37,21.05,21.08,588454.0
2013-06-27,21.06,21.39,20.98,21.3,123955.0
2013-06-26,20.78,20.97,20.48,20.92,373010.0
2013-06-25,20.48,20.64,20.1,20.6,207023.0
2013-06-24,20.29,20.74,20.22,20.28,182246.0
2013-06-21,20.42,20.8,20.3,20.48,576280.0
2013-06-20,20.24,20.42,20.12,20.36,154500.0
2013-06-19,20.44,20.58,20.32,20.47,127820.0
2013-06-18,20.0,20.42,19.85,20.38,98313.0
2013-06-17,19.95,20.02,19.75,19.91,111078.0
2013-06-14,20.12,20.12,19.66,19.77,81228.0
2013-06-13,19.82,20.18,19.75,20.15,67430.0
2013-06-12,20.31,20.31,19.79,19.86,81775.0
2013-06-11,20.25,20.39,20.19,20.24,71134.0
2013-06-10,20.04,20.41,19.92,20.41,138656.0
2013-06-07,20.2,20.2,19.83,19.94,221762.0
2013-06-06,19.52,20.03,19.48,20.03,149798.0
2013-06-05,19.66,19.8,19.46,19.57,70436.0
2013-06-04,19.89,20.01,19.58,19.72,91610.0
2013-06-03,19.89,20.06,19.65,19.92,208620.0
2013-05-31,20.17,20.17,19.77,19.78,164473.0
2013-05-30,20.3,20.37,20.23,20.3,125688.0
2013-05-29,20.5,20.56,20.08,20.27,147955.0
2013-05-28,20.57,20.75,20.39,20.52,107615.0
2013-05-24,20.07,20.36,20.01,20.28,106783.0
2013-05-23,20.02,20.19,20.01,20.11,184373.0
2013-05-22,20.1,20.45,20.0,20.11,142107.0
2013-05-21,19.93,20.15,19.82,20.13,128521.0
2013-05-20,20.0,20.12,19.87,19.97,239534.0
2013-05-17,20.06,20.16,20.02,20.07,139466.0
2013-05-16,19.91,20.08,19.91,20.0,75776.0
2013-05-15,19.98,20.23,19.9,20.12,88226.0
2013-05-14,19.79,20.04,19.75,20.03,94293.0
2013-05-13,19.64,19.85,19.49,19.82,75512.0
2013-05-10,19.71,19.73,19.55,19.62,57426.0
2013-05-09,19.99,19.99,19.7,19.73,71552.0
2013-05-08,19.96,20.07,19.86,19.96,135821.0
2013-05-07,19.82,20.0,19.8,20.0,251975.0
2013-05-06,19.75,19.95,19.72,19.81,123784.0
2013-05-03,19.79,19.85,19.71,19.76,94806.0
2013-05-02,19.23,19.61,19.19,19.54,113941.0
2013-05-01,19.67,19.7,19.2,19.2,232696.0
2013-04-30,19.4,19.9,19.18,19.8,201747.0
2013-04-29,19.3,19.42,19.25,19.36,87323.0
2013-04-26,19.51,19.51,19.23,19.3,93574.0
2013-04-25,19.46,19.73,19.46,19.52,99623.0
2013-04-24,19.46,19.57,19.4,19.48,102160.0
2013-04-23,19.23,19.52,19.2,19.51,239110.0
2013-04-22,19.27,19.36,18.97,19.16,128856.0
2013-04-19,18.9,19.29,18.89,19.25,151379.0
2013-04-18,18.89,18.94,18.68,18.9,199750.0
2013-04-17,19.07,19.1,18.78,18.9,203876.0
2013-04-16,19.13,19.29,18.88,19.25,163008.0
2013-04-15,19.13,19.24,18.88,18.95,247357.0
2013-04-12,19.17,19.28,19.14,19.27,100371.0
2013-04-11,19.19,19.31,19.14,19.3,94609.0
2013-04-10,18.75,19.21,18.75,19.19,172782.0
2013-04-09,18.88,18.88,18.72,18.75,141299.0
2013-04-08,18.6,18.82,18.58,18.82,176150.0

