Date,Open,High,Low,Close,Volume
2014-04-07,37.58,38.58,36.18,37.54,2085072.0
2014-04-04,40.31,40.31,36.73,37.7,2651342.0
2014-04-03,42.26,42.53,38.85,39.57,2441753.0
2014-04-02,43.88,43.93,41.11,42.28,1537823.0
2014-04-01,43.4,45.04,42.25,43.33,1501467.0
2014-03-31,39.85,43.65,39.85,43.21,2318387.0
2014-03-28,42.34,42.55,39.53,39.7,2411504.0
2014-03-27,41.69,42.5,39.53,42.15,2166165.0
2014-03-26,44.15,45.05,41.82,42.07,1760714.0
2014-03-25,43.2,44.54,42.07,43.54,1777513.0
2014-03-24,43.95,44.44,40.2,42.9,2749904.0
2014-03-21,47.38,47.81,43.72,43.94,2314321.0
2014-03-20,47.52,47.85,46.16,47.18,1519217.0
2014-03-19,48.87,49.0,47.02,47.73,1184981.0
2014-03-18,46.98,49.0,46.98,48.76,1695806.0
2014-03-17,46.58,48.56,46.25,46.87,2206123.0
2014-03-14,45.95,46.49,43.59,45.63,3184196.0
2014-03-13,49.42,49.95,45.04,46.05,2875830.0
2014-03-12,48.84,50.61,48.75,49.1,1422674.0
2014-03-11,50.0,51.37,48.98,49.15,1664692.0
2014-03-10,50.89,51.34,48.75,49.51,2390339.0
2014-03-07,53.18,53.32,50.0,51.22,2465539.0
2014-03-06,56.01,56.37,51.51,52.26,2411811.0
2014-03-05,56.28,56.85,55.2,55.89,2361727.0
2014-03-04,53.25,55.97,53.1,55.41,3074071.0
2014-03-03,49.51,53.04,48.52,50.88,1948900.0
2014-02-28,57.03,58.31,48.51,51.0,3848467.0
2014-02-27,56.03,56.97,55.05,56.37,2101509.0
2014-02-26,58.08,58.9,55.74,56.04,1362546.0
2014-02-25,59.09,59.36,56.75,57.96,1070524.0
2014-02-24,59.44,62.66,58.3,58.35,3121170.0
2014-02-21,55.0,61.3,54.55,59.0,6798745.0
2014-02-20,51.32,52.52,50.73,51.07,1309260.0
2014-02-19,51.44,52.46,50.51,51.1,811128.0
2014-02-18,52.0,52.65,50.71,51.39,1333348.0
2014-02-14,52.07,54.9,51.82,52.16,2105049.0
2014-02-13,50.25,52.2,49.83,52.03,1056748.0
2014-02-12,49.27,51.42,49.27,50.86,1521961.0
2014-02-11,49.81,50.86,49.01,50.35,891065.0
2014-02-10,48.31,49.7,48.02,49.41,933439.0
2014-02-07,46.82,49.35,46.82,49.09,1169172.0
2014-02-06,47.11,47.67,45.26,46.49,1228577.0
2014-02-05,49.84,50.25,46.21,46.83,2050498.0
2014-02-04,49.23,50.72,48.81,49.89,1038346.0
2014-02-03,50.63,51.37,48.51,49.09,1847565.0
2014-01-31,48.96,51.19,48.76,51.06,1076486.0
2014-01-30,49.26,51.64,49.16,49.96,1590756.0
2014-01-29,49.5,50.05,48.18,48.86,1050400.0
2014-01-28,48.62,50.88,48.11,49.93,1682887.0
2014-01-27,48.5,48.6,45.22,47.04,1580927.0
2014-01-24,49.26,49.98,48.14,48.42,1145267.0
2014-01-23,50.48,50.6,49.35,50.17,1002044.0
2014-01-22,49.0,51.72,48.75,50.95,2180024.0
2014-01-21,47.67,48.0,46.55,48.0,987522.0
2014-01-17,47.77,48.03,46.86,47.14,1088956.0
2014-01-16,47.5,48.08,46.47,47.71,1289344.0
2014-01-15,49.0,49.15,46.38,47.66,1164811.0
2014-01-14,47.12,49.18,47.0,48.71,1081365.0
2014-01-13,48.36,50.15,46.57,47.22,2166241.0
2014-01-10,46.01,47.65,44.41,47.6,2118521.0
2014-01-09,42.48,46.51,42.4,46.15,2187802.0
2014-01-08,39.1,42.24,38.81,42.13,1890659.0
2014-01-07,38.88,39.5,38.55,39.15,812747.0
2014-01-06,39.29,39.33,38.04,38.56,1043653.0
2014-01-03,39.58,39.95,38.56,38.98,784371.0
2014-01-02,39.79,40.03,38.6,39.87,1038304.0
2013-12-31,39.93,40.4,39.3,39.84,839396.0
2013-12-30,40.18,40.27,39.32,39.94,433652.0
2013-12-27,41.16,41.22,39.62,40.13,501486.0
2013-12-26,40.63,41.65,40.37,40.97,575460.0
2013-12-24,41.62,41.67,40.3,40.74,468219.0
2013-12-23,41.25,42.69,40.89,41.68,846910.0
2013-12-20,39.23,41.76,38.94,41.43,2736656.0
2013-12-19,38.89,39.67,38.5,38.93,754613.0
2013-12-18,37.7,39.11,37.43,39.07,1210137.0
2013-12-17,37.84,38.01,37.0,37.72,914524.0
2013-12-16,37.33,38.8,37.17,37.86,1516527.0
2013-12-13,38.14,38.52,36.37,37.14,1585022.0
2013-12-12,36.57,38.7,36.57,38.13,858645.0
2013-12-11,37.88,37.92,36.25,36.65,1155222.0
2013-12-10,38.17,38.72,37.07,37.76,684018.0
2013-12-09,39.15,39.9,38.02,38.4,823891.0
2013-12-06,39.78,39.89,37.85,39.12,1183823.0
2013-12-05,38.69,40.13,38.69,39.25,1370217.0
2013-12-04,37.8,38.89,37.72,38.64,1123662.0
2013-12-03,38.38,38.7,37.76,38.09,1188272.0
2013-12-02,38.63,39.16,37.88,38.42,1111650.0
2013-11-29,39.8,39.88,38.09,38.76,702762.0
2013-11-27,38.63,39.67,38.26,39.28,1453711.0
2013-11-26,36.95,38.33,36.21,38.14,1574606.0
2013-11-25,36.33,37.78,36.15,36.55,1757691.0
2013-11-22,33.54,36.24,33.54,36.18,1959113.0
2013-11-21,31.93,33.45,31.82,33.43,934497.0
2013-11-20,31.85,32.3,31.44,31.79,826346.0
2013-11-19,30.49,32.32,30.49,31.79,1598209.0
2013-11-18,32.62,32.9,30.25,30.44,1321959.0
2013-11-15,32.25,33.18,32.02,32.15,864220.0
2013-11-14,32.78,32.92,31.77,32.21,561603.0
2013-11-13,32.41,32.8,31.93,32.7,553361.0
2013-11-12,32.67,33.3,31.77,32.56,858575.0
2013-11-11,32.82,33.73,32.05,33.59,853542.0
2013-11-08,31.18,33.85,31.18,32.79,2261396.0
2013-11-07,31.68,32.14,30.35,31.06,908275.0
2013-11-06,33.0,33.35,31.03,31.46,1158735.0
2013-11-05,33.85,34.0,31.49,32.55,1444376.0
2013-11-04,33.13,33.57,32.83,33.49,946002.0
2013-11-01,33.25,34.82,32.65,33.11,1143460.0
2013-10-31,34.16,34.63,33.02,33.27,1142467.0
2013-10-30,36.01,36.22,34.01,34.22,793143.0
2013-10-29,35.55,36.03,34.8,35.94,513883.0
2013-10-28,35.38,36.14,35.19,35.51,619586.0
2013-10-25,35.78,36.0,34.9,35.44,1039415.0
2013-10-24,34.02,36.75,34.02,35.67,1310482.0
2013-10-23,34.0,34.21,33.34,33.85,1003587.0
2013-10-22,32.27,34.22,31.76,34.15,1748940.0
2013-10-21,32.48,33.24,31.79,32.08,928318.0
2013-10-18,33.68,33.87,32.27,32.68,1248859.0
2013-10-17,33.9,34.41,32.92,33.35,1657329.0
2013-10-16,33.0,34.34,32.75,34.17,1557943.0
2013-10-15,32.65,33.49,32.31,32.41,2167455.0
2013-10-14,31.94,33.1,31.55,33.08,1427238.0
2013-10-11,33.0,33.28,31.81,32.54,1182507.0
2013-10-10,32.57,33.62,32.26,33.39,1663901.0
2013-10-09,31.41,32.98,29.41,32.24,3224377.0
2013-10-08,33.91,35.59,31.37,31.37,2320131.0
