Date,Open,High,Low,Close,Volume
2014-04-07,34.9,34.9,33.77,34.05,353360.0
2014-04-04,36.19,36.43,34.9,35.1,317477.0
2014-04-03,36.15,36.39,35.83,35.95,188712.0
2014-04-02,35.81,36.24,35.53,36.21,266283.0
2014-04-01,35.59,35.88,35.14,35.82,327917.0
2014-03-31,34.95,35.78,34.67,35.54,333341.0
2014-03-28,34.33,35.05,34.17,34.64,250020.0
2014-03-27,34.61,34.68,34.14,34.34,387326.0
2014-03-26,35.64,35.78,34.53,34.64,518610.0
2014-03-25,35.7,36.1,35.0,35.36,207079.0
2014-03-24,36.17,36.27,34.97,35.48,248422.0
2014-03-21,35.83,36.14,35.6,35.99,859492.0
2014-03-20,35.39,35.84,35.12,35.61,436658.0
2014-03-19,35.71,36.14,35.28,35.55,245250.0
2014-03-18,35.59,35.78,35.35,35.68,316841.0
2014-03-17,35.22,35.9,35.22,35.49,384478.0
2014-03-14,34.91,35.6,34.86,35.1,275775.0
2014-03-13,35.09,35.38,34.69,34.97,348112.0
2014-03-12,34.3,35.13,34.27,35.06,286661.0
2014-03-11,35.25,35.41,34.19,34.55,252249.0
2014-03-10,35.43,35.57,35.01,35.16,130863.0
2014-03-07,35.47,35.69,35.11,35.4,197877.0
2014-03-06,35.06,35.48,34.97,35.15,264760.0
2014-03-05,35.02,35.26,34.76,35.09,387409.0
2014-03-04,35.09,35.5,34.74,35.14,587795.0
2014-03-03,34.76,35.33,34.48,34.59,317436.0
2014-02-28,35.17,35.66,34.85,35.0,391434.0
2014-02-27,34.97,35.39,34.74,34.99,282660.0
2014-02-26,34.95,35.41,34.7,35.0,472424.0
2014-02-25,35.14,35.31,34.76,34.92,330685.0
2014-02-24,35.1,35.53,35.0,35.19,324979.0
2014-02-21,35.25,35.6,35.04,35.05,334648.0
2014-02-20,35.23,35.59,34.87,35.27,512532.0
2014-02-19,35.11,35.63,34.82,35.29,538484.0
2014-02-18,35.91,36.14,35.06,35.14,846859.0
2014-02-14,34.99,36.28,33.5,36.12,1204316.0
2014-02-13,32.42,33.85,32.3,33.64,3307870.0
2014-02-12,40.52,42.0,39.19,39.19,528913.0
2014-02-11,39.35,39.71,39.0,39.23,672379.0
2014-02-10,39.38,39.96,38.98,39.14,337353.0
2014-02-07,39.23,39.57,39.2,39.43,279035.0
2014-02-06,38.83,39.22,38.46,39.16,282892.0
2014-02-05,39.0,39.94,38.41,38.84,322529.0
2014-02-04,39.0,41.28,38.9,39.17,452659.0
2014-02-03,40.36,40.78,38.52,38.72,717798.0
2014-01-31,40.38,40.83,40.04,40.38,296334.0
2014-01-30,40.98,41.61,40.42,41.23,225535.0
2014-01-29,40.71,41.33,40.59,40.66,237372.0
2014-01-28,41.17,41.34,40.25,41.14,391406.0
2014-01-27,41.83,42.06,40.89,41.05,240394.0
2014-01-24,42.71,42.91,41.68,41.8,276799.0
2014-01-23,42.85,43.06,42.51,42.91,229194.0
2014-01-22,43.19,43.21,42.86,43.14,172856.0
2014-01-21,43.08,43.27,42.52,43.09,322149.0
2014-01-17,42.94,43.22,42.58,42.79,313147.0
2014-01-16,42.68,43.1,42.68,43.06,154815.0
2014-01-15,42.25,42.93,41.75,42.8,249299.0
2014-01-14,41.09,42.09,40.54,42.03,267472.0
2014-01-13,41.18,41.53,40.71,40.87,251654.0
2014-01-10,40.48,41.33,40.09,41.1,235944.0
2014-01-09,40.41,40.5,39.96,40.4,220218.0
2014-01-08,40.17,40.55,39.85,40.17,523827.0
2014-01-07,40.97,41.59,40.7,41.2,204988.0
2014-01-06,41.62,41.88,40.81,40.89,286287.0
2014-01-03,40.7,41.6,40.65,41.54,311547.0
2014-01-02,41.12,41.63,40.34,40.63,287872.0
2013-12-31,41.6,41.79,41.35,41.43,212956.0
2013-12-30,41.55,41.72,41.27,41.45,170351.0
2013-12-27,41.19,41.54,41.01,41.5,243401.0
2013-12-26,40.87,41.8,40.79,40.97,195502.0
2013-12-24,40.83,41.14,40.58,40.81,127399.0
2013-12-23,40.42,40.74,39.91,40.68,252687.0
2013-12-20,39.99,40.6,39.55,40.32,878922.0
2013-12-19,40.01,40.26,39.75,39.87,365246.0
2013-12-18,40.17,40.37,39.68,40.08,492640.0
2013-12-17,39.16,40.01,38.98,39.99,588674.0
2013-12-16,39.0,39.41,38.8,39.02,553090.0
2013-12-13,39.55,39.55,38.53,38.79,908752.0
2013-12-12,39.14,39.29,38.7,38.94,504005.0
2013-12-11,39.83,40.03,39.02,39.16,456309.0
2013-12-10,39.85,40.22,39.62,39.69,576066.0
2013-12-09,40.51,40.7,39.83,40.02,427770.0
2013-12-06,40.72,41.24,40.36,40.54,346914.0
