Date,Open,High,Low,Close,Volume
2014-04-07,72.94,73.33,71.94,72.04,1521482.0
2014-04-04,74.05,74.25,73.27,73.35,1068341.0
2014-04-03,73.7,74.13,73.55,73.8,907612.0
2014-04-02,72.79,74.2,72.72,74.18,1402912.0
2014-04-01,72.1,73.05,72.0,73.03,1357491.0
2014-03-31,70.29,72.0,70.26,71.92,1863316.0
2014-03-28,69.89,70.52,69.85,69.97,789172.0
2014-03-27,69.53,70.08,69.51,69.97,779018.0
2014-03-26,69.87,70.78,69.56,69.75,1429750.0
2014-03-25,70.43,70.87,69.33,69.8,1574140.0
2014-03-24,70.22,70.52,69.5,69.97,1318249.0
2014-03-21,70.33,71.17,70.03,70.11,1393540.0
2014-03-20,70.69,70.82,69.94,70.2,1347720.0
2014-03-19,70.74,71.4,70.64,70.99,874717.0
2014-03-18,71.52,71.86,70.94,70.98,1090429.0
2014-03-17,71.96,72.41,71.29,71.5,631460.0
2014-03-14,71.81,72.36,71.35,71.45,886876.0
2014-03-13,72.84,73.27,71.55,71.9,703938.0
2014-03-12,72.78,73.21,72.52,72.75,611874.0
2014-03-11,74.16,74.38,73.01,73.08,735420.0
2014-03-10,74.04,74.79,73.88,74.18,1066743.0
2014-03-07,74.19,74.81,73.89,74.39,919645.0
2014-03-06,72.57,73.87,72.37,73.84,691309.0
2014-03-05,72.49,72.84,72.17,72.71,869491.0
2014-03-04,72.01,72.79,71.89,72.3,794716.0
2014-03-03,71.32,71.56,70.88,71.16,822642.0
2014-02-28,71.02,72.51,71.01,71.87,1218713.0
2014-02-27,71.13,71.45,70.78,71.13,948281.0
2014-02-26,72.15,72.38,71.05,71.11,1202191.0
2014-02-25,71.78,72.08,70.97,71.83,633068.0
2014-02-24,72.0,72.68,71.65,71.65,591816.0
2014-02-21,71.63,72.45,71.54,72.0,737381.0
2014-02-20,71.5,71.85,70.73,71.65,624591.0
2014-02-19,73.57,73.57,71.36,71.42,717856.0
2014-02-18,72.66,73.12,71.98,72.31,958436.0
2014-02-14,73.21,73.61,72.71,72.78,854137.0
2014-02-13,72.82,73.64,72.68,73.43,551426.0
2014-02-12,73.29,73.58,72.27,73.25,1049796.0
2014-02-11,72.93,73.73,72.56,73.24,744972.0
2014-02-10,72.92,73.65,72.88,73.22,698733.0
2014-02-07,74.13,74.57,73.63,73.92,582466.0
2014-02-06,73.61,74.59,73.19,74.13,555676.0
2014-02-05,72.75,73.69,72.39,73.48,965159.0
2014-02-04,72.74,73.27,72.12,73.09,755625.0
2014-02-03,75.26,75.6,72.28,72.4,1102819.0
2014-01-31,74.66,75.58,74.25,75.05,537848.0
2014-01-30,74.95,75.99,74.51,75.51,552466.0
2014-01-29,74.25,74.92,73.67,74.28,1024308.0
2014-01-28,74.47,75.88,74.1,74.73,693157.0
2014-01-27,76.42,76.44,74.56,74.75,1090825.0
2014-01-24,78.25,78.4,76.3,76.3,893265.0
2014-01-23,78.11,79.17,77.6,78.49,1099473.0
2014-01-22,79.89,79.89,78.68,79.29,896177.0
2014-01-21,79.09,79.57,78.46,79.06,1318567.0
2014-01-17,77.45,77.78,76.95,77.59,875624.0
2014-01-16,78.98,79.0,78.21,78.51,459073.0
2014-01-15,78.42,79.51,78.2,79.18,532482.0
2014-01-14,78.15,78.75,78.01,78.4,626104.0
2014-01-13,79.17,79.27,77.7,77.8,753054.0
2014-01-10,77.83,79.26,77.57,79.23,875735.0
2014-01-09,77.13,77.5,76.73,77.48,1069635.0
2014-01-08,77.28,77.5,76.57,77.15,481795.0
2014-01-07,77.19,77.72,76.81,77.3,448190.0
2014-01-06,77.67,77.93,76.46,76.62,634134.0
2014-01-03,76.87,77.43,76.6,77.29,527797.0
2014-01-02,77.17,77.29,76.26,76.6,538630.0
2013-12-31,77.05,77.5,76.92,77.3,383657.0
2013-12-30,77.52,77.52,76.93,77.31,326864.0
2013-12-27,77.63,77.93,77.19,77.45,246821.0
2013-12-26,77.41,78.16,77.22,77.43,322503.0
2013-12-24,77.03,77.39,76.96,77.27,266812.0
2013-12-23,76.97,77.39,76.39,77.16,482721.0
2013-12-20,76.39,76.46,75.93,76.44,1235285.0
2013-12-19,76.33,76.86,75.78,76.02,457360.0
2013-12-18,75.38,76.74,75.14,76.71,845516.0
2013-12-17,75.6,75.84,75.03,75.28,444523.0
2013-12-16,74.44,75.49,74.44,75.46,582946.0
2013-12-13,74.92,75.15,74.02,74.22,622127.0
2013-12-12,75.2,75.49,73.7,74.61,887129.0
2013-12-11,76.15,76.4,75.1,75.24,526975.0
2013-12-10,76.64,76.86,76.19,76.26,572135.0
2013-12-09,77.0,77.31,76.77,76.86,662800.0
2013-12-06,76.63,76.99,76.17,76.73,727510.0
2013-12-05,75.86,76.51,75.66,76.01,806961.0
2013-12-04,75.29,76.14,74.97,75.83,647342.0
2013-12-03,75.72,76.16,75.57,75.83,840222.0
2013-12-02,75.68,76.17,74.91,76.01,841566.0
2013-11-29,75.13,75.42,74.91,75.19,244633.0
2013-11-27,75.1,75.17,74.58,74.99,452826.0
2013-11-26,74.8,75.0,74.34,74.97,1230781.0
2013-11-25,73.71,74.58,73.45,74.43,663119.0
2013-11-22,72.99,73.35,72.66,73.3,417672.0
2013-11-21,72.13,73.0,72.13,72.96,425898.0
2013-11-20,72.67,72.78,72.2,72.37,381480.0
2013-11-19,73.49,73.72,72.52,72.68,670614.0
2013-11-18,74.28,74.41,73.55,73.7,714875.0
2013-11-15,72.35,74.0,72.11,73.96,841683.0
2013-11-14,72.93,73.09,72.23,72.3,668994.0
2013-11-13,73.01,73.79,72.66,72.71,1158959.0
2013-11-12,73.19,73.8,72.81,73.74,573378.0
2013-11-11,73.33,73.44,72.87,73.21,412605.0
2013-11-08,72.84,73.5,72.8,73.2,549971.0
2013-11-07,73.69,73.85,72.7,72.95,1060125.0
