Date,Open,High,Low,Close,Volume
2014-04-07,49.22,49.48,47.35,47.66,322920.0
2014-04-04,49.17,49.84,48.89,49.35,477443.0
2014-04-03,49.61,49.9,48.52,48.82,336596.0
2014-04-02,50.19,50.32,49.19,49.71,319872.0
2014-04-01,50.03,50.69,49.58,50.12,410440.0
2014-03-31,49.43,50.22,48.86,50.05,264085.0
2014-03-28,49.04,50.74,48.76,49.17,465356.0
2014-03-27,48.3,49.23,48.06,49.06,297381.0
2014-03-26,49.08,49.27,48.01,48.31,389289.0
2014-03-25,48.61,49.49,48.4,48.72,328859.0
2014-03-24,48.35,48.66,47.49,48.35,466877.0
2014-03-21,49.06,49.06,48.11,48.35,490792.0
2014-03-20,49.05,49.53,48.5,48.71,205196.0
2014-03-19,50.36,50.36,48.5,49.09,240607.0
2014-03-18,48.97,50.4,48.55,50.36,278991.0
2014-03-17,49.02,49.39,48.6,48.98,205475.0
2014-03-14,47.97,48.78,47.73,48.55,214844.0
2014-03-13,49.65,50.02,47.94,48.02,270237.0
2014-03-12,49.5,49.91,48.46,49.35,249630.0
2014-03-11,50.9,51.16,49.67,49.75,218326.0
2014-03-10,51.63,51.94,50.78,50.89,249222.0
2014-03-07,51.6,51.69,50.89,51.67,222870.0
2014-03-06,51.5,51.6,51.03,51.46,287107.0
2014-03-05,51.47,51.83,51.05,51.51,290294.0
2014-03-04,52.18,52.53,51.44,51.65,470671.0
2014-03-03,51.0,51.45,50.33,51.44,321519.0
2014-02-28,51.64,52.18,51.17,51.4,372334.0
2014-02-27,50.67,51.6,50.35,51.51,308585.0
2014-02-26,50.81,51.39,50.45,50.69,327365.0
2014-02-25,49.19,50.61,48.92,50.31,565350.0
2014-02-24,49.18,49.56,48.83,49.25,242175.0
2014-02-21,49.93,50.0,48.73,48.95,348864.0
2014-02-20,49.19,50.19,49.14,49.62,650052.0
2014-02-19,49.67,50.52,49.09,49.24,591956.0
2014-02-18,49.45,50.62,49.25,49.99,877077.0
2014-02-14,51.12,51.99,48.23,49.06,2055027.0
2014-02-13,45.44,47.19,45.05,46.84,405515.0
2014-02-12,46.45,46.88,45.38,45.97,231111.0
2014-02-11,45.72,46.76,45.45,46.5,382333.0
2014-02-10,45.74,46.0,45.15,45.61,222571.0
2014-02-07,45.49,46.0,44.86,45.92,219714.0
2014-02-06,43.2,45.37,43.2,45.25,386433.0
2014-02-05,43.61,44.04,42.52,43.04,312206.0
2014-02-04,44.14,44.34,41.09,43.86,323984.0
2014-02-03,45.13,45.97,43.44,44.03,474578.0
2014-01-31,45.33,46.61,45.25,45.35,266510.0
2014-01-30,46.1,46.54,45.62,46.24,267583.0
2014-01-29,46.27,46.55,45.33,45.6,263043.0
2014-01-28,46.5,46.86,46.46,46.8,304877.0
2014-01-27,47.07,47.77,46.32,46.55,347188.0
2014-01-24,47.56,48.13,46.85,47.03,267358.0
2014-01-23,47.91,48.14,47.22,48.0,231360.0
