Date,Open,High,Low,Close,Volume
2014-04-07,13.62,14.05,13.36,13.51,5216772.0
2014-04-04,14.2,14.36,13.58,13.71,4804790.0
2014-04-03,14.27,14.5,13.98,14.07,2702294.0
2014-04-02,14.42,14.54,14.23,14.3,2285669.0
2014-04-01,14.06,14.36,14.04,14.35,2940154.0
2014-03-31,13.63,14.09,13.63,14.0,3240671.0
2014-03-28,13.47,13.82,13.43,13.56,4046885.0
2014-03-27,13.86,14.0,13.6,13.67,3087858.0
2014-03-26,14.43,14.61,13.87,13.89,4219122.0
2014-03-25,14.37,14.54,14.07,14.28,3607518.0
2014-03-24,14.62,14.75,14.02,14.3,3881721.0
2014-03-21,14.98,14.99,14.53,14.62,6064739.0
2014-03-20,14.37,14.71,14.34,14.55,3778706.0
2014-03-19,14.5,14.57,14.31,14.42,3817692.0
2014-03-18,14.28,14.52,14.18,14.5,3020719.0
2014-03-17,14.42,14.46,14.17,14.26,2358380.0
2014-03-14,13.92,14.46,13.91,14.35,5377234.0
2014-03-13,14.07,14.46,13.9,13.98,8840325.0
2014-03-12,13.2,14.01,13.2,14.01,4679858.0
2014-03-11,13.72,13.78,13.22,13.29,2431958.0
2014-03-10,13.72,13.78,13.55,13.72,2654429.0
2014-03-07,13.78,13.96,13.7,13.79,2805734.0
2014-03-06,14.1,14.27,13.59,13.66,4854737.0
2014-03-05,13.97,14.1,13.82,13.91,2599973.0
2014-03-04,13.89,14.07,13.86,13.97,3905352.0
2014-03-03,13.56,13.72,13.41,13.72,3218428.0
2014-02-28,14.09,14.14,13.71,13.78,3209489.0
2014-02-27,13.77,14.09,13.77,14.06,4993633.0
2014-02-26,13.59,13.98,13.5,13.82,5482126.0
2014-02-25,13.34,13.6,13.31,13.52,3111509.0
2014-02-24,13.44,13.61,13.28,13.4,3394082.0
2014-02-21,13.7,13.77,13.42,13.42,3993402.0
2014-02-20,13.41,13.69,13.28,13.68,3392888.0
2014-02-19,13.53,13.66,13.3,13.38,3753722.0
2014-02-18,13.66,13.73,13.4,13.57,2342594.0
2014-02-14,13.51,13.72,13.47,13.69,2823081.0
2014-02-13,13.22,13.5,13.2,13.49,3190287.0
2014-02-12,13.39,13.55,13.32,13.37,2812538.0
2014-02-11,13.39,13.5,13.31,13.4,3202282.0
2014-02-10,13.28,13.58,13.2,13.39,7399647.0
2014-02-07,13.14,13.32,12.97,13.27,4436511.0
2014-02-06,12.77,13.26,12.77,13.1,5429371.0
2014-02-05,12.81,12.81,12.51,12.68,3599837.0
2014-02-04,12.81,12.93,12.65,12.79,3751198.0
2014-02-03,13.25,13.34,12.62,12.77,7584105.0
2014-01-31,13.57,13.86,13.26,13.29,17473006.0
2014-01-30,12.25,12.78,12.05,12.72,10678428.0
2014-01-29,11.84,12.07,11.8,12.05,6038902.0
2014-01-28,11.93,12.16,11.83,11.89,4258889.0
2014-01-27,11.8,12.06,11.68,11.94,3547457.0
2014-01-24,12.17,12.23,11.68,11.78,6660041.0
2014-01-23,12.49,12.49,12.21,12.24,3788070.0
2014-01-22,12.15,12.52,12.14,12.49,3286015.0
2014-01-21,12.15,12.22,12.01,12.12,4844227.0
2014-01-17,12.1,12.14,12.01,12.04,2515486.0
2014-01-16,12.08,12.17,12.06,12.12,3105239.0
2014-01-15,12.08,12.24,12.04,12.06,5548172.0
2014-01-14,12.09,12.18,12.01,12.08,3028823.0
2014-01-13,12.25,12.27,11.93,12.0,5079531.0
2014-01-10,12.5,12.5,12.19,12.25,4937490.0
2014-01-09,13.07,13.18,12.33,12.41,8563983.0
2014-01-08,13.04,13.37,12.93,13.16,4576742.0
2014-01-07,12.98,13.05,12.78,13.0,3161228.0
2014-01-06,13.07,13.13,12.88,12.89,2909426.0
2014-01-03,12.85,13.07,12.85,13.03,2820612.0
2014-01-02,12.87,13.09,12.8,12.8,4105933.0
2013-12-31,13.03,13.07,12.93,12.98,2497466.0
2013-12-30,13.0,13.14,12.99,13.03,2863159.0
2013-12-27,12.76,13.05,12.76,13.03,3463651.0
2013-12-26,13.0,13.06,12.77,12.77,3066434.0
2013-12-24,12.56,12.98,12.56,12.98,1978607.0
2013-12-23,12.59,12.69,12.43,12.61,3906412.0
2013-12-20,12.36,12.66,12.34,12.56,49719189.0
2013-12-19,12.37,12.51,12.28,12.36,3461967.0
2013-12-18,12.31,12.4,11.99,12.39,4591810.0
2013-12-17,12.21,12.37,12.08,12.32,3510777.0
2013-12-16,11.93,12.23,11.82,12.19,5057874.0
2013-12-13,11.85,11.89,11.72,11.82,3431059.0
2013-12-12,11.99,12.11,11.7,11.8,6917545.0
2013-12-11,12.39,12.44,12.11,12.18,3372538.0
2013-12-10,12.59,12.6,12.19,12.32,4921134.0
2013-12-09,12.7,12.77,12.57,12.64,3132902.0
2013-12-06,12.57,12.69,12.4,12.65,6390053.0
2013-12-05,12.27,12.36,12.07,12.32,3791739.0
2013-12-04,11.88,12.31,11.86,12.25,4239878.0
2013-12-03,12.06,12.06,11.86,11.92,2869183.0
2013-12-02,12.13,12.18,11.98,12.1,3161513.0
2013-11-29,12.15,12.21,12.08,12.14,1017140.0
2013-11-27,12.16,12.17,12.0,12.14,2454515.0
2013-11-26,11.99,12.19,11.99,12.14,2929178.0
2013-11-25,11.97,12.08,11.93,12.02,3381596.0
2013-11-22,12.32,12.34,11.92,11.94,5173115.0
2013-11-21,12.08,12.36,11.97,12.32,3992853.0
2013-11-20,12.06,12.2,11.94,12.0,3288759.0
2013-11-19,12.25,12.3,11.83,12.02,6348976.0
2013-11-18,12.44,12.45,12.24,12.26,3562459.0
2013-11-15,12.21,12.45,12.18,12.4,3441830.0
2013-11-14,12.36,12.39,12.08,12.18,4787212.0
2013-11-13,12.32,12.57,12.32,12.49,3175575.0
2013-11-12,12.44,12.6,12.38,12.45,4582407.0
2013-11-11,12.49,12.51,12.28,12.45,3173132.0
2013-11-08,12.35,12.54,12.12,12.46,6153009.0
2013-11-07,12.8,12.85,12.32,12.37,8318098.0
2013-11-06,13.15,13.18,12.79,12.84,5746338.0
