Date,Open,High,Low,Close,Volume
2014-04-07,55.29,55.82,54.51,54.58,378773.0
2014-04-04,56.59,56.84,55.33,55.49,351729.0
2014-04-03,55.94,56.44,55.76,56.27,403225.0
2014-04-02,56.56,56.88,55.73,56.12,222898.0
2014-04-01,55.74,56.62,55.64,56.57,316318.0
2014-03-31,55.34,55.99,55.2,55.76,210134.0
2014-03-28,55.19,55.61,54.88,55.05,179879.0
2014-03-27,54.71,55.13,54.16,55.04,314689.0
2014-03-26,55.85,55.92,54.75,54.76,241272.0
2014-03-25,56.02,56.57,55.38,55.53,213505.0
2014-03-24,56.69,56.74,55.44,55.78,249106.0
2014-03-21,56.5,56.68,56.07,56.47,1064107.0
2014-03-20,56.27,56.55,56.04,56.39,254437.0
2014-03-19,57.14,57.25,56.2,56.39,203656.0
2014-03-18,56.93,57.26,56.91,57.14,350757.0
2014-03-17,56.67,57.12,56.52,56.88,310334.0
2014-03-14,56.36,56.78,55.92,56.45,394488.0
2014-03-13,57.72,57.77,56.25,56.41,353086.0
2014-03-12,57.16,57.72,56.93,57.48,310889.0
2014-03-11,57.99,58.02,57.15,57.25,457694.0
2014-03-10,57.58,57.85,57.42,57.82,472548.0
2014-03-07,57.8,58.13,57.41,57.49,307647.0
2014-03-06,58.19,58.38,57.54,57.62,420379.0
2014-03-05,58.44,58.44,57.84,57.95,428171.0
2014-03-04,58.65,58.83,57.65,58.29,391849.0
2014-03-03,57.83,58.03,57.14,57.64,242641.0
2014-02-28,58.83,58.94,57.72,58.13,386827.0
2014-02-27,58.31,58.9,58.2,58.82,183400.0
2014-02-26,58.67,58.72,58.2,58.43,232410.0
2014-02-25,58.7,58.84,58.28,58.43,356798.0
2014-02-24,58.38,58.99,57.89,58.6,388772.0
2014-02-21,58.25,58.56,57.97,58.36,377739.0
2014-02-20,58.19,58.32,57.72,58.15,367107.0
2014-02-19,57.79,58.28,57.52,57.96,433844.0
2014-02-18,58.02,58.48,57.31,57.93,299161.0
2014-02-14,57.63,57.75,57.02,57.61,260171.0
2014-02-13,57.2,57.65,56.93,57.6,356318.0
2014-02-12,56.96,57.45,56.93,57.37,444269.0
2014-02-11,56.6,57.13,56.02,56.92,485824.0
2014-02-10,56.22,56.78,55.11,56.39,520720.0
2014-02-07,55.33,56.42,55.33,56.2,443547.0
2014-02-06,54.74,55.18,54.19,55.0,494128.0
2014-02-05,54.35,56.22,53.59,54.56,403691.0
2014-02-04,54.03,54.69,53.55,54.67,680345.0
2014-02-03,55.86,56.02,53.55,53.69,715614.0
2014-01-31,55.99,56.29,55.51,55.78,364472.0
2014-01-30,56.27,56.84,55.76,56.7,312696.0
2014-01-29,56.12,56.76,55.54,55.68,307887.0
2014-01-28,55.98,56.66,55.92,56.62,325532.0
2014-01-27,57.6,58.13,55.78,55.78,604700.0
2014-01-24,58.99,58.99,57.48,57.49,349693.0
2014-01-23,59.28,59.28,58.69,59.22,414206.0
2014-01-22,58.93,59.4,58.87,59.38,308131.0
2014-01-21,58.84,58.99,58.35,58.78,374918.0
2014-01-17,58.88,59.12,58.3,58.36,323126.0
2014-01-16,59.14,59.49,58.96,59.04,291419.0
2014-01-15,59.25,59.37,58.96,59.14,219828.0
2014-01-14,58.59,59.11,58.31,59.09,197568.0
2014-01-13,59.67,59.76,58.33,58.47,313396.0
2014-01-10,59.83,60.34,59.36,59.79,192160.0
2014-01-09,59.99,60.3,59.55,59.77,286939.0
2014-01-08,59.03,59.84,58.73,59.79,306236.0
2014-01-07,59.09,59.33,58.85,59.18,268638.0
2014-01-06,59.17,59.34,58.71,58.9,296058.0
2014-01-03,58.3,59.0,57.55,58.98,263913.0
2014-01-02,58.85,59.21,57.89,58.16,306810.0
2013-12-31,58.92,59.37,58.87,59.21,186391.0
2013-12-30,58.6,58.92,58.33,58.91,246228.0
2013-12-27,58.85,58.85,58.39,58.59,170678.0
2013-12-26,58.89,58.95,58.42,58.63,180993.0
2013-12-24,58.51,58.86,58.41,58.83,125035.0
2013-12-23,58.14,58.69,58.14,58.4,316664.0
2013-12-20,58.74,58.74,58.08,58.39,781615.0
2013-12-19,58.6,59.0,58.23,58.57,391284.0
2013-12-18,58.91,59.06,57.84,58.82,399483.0
2013-12-17,58.04,58.81,57.59,58.77,520161.0
2013-12-16,57.45,58.24,57.37,58.14,384486.0
2013-12-13,56.89,57.19,56.65,57.17,271971.0
2013-12-12,56.57,56.9,56.27,56.63,516967.0
2013-12-11,57.45,57.61,56.47,56.6,281314.0
2013-12-10,57.54,57.76,57.18,57.31,214416.0
2013-12-09,57.86,58.26,57.22,57.69,190073.0
2013-12-06,57.22,57.79,57.05,57.72,193126.0
2013-12-05,56.88,57.08,56.55,56.95,202826.0
2013-12-04,56.7,56.98,56.22,56.83,206504.0
2013-12-03,56.61,56.96,56.46,56.77,160753.0
2013-12-02,56.81,57.41,56.38,56.85,220807.0
2013-11-29,57.0,57.11,56.51,56.77,93886.0
2013-11-27,57.08,57.08,56.5,56.97,150270.0
2013-11-26,56.86,57.25,56.29,57.13,247285.0
2013-11-25,56.9,57.51,56.5,56.74,222636.0
2013-11-22,56.96,57.19,56.58,56.85,178981.0
2013-11-21,56.78,57.12,56.51,56.96,180220.0
2013-11-20,56.75,57.28,56.53,56.78,253287.0
2013-11-19,56.75,57.25,56.49,56.74,264827.0
2013-11-18,56.82,57.0,56.55,56.82,248441.0
2013-11-15,56.27,56.72,56.02,56.71,152130.0
2013-11-14,56.26,56.58,56.05,56.32,123271.0
2013-11-13,55.58,56.2,55.13,56.19,199325.0
2013-11-12,55.68,55.97,55.23,55.89,127708.0
2013-11-11,55.6,55.95,55.22,55.67,229156.0
2013-11-08,54.73,55.54,54.72,55.49,203018.0
2013-11-07,55.32,55.86,54.8,54.81,383327.0
2013-11-06,54.8,55.59,54.14,55.26,330217.0
2013-11-05,54.33,54.64,53.81,54.24,204417.0
2013-11-04,56.95,56.95,54.23,54.81,173072.0
2013-11-01,54.8,54.81,54.1,54.48,130791.0
2013-10-31,54.63,55.09,54.51,54.61,188557.0
2013-10-30,55.23,55.37,54.6,54.73,240954.0
2013-10-29,55.06,55.42,54.74,55.25,234542.0
2013-10-28,55.05,55.15,54.81,54.96,192500.0
2013-10-25,55.22,55.3,54.93,55.15,134721.0
2013-10-24,54.85,55.21,54.58,55.1,253126.0
2013-10-23,54.71,55.08,54.32,54.6,233655.0
