Date,Open,High,Low,Close,Volume
2014-04-07,14.53,14.69,14.4,14.62,29758.0
2014-04-04,14.84,14.84,14.5,14.56,36825.0
2014-04-03,14.5,14.79,14.5,14.7,35235.0
2014-04-02,14.79,14.99,14.71,14.91,18785.0
2014-04-01,14.77,15.0,14.65,14.79,21684.0
2014-03-31,14.75,14.97,14.5,14.78,120213.0
2014-03-28,14.67,14.98,14.51,14.65,47470.0
2014-03-27,14.79,14.89,14.6,14.71,41066.0
2014-03-26,15.15,15.2,14.56,14.73,34585.0
2014-03-25,15.0,15.1,14.91,15.02,20617.0
2014-03-24,15.01,15.19,14.78,14.96,27916.0
2014-03-21,15.3,15.3,15.01,15.02,95163.0
2014-03-20,15.26,15.3,14.56,15.3,26749.0
2014-03-19,15.49,15.49,15.16,15.28,33772.0
2014-03-18,15.0,15.49,15.0,15.4,59841.0
2014-03-17,14.93,15.25,14.6,15.14,30448.0
2014-03-14,14.57,14.96,14.57,14.8,14483.0
2014-03-13,14.6,14.92,14.48,14.67,38016.0
2014-03-12,14.55,14.6,14.4,14.54,38055.0
2014-03-11,14.67,14.7,14.35,14.55,21070.0
2014-03-10,14.46,14.6,14.25,14.6,33796.0
2014-03-07,14.0,14.5,13.52,14.47,40642.0
2014-03-06,13.95,14.0,13.84,13.95,24026.0
2014-03-05,13.62,13.99,13.52,13.96,34091.0
2014-03-04,12.74,13.96,12.59,13.7,90289.0
2014-03-03,12.5,12.77,12.3,12.57,21357.0
2014-02-28,12.21,12.72,11.76,12.58,75703.0
2014-02-27,12.16,12.22,11.99,12.17,27854.0
2014-02-26,11.9,12.2,11.75,12.16,26032.0
2014-02-25,11.93,12.09,11.9,11.95,12244.0
2014-02-24,11.84,12.04,11.84,11.89,15179.0
2014-02-21,12.07,12.07,11.76,11.86,29669.0
2014-02-20,11.59,12.11,11.54,11.99,49228.0
2014-02-19,11.73,11.9,11.55,11.63,34311.0
2014-02-18,11.8,11.8,11.69,11.75,13066.0
2014-02-14,11.86,11.86,11.67,11.72,14159.0
2014-02-13,11.47,11.85,11.44,11.84,15412.0
2014-02-12,11.6,11.65,11.5,11.51,15444.0
2014-02-11,11.06,11.65,11.03,11.56,33151.0
2014-02-10,10.94,11.1,10.91,11.06,19763.0
2014-02-07,11.14,11.16,11.01,11.1,21217.0
2014-02-06,11.1,11.2,11.1,11.15,29269.0
2014-02-05,11.18,11.2,10.99,11.11,23297.0
2014-02-04,11.2,11.51,11.03,11.16,18582.0
2014-02-03,11.37,11.45,11.18,11.19,51433.0
2014-01-31,11.45,11.46,11.35,11.43,39393.0
2014-01-30,11.5,11.51,11.38,11.4,30206.0
2014-01-29,11.4,11.47,11.38,11.42,18666.0
2014-01-28,11.62,11.62,11.39,11.47,29222.0
2014-01-27,11.78,11.78,11.6,11.62,11499.0
2014-01-24,11.8,11.83,11.65,11.71,14172.0
2014-01-23,12.0,12.0,11.8,11.86,12671.0
2014-01-22,12.08,12.18,11.81,12.1,24977.0
2014-01-21,11.8,12.07,11.55,12.03,27946.0
2014-01-17,11.71,11.73,11.65,11.69,15306.0
2014-01-16,11.82,11.83,11.62,11.69,13770.0
2014-01-15,11.93,11.97,11.54,11.8,30991.0
2014-01-14,11.63,12.06,11.63,11.86,23185.0
2014-01-13,11.89,11.89,11.55,11.72,28283.0
2014-01-10,11.55,12.09,11.47,11.89,38091.0
2014-01-09,11.56,11.61,11.46,11.51,13946.0
2014-01-08,11.51,11.59,11.45,11.51,15229.0
2014-01-07,11.49,11.64,11.45,11.56,12695.0
2014-01-06,11.66,11.66,11.4,11.42,20222.0
2014-01-03,11.42,11.76,11.42,11.59,67778.0
2014-01-02,11.51,11.59,11.4,11.42,19104.0
2013-12-31,11.55,11.99,11.55,11.63,42376.0
2013-12-30,11.34,11.75,11.3,11.57,48779.0
2013-12-27,11.38,11.38,11.09,11.21,12621.0
2013-12-26,11.37,11.45,11.31,11.33,21226.0
2013-12-24,11.33,11.58,11.32,11.37,28753.0
2013-12-23,11.02,11.34,10.97,11.33,40694.0
2013-12-20,10.86,11.07,10.76,11.04,172539.0
2013-12-19,10.8,10.9,10.77,10.82,75256.0
2013-12-18,10.49,10.75,10.38,10.75,72170.0
2013-12-17,10.55,10.55,10.45,10.45,16201.0
2013-12-16,10.43,10.57,10.43,10.57,66936.0
2013-12-13,10.28,10.46,10.25,10.41,43544.0
2013-12-12,10.25,10.32,10.2,10.25,32481.0
2013-12-11,10.36,10.38,10.2,10.22,30367.0
2013-12-10,10.57,10.59,10.33,10.36,31422.0
2013-12-09,10.63,10.64,10.55,10.61,43361.0
2013-12-06,10.3,10.73,10.28,10.56,710317.0
2013-12-05,10.24,10.24,10.12,10.24,14928.0
2013-12-04,10.27,10.34,10.1,10.21,21565.0
2013-12-03,10.2,10.34,10.18,10.34,38760.0
2013-12-02,10.4,10.44,10.22,10.27,39562.0
2013-11-29,10.5,10.5,10.43,10.44,11399.0
2013-11-27,10.5,10.5,10.38,10.49,23414.0
2013-11-26,10.5,10.54,10.42,10.46,71859.0
2013-11-25,10.45,10.54,10.45,10.5,60112.0
2013-11-22,10.5,10.51,10.45,10.5,50515.0
2013-11-21,10.46,10.5,10.42,10.49,47773.0
2013-11-20,10.36,10.5,10.34,10.49,33097.0
2013-11-19,10.55,10.55,10.3,10.34,50941.0
2013-11-18,10.49,10.65,10.26,10.54,26589.0
2013-11-15,10.47,10.5,10.29,10.4,13311.0
2013-11-14,10.56,10.58,10.46,10.49,23158.0
2013-11-13,10.26,10.65,10.26,10.64,55662.0
2013-11-12,10.42,10.44,10.27,10.35,25403.0
2013-11-11,10.48,10.49,10.34,10.42,41742.0
2013-11-08,10.48,10.6,10.47,10.5,52413.0
2013-11-07,10.44,10.5,10.42,10.43,18748.0
2013-11-06,10.5,10.5,10.36,10.45,17772.0
2013-11-05,10.5,10.51,10.42,10.5,29482.0
2013-11-04,10.54,10.54,10.44,10.47,57990.0
2013-11-01,10.48,10.59,10.39,10.48,213157.0
2013-10-31,10.53,10.63,10.5,10.5,45034.0
2013-10-30,10.63,10.67,10.44,10.49,48746.0
2013-10-29,10.69,10.75,10.63,10.66,43908.0
2013-10-28,10.71,10.75,10.58,10.64,30501.0
2013-10-25,10.5,10.75,10.5,10.67,37946.0
2013-10-24,10.76,10.76,10.55,10.56,34273.0
2013-10-23,10.72,10.79,10.55,10.7,64224.0
2013-10-22,10.88,10.92,10.69,10.7,71769.0
2013-10-21,10.98,11.0,10.81,10.9,93762.0
2013-10-18,10.5,10.58,10.32,10.52,71957.0
2013-10-17,10.5,10.59,10.4,10.5,30371.0
2013-10-16,10.61,10.78,10.46,10.54,39150.0
2013-10-15,10.76,10.89,10.69,10.7,21661.0
2013-10-14,10.8,10.87,10.72,10.8,31732.0
2013-10-11,10.35,10.97,10.31,10.96,29001.0
2013-10-10,10.48,10.5,10.32,10.4,40670.0
2013-10-09,10.32,10.72,10.32,10.46,15461.0
2013-10-08,10.3,10.39,10.3,10.32,15506.0
2013-10-07,10.3,10.32,10.3,10.3,12780.0
2013-10-04,10.28,10.49,10.27,10.4,13773.0
2013-10-03,10.3,10.35,10.29,10.3,16328.0
2013-10-02,10.4,10.42,10.25,10.34,17042.0
2013-10-01,10.25,10.39,10.17,10.38,37662.0
2013-09-30,10.15,10.29,10.12,10.22,22596.0
2013-09-27,10.16,10.28,10.15,10.21,10793.0
2013-09-26,10.23,10.29,10.05,10.22,13985.0
2013-09-25,10.26,10.35,10.14,10.18,16893.0
2013-09-24,10.04,10.34,10.02,10.22,224062.0
2013-09-23,9.85,10.14,9.85,9.96,22388.0
2013-09-20,9.51,9.85,9.5,9.81,56940.0
2013-09-19,9.53,9.62,9.47,9.52,13695.0
2013-09-18,9.43,9.6,9.43,9.53,23902.0
2013-09-17,9.42,9.46,9.35,9.42,15724.0
2013-09-16,9.42,9.47,9.39,9.43,19530.0
2013-09-13,9.43,9.46,9.4,9.42,5087.0
2013-09-12,9.5,9.5,9.39,9.39,7209.0
2013-09-11,9.47,9.56,9.42,9.49,15168.0
2013-09-10,9.52,9.52,9.25,9.48,11821.0
2013-09-09,9.32,9.54,9.25,9.5,13339.0
2013-09-06,9.64,9.64,9.19,9.24,25376.0
2013-09-05,9.67,9.67,9.54,9.56,9144.0
2013-09-04,9.57,9.71,9.57,9.68,14029.0
2013-09-03,9.9,10.0,9.55,9.59,11480.0
2013-08-30,9.92,9.92,9.75,9.78,34732.0
2013-08-29,9.97,10.02,9.9,9.96,28317.0
2013-08-28,10.03,10.06,9.89,9.96,41678.0
2013-08-27,10.38,10.43,9.99,10.01,21256.0
2013-08-26,10.65,10.68,10.47,10.5,15282.0
2013-08-23,10.56,10.67,10.44,10.65,8964.0
2013-08-22,10.4,10.62,10.37,10.57,13355.0
2013-08-21,10.43,10.5,10.31,10.37,26474.0
2013-08-20,10.4,10.62,10.37,10.47,38243.0
2013-08-19,10.5,10.59,10.37,10.37,35503.0
2013-08-16,10.44,10.56,10.44,10.45,14759.0
2013-08-15,10.32,10.55,10.28,10.5,39006.0
2013-08-14,10.28,10.47,10.28,10.4,10213.0
2013-08-13,10.24,10.3,10.17,10.25,12980.0
2013-08-12,10.04,10.14,10.02,10.13,4082.0
2013-08-09,10.11,10.21,9.99,10.08,19214.0
2013-08-08,10.34,10.34,10.07,10.1,14231.0
2013-08-07,10.27,10.34,10.24,10.25,10437.0
2013-08-06,10.4,10.42,10.2,10.21,18286.0
2013-08-05,10.58,10.58,10.4,10.4,16787.0
2013-08-02,10.72,10.79,10.45,10.56,16545.0
2013-08-01,10.48,10.8,10.48,10.79,24190.0
2013-07-31,10.39,10.61,10.31,10.36,32562.0
2013-07-30,10.58,10.58,10.28,10.34,26046.0
2013-07-29,10.64,10.64,10.5,10.51,8631.0
2013-07-26,10.69,10.69,10.5,10.67,15204.0
2013-07-25,10.75,10.84,10.65,10.79,20643.0
2013-07-24,10.9,10.95,10.68,10.75,26740.0
2013-07-23,11.0,11.02,10.8,10.96,28276.0
2013-07-22,10.87,11.05,10.83,10.98,23232.0
2013-07-19,10.7,10.88,10.69,10.83,36999.0
2013-07-18,10.78,10.81,10.72,10.79,22871.0
2013-07-17,10.62,10.81,10.62,10.78,27148.0
2013-07-16,10.48,10.61,10.48,10.58,28038.0
2013-07-15,10.51,10.57,10.38,10.48,127455.0
2013-07-12,10.54,10.57,10.5,10.52,9139.0
2013-07-11,10.7,10.81,10.5,10.58,27715.0
2013-07-10,10.62,10.74,10.61,10.62,39241.0
2013-07-09,10.78,10.78,10.61,10.7,40946.0
2013-07-08,10.87,10.91,10.73,10.77,71735.0
2013-07-05,10.53,10.9,10.35,10.89,74759.0
2013-07-03,10.26,10.49,10.25,10.49,34416.0
2013-07-02,10.31,10.4,10.27,10.35,36138.0
2013-07-01,10.58,10.58,10.29,10.35,31783.0
2013-06-28,10.35,10.56,10.33,10.49,202890.0
2013-06-27,10.26,10.4,10.22,10.4,54221.0
2013-06-26,10.17,10.29,10.09,10.19,41428.0
2013-06-25,10.15,10.15,9.99,10.07,95309.0
