Date,Open,High,Low,Close,Volume
2014-04-07,95.5,96.54,95.04,96.0,133157.0
2014-04-04,98.63,98.63,95.45,95.83,102283.0
2014-04-03,98.77,99.13,97.18,97.91,94520.0
2014-04-02,98.28,98.84,97.84,98.71,71927.0
2014-04-01,99.69,99.69,98.13,98.36,123062.0
2014-03-31,97.89,99.73,97.43,99.42,90665.0
2014-03-28,97.75,99.39,97.1,97.64,52565.0
2014-03-27,97.87,98.66,97.43,97.86,86131.0
2014-03-26,99.01,99.27,97.72,98.04,91019.0
2014-03-25,97.73,98.53,97.35,98.28,55295.0
2014-03-24,97.98,97.98,96.74,97.13,63492.0
2014-03-21,98.0,98.94,97.13,97.55,170993.0
2014-03-20,96.42,97.77,96.3,97.64,51892.0
2014-03-19,97.33,97.91,95.79,96.7,53486.0
2014-03-18,95.6,97.64,95.55,97.64,69025.0
2014-03-17,95.57,96.0,94.72,95.83,91641.0
2014-03-14,94.03,95.46,93.89,95.31,53560.0
2014-03-13,94.3,95.0,93.45,94.27,97233.0
2014-03-12,94.09,94.5,93.52,94.24,97180.0
2014-03-11,95.24,95.25,93.82,94.54,97848.0
2014-03-10,95.44,95.71,94.51,95.17,97795.0
2014-03-07,95.33,96.46,95.01,95.79,89542.0
2014-03-06,93.9,95.47,93.38,95.15,64793.0
2014-03-05,94.08,94.53,92.78,93.91,96367.0
2014-03-04,93.38,95.41,90.99,94.96,300514.0
2014-03-03,90.87,92.83,90.45,92.12,167422.0
2014-02-28,89.76,91.37,89.5,90.2,77273.0
2014-02-27,89.16,89.79,88.58,89.66,46208.0
2014-02-26,89.34,89.98,89.08,89.39,102433.0
2014-02-25,89.88,89.88,88.69,89.29,62310.0
2014-02-24,89.28,90.79,89.0,90.02,64177.0
2014-02-21,89.42,89.91,88.36,89.01,70591.0
2014-02-20,87.36,88.97,87.08,88.93,54251.0
2014-02-19,88.14,88.44,87.07,87.23,56711.0
2014-02-18,88.88,89.11,88.13,88.56,94806.0
2014-02-14,87.67,88.67,86.93,88.5,53085.0
2014-02-13,85.68,87.93,85.41,87.69,100289.0
2014-02-12,85.4,86.36,85.13,86.23,66739.0
2014-02-11,84.14,85.5,84.05,85.23,77103.0
2014-02-10,84.88,84.88,83.14,84.34,96365.0
2014-02-07,85.35,85.64,84.32,84.84,82139.0
2014-02-06,85.76,86.21,85.0,85.1,69329.0
2014-02-05,85.44,86.4,85.01,85.51,80344.0
2014-02-04,86.48,87.32,85.52,85.7,132158.0
2014-02-03,87.03,88.9,85.71,86.25,308907.0
2014-01-31,84.27,87.34,83.87,86.92,128512.0
2014-01-30,84.39,85.04,82.9,84.24,68045.0
2014-01-29,84.05,84.42,83.19,83.47,196895.0
2014-01-28,84.2,84.97,83.51,84.89,99381.0
2014-01-27,84.31,84.75,83.44,83.59,73136.0
2014-01-24,84.98,85.62,83.92,84.32,65372.0
2014-01-23,85.01,86.13,84.68,85.61,71606.0
2014-01-22,85.91,85.91,84.85,85.39,56631.0
2014-01-21,86.27,86.27,84.68,85.68,54863.0
2014-01-17,86.01,86.01,84.86,85.38,59573.0
2014-01-16,85.41,86.04,85.32,86.02,20699.0
2014-01-15,86.23,86.23,85.41,85.73,35500.0
2014-01-14,85.44,86.39,81.91,86.11,91757.0
2014-01-13,85.86,86.26,84.65,85.32,58104.0
2014-01-10,86.63,86.64,85.49,86.17,59362.0
2014-01-09,85.92,86.64,85.16,86.46,115130.0
2014-01-08,86.03,86.14,85.01,85.56,69267.0
2014-01-07,86.02,87.01,85.59,86.27,63913.0
2014-01-06,87.36,87.64,85.65,85.74,33723.0
2014-01-03,86.26,87.36,85.93,87.01,96225.0
2014-01-02,88.11,88.11,85.77,86.19,75670.0
2013-12-31,88.93,89.2,88.0,88.15,61141.0
2013-12-30,88.21,89.95,87.86,88.68,44581.0
2013-12-27,87.7,88.47,87.5,88.29,82874.0
