Date,Open,High,Low,Close,Volume
2014-04-07,70.12,70.86,68.92,69.65,615501.0
2014-04-04,71.63,72.15,70.06,70.22,434783.0
2014-04-03,72.0,72.36,70.78,71.09,460295.0
2014-04-02,71.79,72.88,71.74,72.09,442460.0
2014-04-01,72.05,72.36,71.46,71.75,610708.0
2014-03-31,72.15,72.52,71.43,72.01,450903.0
2014-03-28,71.82,73.04,71.48,71.85,284576.0
2014-03-27,71.69,72.13,70.93,71.62,304820.0
2014-03-26,73.18,73.35,71.77,71.8,343215.0
2014-03-25,76.26,76.26,72.19,72.59,472742.0
2014-03-24,74.08,74.08,71.7,72.38,432525.0
2014-03-21,73.05,73.89,72.69,73.77,729775.0
2014-03-20,72.5,73.18,72.29,72.56,351494.0
2014-03-19,73.01,73.3,72.32,72.75,389901.0
2014-03-18,72.91,73.25,72.23,73.02,265678.0
2014-03-17,72.8,73.48,72.42,72.76,220592.0
2014-03-14,71.58,72.53,71.5,72.23,288549.0
2014-03-13,72.99,73.12,71.18,71.62,372515.0
2014-03-12,72.97,73.45,72.03,72.8,430646.0
2014-03-11,74.78,74.99,73.15,73.19,223673.0
2014-03-10,75.09,75.14,74.12,74.52,199690.0
2014-03-07,75.4,75.76,74.8,75.37,125614.0
2014-03-06,75.04,75.36,74.62,75.03,247844.0
2014-03-05,75.66,75.99,74.48,74.67,339004.0
2014-03-04,75.28,75.92,75.08,75.46,259423.0
2014-03-03,74.26,74.89,73.61,74.25,385984.0
2014-02-28,75.19,75.84,74.6,74.97,396431.0
2014-02-27,75.3,75.54,74.84,75.19,222262.0
2014-02-26,74.77,75.82,74.51,75.35,319065.0
2014-02-25,74.7,74.84,73.96,74.52,342605.0
2014-02-24,74.05,75.18,74.05,74.67,277475.0
2014-02-21,74.63,74.96,73.88,73.9,230955.0
2014-02-20,73.05,74.53,72.86,74.48,238188.0
2014-02-19,73.26,74.09,72.9,72.94,330008.0
2014-02-18,73.3,73.66,71.79,73.5,365310.0
2014-02-14,73.68,74.95,72.25,72.9,510106.0
2014-02-13,69.66,70.84,69.18,70.84,269684.0
2014-02-12,69.29,70.35,69.29,69.93,241306.0
2014-02-11,68.76,69.62,68.16,69.31,218133.0
2014-02-10,69.54,69.58,68.52,68.86,231748.0
2014-02-07,69.0,69.75,68.47,69.7,153956.0
2014-02-06,67.73,68.96,67.17,68.66,303111.0
2014-02-05,67.82,68.54,67.36,67.48,316561.0
2014-02-04,67.12,68.27,66.75,68.07,607377.0
2014-02-03,69.25,69.63,66.68,66.92,778991.0
2014-01-31,68.02,69.53,67.44,69.2,403555.0
2014-01-30,68.9,69.18,68.08,69.02,264788.0
2014-01-29,66.92,68.6,66.92,68.18,408685.0
2014-01-28,67.6,68.63,66.84,67.66,388408.0
2014-01-27,68.39,69.77,67.2,67.55,266998.0
2014-01-24,71.11,71.39,67.88,67.93,749149.0
2014-01-23,71.75,71.97,71.31,71.63,332412.0
2014-01-22,72.52,72.52,71.26,72.07,197883.0
2014-01-21,72.5,72.6,71.41,72.29,290386.0
2014-01-17,71.94,72.49,71.56,71.87,182538.0
2014-01-16,72.27,72.65,72.02,72.12,190877.0
2014-01-15,71.81,73.26,71.61,72.45,354584.0
2014-01-14,70.32,71.5,69.84,71.47,340547.0
2014-01-13,70.47,71.13,69.65,69.98,279937.0
2014-01-10,70.03,70.83,69.96,70.57,285147.0
2014-01-09,70.08,70.63,69.53,70.25,196992.0
2014-01-08,70.23,70.84,69.76,70.16,314801.0
2014-01-07,69.81,70.78,69.37,70.4,341270.0
2014-01-06,70.89,71.23,69.35,69.42,534660.0
2014-01-03,70.29,70.75,70.0,70.47,239507.0
2014-01-02,71.12,71.38,70.03,70.36,253712.0
2013-12-31,71.52,71.79,71.16,71.34,288080.0
2013-12-30,71.54,71.85,71.15,71.26,306145.0
2013-12-27,71.99,72.1,71.35,71.41,253873.0
2013-12-26,72.45,72.45,71.71,71.96,329028.0
2013-12-24,71.25,72.25,71.05,72.04,155534.0
2013-12-23,71.03,71.42,70.65,71.09,449023.0
2013-12-20,70.72,71.52,70.49,70.7,1135905.0
2013-12-19,71.47,71.99,70.43,70.44,462404.0
2013-12-18,71.63,71.83,70.36,71.73,299390.0
2013-12-17,71.3,71.49,70.84,71.3,218279.0
