Date,Open,High,Low,Close,Volume
2014-04-07,3.69,3.69,3.55,3.6,142881.0
2014-04-04,3.73,3.74,3.54,3.72,197986.0
2014-04-03,3.68,3.72,3.62,3.69,236446.0
2014-04-02,3.74,3.74,3.54,3.7,278281.0
2014-04-01,3.76,3.87,3.69,3.71,116315.0
2014-03-31,3.68,3.8,3.63,3.77,171088.0
2014-03-28,3.67,3.89,3.62,3.63,82546.0
2014-03-27,3.71,3.82,3.56,3.67,158402.0
2014-03-26,3.99,4.03,3.71,3.72,166662.0
2014-03-25,4.1,4.15,3.98,3.98,73799.0
2014-03-24,4.22,4.25,4.01,4.1,123121.0
2014-03-21,4.2,4.3,4.17,4.23,199870.0
2014-03-20,4.04,4.18,3.99,4.17,115467.0
2014-03-19,4.05,4.13,3.96,4.07,134743.0
2014-03-18,3.87,4.11,3.86,4.07,96151.0
2014-03-17,3.97,4.07,3.88,3.88,89676.0
2014-03-14,4.01,4.04,3.87,3.96,106344.0
2014-03-13,4.2,4.2,4.0,4.01,99125.0
2014-03-12,4.13,4.21,4.1,4.18,104864.0
2014-03-11,4.5,4.61,4.19,4.21,152621.0
2014-03-10,4.5,4.6,4.5,4.5,88361.0
2014-03-07,4.64,4.66,4.5,4.53,124209.0
2014-03-06,4.68,4.68,4.5,4.6,107145.0
2014-03-05,4.9,4.9,4.5,4.57,115776.0
2014-03-04,4.55,4.75,4.08,4.7,158776.0
2014-03-03,4.5,4.58,4.5,4.5,90396.0
2014-02-28,4.57,4.59,4.5,4.5,76393.0
2014-02-27,4.55,4.79,4.53,4.55,102544.0
2014-02-26,4.56,4.84,4.55,4.55,95145.0
2014-02-25,4.44,4.62,4.44,4.57,71223.0
2014-02-24,4.28,4.57,4.25,4.46,116286.0
2014-02-21,3.96,4.29,3.96,4.25,136007.0
2014-02-20,3.92,4.0,3.89,3.93,52938.0
2014-02-19,4.07,4.1,3.91,3.92,108895.0
2014-02-18,3.92,4.15,3.92,4.06,53085.0
2014-02-14,3.91,4.0,3.88,3.92,77348.0
2014-02-13,3.88,3.93,3.85,3.9,58037.0
2014-02-12,3.89,3.98,3.85,3.89,50273.0
2014-02-11,3.95,3.95,3.85,3.9,88636.0
2014-02-10,3.96,4.07,3.8,3.93,161982.0
2014-02-07,3.95,4.03,3.92,3.97,157580.0
2014-02-06,4.0,4.04,3.94,3.95,175054.0
2014-02-05,4.15,4.16,3.97,3.99,179108.0
2014-02-04,4.19,4.31,4.15,4.16,56161.0
2014-02-03,4.38,4.48,4.15,4.18,115358.0
2014-01-31,4.5,4.65,4.36,4.37,123986.0
2014-01-30,4.53,4.62,4.53,4.54,56262.0
2014-01-29,4.58,4.58,4.47,4.51,84875.0
2014-01-28,4.67,4.72,4.4,4.63,200143.0
2014-01-27,4.9,4.91,4.59,4.68,117300.0
2014-01-24,5.0,5.02,4.8,4.87,93505.0
2014-01-23,5.23,5.23,5.0,5.02,66863.0
